# [(min:en_allen + var:en_allen)]
# Property Label: $metal$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 4894;# Samples SVM Misclassified: 1844
# Plane Divider
# Task     w0                      b
# 0,       6.489856239434699e-02, -1.740464908118366e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         23|7|add; (min:en_allen + var:en_allen); $\left(min:en_{allen} + var:en_{allen}\right)]$; (min:en_allen + var:en_allen); min:en_allen,var:en_allen
# Number of Samples Per Task
# Task,   n_mats_train            
# 0,      5143                  

# Property Value      ,  Property Value (EST) ,  Feature 0 Value      
 0.000000000000000e+00,  1.000000000000000e+00,  3.820373088888888e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.480568055555556e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.263698335640138e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.232020000000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  5.769880755555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.348108652668989e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.842919999999999e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.732677064951458e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.129360680555556e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.551737347222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.629772637257447e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.222525600000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.428426168750000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  5.669022500000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.358007500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.343000000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.650466875000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.829233431122449e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.418631428571429e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.890067296000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  4.497923132748289e+01
 0.000000000000000e+00,  1.000000000000000e+00,  4.318072755102040e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.383733600000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.931576875000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.352568888888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.179422500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.078866755555556e+01
 1.000000000000000e+00,  1.000000000000000e+00,  6.255356200000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.558690000000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.394159065194040e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.179422500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.268331718750000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.075010025000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.583801875000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.636616824376731e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.935633048979592e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.718807500000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.294501875000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.233000000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.160555555555555e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.118622500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.706068888888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.989270518750000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.604126875000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  2.965664969686452e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.451720000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  5.250076584393322e+00
 1.000000000000000e+00,  1.000000000000000e+00,  4.625006064000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.267367025000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.524822400000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.386188200000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.966343989724442e+01
 0.000000000000000e+00,  1.000000000000000e+00,  4.711819755102040e+01
 0.000000000000000e+00,  0.000000000000000e+00,  7.185490250000000e+00
 1.000000000000000e+00,  0.000000000000000e+00,  1.332886400000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.763934214876033e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.445580000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.137063022222222e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.534163786982248e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.868875555555556e+01
 0.000000000000000e+00,  1.000000000000000e+00,  2.723263600000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.090141875000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.977373600000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.061104462809917e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.726034076598739e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.121409999999999e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.243141800000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.757782693359375e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.230542222222222e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.647928888888889e+01
 0.000000000000000e+00,  0.000000000000000e+00,  6.859938888888889e+00
 1.000000000000000e+00,  0.000000000000000e+00,  2.071781781449804e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.331146523189756e+01
