# [(min:atomic_radius * ave:boiling_point), (max:en_allen * max:vdw_radius_mm3)]
# Property Label: $metal$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 4663;# Samples SVM Misclassified: 1551
# Plane Divider
# Task     w0                      w1                      b
# 0,      -6.633503762281768e-06,  4.010395516022080e-04, -3.776799240598228e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         16|12|mult; (min:atomic_radius * ave:boiling_point); $\left(min:atomic_{radius} ave:boiling_{point}\right)$; (min:atomic_radius .* ave:boiling_point); min:atomic_radius,ave:boiling_point
# 1;  1; Unitless;                                         19|2|mult; (max:en_allen * max:vdw_radius_mm3); $\left(max:en_{allen} max:vdw_{radius, mm3}\right)$; (max:en_allen .* max:vdw_radius_mm3); max:en_allen,max:vdw_radius_mm3
# Number of Samples Per Task
# Task,   n_mats_train            
# 0,      5143                  

# Property Value      ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
 0.000000000000000e+00,  1.000000000000000e+00,  1.101362666666667e+05,  5.094530000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.419544615368659e+05,  5.927200000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  5.403985705882352e+04,  5.040960000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  1.795840000000000e+05,  3.252520000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.069675381637403e+05,  5.681760000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  4.273937500000000e+05,  3.049660000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.545538666666666e+05,  4.333070000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.450403624600898e+05,  4.395230000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  1.559811666666667e+05,  3.453120000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.185788333333333e+05,  3.636520000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.372382400000000e+05,  4.276440000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.283596000000000e+05,  3.113440000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.185640500000000e+05,  3.283860000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  2.120930395396398e+05,  6.026400000000001e+03
 1.000000000000000e+00,  1.000000000000000e+00,  4.300345000000000e+04,  4.891440000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.006270000000000e+05,  3.613680000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.434926645000000e+05,  4.017640000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.054129178571429e+05,  4.891440000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.367950000000000e+05,  3.484620000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  8.989978800000002e+04,  3.470550000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.211928145255234e+05,  6.557520000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.279667200000000e+05,  6.408000000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  9.766196396233951e+04,  5.681760000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.674219750000000e+05,  3.795320000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.284275200000000e+05,  5.604800000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  2.776995000000000e+05,  3.138960000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  3.278410000000000e+05,  3.165400000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.274194133333333e+05,  5.530400000000001e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.033793240000000e+05,  3.720330000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  8.746694905357083e+04,  5.959440000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.646160000000000e+05,  3.113440000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.765345000000000e+05,  3.540000000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  3.323320000000000e+05,  2.958480000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.793472000000000e+05,  4.140679999999999e+03
 1.000000000000000e+00,  1.000000000000000e+00,  5.672374105263158e+04,  5.446800000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.365640714285714e+05,  5.105040000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.361777250000000e+05,  3.763560000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  1.963670000000000e+05,  3.292200000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.093680000000000e+05,  2.959260000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  8.533920000000000e+04,  4.151770000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  3.311600000000000e+05,  3.260600000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  5.765246666666666e+05,  3.484620000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.235448500000000e+05,  4.004920000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.294274250000000e+05,  3.906480000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  3.156110195978715e+05,  3.878100000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.618759417142857e+05,  3.858120000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  4.536463333333333e+05,  1.728513865392893e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.070718960000000e+05,  5.679200000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  2.513120000000000e+05,  3.086880000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  7.680896000000002e+03,  4.786400000000001e+03
 0.000000000000000e+00,  0.000000000000000e+00,  3.626956666666666e+05,  4.229050000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.035342471222324e+05,  7.192000000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.077640457142857e+05,  5.190480000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  1.859200000000000e+05,  2.484950000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  1.859284000000000e+05,  3.814440000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.175136000000000e+05,  3.886130000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  2.871878600000000e+05,  5.105040000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.456020000000000e+05,  2.958480000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  7.620900646153846e+04,  4.592400000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  4.173866666666666e+05,  3.596950000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  4.634022400000000e+04,  5.681760000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  3.445937500000000e+05,  2.594570000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  3.529625200000001e+04,  5.852639999999999e+03
 1.000000000000000e+00,  1.000000000000000e+00,  2.372840290909091e+05,  5.105040000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.625558035902831e+05,  5.938080000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  2.054793000000000e+05,  4.174620000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  3.936310000000000e+05,  3.181540000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.785404937500000e+04,  6.002160000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.017747073833130e+05,  5.382720000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  7.542655415735344e+04,  5.555200000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  3.379733333333333e+05,  2.072066000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.674178505322748e+05,  3.919950000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.069685825825144e+05,  3.892050000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  1.949973240000000e+05,  4.041840000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  4.628866666666666e+05,  4.123700000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.343244000000000e+05,  5.530400000000001e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.529287034845371e+05,  4.395230000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  8.510080000000000e+04,  4.891440000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  3.557793240000000e+05,  3.659090000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  2.144908533333333e+05,  5.211840000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  7.413156250000000e+04,  5.446800000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.407280046384999e+05,  6.557520000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.318368466819336e+05,  3.613050000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  1.492048472727273e+05,  5.532240000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.143158400000000e+05,  4.459980000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  1.773604000000000e+05,  3.714060000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  9.941268571428570e+04,  6.324000000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  6.509694600000000e+04,  5.767200000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  2.861110000000000e+05,  3.056760000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.296370312500000e+05,  5.211840000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  1.976453333333333e+05,  3.306150000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  1.470218750000000e+05,  3.292200000000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  9.813477935562660e+04,  5.959440000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  1.419544615368659e+05,  5.927200000000000e+03
