# [(|(ave:en_allen * min:vdw_radius_uff) - (|min:atomic_radius - ave:boiling_point|)|)]
# Property Label: $metal$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 4743;# Samples SVM Misclassified: 1391
# Plane Divider
# Task     w0                      b
# 0,       7.012666277723496e-04, -2.144317803344590e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         22|0|mult|16|12|abd|abd; (|(ave:en_allen * min:vdw_radius_uff) - (|min:atomic_radius - ave:boiling_point|)|); $\left(\left|\left(ave:en_{allen} min:vdw_{radius, uff}\right) - \left(\left|min:atomic_{radius} - ave:boiling_{point}\right|\right)\right|\right)$; abs((ave:en_allen .* min:vdw_radius_uff) - abs(min:atomic_radius - ave:boiling_point)); ave:en_allen,min:vdw_radius_uff,min:atomic_radius,ave:boiling_point
# Number of Samples Per Task
# Task,   n_mats_train            
# 0,      5143                  

# Property Value      ,  Property Value (EST) ,  Feature 0 Value      
 0.000000000000000e+00,  0.000000000000000e+00,  2.334201466666666e+03
 1.000000000000000e+00,  1.000000000000000e+00,  5.920620614168449e+03
 1.000000000000000e+00,  1.000000000000000e+00,  4.291270870588235e+03
 1.000000000000000e+00,  1.000000000000000e+00,  4.041454000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.958865820311408e+03
 0.000000000000000e+00,  0.000000000000000e+00,  9.628859327739333e+02
 1.000000000000000e+00,  0.000000000000000e+00,  2.987014666666666e+03
 1.000000000000000e+00,  1.000000000000000e+00,  5.006664290417886e+03
 1.000000000000000e+00,  1.000000000000000e+00,  4.317939833333334e+03
 1.000000000000000e+00,  1.000000000000000e+00,  3.884544533333333e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.874816400000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  4.500323114168448e+03
 1.000000000000000e+00,  1.000000000000000e+00,  6.694582500000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  4.190270000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  2.553535250000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  4.149843464285714e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.187009000000001e+03
 0.000000000000000e+00,  0.000000000000000e+00,  1.264870120000000e+03
 0.000000000000000e+00,  1.000000000000000e+00,  5.045076962942374e+03
 0.000000000000000e+00,  1.000000000000000e+00,  3.962843571428572e+03
 0.000000000000000e+00,  1.000000000000000e+00,  3.437993750000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  5.915454666666665e+03
 1.000000000000000e+00,  1.000000000000000e+00,  3.244822500000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  9.524199333333331e+02
 1.000000000000000e+00,  1.000000000000000e+00,  4.365781166666667e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.674652000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  3.510705500000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  1.375213000000000e+03
 0.000000000000000e+00,  0.000000000000000e+00,  7.477571250000001e+02
 1.000000000000000e+00,  1.000000000000000e+00,  3.397043750000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  3.946537178947367e+03
 1.000000000000000e+00,  1.000000000000000e+00,  4.470509414285713e+03
 0.000000000000000e+00,  0.000000000000000e+00,  2.629910000000000e+03
 1.000000000000000e+00,  0.000000000000000e+00,  2.370635000000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  4.970379999999999e+03
 0.000000000000000e+00,  0.000000000000000e+00,  7.868999999999996e+02
 1.000000000000000e+00,  1.000000000000000e+00,  5.243855074999999e+03
 1.000000000000000e+00,  1.000000000000000e+00,  5.300266750000000e+03
 1.000000000000000e+00,  1.000000000000000e+00,  5.389163341283027e+03
