# [(sin(min:en_allen) / (global_instability + ave:en_pauling)), (|(ave:boiling_point / ave:en_allen) - (var:en_allen + min:vdw_radius_uff)|)]
# Property Label: $metal$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 4459;# Samples SVM Misclassified: 1439
# Plane Divider
# Task     w0                      w1                      b
# 0,       1.611783229726150e-01,  1.261651742531016e-02, -2.785790858727449e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         23|sin|9|5|add|div; (sin(min:en_allen) / (global_instability + ave:en_pauling)); $\left(\frac{ \left(\sin{ min:en_{allen} }\right) }{ \left(global_{instability} + ave:en_{pauling}\right)] } \right)$; (sin(min:en_allen) ./ (global_instability + ave:en_pauling)); min:en_allen,global_instability,ave:en_pauling
# 1;  2; Unitless;                                         12|22|div|7|0|add|abd; (|(ave:boiling_point / ave:en_allen) - (var:en_allen + min:vdw_radius_uff)|); $\left(\left|\left(\frac{ ave:boiling_{point} }{ ave:en_{allen} } \right) - \left(var:en_{allen} + min:vdw_{radius, uff}\right)]\right|\right)$; abs((ave:boiling_point ./ ave:en_allen) - (var:en_allen + min:vdw_radius_uff)); ave:boiling_point,ave:en_allen,var:en_allen,min:vdw_radius_uff
# Number of Samples Per Task
# Task,   n_mats_train            
# 0,      5143                  

# Property Value      ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
 0.000000000000000e+00,  1.000000000000000e+00, -1.008124893420206e-01,  2.536813357116586e+02
 1.000000000000000e+00,  1.000000000000000e+00,  1.903130408091113e-01,  2.978344971682035e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.780929679997760e-02,  2.713786204872323e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.255986313507617e-01,  3.057818224648986e+02
 0.000000000000000e+00,  1.000000000000000e+00, -3.291187227383043e-01,  2.468112840665509e+02
 0.000000000000000e+00,  0.000000000000000e+00, -3.643649414323497e-01,  9.561350214643335e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.239556136220307e-01,  2.128489309317322e+02
 1.000000000000000e+00,  1.000000000000000e+00,  2.856689765169188e-02,  3.329029605128356e+02
 1.000000000000000e+00,  1.000000000000000e+00, -1.703267601740198e-01,  3.349576972262064e+02
 1.000000000000000e+00,  1.000000000000000e+00,  1.156035534167886e-01,  2.608349303151961e+02
 0.000000000000000e+00,  0.000000000000000e+00, -1.783962403233036e-01,  2.220984859328430e+02
 0.000000000000000e+00,  1.000000000000000e+00, -2.961125272513649e-01,  2.870596160877387e+02
 1.000000000000000e+00,  1.000000000000000e+00,  2.407844643394389e-01,  3.435722606669217e+02
 0.000000000000000e+00,  1.000000000000000e+00, -2.793786428192704e-01,  3.122935276073620e+02
 1.000000000000000e+00,  0.000000000000000e+00, -3.280105837103865e-01,  1.906271521118559e+02
 0.000000000000000e+00,  1.000000000000000e+00,  9.314084637251975e-03,  2.602099477394843e+02
 0.000000000000000e+00,  0.000000000000000e+00,  2.854033033162856e-01,  1.661743735218796e+02
 0.000000000000000e+00,  0.000000000000000e+00, -4.543325047146763e-01,  1.385846253710872e+02
 0.000000000000000e+00,  1.000000000000000e+00, -3.349959165162515e-01,  3.391153698447129e+02
 0.000000000000000e+00,  1.000000000000000e+00, -2.215282342317269e-01,  3.147128782274637e+02
 0.000000000000000e+00,  1.000000000000000e+00,  3.574544703988327e-01,  2.470170283808905e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.929685996826492e-01,  3.292625845295757e+02
 1.000000000000000e+00,  1.000000000000000e+00, -4.079829652054746e-01,  2.695530370950324e+02
 0.000000000000000e+00,  0.000000000000000e+00,  1.138799557568893e-02,  7.506475321304606e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.076998369541412e-02,  2.698071704551024e+02
 0.000000000000000e+00,  0.000000000000000e+00, -4.428023443352752e-01,  1.978337133535660e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.758630311998199e-01,  2.698017391265420e+02
 0.000000000000000e+00,  0.000000000000000e+00, -3.260613565183594e-01,  1.054120692863122e+02
 0.000000000000000e+00,  0.000000000000000e+00, -4.566684819564311e-01,  9.156607380858367e+01
 1.000000000000000e+00,  1.000000000000000e+00, -4.316921389897406e-01,  2.495211431653415e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.601438129876645e-01,  2.502375324271276e+02
 1.000000000000000e+00,  1.000000000000000e+00,  3.057289868160074e-01,  2.745800316745788e+02
 0.000000000000000e+00,  0.000000000000000e+00, -9.924705721246896e-03,  1.823627510070052e+02
 1.000000000000000e+00,  0.000000000000000e+00, -1.286737682469059e-01,  1.755103999505404e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.551123917037046e-01,  3.178010861292055e+02
 0.000000000000000e+00,  0.000000000000000e+00,  5.389794568541985e-01,  8.294547005150844e+01
 1.000000000000000e+00,  1.000000000000000e+00, -3.812886763760553e-02,  3.478848521047360e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.584109618208231e-01,  3.612788234630794e+02
 1.000000000000000e+00,  1.000000000000000e+00, -1.956585934694177e-01,  3.276568345901084e+02
 0.000000000000000e+00,  0.000000000000000e+00, -3.149431009721108e-01,  1.418364486635238e+02
 0.000000000000000e+00,  0.000000000000000e+00, -3.058632894338258e-01,  2.064175745003157e+02
 0.000000000000000e+00,  0.000000000000000e+00, -9.085320287587304e-01,  1.127662017215632e+02
 1.000000000000000e+00,  1.000000000000000e+00,  9.780960308716223e-02,  3.134730971014636e+02
 1.000000000000000e+00,  1.000000000000000e+00, -4.807048985222818e-02,  2.662690705329479e+02
 1.000000000000000e+00,  1.000000000000000e+00, -1.738003022768719e-01,  3.399603956526037e+02
 0.000000000000000e+00,  0.000000000000000e+00, -8.329425348914483e-02,  2.746358942551012e+01
 1.000000000000000e+00,  1.000000000000000e+00, -2.804823871050904e-01,  2.712556175273865e+02
 1.000000000000000e+00,  1.000000000000000e+00,  2.790332457595111e-01,  3.504324705795282e+02
 0.000000000000000e+00,  1.000000000000000e+00,  2.874472748646696e-01,  2.905757848509080e+02
 0.000000000000000e+00,  0.000000000000000e+00, -8.075776958068724e-01,  1.085424748562760e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.487536016457068e-01,  3.225529286513020e+02
 0.000000000000000e+00,  0.000000000000000e+00,  6.285543922913198e-01,  1.343981726904081e+02
 1.000000000000000e+00,  1.000000000000000e+00, -1.323227489201334e-01,  3.223029376432119e+02
 0.000000000000000e+00,  0.000000000000000e+00,  4.294339063460643e-01,  3.153180624219721e+01
 0.000000000000000e+00,  1.000000000000000e+00, -2.036024743863746e-01,  3.460837525461505e+02
 0.000000000000000e+00,  0.000000000000000e+00, -5.228622027779488e-01,  4.137742766861760e+01
 1.000000000000000e+00,  1.000000000000000e+00, -3.517776838479938e-01,  2.797935518447658e+02
 1.000000000000000e+00,  1.000000000000000e+00,  2.310360642563092e-01,  2.475214397725961e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.109641882399718e-01,  3.128414170063556e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.308552631910513e-01,  2.989963222222222e+02
 0.000000000000000e+00,  0.000000000000000e+00,  1.922053603703977e-01,  9.364637130610072e+01
 1.000000000000000e+00,  1.000000000000000e+00, -5.463077823127391e-02,  2.963653804412259e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.009855083856476e-01,  3.322183785204227e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.304354548740465e-01,  3.061683088600645e+02
 0.000000000000000e+00,  0.000000000000000e+00,  2.662845096798218e-01,  1.327178430238160e+01
 1.000000000000000e+00,  1.000000000000000e+00, -2.536464683769051e-01,  2.592198793783833e+02
 0.000000000000000e+00,  1.000000000000000e+00,  2.322885264226034e-02,  2.840227013529087e+02
 1.000000000000000e+00,  1.000000000000000e+00, -1.507429981853134e-01,  2.887803575844222e+02
 0.000000000000000e+00,  0.000000000000000e+00, -2.888295482938742e-01,  6.785587838742282e+01
 1.000000000000000e+00,  1.000000000000000e+00, -2.903975017434826e-01,  2.712556175273865e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.383080955011552e-01,  3.306091926469090e+02
 1.000000000000000e+00,  1.000000000000000e+00,  1.135784991242783e-01,  3.007582498550992e+02
 1.000000000000000e+00,  1.000000000000000e+00,  1.691201845053682e-01,  2.492241955399763e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.675657082049795e-01,  2.477935590840792e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.128253666911675e-01,  3.287212064991106e+02
 0.000000000000000e+00,  1.000000000000000e+00, -2.552773950165725e-01,  3.751271749007358e+02
 0.000000000000000e+00,  0.000000000000000e+00, -4.165021930241958e-01,  1.689723845939415e+02
 0.000000000000000e+00,  1.000000000000000e+00,  3.286748742240144e-02,  3.284520276598769e+02
 1.000000000000000e+00,  1.000000000000000e+00, -2.282238814846379e-01,  2.715733028240562e+02
 0.000000000000000e+00,  1.000000000000000e+00, -3.429251020864272e-01,  2.648793209197132e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.437699475110353e-01,  2.814373152435701e+02
 1.000000000000000e+00,  0.000000000000000e+00, -3.596465192769394e-01,  1.637213513510683e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.257660538142468e-01,  2.431923866745283e+02
 1.000000000000000e+00,  1.000000000000000e+00, -4.309304663605869e-02,  3.735213186915086e+02
 0.000000000000000e+00,  1.000000000000000e+00,  2.149167750102231e-02,  3.148669925319017e+02
 1.000000000000000e+00,  1.000000000000000e+00,  1.903130408091113e-01,  2.978344971682035e+02
 0.000000000000000e+00,  0.000000000000000e+00,  1.556366083973388e-01,  1.981119976962947e+02
 0.000000000000000e+00,  0.000000000000000e+00, -6.025526200551276e-01,  1.698722187103050e+01
 1.000000000000000e+00,  0.000000000000000e+00, -3.430510786243295e-01,  2.137169853906269e+02
 0.000000000000000e+00,  0.000000000000000e+00, -4.657588311805544e-01,  8.835848035150397e+01
 1.000000000000000e+00,  1.000000000000000e+00, -8.006876779300692e-02,  3.082978652076719e+02
 0.000000000000000e+00,  1.000000000000000e+00, -3.090729737944229e-01,  3.122935276073620e+02
 0.000000000000000e+00,  1.000000000000000e+00, -3.099936175065386e-01,  2.411175886392927e+02
 1.000000000000000e+00,  1.000000000000000e+00, -4.552127983424627e-02,  2.742988671650378e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.275920187670809e-01,  2.888603246196404e+02
 1.000000000000000e+00,  0.000000000000000e+00,  1.956229050392226e-01,  1.528750295062065e+02
 1.000000000000000e+00,  1.000000000000000e+00,  3.567005839678046e-01,  3.312397654328960e+02
 0.000000000000000e+00,  1.000000000000000e+00,  3.078219148409184e-01,  2.811174355879892e+02
 0.000000000000000e+00,  1.000000000000000e+00, -4.415340434867171e-01,  2.460029620289441e+02
 0.000000000000000e+00,  1.000000000000000e+00, -2.499951799243941e-01,  2.389729273840941e+02
 0.000000000000000e+00,  0.000000000000000e+00,  3.921226947338129e-01,  1.928472411702451e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.080953385162761e-01,  3.317412306638116e+02
 1.000000000000000e+00,  1.000000000000000e+00,  6.720564810948657e-03,  2.818614402254086e+02
 1.000000000000000e+00,  1.000000000000000e+00, -3.203032397205438e-01,  3.666897012158054e+02
 1.000000000000000e+00,  1.000000000000000e+00,  3.739383356258904e-01,  2.956861662525837e+02
 1.000000000000000e+00,  0.000000000000000e+00, -5.403637814763834e-01,  2.214158080717489e+02
 1.000000000000000e+00,  1.000000000000000e+00, -4.021064736135750e-01,  2.836718145593870e+02
