# c0 + a0 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:period * ave:melting_point)) + a1 * ((sum:specific_heat * min:period) / (sum:heat_capacity_mass * min:density)) + a2 * ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.13978131601582; Max AE: 5.20228303826207
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.112527247813612e+02,  2.873585572685176e-01,  3.032270591548078e+02, -5.114191709390413e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-1 * pm;                                        23|13|abd|18|14|mult|div; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:period * ave:melting_point)); $\left(\frac{ \left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) }{ \left(ave:period ave:melting_{point}\right) } \right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) ./ (ave:period .* ave:melting_point)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,ave:period,ave:melting_point
# 1;  2; cm^3 * g^-1;                                      19|12|mult|10|7|mult|div; ((sum:specific_heat * min:period) / (sum:heat_capacity_mass * min:density)); $\left(\frac{ \left(sum:specific_{heat} min:period\right) }{ \left(sum:heat_{capacity, mass} min:density\right) } \right)$; ((sum:specific_heat .* min:period) ./ (sum:heat_capacity_mass .* min:density)); sum:specific_heat,min:period,sum:heat_capacity_mass,min:density
# 2;  2; cm * g^-0.333333 * pm^-1;                         18|13|div|8|cbrt|div; ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ nthroot(ave:density, 3)); ave:period,ave:covalent_radius_cordero,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1691                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
5613        ,  3.984599999999999e+00,  7.552809471746766e-01,  2.942668019003897e-03,  2.028702106585776e+00,  1.851380809146083e-02
3256        ,  1.546800000000000e+00,  1.032918302736451e+00,  5.003802890196548e-03,  2.214500097295344e+00,  2.000956373026941e-02
3559        ,  4.266400000000000e+00,  4.039615990102469e+00,  5.819146469763993e-03,  2.722414454417493e+00,  2.974303987047258e-02
5115        ,  2.619500000000000e+00,  1.993134880738624e+00,  2.711349709885589e-03,  2.008425859351164e+00,  2.253042091595508e-02
5543        ,  4.231000000000000e-01,  8.026757116835849e-01,  1.475817959381421e-03,  4.653555734356624e+00,  1.564443866443071e-02
4072        ,  9.394999999999998e-01,  1.248667004485523e+00,  8.869441816461634e-04,  1.976262465538588e+00,  1.943638459034439e-02
3064        ,  0.000000000000000e+00,  1.018912145450809e+00,  1.036517328101828e-03,  1.483059339551876e+00,  1.920095606225551e-02
4062        ,  5.457999999999998e-01,  2.575149514856218e+00,  9.625284908433231e-04,  2.662829454316464e+00,  2.318803055006532e-02
5382        ,  5.297999999999998e-01,  2.847070176211106e+00,  3.909212450059837e-03,  4.117224511999989e+00,  2.378762880465260e-02
3811        ,  3.111700000000000e+00,  1.610563259372245e+00,  2.987800313353856e-03,  2.005515782987485e+00,  2.137294010241565e-02
4157        ,  1.256900000000000e+00,  1.341183431827117e+00,  1.508562167846935e-03,  2.177336564010495e+00,  1.977900823194208e-02
3682        ,  3.169300000000000e+00,  1.280868726148596e+00,  3.208307338422345e-03,  2.014066828371470e+00,  2.035845365528437e-02
5228        ,  8.589000000000000e-01,  6.937899121670192e-01,  1.980678481413809e-03,  1.430854106730238e+00,  1.852463082752465e-02
5154        ,  1.082900000000000e+00,  1.118340125639246e+00,  2.444770413832954e-03,  2.009516638692852e+00,  1.954663089584496e-02
3743        ,  0.000000000000000e+00, -5.818302834068729e-02,  2.391295683711292e-03,  1.728016734477849e+00,  1.591377253506103e-02
3753        ,  0.000000000000000e+00,  8.567321116512526e-01,  2.058931986682006e-03,  1.889404362666775e+00,  1.865614869172561e-02
3373        ,  0.000000000000000e+00,  1.004546470776428e+00,  2.637015601543225e-03,  1.892363646130862e+00,  1.935291157823071e-02
3489        ,  2.194900000000000e+00,  1.995918348429274e+00,  3.414547605845409e-03,  4.197344060396214e+00,  2.072323316667628e-02
5800        ,  5.573999999999995e-01,  1.800789770258047e+00,  2.390680691993395e-03,  2.594173824897872e+00,  2.122334725346187e-02
4753        ,  7.596999999999996e-01,  1.202503054092556e+00,  2.191235059760952e-03,  2.446780535372014e+00,  1.931678632588736e-02
5732        ,  5.205000000000001e-01,  6.212882363749791e-01,  7.804933320556134e-04,  1.283157123416728e+00,  1.798515538519987e-02
5846        ,  0.000000000000000e+00,  1.448131483518347e+00,  3.317165755888326e-03,  2.010829703827349e+00,  2.095307000934423e-02
4747        ,  3.408700000000000e+00,  1.249292353413787e+00,  3.852284163741339e-03,  2.257691502823655e+00,  2.025971632204285e-02
3114        ,  0.000000000000000e+00,  7.884657281063964e-02,  2.223987291501187e-03,  1.728136907667026e+00,  1.630417817423738e-02
3084        ,  8.620000000000028e-02,  8.690004452535265e-01,  2.065091690071039e-04,  7.561525455570166e-01,  1.909090822553112e-02
5005        ,  1.334700000000000e+00,  3.294685120976999e+00,  6.318844690520541e-04,  4.898614701133414e+00,  2.332086346737999e-02
5413        ,  7.898000000000001e-01,  1.331313853343274e+00,  1.732201628269530e-03,  2.859386119013844e+00,  1.918215564312943e-02
3108        ,  0.000000000000000e+00,  5.223079905433943e-01,  4.263385889715344e-03,  1.914694101521246e+00,  1.833810372278313e-02
3544        ,  0.000000000000000e+00,  1.226072872718768e+00,  7.376589655070249e-05,  1.274862707093082e+00,  1.972821471653887e-02
5200        ,  8.647000000000000e-01,  6.572136415053966e-01,  6.622305563646954e-03,  1.992897674221349e+00,  1.957437012805643e-02
3333        ,  0.000000000000000e+00,  2.287465921031055e-01,  2.323315596192756e-03,  1.718757977668419e+00,  1.684385850516356e-02
3097        ,  9.430000000000005e-02,  5.160143315474096e-01,  1.676174299778184e-03,  1.880044197606114e+00,  1.740094774351154e-02
3253        ,  0.000000000000000e+00, -9.115285966169355e-02,  2.601951463597698e-03,  1.727237765957051e+00,  1.588306960711865e-02
3838        ,  1.593100000000000e+00,  1.004398442862439e+00,  6.617117689408377e-04,  1.488400906408438e+00,  1.901051531658247e-02
4958        ,  3.220400000000000e+00,  2.186406157572939e+00,  2.091107965512796e-03,  2.095281161135435e+00,  2.285792822620190e-02
5515        ,  0.000000000000000e+00,  1.164425192055411e+00,  2.637498445759842e-03,  2.290995570246269e+00,  1.950257547875874e-02
5434        ,  3.770000000000007e-02,  6.010003674980727e-01,  6.201375685648763e-03,  2.008575835469069e+00,  1.921969161099714e-02
3488        ,  3.973200000000000e+00,  2.273001522112443e+00,  1.297869471413159e-03,  2.003055652524224e+00,  2.293987081350459e-02
3663        ,  0.000000000000000e+00,  1.090781096804467e+00,  3.095288455089943e-03,  2.303925908883296e+00,  1.941541520729522e-02
5704        ,  2.854299999999999e+00,  1.567948729863549e+00,  3.045582213799871e-03,  3.842942082933456e+00,  1.951233337472681e-02
5381        ,  2.504600000000000e+00,  7.464474415035369e-01,  2.864799533128031e-03,  2.030787269606094e+00,  1.845413077774399e-02
5535        ,  1.533700000000000e+00,  1.396795590526151e+00,  1.679684219366761e-03,  3.065490634346180e+00,  1.918351810785376e-02
4712        ,  1.100500000000000e+00,  8.097300511486393e-01,  1.756968415278768e-03,  1.995911334185080e+00,  1.828942013989244e-02
