material_id,formula,bandgap (eV)
3577,BaF10Te2,5.2169
3033,CaFeOS,0.0
3404,BiSe,0.028200000000000003
5293,HNaO,2.8337999999999997
3707,Cl3MoN,1.6099999999999994
4870,BiBr3,2.5211
5075,AgF2,0.0
5016,CdCl2,3.6664999999999996
5647,C2H3NaO5,3.1950000000000003
4329,AsBrHg3S4,2.0761999999999996
3574,ClInO,2.6454999999999997
3908,CrO4P,1.9944999999999995
4303,Br2Cu3O6Te2,0.0
4983,Bi2F7K,0.0
4042,Nb2PS10Tl,1.3499
3447,Cl3Rh,1.7378000000000005
3615,INTi,0.031200000000000117
4735,TaTe2,0.0
4750,As2Sn2Sr,0.9359000000000002
4141,O4PSb,3.1908000000000003
4420,HBr2Zr2,0.0
4136,Ba2CuO6Tl2,0.0
3925,H6CdO7P2,4.4815000000000005
4443,O2Ti,2.7076
4617,MgO6V2,2.8617999999999997
3836,Te5Zr,0.022599999999999953
5832,F7Fe2Li,3.5735
4712,HfSe4Te,1.1005000000000003
4913,ClInTe,1.9407
4046,Cr3O16Sb5,0.0
4558,IrNb3S8,0.0
4191,Br3Li6N,1.8215000000000001
4636,H2O2Pb,3.0542000000000002
5195,Cl8Nb3,0.23690000000000033
4525,As4Cl2Cu2S3,1.1627999999999998
3086,OPYZn,1.5894
5751,H4CaCl2O2,5.0419
5102,BrF3RbSb,3.7601
5500,CuO3Si,0.1070000000000002
3022,NbTe2,0.0
3170,CdClO,0.1528999999999998
4533,Ba3Br2In2O5,1.5442
5493,Al2FeS4,0.0
5095,AgCl,0.9836999999999998
5258,CuS2Sb,0.37329999999999997
3559,H4CaO6S,4.2664
3426,O9SZr3,3.8145000000000007
4705,I2Zn,2.0149
5717,BiF4K,0.8259000000000003
5108,F5LiOV2,2.0333
5105,SeSn,1.1474000000000002
4721,BrClPb,2.3673
4062,F4Ru,0.5457999999999998
3907,INZr,1.8319999999999999
3583,Se2W,1.5272000000000001
5228,CuITe2,0.8589
3315,O3SiZn,3.2590000000000003
3746,IrTe2,0.0
3201,Al2S4Zn,0.0
5331,O3Pb2,1.8143000000000002
3126,In2Te3,0.0
5676,Co3O16Te2V3,0.46419999999999995
3598,I2OTa,0.9411999999999998
5120,AgHgIS,0.8623000000000001
4244,PtTe2,0.6532
4710,FOTi,0.0
3178,CY2,0.0
5371,AsNaO2,4.3315
4218,O3RbReS,2.7504
5277,O3PdSe,0.4523999999999999
3755,AgI,1.7483999999999997
3400,CuF6Ti,0.6249000000000002
5825,AgP2S6Sc,2.0441000000000003
3969,O11Pb9Ti,2.773
3495,AuSe,1.2376
3278,In2MgSe4,1.2458
4278,CrPS4,0.7349000000000001
3966,GeTe,1.7502
4647,H2CaO2,3.9134
4958,ClO3SbTe,3.2204
4890,HNaO,2.5953
3933,BaCaI4,3.7336
3444,GeI2,2.1318
4837,H2O7Ti3,2.5071
4994,Al2O3,3.6887000000000003
4339,FeS2,0.0
4325,Bi2F7K,0.22999999999999998
5893,BaCl11Y3,4.0264
5161,F4Zr,4.3479
3743,GeMgMn,0.0
4950,AgBrO4,1.4662000000000006
4189,Au2O10Se3,1.0183999999999997
4450,Bi2STe2,0.5732999999999999
4947,AuI4Li,0.8538999999999999
4749,F5LiMn,2.3728000000000007
5135,AsO4Tl,1.4708999999999994
3721,BiClTe,1.8037
4840,O7STe2,3.2461999999999995
4848,ClCuTe2,0.7781000000000002
5490,Li2S4W,2.2883
5388,Ag3S3Sb,1.7199
3448,InSe,1.5379999999999998
4846,FeNbTe2,0.0
5732,Nb2SiTe4,0.5205000000000001
4953,Cl3InSn,2.6639
3082,FeO2,0.39369999999999994
4256,CAgNS,2.7261999999999995
4685,Sb2Se2Te,0.706
4747,NaO2Sb,3.4087
5625,Mn2O13P4,0.8441999999999998
5067,H2Mg5O6,2.6086
3965,Bi2O9Si3,4.2462
4444,Pd2Se3Tl,0.9563000000000001
3422,CaS9Sn4,0.9169
3134,MgTi,0.0
5724,Cl12OsTe2,0.0
5875,Li3O18P6Sn,0.4952999999999994
4937,CoI2,0.0
4070,FMn5O9,0.7039999999999997
4121,CuLiO,1.2528
3358,Mg5Y,0.0
3180,Al2S5Zn2,1.2347000000000001
5476,AgFeS2,0.0
3830,I7Nb3Te,0.6069
3277,Al2S5Zn2,1.5795
4178,C2HO3Sn,2.5968999999999998
4700,Cl6LiW,0.07430000000000003
5159,Cl3HgNa,2.8327
4672,CuLiO2,0.6372
5042,KO5Sb3,3.2634
5909,I6SSn4,1.7064
3034,PbS,1.7007
3339,Al2S5Zn2,0.0
4575,H6CoO8Se2,2.9574
5517,AgBiO2,1.991
5696,O10P3Sn2,0.0
4993,HCuO2,0.7869999999999999
4049,H6CaO7P2,4.9499
3296,BNaO8S2,6.0073
3504,ClOTi,0.0
5474,FeSe,0.0
4069,CClCuO,2.4835000000000003
3708,F4Sn,3.9143999999999997
3778,H2O4SeZn,4.4671
3067,CoO2,0.0
3245,HfTe5,0.0
3972,Bi2PbSe4,0.9501000000000001
5077,Br7Re3Te7,1.1539000000000001
3503,LiO5V2,0.7069999999999999
4802,Nb2Te3,0.0
4651,C2H6CaO7,3.5204000000000004
3793,ClNa2,0.0
3873,HO4PSn,3.645
4895,GeSn,0.21589999999999998
5431,SZn,0.0
5297,Ge2Nb2O7,1.4946
3520,Sb2Se3,0.8754999999999997
4859,Cl2Cu3O6Se2,0.0
5591,Al2O11Si4,4.2978000000000005
5160,CNNaS,4.105
