# c0 + a0 * cbrt(ave:boiling_point)
# Property Label: $bandgap$; Unit of the Property: energy
# RMSE: 1.28472931868033; Max AE: 5.6679587714939
# Coefficients
# Task   a0                      c0
# all , -4.133268583136611e-01,  5.865590038114292e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; temperature^0.333333;                             6|cbrt; cbrt(ave:boiling_point); $\left(\sqrt[3]{ ave:boiling_{point} }\right)$; nthroot(ave:boiling_point, 3); ave:boiling_point
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1143                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3577        ,  5.216900000000000e+00,  2.803455266238598e+00,  7.408506634117481e+00
3033        ,  0.000000000000000e+00,  1.245049426894359e+00,  1.117890240685387e+01
3404        ,  2.820000000000000e-02,  1.219234182899617e+00,  1.124135962074039e+01
5293        ,  2.833800000000000e+00,  2.764867249241962e+00,  7.501866202266697e+00
3707        ,  1.609999999999999e+00,  1.553307703263673e+00,  1.043310457114829e+01
4870        ,  2.521100000000000e+00,  2.161577633112739e+00,  8.961460719280653e+00
5075        ,  0.000000000000000e+00,  1.897247603408649e+00,  9.600978873950140e+00
5647        ,  3.195000000000000e+00,  1.626357537842833e+00,  1.025636833175365e+01
3574        ,  2.645500000000000e+00,  1.883954863160210e+00,  9.633139233193846e+00
3908        ,  1.994499999999999e+00,  2.297856046013047e+00,  8.631749716573708e+00
4303        ,  0.000000000000000e+00,  1.813283280014026e+00,  9.804121548339101e+00
4042        ,  1.349900000000000e+00,  1.250316582438486e+00,  1.116615908897316e+01
3447        ,  1.737800000000000e+00,  1.499170892472091e+00,  1.056408277811131e+01
3615        ,  3.120000000000012e-02,  1.280643152679451e+00,  1.109278720512149e+01
4735        ,  0.000000000000000e+00,  8.088912749800141e-02,  1.399546338270246e+01
4141        ,  3.190800000000000e+00,  2.651313528025236e+00,  7.776597250909449e+00
4420        ,  0.000000000000000e+00,  6.607629086819224e-01,  1.259252096674198e+01
4136        ,  0.000000000000000e+00,  1.775207295394827e+00,  9.896242309072012e+00
3925        ,  4.481500000000000e+00,  3.527271725344811e+00,  5.657310348303094e+00
4443        ,  2.707600000000000e+00,  1.416972010255908e+00,  1.076295415693133e+01
4617        ,  2.861800000000000e+00,  1.701304227181633e+00,  1.007504285572585e+01
3836        ,  2.259999999999995e-02,  8.122395346141846e-01,  1.222603951777379e+01
5832        ,  3.573500000000000e+00,  2.067490733213140e+00,  9.189093881769693e+00
4712        ,  1.100500000000000e+00,  8.743875227297288e-01,  1.207567912655919e+01
4913        ,  1.940700000000000e+00,  1.372142787576581e+00,  1.087141365279430e+01
4046        ,  0.000000000000000e+00,  1.987867061496694e+00,  9.381734815004238e+00
4558        ,  0.000000000000000e+00,  5.732711708991766e-01,  1.280419784189039e+01
4191        ,  1.821500000000000e+00,  2.063777466112978e+00,  9.198077733231253e+00
4636        ,  3.054200000000000e+00,  2.705781314760258e+00,  7.644818283151957e+00
5195        ,  2.369000000000003e-01,  1.091194263010243e+00,  1.155113847327315e+01
4525        ,  1.162800000000000e+00,  1.632703555960769e+00,  1.024101482159506e+01
3086        ,  1.589400000000000e+00,  1.287841813458602e+00,  1.107537081749906e+01
5751        ,  5.041900000000000e+00,  3.170270557556398e+00,  6.521036381605037e+00
5102        ,  3.760100000000000e+00,  2.426595210505545e+00,  8.320279116725096e+00
5500        ,  1.070000000000002e-01,  1.538078975444928e+00,  1.046994884466315e+01
