# c0 + a0 * (var:sound_velocity / ave:boiling_point) + a1 * cbrt(ave:boiling_point)
# Property Label: $bandgap$; Unit of the Property: energy
# RMSE: 1.22688552218215; Max AE: 5.81563729379149
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.806272825102222e-05, -3.928478305199087e-01,  5.456824304436886e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; length * temperature^-1 * time^-1;                14|6|div; (var:sound_velocity / ave:boiling_point); $\left(\frac{ var:sound_{velocity} }{ ave:boiling_{point} } \right)$; (var:sound_velocity ./ ave:boiling_point); var:sound_velocity,ave:boiling_point
# 1;  1; temperature^0.333333;                             6|cbrt; cbrt(ave:boiling_point); $\left(\sqrt[3]{ ave:boiling_{point} }\right)$; nthroot(ave:boiling_point, 3); ave:boiling_point
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1143                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  2.561167469016477e+00,  2.541892816539294e+02,  7.408506634117481e+00
3033        ,  0.000000000000000e+00,  1.189866889949268e+00,  2.146818576967505e+03,  1.117890240685387e+01
3404        ,  2.820000000000000e-02,  1.065547950409658e+00,  4.282848192601458e+02,  1.124135962074039e+01
5293        ,  2.833800000000000e+00,  2.707481109409394e+00,  3.405776361880249e+03,  7.501866202266697e+00
3707        ,  1.609999999999999e+00,  1.648139219047255e+00,  4.993520278961642e+03,  1.043310457114829e+01
4870        ,  2.521100000000000e+00,  1.943279749151749e+00,  1.196265966631963e+02,  8.961460719280653e+00
5075        ,  0.000000000000000e+00,  1.685851285978344e+00,  1.292917268719324e+01,  9.600978873950140e+00
5647        ,  3.195000000000000e+00,  3.886048399006689e+00,  4.234069284660313e+04,  1.025636833175365e+01
3574        ,  2.645500000000000e+00,  1.685716846959865e+00,  2.282082116795126e+02,  9.633139233193846e+00
3908        ,  1.994499999999999e+00,  2.531734383694871e+00,  8.023636557185059e+03,  8.631749716573708e+00
4303        ,  0.000000000000000e+00,  1.722638789510487e+00,  2.020958522389793e+03,  9.804121548339101e+00
4042        ,  1.349900000000000e+00,  1.095477225722814e+00,  4.349484667687597e+02,  1.116615908897316e+01
3447        ,  1.737800000000000e+00,  1.493243277267449e+00,  3.211974002290173e+03,  1.056408277811131e+01
3615        ,  3.120000000000012e-02,  1.212236202812639e+00,  1.949431067678747e+03,  1.109278720512149e+01
4735        ,  0.000000000000000e+00, -3.832562673704043e-02,  5.059176394293126e+01,  1.399546338270246e+01
4141        ,  3.190800000000000e+00,  2.726397683877226e+00,  5.590380405204074e+03,  7.776597250909449e+00
4420        ,  0.000000000000000e+00,  5.363652921728989e-01,  4.561537339850828e+02,  1.259252096674198e+01
4136        ,  0.000000000000000e+00,  1.624639157745382e+00,  9.564169028828061e+02,  9.896242309072012e+00
3925        ,  4.481500000000000e+00,  3.693274301677139e+00,  7.903729431468344e+03,  5.657310348303094e+00
4443        ,  2.707600000000000e+00,  1.379832829775300e+00,  2.604281962438754e+03,  1.076295415693133e+01
4617        ,  2.861800000000000e+00,  1.727458924120790e+00,  3.937006662219393e+03,  1.007504285572585e+01
3836        ,  2.259999999999995e-02,  6.601000738780198e-01,  1.076227390180878e+02,  1.222603951777379e+01
5832        ,  3.573500000000000e+00,  1.946886009343172e+00,  1.721884310551968e+03,  9.189093881769693e+00
4712        ,  1.100500000000000e+00,  7.154962733183665e-01,  4.437124955041929e+01,  1.207567912655919e+01
4913        ,  1.940700000000000e+00,  1.229913927766784e+00,  7.560941904910152e+02,  1.087141365279430e+01
4046        ,  0.000000000000000e+00,  2.062097019429057e+00,  5.009528355646337e+03,  9.381734815004238e+00
4558        ,  0.000000000000000e+00,  4.298508696765355e-01,  5.387120220162092e+01,  1.280419784189039e+01
4191        ,  1.821500000000000e+00,  2.164888358027730e+00,  5.537268842315584e+03,  9.198077733231253e+00
4636        ,  3.054200000000000e+00,  2.481674842219861e+00,  4.839733833495975e+02,  7.644818283151957e+00
5195        ,  2.369000000000003e-01,  9.990797782097132e-01,  1.379459171931420e+03,  1.155113847327315e+01
4525        ,  1.162800000000000e+00,  1.531521824442696e+00,  1.685383686563796e+03,  1.024101482159506e+01
3086        ,  1.589400000000000e+00,  1.199701570117276e+00,  1.615712288489522e+03,  1.107537081749906e+01
5751        ,  5.041900000000000e+00,  3.134275854881039e+00,  4.120139595660091e+03,  6.521036381605037e+00
5102        ,  3.760100000000000e+00,  2.230787796515285e+00,  7.331224984800109e+02,  8.320279116725096e+00
5500        ,  1.070000000000002e-01,  1.433260772740786e+00,  1.542007416481807e+03,  1.046994884466315e+01
3022        ,  0.000000000000000e+00,  1.192461557632836e-01,  6.691420236042966e+01,  1.359677451381699e+01
3170        ,  1.528999999999998e-01,  2.553044238051410e+00,  2.050864800005853e+03,  7.694732252809554e+00
4533        ,  1.544200000000000e+00,  1.616241610989930e+00,  6.587125044372547e+02,  9.873617816481934e+00
5493        ,  0.000000000000000e+00,  8.512751692750358e-01,  2.228492562912701e+02,  1.175643089299631e+01
5095        ,  9.836999999999998e-01,  1.163509802162031e+00,  1.052143486561904e+03,  1.108420229240775e+01
5258        ,  3.733000000000000e-01,  9.155556347044703e-01,  1.958791090671486e+01,  1.156276207830603e+01
3559        ,  4.266400000000000e+00,  3.300557780529745e+00,  5.940689214187892e+03,  6.366839659173210e+00
3426        ,  3.814500000000001e+00,  1.419421956793114e+00,  2.177907605173149e+03,  1.059916151138770e+01
4705        ,  2.014900000000000e+00,  1.974601061927573e+00,  5.369749193294659e+01,  8.871987560115970e+00
5717        ,  8.259000000000003e-01,  2.268860838499710e+00,  3.608537769487507e+02,  8.168342476219642e+00
