# c0 + a0 * (var:thermal_conductivity / ave:boiling_point) + a1 * (var:sound_velocity / ave:boiling_point) + a2 * cbrt(ave:boiling_point)
# Property Label: $bandgap$; Unit of the Property: energy
# RMSE: 1.19751222388765; Max AE: 6.03159213181497
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.895404136895635e-02,  5.661787713744031e-05, -4.133601815903408e-01,  5.829318713354136e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; length^-1 * power * temperature^-2;               15|6|div; (var:thermal_conductivity / ave:boiling_point); $\left(\frac{ var:thermal_{conductivity} }{ ave:boiling_{point} } \right)$; (var:thermal_conductivity ./ ave:boiling_point); var:thermal_conductivity,ave:boiling_point
# 1;  1; length * temperature^-1 * time^-1;                14|6|div; (var:sound_velocity / ave:boiling_point); $\left(\frac{ var:sound_{velocity} }{ ave:boiling_{point} } \right)$; (var:sound_velocity ./ ave:boiling_point); var:sound_velocity,ave:boiling_point
# 2;  1; temperature^0.333333;                             6|cbrt; cbrt(ave:boiling_point); $\left(\sqrt[3]{ ave:boiling_{point} }\right)$; nthroot(ave:boiling_point, 3); ave:boiling_point
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1143                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  2.779703738252228e+00,  5.612290897462575e-02,  2.541892816539294e+02,  7.408506634117481e+00
3033        ,  0.000000000000000e+00,  1.191258746148393e+00,  4.790182723982491e+00,  2.146818576967505e+03,  1.117890240685387e+01
3404        ,  2.820000000000000e-02,  1.206551737363391e+00,  9.846608707894829e-03,  4.282848192601458e+02,  1.124135962074039e+01
5293        ,  2.833800000000000e+00,  2.622908569673216e+00,  1.030133209590016e+01,  3.405776361880249e+03,  7.501866202266697e+00
3707        ,  1.609999999999999e+00,  1.720609450116108e+00,  2.721615949585911e+00,  4.993520278961642e+03,  1.043310457114829e+01
4870        ,  2.521100000000000e+00,  2.131312276721478e+00,  1.617771910932018e-02,  1.196265966631963e+02,  8.961460719280653e+00
5075        ,  0.000000000000000e+00,  5.172898827222603e-01,  4.642179186780514e+01,  1.292917268719324e+01,  9.600978873950140e+00
5647        ,  3.195000000000000e+00,  3.882779816069450e+00,  3.598971397076803e+00,  4.234069284660313e+04,  1.025636833175365e+01
3574        ,  2.645500000000000e+00,  1.811906861326029e+00,  1.670797288165591e+00,  2.282082116795126e+02,  9.633139233193846e+00
3908        ,  1.994499999999999e+00,  2.660408083408005e+00,  1.905442758335631e+00,  8.023636557185059e+03,  8.631749716573708e+00
4303        ,  0.000000000000000e+00,  1.021219577650020e+00,  3.004375252437426e+01,  2.020958522389793e+03,  9.804121548339101e+00
4042        ,  1.349900000000000e+00,  1.229083325037896e+00,  3.182871215406071e-01,  4.349484667687597e+02,  1.116615908897316e+01
3447        ,  1.737800000000000e+00,  1.540805955164328e+00,  3.577971406634611e+00,  3.211974002290173e+03,  1.056408277811131e+01
3615        ,  3.120000000000012e-02,  1.352141674288665e+00,  7.712755061481356e-02,  1.949431067678747e+03,  1.109278720512149e+01
4735        ,  0.000000000000000e+00,  4.017163171061777e-02,  2.363813229571985e-01,  5.059176394293126e+01,  1.399546338270246e+01
