# c0 + a0 * (sum:hhi_p / ave:atomic_weight) + a1 * (var:thermal_conductivity / ave:boiling_point) + a2 * (var:sound_velocity / ave:atomic_radius_rahm) + a3 * sqrt(ave:boiling_point)
# Property Label: $bandgap$; Unit of the Property: energy
# RMSE: 1.17745394436904; Max AE: 6.00713583997276
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  3.209844715367811e-04, -2.931356075881642e-02,  5.565612620549401e-06, -8.322616418822797e-02,  4.239649765792811e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; mass^-1;                                          8|5|div; (sum:hhi_p / ave:atomic_weight); $\left(\frac{ sum:hhi_{p} }{ ave:atomic_{weight} } \right)$; (sum:hhi_p ./ ave:atomic_weight); sum:hhi_p,ave:atomic_weight
# 1;  1; length^-1 * power * temperature^-2;               15|6|div; (var:thermal_conductivity / ave:boiling_point); $\left(\frac{ var:thermal_{conductivity} }{ ave:boiling_{point} } \right)$; (var:thermal_conductivity ./ ave:boiling_point); var:thermal_conductivity,ave:boiling_point
# 2;  1; time^-1;                                          14|3|div; (var:sound_velocity / ave:atomic_radius_rahm); $\left(\frac{ var:sound_{velocity} }{ ave:atomic_{radius, rahm} } \right)$; (var:sound_velocity ./ ave:atomic_radius_rahm); var:sound_velocity,ave:atomic_radius_rahm
# 3;  1; temperature^0.5;                                  6|sqrt; sqrt(ave:boiling_point); $\left(\sqrt{ ave:boiling_{point} }\right)$; sqrt(ave:boiling_point); ave:boiling_point
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1143                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
3577        ,  5.216900000000000e+00,  2.903845473332666e+00,  1.062297478384785e+03,  5.612290897462575e-02,  5.582343006858480e+02,  2.016489714635502e+01
3033        ,  0.000000000000000e+00,  1.131195179145235e+00,  2.083593782556153e+02,  4.790182723982491e+00,  1.361685841493132e+04,  3.737651000294169e+01
3404        ,  2.820000000000000e-02,  1.183722123759155e+00,  2.083684955169518e+02,  9.846608707894829e-03,  2.567088607594937e+03,  3.769018439859375e+01
5293        ,  2.833800000000000e+00,  2.518547660890324e+00,  7.703965438184462e+02,  1.030133209590016e+01,  7.843007575757575e+03,  2.054726259140132e+01
3707        ,  1.609999999999999e+00,  1.750167268155533e+00,  7.581816584761473e+02,  2.721615949585911e+00,  2.723747055523535e+04,  3.369925815207213e+01
4870        ,  2.521100000000000e+00,  2.182580256398635e+00,  5.420194324664291e+02,  1.617771910932018e-02,  3.796792544810839e+02,  2.682675902899938e+01
5075        ,  0.000000000000000e+00,  4.587622729562547e-01,  1.727624783748064e+02,  4.642179186780514e+01,  6.229984041370562e+01,  2.974906160985026e+01
5647        ,  3.195000000000000e+00,  3.681387243685683e+00,  2.572830283492220e+03,  3.598971397076803e+00,  2.614436447592470e+05,  3.284659938120065e+01
3574        ,  2.645500000000000e+00,  1.769180234942612e+00,  1.912586382144382e+02,  1.670797288165591e+00,  9.823539325842696e+02,  2.989866217742860e+01
3908        ,  1.994499999999999e+00,  2.410423545859281e+00,  5.797264673615156e+02,  1.905442758335631e+00,  2.715902438719598e+04,  2.535994216607496e+01
4303        ,  0.000000000000000e+00,  9.772190840192402e-01,  3.742660053588735e+02,  3.004375252437426e+01,  9.526218391799161e+03,  3.069820841677899e+01
4042        ,  1.349900000000000e+00,  1.533903917874444e+00,  1.226801153120824e+03,  3.182871215406071e-01,  2.728575781597013e+03,  3.731261755186077e+01
3447        ,  1.737800000000000e+00,  1.470679600541952e+00,  2.943769697809615e+02,  3.577971406634611e+00,  1.779909165687427e+04,  3.433584133234542e+01
3615        ,  3.120000000000012e-02,  1.302952560950881e+00,  2.320179838304654e+02,  7.712755061481356e-02,  1.184380605198472e+04,  3.694545529109997e+01
4735        ,  0.000000000000000e+00, -6.804175343980591e-02,  1.671451435233389e+02,  2.363813229571985e-01,  5.607367475292003e+02,  5.235774377619163e+01
4141        ,  3.190800000000000e+00,  2.717465699651142e+00,  6.588850496684437e+02,  1.691499034250019e-01,  1.368144996720611e+04,  2.168624756229932e+01
4420        ,  0.000000000000000e+00,  6.996199281403913e-01,  4.933684317668802e+02,  6.280887334636742e-02,  4.037478167026405e+03,  4.468574716842049e+01
4136        ,  0.000000000000000e+00,  1.487278814278099e+00,  6.159292203370527e+02,  1.308684548245388e+01,  4.408341763942932e+03,  3.113188952592736e+01
3925        ,  4.481500000000000e+00,  4.144509882377208e+00,  3.328384163164425e+03,  3.037597216045016e+00,  8.162988663193622e+03,  1.345596986471061e+01
4443        ,  2.707600000000000e+00,  1.490204146874047e+00,  3.155324610279847e+02,  8.605742134870434e-02,  1.626211046188091e+04,  3.530996082316339e+01
4617        ,  2.861800000000000e+00,  1.815615667351586e+00,  6.035592442232045e+02,  2.394371851470403e+00,  2.047274604519774e+04,  3.197940309358857e+01
3836        ,  2.259999999999995e-02,  7.798938148204521e-01,  2.945596963347339e+02,  3.039975680194559e-02,  7.984325665313486e+02,  4.274926899959811e+01
5832        ,  3.573500000000000e+00,  2.373774998527083e+00,  1.446632636355018e+03,  1.805980563936710e+00,  7.369265957044147e+03,  2.785537650077629e+01
4712        ,  1.100500000000000e+00,  7.947099058281454e-01,  1.456652528883844e+02,  3.858511745887520e-02,  3.343794579172611e+02,  4.196307901000593e+01
4913        ,  1.940700000000000e+00,  1.460368246663247e+00,  6.650639872169520e+02,  1.121818706516889e+00,  4.199482228626322e+03,  3.584503684844900e+01
4046        ,  0.000000000000000e+00,  2.361690765237197e+00,  1.335459435958441e+03,  1.142406458357174e+00,  2.128167917113255e+04,  2.873589509075133e+01
4558        ,  0.000000000000000e+00,  5.962399252278177e-01,  6.037809638282550e+02,  9.150571795480894e-01,  5.029827558230298e+02,  4.581720200972556e+01
4191        ,  1.821500000000000e+00,  2.274835062825053e+00,  9.683131375715656e+02,  2.223165551363405e+00,  1.998656128520402e+04,  2.789623630527961e+01
4636        ,  3.054200000000000e+00,  2.617709726213141e+00,  4.465381060968795e+02,  4.361057270077441e-01,  1.202633481646274e+03,  2.113736028930765e+01
5195        ,  2.369000000000003e-01,  1.250968936063188e+00,  7.335692361584510e+02,  3.751421408396509e-01,  9.740555980462685e+03,  3.925881487582814e+01
4525        ,  1.162800000000000e+00,  1.092939324264442e+00,  3.982430962749065e+02,  2.022704856940729e+01,  8.255495626410471e+03,  3.277287126434135e+01
3086        ,  1.589400000000000e+00,  1.350488970426814e+00,  5.525229674406662e+02,  1.836299878258268e+00,  9.865266922457165e+03,  3.685847935007629e+01
5751        ,  5.041900000000000e+00,  3.337733468796658e+00,  2.698903963094455e+03,  1.423263009025095e+01,  6.269897798102979e+03,  1.665232716469383e+01
5102        ,  3.760100000000000e+00,  2.473073286117483e+00,  7.566973612256784e+02,  8.141923477235746e-01,  2.121959829289803e+03,  2.399975694321368e+01
5500        ,  1.070000000000002e-01,  1.027519005910332e+00,  5.586272094422321e+02,  2.125659494400098e+01,  9.198458939708940e+03,  3.387792791774609e+01
3022        ,  0.000000000000000e+00,  1.827359710982812e-01,  3.697145789087399e+02,  2.299429783848296e-01,  6.865306122448981e+02,  5.013648039767716e+01
3170        ,  1.528999999999998e-01,  2.375841404936737e+00,  6.773951410629611e+01,  4.587663547018635e+00,  4.557888617886179e+03,  2.134471050791429e+01
4533        ,  1.544200000000000e+00,  1.754866943817939e+00,  3.362755553538608e+02,  9.043688687990968e-01,  2.856089887623355e+03,  3.102519137733077e+01
5493        ,  0.000000000000000e+00,  7.836886403294621e-01,  2.470089266883681e+02,  6.462547588502558e+00,  1.624841925921005e+03,  4.031004128714616e+01
5095        ,  9.836999999999998e-01,  2.346032350816058e-01,  7.535679348470747e+01,  3.394263953576333e+01,  6.648765661252900e+03,  3.690257443593875e+01
5258        ,  3.733000000000000e-01,  5.325885730802905e-01,  3.496026877711225e+02,  1.868559174535808e+01,  1.359424759848323e+02,  3.931808744076955e+01
3559        ,  4.266400000000000e+00,  3.576943302028183e+00,  3.030912183008369e+03,  1.182742504941612e+01,  8.654192621935039e+03,  1.606519011195738e+01
3426        ,  3.814500000000001e+00,  1.724622292581975e+00,  8.903258227842471e+02,  7.856094820062912e-02,  1.318458929336580e+04,  3.450700486300404e+01
4705        ,  2.014900000000000e+00,  1.942283413037801e+00,  1.071465696775083e+02,  4.548111885759746e+00,  1.611694063030417e+02,  2.642599730063812e+01
5717        ,  8.259000000000003e-01,  2.384244100285573e+00,  4.813740449752480e+02,  2.481930564474237e+00,  1.038737926737230e+03,  2.334537784373315e+01
5108        ,  2.033300000000000e+00,  1.892086359045710e+00,  7.165148201618907e+02,  7.545409863085595e-01,  1.197528126964919e+04,  3.150553743215451e+01
5105        ,  1.147400000000000e+00,  7.744362667574679e-01,  9.712617803430781e+01,  6.311716888977749e-01,  7.653601694915254e+02,  4.183957456762676e+01
4721        ,  2.367300000000000e+00,  1.854024189613259e+00,  1.395115236518537e+02,  3.149479159305851e-01,  3.800264812562297e+03,  2.934564135722146e+01
