# c0 + a0 * ((|ave:atomic_volume - ave:Polarizability|) / sqrt(ave:atomic_number))
# Property Label: $bandgap$; Unit of the Property: energy
# RMSE: 1.22566063009274; Max AE: 4.20378333474271
# Coefficients
# Task   a0                      c0
# all ,  1.020330482802878e+00, -6.848927418726274e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; length^3;                                         4|0|abd|1|sqrt|div; ((|ave:atomic_volume - ave:Polarizability|) / sqrt(ave:atomic_number)); $\left(\frac{ \left(\left|ave:atomic_{volume} - ave:Polarizability\right|\right) }{ \left(\sqrt{ ave:atomic_{number} }\right) } \right)$; (abs(ave:atomic_volume - ave:Polarizability) ./ sqrt(ave:atomic_number)); ave:atomic_volume,ave:Polarizability,ave:atomic_number
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1143                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3577        ,  5.216900000000000e+00,  2.800342083267171e+00,  3.415790161993156e+00
3033        ,  0.000000000000000e+00,  1.107691735821273e+00,  1.756866532860625e+00
3404        ,  2.820000000000000e-02,  1.091357292381218e+00,  1.740857559576613e+00
5293        ,  2.833800000000000e+00,  2.769072122730148e+00,  3.385143267615245e+00
3707        ,  1.609999999999999e+00,  2.160629377662017e+00,  2.788823981537737e+00
4870        ,  2.521100000000000e+00,  2.114980986685149e+00,  2.744085152554141e+00
5075        ,  0.000000000000000e+00,  1.989811899154250e+00,  2.621410107908748e+00
5016        ,  3.666500000000000e+00,  1.837897327415942e+00,  2.472522493259626e+00
5647        ,  3.195000000000000e+00,  3.599480229317497e+00,  4.199005168816308e+00
4329        ,  2.076200000000000e+00,  1.236848632697993e+00,  1.883449928195363e+00
3574        ,  2.645500000000000e+00,  1.726839356015861e+00,  2.363677395252751e+00
3908        ,  1.994499999999999e+00,  2.369805494188237e+00,  2.993832182362638e+00
4303        ,  0.000000000000000e+00,  1.774790553662463e+00,  2.410673146585082e+00
4983        ,  0.000000000000000e+00,  2.303204004837162e+00,  2.928557753661734e+00
4042        ,  1.349900000000000e+00,  1.379365944785777e+00,  2.023127527257468e+00
3447        ,  1.737800000000000e+00,  1.880002647613740e+00,  2.513788848531236e+00
3615        ,  3.120000000000012e-02,  1.432611558162003e+00,  2.075312201021167e+00
4735        ,  0.000000000000000e+00,  5.460515448696158e-01,  1.206417241755635e+00
4750        ,  9.359000000000002e-01,  7.118644910464126e-01,  1.368926300312137e+00
4136        ,  0.000000000000000e+00,  9.224941266977983e-01,  1.575359058326755e+00
3925        ,  4.481500000000000e+00,  3.744612463752576e+00,  4.341245586878108e+00
4443        ,  2.707600000000000e+00,  1.455329606737190e+00,  2.097577583618361e+00
4617        ,  2.861800000000000e+00,  1.775775067746737e+00,  2.411638043842263e+00
3836        ,  2.259999999999995e-02,  1.027425970294628e+00,  1.678200094016073e+00
5832        ,  3.573500000000000e+00,  2.343948681786989e+00,  2.968490577032747e+00
4712        ,  1.100500000000000e+00,  9.508668235140176e-01,  1.603166418093445e+00
4913        ,  1.940700000000000e+00,  1.322700129847793e+00,  1.967590800782021e+00
4046        ,  0.000000000000000e+00,  1.825031809013687e+00,  2.459913325329139e+00
4558        ,  0.000000000000000e+00,  7.306800252165753e-01,  1.387366927625824e+00
4191        ,  1.821500000000000e+00, -3.970931734482415e-01,  2.820650497805299e-01
