# c0 + a0 * ((var:thermal_conductivity * ave:bulk_modulus) / (ave:boiling_point * ave:Polarizability)) + a1 * ((|ave:atomic_volume - ave:Polarizability|) / sqrt(ave:atomic_number))
# Property Label: $bandgap$; Unit of the Property: energy
# RMSE: 1.18813744613527; Max AE: 4.41885804347928
# Coefficients
# Task   a0                      a1                      c0
# all , -1.319062598081636e-03,  1.084886105825630e+00, -7.037029355457204e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; force * length^-6 * power * temperature^-2;       15|7|mult|6|0|mult|div; ((var:thermal_conductivity * ave:bulk_modulus) / (ave:boiling_point * ave:Polarizability)); $\left(\frac{ \left(var:thermal_{conductivity} ave:bulk_{modulus}\right) }{ \left(ave:boiling_{point} ave:Polarizability\right) } \right)$; ((var:thermal_conductivity .* ave:bulk_modulus) ./ (ave:boiling_point .* ave:Polarizability)); var:thermal_conductivity,ave:bulk_modulus,ave:boiling_point,ave:Polarizability
# 1;  2; length^3;                                         4|0|abd|1|sqrt|div; ((|ave:atomic_volume - ave:Polarizability|) / sqrt(ave:atomic_number)); $\left(\frac{ \left(\left|ave:atomic_{volume} - ave:Polarizability\right|\right) }{ \left(\sqrt{ ave:atomic_{number} }\right) } \right)$; (abs(ave:atomic_volume - ave:Polarizability) ./ sqrt(ave:atomic_number)); ave:atomic_volume,ave:Polarizability,ave:atomic_number
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1143                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  3.001240998174609e+00,  6.060011428469284e-01,  3.415790161993156e+00
3033        ,  0.000000000000000e+00,  1.156178301106368e+00,  3.496335557199797e+01,  1.756866532860625e+00
3404        ,  2.820000000000000e-02,  1.184883545663389e+00,  3.464384263386453e-02,  1.740857559576613e+00
5293        ,  2.833800000000000e+00,  2.894842382981413e+00,  5.606222088729224e+01,  3.385143267615245e+00
3707        ,  1.609999999999999e+00,  2.270802492707332e+00,  3.870245505012198e+01,  2.788823981537737e+00
4870        ,  2.521100000000000e+00,  2.273269599005988e+00,  3.587445868954989e-02,  2.744085152554141e+00
5075        ,  0.000000000000000e+00,  6.385021943664634e-01,  1.138479914458117e+03,  2.621410107908748e+00
5016        ,  3.666500000000000e+00,  1.958112066655448e+00,  1.560979524966431e+01,  2.472522493259626e+00
5647        ,  3.195000000000000e+00,  3.763317358981520e+00,  6.703402214585705e+01,  4.199005168816308e+00
4329        ,  2.076200000000000e+00,  1.337883445340166e+00,  1.320844995587650e+00,  1.883449928195363e+00
3574        ,  2.645500000000000e+00,  1.834469632219081e+00,  1.982331773871282e+01,  2.363677395252751e+00
3908        ,  1.994499999999999e+00,  2.479455982296254e+00,  4.913187597853815e+01,  2.993832182362638e+00
4303        ,  0.000000000000000e+00,  9.231753792572838e-01,  7.493408493665215e+02,  2.410673146585082e+00
4983        ,  0.000000000000000e+00,  2.459835290403712e+00,  1.032050421708521e+01,  2.928557753661734e+00
4042        ,  1.349900000000000e+00,  1.488399364942252e+00,  2.092883348396286e+00,  2.023127527257468e+00
3447        ,  1.737800000000000e+00,  1.903986156307915e+00,  9.058364862371509e+01,  2.513788848531236e+00
3615        ,  3.120000000000012e-02,  1.546928336226474e+00,  6.414406467946275e-01,  2.075312201021167e+00
4735        ,  0.000000000000000e+00,  6.008528831555928e-01,  3.236756704393174e+00,  1.206417241755635e+00
4750        ,  9.359000000000002e-01,  7.808853768960937e-01,  4.099962101064540e-01,  1.368926300312137e+00
4136        ,  0.000000000000000e+00,  8.906665060872911e-01,  8.696760305316003e+01,  1.575359058326755e+00
3925        ,  4.481500000000000e+00,  3.851048705182354e+00,  1.175117683408266e+02,  4.341245586878108e+00
4443        ,  2.707600000000000e+00,  1.570092946377349e+00,  1.392575635501585e+00,  2.097577583618361e+00
4617        ,  2.861800000000000e+00,  1.848116809480763e+00,  4.892327408292997e+01,  2.411638043842263e+00
3836        ,  2.259999999999995e-02,  1.116513598898629e+00,  3.331383587050682e-01,  1.678200094016073e+00
5832        ,  3.573500000000000e+00,  2.480871178001666e+00,  2.721634955153635e+01,  2.968490577032747e+00
4712        ,  1.100500000000000e+00,  1.035261929489627e+00,  2.184182016024420e-01,  1.603166418093445e+00
4913        ,  1.940700000000000e+00,  1.418884540963921e+00,  9.115901873486592e+00,  1.967590800782021e+00
4046        ,  0.000000000000000e+00,  1.929370520691428e+00,  2.702853678029262e+01,  2.459913325329139e+00
4558        ,  0.000000000000000e+00,  7.876173157750676e-01,  1.047323467631677e+01,  1.387366927625824e+00
4191        ,  1.821500000000000e+00, -4.001170773940214e-01,  1.836603734906709e+00,  2.820650497805299e-01
4636        ,  3.054200000000000e+00,  2.411593580040295e+00,  1.371127209490827e+01,  2.888213357100682e+00
5195        ,  2.369000000000003e-01,  1.679734367258550e+00,  3.015552257012873e+00,  2.200613494982650e+00
3086        ,  1.589400000000000e+00,  8.153243942227341e-01,  1.106325949443591e+01,  1.413623470099939e+00
5751        ,  5.041900000000000e+00,  4.037217390672767e+00,  1.686910520511957e+02,  4.575074154750045e+00
5102        ,  3.760100000000000e+00,  2.567021436738447e+00,  2.597096022867152e+00,  3.017966666666667e+00
5500        ,  1.070000000000002e-01,  1.157042822691022e+00,  7.042196262035700e+02,  2.571381007662452e+00
3022        ,  0.000000000000000e+00,  5.984984119391138e-01,  2.583628970616064e+00,  1.203452886728314e+00
3170        ,  1.528999999999998e-01,  1.825965241170147e+00,  5.287925045391176e+01,  2.396029596328897e+00
4533        ,  1.544200000000000e+00,  1.161865151421333e+00,  3.454724513277718e+00,  1.723798539604279e+00
5493        ,  0.000000000000000e+00,  1.319787908565699e+00,  6.785674967927686e+01,  1.947668177603480e+00
5095        ,  9.836999999999998e-01,  7.127691977813116e-01,  3.829911670832223e+02,  1.771302486872301e+00
5258        ,  3.733000000000000e-01,  9.773202215209157e-01,  1.983083769104131e+02,  1.790606690881214e+00
3559        ,  4.266400000000000e+00,  4.005663943080965e+00,  2.368665462222950e+02,  4.628880998216441e+00
3426        ,  3.814500000000001e+00,  1.797539719194198e+00,  1.489791993828832e+00,  2.307346153846154e+00
4705        ,  2.014900000000000e+00,  1.636442618039162e+00,  2.361147447075273e+01,  2.185750701121009e+00
5717        ,  8.259000000000003e-01,  2.385906451223150e+00,  1.042439845015029e+01,  2.860539741644323e+00
5108        ,  2.033300000000000e+00,  2.026368297881307e+00,  9.176106064985142e+00,  2.527615642792755e+00
5105        ,  1.147400000000000e+00,  1.194997437095095e+00,  4.163849052131590e+00,  1.755200605818795e+00
4721        ,  2.367300000000000e+00,  1.907563190807164e+00,  1.263918745339776e+00,  2.408486292031879e+00
4062        ,  5.457999999999998e-01,  2.699371880560183e+00,  8.783643544939655e+01,  3.243600000000000e+00
3907        ,  1.832000000000000e+00,  1.346766075791020e+00,  6.501949343683836e-01,  1.890822131596024e+00
3583        ,  1.527200000000000e+00,  4.956192656196837e-01,  4.276185631133360e+01,  1.157474282053396e+00
5228        ,  8.589000000000000e-01,  1.003555205088243e+00,  2.510509335620491e+02,  1.878916161211089e+00
3315        ,  3.259000000000000e+00,  2.005387919927126e+00,  1.592106872203161e+02,  2.690696933553702e+00
3746        ,  0.000000000000000e+00,  6.704186127993261e-01,  5.030051350332172e+01,  1.327762487358374e+00
3126        ,  0.000000000000000e+00,  9.899480098057423e-01,  8.442962193112420e+00,  1.571397893145678e+00
5676        ,  4.641999999999999e-01,  1.823664598189382e+00,  3.056301458741444e+01,  2.366775691359697e+00
3598        ,  9.411999999999998e-01,  1.341399859727186e+00,  4.261072326405373e+00,  1.890266089126220e+00
5120        ,  8.623000000000001e-01,  7.937605352550635e-01,  2.232918292561751e+02,  1.651785714285714e+00
4244        ,  6.532000000000000e-01,  7.968789590497228e-01,  9.854167565003666e+00,  1.395151205585576e+00
4710        ,  0.000000000000000e+00,  1.876402752830673e+00,  1.257596033126300e+00,  2.379756291838937e+00
3178        ,  0.000000000000000e+00, -5.580399864076194e-01,  1.999822274801846e+00,  1.366971510716707e-01
5371        ,  4.331500000000000e+00,  1.684780223120220e+00,  3.551667593549796e+01,  2.244781147461818e+00
4218        ,  2.750400000000000e+00,  1.445672296219569e+00,  4.714401927059022e+00,  1.986930988833272e+00
5277        ,  4.523999999999999e-01,  1.936141496844201e+00,  3.377406360125160e+01,  2.474356084068991e+00
3755        ,  1.748400000000000e+00,  7.602366044857322e-01,  2.783799189666142e+02,  1.687863886692289e+00
3400        ,  6.249000000000002e-01,  2.315648975175460e+00,  4.397414845033678e+02,  3.317766202762106e+00
5825        ,  2.044100000000000e+00,  1.744238039767812e+00,  6.863747111643369e+01,  2.339856767138033e+00
3969        ,  2.773000000000000e+00,  1.266700637780305e+00,  4.241189883996885e+00,  1.821387478061188e+00
3495        ,  1.237600000000000e+00,  1.348075237471870e-01,  3.014909358827388e+02,  1.139470650272247e+00
3278        ,  1.245800000000000e+00,  9.876862243144094e-01,  1.237195110059973e+01,  1.574090154397000e+00
4278        ,  7.349000000000001e-01,  1.877125773637722e+00,  8.656250481037665e+00,  2.389418420526115e+00
3966        ,  1.750200000000000e+00,  1.194335443012075e+00,  5.300263569138364e+00,  1.755972122568606e+00
4647        ,  3.913400000000000e+00,  3.658218166563887e+00,  1.636045493734341e+02,  4.219545000606605e+00
4958        ,  3.220400000000000e+00,  2.353190940076885e+00,  2.534905066515328e+00,  2.820791562960062e+00
4890        ,  2.595300000000000e+00,  2.894842382981413e+00,  5.606222088729224e+01,  3.385143267615245e+00
3933        ,  3.733600000000000e+00,  1.525149004539962e+00,  3.914024959230288e+00,  2.059215960109666e+00
3444        ,  2.131800000000000e+00,  1.874894872143393e+00,  3.982160186416448e+00,  2.381679065088772e+00
4837        ,  2.507100000000000e+00,  2.310281639444868e+00,  1.835514007227702e+00,  2.780389311530730e+00
4994        ,  3.688700000000000e+00,  2.091031311757867e+00,  2.737612881050034e+02,  2.908915974035689e+00
4339        ,  0.000000000000000e+00,  1.245556427771638e+00,  1.243020517812626e+01,  1.811854324153579e+00
4325        ,  2.300000000000000e-01,  2.459835290403712e+00,  1.032050421708521e+01,  2.928557753661734e+00
5893        ,  4.026400000000000e+00,  1.840249059491203e+00,  6.235592603985537e-02,  2.344978180424429e+00
5161        ,  4.347900000000000e+00,  2.765521672509507e+00,  1.512006084308199e+00,  3.199616088812761e+00
3743        ,  0.000000000000000e+00, -3.758410713046330e-02,  1.806969826741372e+01,  6.359689628740779e-01
4950        ,  1.466200000000001e+00,  4.876193959127522e-01,  1.510840067626619e+03,  2.935068427228676e+00
4189        ,  1.018400000000000e+00,  1.081976429192452e+00,  7.074216057598998e+02,  2.506081266384929e+00
4450        ,  5.732999999999999e-01,  1.315943901672204e+00,  4.708024338414202e-02,  1.861678316424767e+00
4947        ,  8.538999999999999e-01,  1.131276062415528e+00,  6.914793311798977e+01,  1.775476190476191e+00
4749        ,  2.372800000000001e+00,  2.609458779315224e+00,  1.601114833748500e+01,  3.073393053778462e+00
5135        ,  1.470899999999999e+00,  1.872040457098441e+00,  2.534074595529647e+01,  2.405016903461610e+00
3721        ,  1.803700000000000e+00,  1.603753222112062e+00,  6.202224640847373e-02,  2.126986378102027e+00
4840        ,  3.246200000000000e+00,  2.786866052778845e+00,  1.237902339651340e-01,  3.217602526797638e+00
4848        ,  7.781000000000002e-01,  1.005396272307878e+00,  2.965335650291184e+02,  1.935913393379638e+00
5490        ,  2.288300000000000e+00,  1.811219505530026e-01,  1.232427065347645e+01,  8.305769294377769e-01
5388        ,  1.719900000000000e+00,  5.268011334529444e-01,  2.743171840145899e+02,  1.467753709714594e+00
3448        ,  1.538000000000000e+00,  8.230446026018664e-01,  6.278794894518381e+00,  1.414922408362645e+00
4846        ,  0.000000000000000e+00,  2.761469989919235e-01,  5.620281103052780e+00,  9.100157443532282e-01
5732        ,  5.205000000000001e-01,  6.155235152197847e-01,  1.204196463125628e+01,  1.230645824247107e+00
4953        ,  2.663900000000000e+00,  1.864691223787428e+00,  7.363989604672469e+00,  2.376385602829080e+00
3082        ,  3.936999999999999e-01,  1.665259770178837e+00,  4.287061919353162e+01,  2.235729375678067e+00
4685        ,  7.060000000000000e-01,  1.381536715942699e+00,  5.592731155021982e-01,  1.922761621276089e+00
5625        ,  8.441999999999998e-01,  3.056395295130419e+00,  3.961628611117318e-01,  3.466373819422306e+00
5067        ,  2.608600000000000e+00,  2.637896874009944e+00,  1.430668342203183e+02,  3.254087134718128e+00
3965        ,  4.246200000000000e+00,  2.028207163484046e+00,  1.133752658678583e+02,  2.656001543674250e+00
3422        ,  9.169000000000000e-01,  1.690624712042587e+00,  9.580559641196711e+00,  2.218633820227543e+00
3134        ,  0.000000000000000e+00, -6.404584766162329e-01,  1.189678186935957e+01,  7.276068751089963e-02
5724        ,  0.000000000000000e+00,  2.549606241290312e+00,  6.289657267251409e+00,  3.006403723835913e+00
5875        ,  4.952999999999994e-01,  2.783018458560323e+00,  2.734574447909827e+01,  3.247153893803600e+00
4070        ,  7.039999999999997e-01,  1.740708239332340e+00,  4.056605207886997e-01,  2.253643265748966e+00
4121        ,  1.252800000000000e+00, -6.294074901070059e-01,  1.590069236092160e+02,  2.618113824874693e-01
3358        ,  0.000000000000000e+00, -8.363949471918201e-02,  5.743265130876024e+00,  5.785300076028641e-01
3180        ,  1.234700000000000e+00,  1.357850242922303e+00,  6.066604040964611e+01,  1.974009503713106e+00
5476        ,  0.000000000000000e+00,  4.217803540218455e-01,  2.471829920615369e+02,  1.337959000012439e+00
3830        ,  6.069000000000000e-01,  1.291706998010513e+00,  2.215110754205428e+00,  1.841973818792642e+00
3277        ,  1.579500000000000e+00,  1.357850242922303e+00,  6.066604040964611e+01,  1.974009503713106e+00
4178        ,  2.596900000000000e+00,  2.300809867616843e+00,  6.543951511339928e+01,  2.848991800510739e+00
4700        ,  7.430000000000003e-02,  1.741598609768170e+00,  2.229391388389191e+01,  2.281076879862573e+00
5159        ,  2.832700000000000e+00,  1.687825553798805e+00,  5.920423567449377e+00,  2.211603490682722e+00
4672        ,  6.372000000000000e-01,  2.281559488107860e-01,  2.471657908410793e+02,  1.159463678100066e+00
5042        ,  3.263400000000000e+00,  1.858388101957387e+00,  8.902176196006950e+00,  2.372445873667107e+00
5909        ,  1.706400000000000e+00,  1.765157472212488e+00,  3.936198090744288e+00,  2.280472103157339e+00
3034        ,  1.700700000000000e+00,  1.148313216284630e+00,  1.204834281368557e+00,  1.708571428571428e+00
3339        ,  0.000000000000000e+00,  1.357850242922303e+00,  6.066604040964611e+01,  1.974009503713106e+00
4575        ,  2.957400000000000e+00,  3.520804488385914e+00,  7.159239816053784e+01,  3.981009854822804e+00
5517        ,  1.991000000000000e+00,  5.504773008886089e-01,  5.404196548570698e+02,  1.813118980750068e+00
5696        ,  0.000000000000000e+00,  2.845487031606468e+00,  2.935984615412011e+01,  3.307183512474805e+00
4993        ,  7.869999999999999e-01,  4.097685320300350e-01,  1.625399944315102e+03,  3.002596976358865e+00
4049        ,  4.949900000000000e+00,  4.242679737889286e+00,  2.257347088146792e+02,  4.833816984807225e+00
3296        ,  6.007300000000000e+00,  3.121769748089001e+00,  5.997123920713206e+01,  3.599067663662222e+00
5474        ,  0.000000000000000e+00,  4.129473202749986e-01,  1.162367342141908e+01,  1.043411472047342e+00
4069        ,  2.483500000000000e+00,  1.302246459620450e+00,  2.974893835104509e+02,  2.210698894015193e+00
3708        ,  3.914400000000000e+00,  3.235185961647716e+00,  3.586866543363313e+01,  3.674304510680805e+00
3067        ,  0.000000000000000e+00,  1.644694469101018e+00,  7.316123211684172e+01,  2.253602139831067e+00
3245        ,  0.000000000000000e+00,  1.055785381581105e+00,  2.815509379044261e-01,  1.622160788112559e+00
3972        ,  9.501000000000001e-01,  1.179901356717890e+00,  3.792622669385623e-01,  1.736684203823344e+00
5077        ,  1.153900000000000e+00,  1.529669328276855e+00,  3.293268565445410e+00,  2.062627845629680e+00
3503        ,  7.069999999999999e-01,  1.180564647944847e+00,  9.724001459416572e+00,  1.748657430427345e+00
4802        ,  0.000000000000000e+00,  3.999840357044290e-01,  2.522686307814073e+00,  1.020397022748309e+00
4651        ,  3.520400000000000e+00,  4.306331355192066e+00,  1.283382543841618e+02,  4.774068406063147e+00
3793        ,  0.000000000000000e+00,  8.691353428604983e-01,  1.392269199315294e+00,  1.451465513456017e+00
3873        ,  3.645000000000000e+00,  2.962822590362176e+00,  3.444784773219923e+01,  3.421524502436998e+00
4895        ,  2.159000000000000e-01,  8.024633986456897e-01,  5.532962233606769e-02,  1.388384743189708e+00
5431        ,  0.000000000000000e+00,  1.066869225140962e+00,  3.396224299323187e+01,  1.673328172808025e+00
5297        ,  1.494600000000000e+00,  1.540008122888094e+00,  1.076860340713417e+01,  2.081246601184370e+00
3520        ,  8.754999999999997e-01,  1.394668316091115e+00,  4.393558438273897e-01,  1.934719947307569e+00
5591        ,  4.297800000000001e+00,  2.563276645338495e+00,  2.443485935588907e+02,  3.308449294601339e+00
5160        ,  4.105000000000000e+00,  2.029753132949468e+00,  9.725212507105427e+00,  2.531403266964788e+00
