# c0 + a0 * ((ave:atomic_number / ave:atomic_weight) * (ave:atomic_radius_rahm - ave:atomic_radius)) + a1 * ((var:thermal_conductivity * var:boiling_point) / (ave:boiling_point^2)) + a2 * ((|ave:atomic_volume - ave:Polarizability|) / sqrt(ave:atomic_weight))
# Property Label: $bandgap$; Unit of the Property: energy
# RMSE: 1.1497448510162; Max AE: 4.54841481025809
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.685654009911847e-02, -3.019449625791471e-05,  1.284011701624066e+00,  1.288364460133121e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; length * mass^-1;                                 1|5|div|3|2|sub|mult; ((ave:atomic_number / ave:atomic_weight) * (ave:atomic_radius_rahm - ave:atomic_radius)); $\left(\left(\frac{ ave:atomic_{number} }{ ave:atomic_{weight} } \right) \left(ave:atomic_{radius, rahm} - ave:atomic_{radius}\right)\right)$; ((ave:atomic_number ./ ave:atomic_weight) .* (ave:atomic_radius_rahm - ave:atomic_radius)); ave:atomic_number,ave:atomic_weight,ave:atomic_radius_rahm,ave:atomic_radius
# 1;  2; length^-1 * power * temperature^-2;               15|9|mult|6|sq|div; ((var:thermal_conductivity * var:boiling_point) / (ave:boiling_point^2)); $\left(\frac{ \left(var:thermal_{conductivity} var:boiling_{point}\right) }{ \left(ave:boiling_{point}^2\right) } \right)$; ((var:thermal_conductivity .* var:boiling_point) ./ (ave:boiling_point).^2); var:thermal_conductivity,var:boiling_point,ave:boiling_point
# 2;  2; length^3 * mass^-0.5;                             4|0|abd|5|sqrt|div; ((|ave:atomic_volume - ave:Polarizability|) / sqrt(ave:atomic_weight)); $\left(\frac{ \left(\left|ave:atomic_{volume} - ave:Polarizability\right|\right) }{ \left(\sqrt{ ave:atomic_{weight} }\right) } \right)$; (abs(ave:atomic_volume - ave:Polarizability) ./ sqrt(ave:atomic_weight)); ave:atomic_volume,ave:Polarizability,ave:atomic_weight
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1143                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  3.348360942826079e+00,  1.732432883235690e+01,  5.055058874558999e+01,  2.237737348690113e+00
3033        ,  0.000000000000000e+00,  1.111389297177782e+00,  3.461526541199840e+01,  4.236839496608352e+03,  1.224993231136327e+00
3404        ,  2.820000000000000e-02,  1.151985970304102e+00,  3.331812243316060e+01,  1.482380601095991e+00,  1.109676966277669e+00
5293        ,  2.833800000000000e+00,  3.110176412286956e+00,  2.246824466328357e+01,  6.591020414282468e+03,  2.393754431149702e+00
3707        ,  1.609999999999999e+00,  1.874461000214948e+00,  3.402003151266602e+01,  8.431830307589631e+03,  1.896207313701781e+00
4870        ,  2.521100000000000e+00,  2.271377995672663e+00,  2.768868283155837e+01,  1.014055539584134e+01,  1.776242069293799e+00
5075        ,  0.000000000000000e+00,  5.408954523049423e-01,  2.063992908229917e+01,  6.714005743012359e+04,  1.749911520936770e+00
5016        ,  3.666500000000000e+00,  1.970205497195265e+00,  3.001402683832357e+01,  1.163776587704296e+03,  1.653671951964989e+00
5647        ,  3.195000000000000e+00,  3.499511995699011e+00,  2.685485450861550e+01,  1.231031160952259e+04,  2.991543422597983e+00
4329        ,  2.076200000000000e+00,  1.285783149566866e+00,  3.351377327255886e+01,  9.887905207977914e+00,  1.221216838589265e+00
3574        ,  2.645500000000000e+00,  2.116652991096371e+00,  2.424797145527328e+01,  1.996354557003292e+03,  1.576888664970481e+00
3908        ,  1.994499999999999e+00,  2.741642498030019e+00,  2.392936285158074e+01,  3.224343727977780e+03,  2.080886505276787e+00
4303        ,  0.000000000000000e+00,  1.034103917704142e+00,  2.380449170880044e+01,  3.951055514364344e+04,  1.599780504101550e+00
4983        ,  0.000000000000000e+00,  2.965453218325091e+00,  1.520808775686605e+01,  1.594714413742356e+03,  1.898610991875847e+00
4042        ,  1.349900000000000e+00,  1.126075617387483e+00,  4.055454097602265e+01,  5.162741831493743e+02,  1.365677017874465e+00
3447        ,  1.737800000000000e+00,  1.753955271959767e+00,  3.153334152599238e+01,  8.050851041323394e+03,  1.702652306340786e+00
3615        ,  3.120000000000012e-02,  1.111918645126706e+00,  4.115821311812758e+01,  1.374861829566686e+02,  1.367773340528470e+00
4735        ,  0.000000000000000e+00,  5.333820076584315e-01,  3.693013479739945e+01,  3.768999211286318e+02,  7.685414327108333e-01
4750        ,  9.359000000000002e-01,  7.487600294484692e-01,  3.608466326213821e+01,  2.816355284571715e+01,  8.972257988418406e-01
4136        ,  0.000000000000000e+00,  1.258060090186972e+00,  1.975183902240045e+01,  1.358098271395107e+04,  1.016555688178337e+00
3925        ,  4.481500000000000e+00,  3.848115077520479e+00,  2.685993574366766e+01,  1.283322870791307e+03,  3.003916207587138e+00
4443        ,  2.707600000000000e+00,  1.954550216296250e+00,  2.531226468137052e+01,  1.846684619403192e+02,  1.446876901541049e+00
4617        ,  2.861800000000000e+00,  2.122409611577635e+00,  2.463840789280075e+01,  4.978746359636201e+03,  1.665753072555194e+00
3836        ,  2.259999999999995e-02,  1.005461577348327e+00,  3.551720733272630e+01,  2.650395103268723e+01,  1.076400502045216e+00
5832        ,  3.573500000000000e+00,  2.775267289371263e+00,  2.193973178625496e+01,  3.155512964908302e+03,  2.032848978365186e+00
4712        ,  1.100500000000000e+00,  9.362134413881750e-01,  3.588038513935737e+01,  6.056256761339365e+01,  1.036523530780098e+00
4913        ,  1.940700000000000e+00,  1.451590502716515e+00,  3.123335486346853e+01,  6.507691988817991e+02,  1.282202205191375e+00
4046        ,  0.000000000000000e+00,  2.355670376596534e+00,  2.118713040986008e+01,  1.613290670935324e+03,  1.642332416875566e+00
4558        ,  0.000000000000000e+00,  4.831985032915951e-01,  4.163412511352453e+01,  1.673827304138313e+03,  9.316157062978829e-01
4191        ,  1.821500000000000e+00,  1.493653992212766e-01,  2.910811244151992e+01,  5.091019758952137e+02,  1.871310474164950e-01
4636        ,  3.054200000000000e+00,  2.595114916407967e+00,  2.268501491432367e+01,  5.995467785713179e+02,  1.859636307985977e+00
5195        ,  2.369000000000003e-01,  1.634241852432697e+00,  3.283478378760403e+01,  1.101409283713324e+03,  1.493489702281776e+00
3086        ,  1.589400000000000e+00,  8.350864508076433e-01,  3.426123039867687e+01,  2.488095620494916e+03,  9.557634864584224e-01
5751        ,  5.041900000000000e+00,  3.606229896931426e+00,  3.019625902424321e+01,  1.440978887164038e+04,  3.245962610388639e+00
5102        ,  3.760100000000000e+00,  3.053543605707750e+00,  1.651816357717416e+01,  6.373368935854641e+02,  1.992510818090456e+00
5500        ,  1.070000000000002e-01,  1.450400975722637e+00,  2.527790202166748e+01,  3.115255944008098e+04,  1.781220047943907e+00
3022        ,  0.000000000000000e+00,  5.269468238275701e-01,  3.734969476906345e+01,  2.861709939428328e+02,  7.767068026523535e-01
3170        ,  1.528999999999998e-01,  2.124025645299121e+00,  2.486521799219742e+01,  1.744732051759276e+03,  1.599238209356941e+00
4533        ,  1.544200000000000e+00,  1.675082428852330e+00,  2.203600800363016e+01,  8.737895314103680e+02,  1.125871901536166e+00
5493        ,  0.000000000000000e+00,  8.138575168089246e-01,  4.455282487207104e+01,  4.393512963920900e+03,  1.359601466531130e+00
5095        ,  9.836999999999998e-01,  3.977685153719976e-01,  3.118011420335171e+01,  3.144462876081856e+04,  1.183673832747013e+00
5258        ,  3.733000000000000e-01,  6.981293895444458e-01,  3.929021032290138e+01,  9.600876421356556e+03,  1.199881488726167e+00
3559        ,  4.266400000000000e+00,  3.993553163567050e+00,  2.593150042768154e+01,  1.089698818249583e+04,  3.309376508468080e+00
3426        ,  3.814500000000001e+00,  2.238786551664302e+00,  2.256276747054787e+01,  2.386537330788253e+02,  1.569176773828409e+00
4705        ,  2.014900000000000e+00,  1.377084867425000e+00,  3.671684355737548e+01,  7.554949339907314e+02,  1.426744356294598e+00
5717        ,  8.259000000000003e-01,  2.970828702215948e+00,  1.383280003152441e+01,  2.192429580828836e+03,  1.866665775074734e+00
