# c0 + a0 * (mp_bandgap / max:mendeleev_number)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.469016414398038; Max AE: 4.31680917107835
# Coefficients
# Task   a0                      c0
# all ,  9.510488692557198e+01,  1.469027895775510e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               0|21|div; (mp_bandgap / max:mendeleev_number); $\left(\frac{ mp_{bandgap} }{ max:mendeleev_{number} } \right)$; (mp_bandgap ./ max:mendeleev_number); mp_bandgap,max:mendeleev_number
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1014                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
4239        ,  4.587000000000003e-01,  5.632927004536692e-01,  4.378217821782179e-03
3034        ,  1.700700000000000e+00,  2.069336785825203e+00,  2.021382978723404e-02
3402        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.344617312370020e+00,  1.259361702127659e-02
5388        ,  1.719900000000000e+00,  1.673235049321359e+00,  1.604893617021277e-02
3975        ,  1.985400000000000e+00,  1.789957415284784e+00,  1.727623762376238e-02
4837        ,  2.507100000000000e+00,  2.624061922042837e+00,  2.604660194174757e-02
5529        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  1.469027895775510e-01,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.070173498790653e+00,  9.707920792079208e-03
3912        ,  4.126200000000000e+00,  3.860607379139565e+00,  3.904851485148515e-02
4305        ,  7.780300000000000e+00,  6.466249565440925e+00,  6.644607843137255e-02
4944        ,  2.979200000000000e+00,  3.059465440104398e+00,  3.062474226804124e-02
4056        ,  2.421900000000000e+00,  2.494561810169332e+00,  2.468494623655914e-02
3594        ,  6.517999999999999e-01,  9.044338889151504e-01,  7.965217391304348e-03
5230        ,  2.302000000000000e-01,  9.911267757411132e-01,  8.876767676767677e-03
5512        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
4489        ,  1.591999999999998e-01,  1.469027895775510e-01,  0.000000000000000e+00
3914        ,  1.235300000000000e+00,  2.023283390297892e+00,  1.972959183673470e-02
4426        ,  3.982600000000000e+00,  3.792998162493464e+00,  3.833762376237624e-02
5849        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
3327        ,  1.875800000000000e+00,  1.361817132345922e+00,  1.277446808510638e-02
4149        ,  0.000000000000000e+00,  1.451346352527995e+00,  1.371584158415841e-02
5832        ,  3.573500000000000e+00,  3.398277801324237e+00,  3.418725490196078e-02
4713        ,  3.813500000000000e+00,  5.028276529584627e+00,  5.132621359223301e-02
3772        ,  6.627000000000001e-01,  3.340993392884787e-01,  1.968316831683167e-03
3683        ,  2.536900000000000e+00,  2.253334790097398e+00,  2.214851485148515e-02
4119        ,  3.041100000000000e+00,  2.613905089458552e+00,  2.593980582524271e-02
5350        ,  5.800999999999998e-01,  6.487036259539194e-01,  5.276288659793815e-03
5125        ,  9.231000000000000e-01,  1.129308022542395e+00,  1.032970297029703e-02
3088        ,  1.459500000000000e+00,  1.075209185872808e+00,  9.760869565217389e-03
5236        ,  1.808000000000001e-01,  1.469027895775510e-01,  0.000000000000000e+00
3447        ,  1.737800000000000e+00,  1.647158364442862e+00,  1.577474747474748e-02
5393        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
3023        ,  2.116900000000000e+00,  1.934968827032686e+00,  1.880099009900990e-02
3172        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
4765        ,  2.740200000000000e+00,  2.773142586316224e+00,  2.761414141414141e-02
4685        ,  7.060000000000000e-01,  6.386870919701046e-01,  5.170967741935475e-03
5367        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
4091        ,  5.020000000000000e-01,  6.985111337458693e-01,  5.800000000000008e-03
4848        ,  7.781000000000002e-01,  7.250252234342096e-01,  6.078787878787878e-03
5773        ,  3.998000000000000e+00,  3.741387187652427e+00,  3.779494949494950e-02
5108        ,  2.033300000000000e+00,  1.864385159351115e+00,  1.805882352941176e-02
5284        ,  5.591300000000000e+00,  5.325892243157865e+00,  5.445555555555556e-02
4269        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
4641        ,  4.323000000000001e-01,  4.386885045162131e-01,  3.068041237113403e-03
5628        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
4071        ,  2.744300000000000e+00,  2.708178962809047e+00,  2.693106796116505e-02
3318        ,  6.493000000000000e-01,  5.824211467704152e-01,  4.579347826086961e-03
3602        ,  1.873300000000000e+00,  1.171304833996657e+00,  1.077128712871287e-02
3203        ,  2.789999999999981e-02,  1.469027895775510e-01,  0.000000000000000e+00
5333        ,  4.202400000000000e+00,  3.650825361472313e+00,  3.684271844660194e-02
3128        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  1.469027895775510e-01,  0.000000000000000e+00
3581        ,  3.809500000000000e+00,  3.617307813944175e+00,  3.649029126213592e-02
5122        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
3339        ,  0.000000000000000e+00,  1.908129182219109e-01,  4.617021276595756e-04
4743        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
5373        ,  3.522100000000000e+00,  3.076886612920222e+00,  3.080792079207921e-02
4704        ,  7.975000000000003e-01,  9.650093437760199e-01,  8.602150537634412e-03
5658        ,  1.245900000000000e+00,  1.425823354870622e+00,  1.344747474747475e-02
5591        ,  4.297800000000001e+00,  4.093661433734406e+00,  4.149900990099010e-02
4560        ,  4.276800000000000e+00,  3.666536911858768e+00,  3.700792079207921e-02
3973        ,  2.406300000000000e+00,  1.998246533977225e+00,  1.946633663366337e-02
3283        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
4284        ,  2.943400000000000e+00,  2.711406065525599e+00,  2.696500000000000e-02
5814        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
3835        ,  1.736000000000000e+00,  1.767014538354670e+00,  1.703500000000000e-02
3446        ,  1.277400000000000e+00,  1.262391076227163e+00,  1.172903225806452e-02
4672        ,  6.372000000000000e-01,  6.244988158018095e-01,  5.021782178217823e-03
4958        ,  3.220400000000000e+00,  3.127734770286370e+00,  3.134257425742575e-02
5893        ,  4.026400000000000e+00,  3.724863914368387e+00,  3.762121212121212e-02
4716        ,  3.336500000000000e+00,  3.188470069362601e+00,  3.198118811881188e-02
5360        ,  2.079200000000000e+00,  1.314476862561879e+00,  1.227669902912621e-02
4850        ,  2.079800000000000e+00,  2.309901666345637e+00,  2.274329896907217e-02
4956        ,  3.796700000000000e+00,  4.209451153607954e+00,  4.271650485436893e-02
4791        ,  3.607100000000000e+00,  4.212405868541565e+00,  4.274757281553399e-02
3642        ,  5.232000000000000e-01,  7.615698087726070e-01,  6.463043478260877e-03
4395        ,  9.707000000000000e-01,  5.460331900336750e-01,  4.196739130434791e-03
4360        ,  1.576000000000000e-01,  3.391715352074959e-01,  2.021649484536082e-03
4195        ,  5.205000000000000e+00,  6.133616919279794e+00,  6.294854368932039e-02
5391        ,  2.591300000000000e+00,  2.405220119415167e+00,  2.374554455445544e-02
3452        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
5582        ,  0.000000000000000e+00,  6.394102397278345e-01,  5.178571428571429e-03
4262        ,  2.272100000000000e+00,  1.663040889886184e+00,  1.594174757281553e-02
4001        ,  2.571800000000000e+00,  2.423418311082383e+00,  2.393689320388349e-02
4065        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
5625        ,  8.441999999999998e-01,  1.576677644110110e+00,  1.503366336633664e-02
3791        ,  2.952400000000000e+00,  2.415993503519433e+00,  2.385882352941177e-02
4450        ,  5.732999999999999e-01,  3.776839034894974e-01,  2.426595744680851e-03
4869        ,  2.777500000000000e+00,  4.244538393444572e+00,  4.308543689320388e-02
3136        ,  1.730999999999998e-01,  5.036902138619694e-01,  3.751515151515151e-03
4745        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
3197        ,  1.631300000000000e+00,  1.726453315835030e+00,  1.660851063829788e-02
5724        ,  0.000000000000000e+00,  1.469027895775510e-01,  0.000000000000000e+00
5875        ,  4.952999999999994e-01,  3.561335408138093e-01,  2.200000000000000e-03
3846        ,  4.541999999999993e-01,  6.619610203391780e-01,  5.415686274509804e-03
3699        ,  1.530600000000000e+00,  1.544567974365932e+00,  1.469603960396040e-02
