# c0 + a0 * (mp_bandgap / min:covalent_radius_slater) + a1 * (mp_bandgap / min:vdw_radius)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.459381835642734; Max AE: 4.38779984949332
# Coefficients
# Task   a0                      a1                      c0
# all , -3.000581413147482e+01,  2.276571048063716e+02,  1.415857737515616e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * pm^-1;                                       0|3|div; (mp_bandgap / min:covalent_radius_slater); $\left(\frac{ mp_{bandgap} }{ min:covalent_{radius, slater} } \right)$; (mp_bandgap ./ min:covalent_radius_slater); mp_bandgap,min:covalent_radius_slater
# 1;  1; eV * pm^-1;                                       0|20|div; (mp_bandgap / min:vdw_radius); $\left(\frac{ mp_{bandgap} }{ min:vdw_{radius} } \right)$; (mp_bandgap ./ min:vdw_radius); mp_bandgap,min:vdw_radius
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1014                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
4239        ,  4.587000000000003e-01,  5.827453692958655e-01,  7.370000000000001e-03,  2.909210526315790e-03
3034        ,  1.700700000000000e+00,  1.974618993009335e+00,  1.900100000000000e-02,  1.055611111111111e-02
3402        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.283601838673067e+00,  1.183800000000000e-02,  6.576666666666666e-03
5388        ,  1.719900000000000e+00,  1.596937552380201e+00,  1.508600000000000e-02,  8.381111111111113e-03
3975        ,  1.985400000000000e+00,  1.882380387648567e+00,  2.908166666666667e-02,  1.147960526315790e-02
4837        ,  2.507100000000000e+00,  2.473951672897771e+00,  1.073120000000000e-01,  2.438909090909091e-02
5529        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.119778861565198e+00,  1.634166666666666e-02,  6.450657894736841e-03
3912        ,  4.126200000000000e+00,  4.076206598869563e+00,  6.573166666666667e-02,  2.594671052631579e-02
4305        ,  7.780300000000000e+00,  6.570529150034122e+00,  1.355500000000000e-01,  4.610544217687075e-02
4944        ,  2.979200000000000e+00,  2.920451705440565e+00,  2.121857142857143e-02,  1.500303030303030e-02
4056        ,  2.421900000000000e+00,  2.473738920145626e+00,  2.295700000000000e-02,  1.326994219653179e-02
3594        ,  6.517999999999999e-01,  8.521517585255581e-01,  6.372173913043479e-03,  3.961081081081082e-03
5230        ,  2.302000000000000e-01,  1.021123614614672e+00,  8.788000000000001e-03,  5.021714285714286e-03
5512        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4489        ,  1.591999999999998e-01,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
3914        ,  1.235300000000000e+00,  2.006840091647939e+00,  1.933500000000000e-02,  1.074166666666667e-02
4426        ,  3.982600000000000e+00,  4.004575529308095e+00,  6.453500000000000e-02,  2.547434210526316e-02
5849        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
3327        ,  1.875800000000000e+00,  1.300001799057985e+00,  1.200800000000000e-02,  6.671111111111112e-03
4149        ,  0.000000000000000e+00,  1.523626451516202e+00,  2.308833333333333e-02,  9.113815789473683e-03
5832        ,  3.573500000000000e+00,  3.449349469426207e+00,  6.974200000000000e-02,  2.372176870748299e-02
4713        ,  3.813500000000000e+00,  4.737636751247591e+00,  2.114640000000000e-01,  4.806000000000000e-02
3772        ,  6.627000000000001e-01,  3.399180387769066e-01,  3.313333333333331e-03,  1.307894736842104e-03
3683        ,  2.536900000000000e+00,  2.373322578890883e+00,  3.728333333333334e-02,  1.471710526315790e-02
4119        ,  3.041100000000000e+00,  2.464388520634981e+00,  1.068720000000000e-01,  2.428909090909091e-02
5350        ,  5.800999999999998e-01,  6.203522128003840e-01,  3.655714285714286e-03,  2.584848484848485e-03
5125        ,  9.231000000000000e-01,  1.182431106251272e+00,  1.738833333333333e-02,  6.863815789473683e-03
3088        ,  1.459500000000000e+00,  1.027555912429216e+00,  6.907692307692306e-03,  4.802139037433153e-03
5236        ,  1.808000000000001e-01,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
3447        ,  1.737800000000000e+00,  1.704596977752380e+00,  1.561700000000000e-02,  8.924000000000000e-03
5393        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
3023        ,  2.116900000000000e+00,  2.036018057738623e+00,  3.164833333333334e-02,  1.249276315789474e-02
3172        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4765        ,  2.740200000000000e+00,  2.877681073423353e+00,  2.733800000000000e-02,  1.562171428571429e-02
4685        ,  7.060000000000000e-01,  5.923214008752309e-01,  4.181739130434776e-03,  2.531052631578943e-03
5367        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4091        ,  5.020000000000000e-01,  6.589957211797890e-01,  4.640000000000006e-03,  2.884324324324328e-03
4848        ,  7.781000000000002e-01,  7.438910452939144e-01,  6.017999999999999e-03,  3.438857142857142e-03
5773        ,  3.998000000000000e+00,  3.886427306702744e+00,  3.741700000000001e-02,  2.138114285714286e-02
5108        ,  2.033300000000000e+00,  1.888854486272767e+00,  3.684000000000000e-02,  1.253061224489796e-02
5284        ,  5.591300000000000e+00,  5.537212143661795e+00,  5.391100000000000e-02,  3.080628571428571e-02
4269        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4641        ,  4.323000000000001e-01,  4.199775132219203e-01,  2.125714285714286e-03,  1.503030303030304e-03
5628        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4071        ,  2.744300000000000e+00,  2.553151961183226e+00,  1.109560000000000e-01,  2.521727272727273e-02
3318        ,  6.493000000000000e-01,  5.060461110791712e-01,  3.370400000000003e-03,  2.045145631067963e-03
3602        ,  1.873300000000000e+00,  1.226926171744886e+00,  1.813166666666666e-02,  7.157236842105260e-03
3203        ,  2.789999999999981e-02,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
5333        ,  4.202400000000000e+00,  3.440699428917818e+00,  1.517920000000000e-01,  3.449818181818182e-02
3128        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
3581        ,  3.809500000000000e+00,  3.409141026450616e+00,  1.503400000000000e-01,  3.416818181818181e-02
5122        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
3339        ,  0.000000000000000e+00,  1.834539079107045e-01,  4.340000000000011e-04,  2.411111111111117e-04
4743        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
5373        ,  3.522100000000000e+00,  3.245864827337396e+00,  5.186000000000000e-02,  2.047105263157895e-02
4704        ,  7.975000000000003e-01,  8.914059062093201e-01,  6.956521739130437e-03,  4.210526315789475e-03
5658        ,  1.245900000000000e+00,  1.474003533811938e+00,  1.331300000000000e-02,  7.607428571428572e-03
5591        ,  4.297800000000001e+00,  4.323124282942866e+00,  6.985666666666666e-02,  2.757500000000000e-02
4560        ,  4.276800000000000e+00,  3.870591509223066e+00,  6.229666666666667e-02,  2.459078947368421e-02
3973        ,  2.406300000000000e+00,  2.103059950141557e+00,  3.276833333333333e-02,  1.293486842105263e-02
3283        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
4284        ,  2.943400000000000e+00,  2.857305361078498e+00,  4.148461538461538e-02,  1.739677419354839e-02
5814        ,  0.000000000000000e+00,  1.415857737515616e-01,  0.000000000000000e+00,  0.000000000000000e+00
3835        ,  1.736000000000000e+00,  1.857227649149832e+00,  2.620769230769231e-02,  1.099032258064516e-02
3446        ,  1.277400000000000e+00,  1.163965524357715e+00,  9.485217391304349e-03,  5.741052631578949e-03
4672        ,  6.372000000000000e-01,  6.475924378403697e-01,  8.453333333333335e-03,  3.336842105263158e-03
