# c0 + a0 * (ave:density / min:dipole_polarizability) + a1 * (mp_bandgap / max:mendeleev_number)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.475653175203732; Max AE: 4.40372199377617
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.948215076299177e-01,  9.458736803363198e+01,  3.380517251330770e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; AA_polar^-3 * cm^-3 * g;                          11|6|div; (ave:density / min:dipole_polarizability); $\left(\frac{ ave:density }{ min:dipole_{polarizability} } \right)$; (ave:density ./ min:dipole_polarizability); ave:density,min:dipole_polarizability
# 1;  1; eV;                                               0|21|div; (mp_bandgap / max:mendeleev_number); $\left(\frac{ mp_{bandgap} }{ max:mendeleev_{number} } \right)$; (mp_bandgap ./ max:mendeleev_number); mp_bandgap,max:mendeleev_number
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1015                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3266        ,  1.678000000000000e+00,  6.897202138736407e-01,  7.902671755725190e-01,  4.471287128712873e-03
3402        ,  0.000000000000000e+00,  7.655416650154295e-02,  1.449995773100008e-01,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.267938820858267e+00,  1.456357801845166e-01,  1.259361702127659e-02
3895        ,  0.000000000000000e+00,  8.026814234142697e-02,  9.245888487765742e-02,  2.030303030303053e-04
5388        ,  1.719900000000000e+00,  1.626843951520750e+00,  2.544324107501003e-01,  1.604893617021277e-02
3975        ,  1.985400000000000e+00,  1.877353409987667e+00,  7.103769083969466e-01,  1.727623762376238e-02
4837        ,  2.507100000000000e+00,  2.616342617912901e+00,  4.031521392910115e-01,  2.604660194174757e-02
5529        ,  0.000000000000000e+00,  2.803993578232296e-01,  8.364185750636133e-01,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  6.944865522476264e-02,  1.208985158443642e-01,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.193835492849715e+00,  8.201017811704835e-01,  9.707920792079208e-03
3912        ,  4.126200000000000e+00,  3.861771533058757e+00,  4.561068702290076e-01,  3.904851485148515e-02
4305        ,  7.780300000000000e+00,  6.438743256837999e+00,  4.069527027027027e-01,  6.644607843137255e-02
4056        ,  2.421900000000000e+00,  2.411092475976365e+00,  1.438267148014441e-01,  2.468494623655914e-02
3594        ,  6.517999999999999e-01,  8.462109295843661e-01,  2.001102588686481e-01,  7.965217391304348e-03
5230        ,  2.302000000000000e-01,  9.270234778914713e-01,  1.817649418371440e-01,  8.876767676767677e-03
4489        ,  1.591999999999998e-01,  1.320565372384508e-01,  3.332571138211383e-01,  0.000000000000000e+00
4426        ,  3.982600000000000e+00,  3.781767024172801e+00,  4.128156194950088e-01,  3.833762376237624e-02
5849        ,  0.000000000000000e+00,  1.178255512780679e-01,  2.849872773536895e-01,  0.000000000000000e+00
5700        ,  2.603800000000000e+00,  2.089002230300515e+00,  4.543416030534351e-01,  2.031188118811882e-02
3327        ,  1.875800000000000e+00,  1.297572300222349e+00,  1.881267549137585e-01,  1.277446808510638e-02
3977        ,  3.184500000000000e+00,  3.302377355881724e+00,  6.105945945945945e-01,  3.265294117647059e-02
5832        ,  3.573500000000000e+00,  3.459025996157850e+00,  6.496756756756757e-01,  3.418725490196078e-02
4713        ,  3.813500000000000e+00,  4.971489455385099e+00,  2.810949198267878e-01,  5.132621359223301e-02
3772        ,  6.627000000000001e-01,  5.254609233544462e-01,  1.036145038167939e+00,  1.968316831683167e-03
3860        ,  1.860999999999999e-01,  1.013857869753823e-01,  2.292255236239649e-01,  0.000000000000000e+00
5825        ,  2.044100000000000e+00,  2.116366191024923e+00,  1.185318892900120e-01,  2.164787234042553e-02
3683        ,  2.536900000000000e+00,  2.288901236091759e+00,  5.431297709923664e-01,  2.214851485148515e-02
5125        ,  9.231000000000000e-01,  1.233077860871970e+00,  7.537213740458015e-01,  1.032970297029703e-02
5236        ,  1.808000000000001e-01,  1.090460781063596e-01,  2.552083333333333e-01,  0.000000000000000e+00
5393        ,  0.000000000000000e+00,  8.362931088435203e-02,  1.689976378303695e-01,  0.000000000000000e+00
3023        ,  2.116900000000000e+00,  2.133022295636203e+00,  1.088390585241730e+00,  1.880099009900990e-02
3172        ,  0.000000000000000e+00,  6.802165447918128e-02,  1.160582965637117e-01,  0.000000000000000e+00
4765        ,  2.740200000000000e+00,  2.686702743598029e+00,  1.388929001203369e-01,  2.761414141414141e-02
5367        ,  0.000000000000000e+00,  3.437104522806408e-01,  1.051162387231089e+00,  0.000000000000000e+00
4091        ,  5.020000000000000e-01,  6.407547270548203e-01,  1.978920073215375e-01,  5.800000000000008e-03
3748        ,  5.403900000000000e+00,  4.853540676297449e+00,  6.097297297297297e-01,  4.905490196078431e-02
5254        ,  4.435099999999999e+00,  5.920958270486941e+00,  2.108505997818975e-01,  6.158316831683168e-02
5108        ,  2.033300000000000e+00,  1.914080335705407e+00,  5.838738738738739e-01,  1.805882352941176e-02
4641        ,  4.323000000000001e-01,  3.704872105770178e-01,  1.576685934489402e-01,  3.068041237113403e-03
5628        ,  0.000000000000000e+00,  1.086489353577627e-01,  2.538612716763006e-01,  0.000000000000000e+00
4071        ,  2.744300000000000e+00,  2.627218759010546e+00,  1.562801509501870e-01,  2.693106796116505e-02
3318        ,  6.493000000000000e-01,  5.158103353969978e-01,  1.657162162162162e-01,  4.579347826086961e-03
3602        ,  1.873300000000000e+00,  1.346857985329873e+00,  9.979770992366412e-01,  1.077128712871287e-02
3203        ,  2.789999999999981e-02,  7.421058036471372e-02,  1.370504078085306e-01,  0.000000000000000e+00
5333        ,  4.202400000000000e+00,  3.667291397130371e+00,  5.041370853289873e-01,  3.684271844660194e-02
3128        ,  0.000000000000000e+00,  9.657458902597817e-02,  2.129065040650406e-01,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  2.117248886397785e-01,  6.034828244274809e-01,  0.000000000000000e+00
3581        ,  3.809500000000000e+00,  3.628160683080526e+00,  4.844792445754671e-01,  3.649029126213592e-02
5122        ,  0.000000000000000e+00,  1.107239240847413e-01,  2.608993902439025e-01,  0.000000000000000e+00
3339        ,  0.000000000000000e+00,  1.169144048417331e-01,  1.337692204840219e-01,  4.617021276595756e-04
3180        ,  1.234700000000000e+00,  1.423025082582736e+00,  1.337692204840219e-01,  1.427021276595745e-02
5373        ,  3.522100000000000e+00,  3.107418393556821e+00,  5.412531806615776e-01,  3.080792079207921e-02
4704        ,  7.975000000000003e-01,  9.107162427589934e-01,  2.145579268292683e-01,  8.602150537634412e-03
5658        ,  1.245900000000000e+00,  1.336755720901448e+00,  1.051120916343540e-01,  1.344747474747475e-02
4011        ,  0.000000000000000e+00,  1.107126885089932e-01,  2.608612804878049e-01,  0.000000000000000e+00
5591        ,  4.297800000000001e+00,  4.049628078838663e+00,  3.071037269869780e-01,  4.149900990099010e-02
4560        ,  4.276800000000000e+00,  3.660866135333664e+00,  4.293416030534351e-01,  3.700792079207921e-02
3866        ,  4.189600000000000e+00,  4.195652398859604e+00,  8.760000000000000e-01,  4.126960784313725e-02
4284        ,  2.943400000000000e+00,  2.786715366741389e+00,  6.863875598086124e-01,  2.696500000000000e-02
5814        ,  0.000000000000000e+00,  7.320086999332429e-02,  1.336255885695730e-01,  0.000000000000000e+00
3835        ,  1.736000000000000e+00,  1.780020619010551e+00,  4.576315789473684e-01,  1.703500000000000e-02
3489        ,  2.194900000000000e+00,  2.200471000358567e+00,  9.477035699959888e-02,  2.261111111111111e-02
3712        ,  0.000000000000000e+00,  6.301602322014041e-02,  9.907978200661126e-02,  0.000000000000000e+00
5650        ,  4.359699999999999e+00,  4.391590702159488e+00,  5.249549549549549e-01,  4.443529411764706e-02
5001        ,  3.887400000000000e+00,  4.060633415036521e+00,  1.043268563497571e+00,  3.932079207920792e-02
4958        ,  3.220400000000000e+00,  3.166626327390879e+00,  5.705470737913485e-01,  3.134257425742575e-02
3871        ,  2.856000000000001e-01,  2.958541483254767e-01,  3.601127819548873e-01,  1.647999999999998e-03
4716        ,  3.336500000000000e+00,  3.116334282706617e+00,  1.950763358778626e-01,  3.198118811881188e-02
5360        ,  2.079200000000000e+00,  1.340105682734327e+00,  4.920938844700588e-01,  1.227669902912621e-02
4850        ,  2.079800000000000e+00,  2.250772341919074e+00,  2.229768786127168e-01,  2.274329896907217e-02
4956        ,  3.796700000000000e+00,  4.125515680163074e+00,  1.738975636183993e-01,  4.271650485436893e-02
4791        ,  3.607100000000000e+00,  4.175613186558914e+00,  3.338549225579763e-01,  4.274757281553399e-02
5895        ,  2.015800000000000e+00,  3.910208698103493e+00,  3.510305343511451e-01,  3.988811881188119e-02
4360        ,  1.576000000000000e-01,  2.661373828655724e-01,  1.394393063583815e-01,  2.021649484536082e-03
4190        ,  0.000000000000000e+00,  1.360219464391438e-01,  3.467073170731708e-01,  0.000000000000000e+00
5391        ,  2.591300000000000e+00,  2.477675470067237e+00,  6.710559796437657e-01,  2.374554455445544e-02
3452        ,  0.000000000000000e+00,  9.752693782748306e-02,  2.161367595818816e-01,  0.000000000000000e+00
3615        ,  3.120000000000012e-02,  1.807065352375614e-01,  4.507894736842105e-01,  1.480000000000015e-04
5582        ,  0.000000000000000e+00,  5.872581608849845e-01,  2.158103975535168e-01,  5.178571428571429e-03
3084        ,  8.620000000000028e-02,  9.643034178390726e-01,  1.349987319300026e-01,  9.416666666666667e-03
4262        ,  2.272100000000000e+00,  1.686772978197395e+00,  4.920938844700588e-01,  1.594174757281553e-02
4001        ,  2.571800000000000e+00,  2.484846065316773e+00,  6.339875514802019e-01,  2.393689320388349e-02
3791        ,  2.952400000000000e+00,  2.594320889382803e+00,  1.030360360360360e+00,  2.385882352941177e-02
3770        ,  7.553000000000001e-01,  9.391550276559654e-02,  2.038871951219512e-01,  0.000000000000000e+00
4450        ,  5.732999999999999e-01,  3.438511624487645e-01,  2.731167268351384e-01,  2.426595744680851e-03
3136        ,  1.730999999999998e-01,  4.217224504109175e-01,  1.121740874448456e-01,  3.751515151515151e-03
3197        ,  1.631300000000000e+00,  1.639918760680775e+00,  1.192527648845338e-01,  1.660851063829788e-02
5724        ,  0.000000000000000e+00,  7.619734383369992e-02,  1.437892766412622e-01,  0.000000000000000e+00
3846        ,  4.541999999999993e-01,  7.435539087324446e-01,  6.698738738738739e-01,  5.415686274509804e-03
3699        ,  1.530600000000000e+00,  1.720674368975989e+00,  1.006743002544529e+00,  1.469603960396040e-02
5642        ,  5.254999999999996e-01,  1.110052646211237e+00,  1.201923870541409e+00,  7.632038834951457e-03
3183        ,  1.126200000000000e+00,  1.124081396224182e+00,  1.423452333199626e-01,  1.108297872340426e-02
5318        ,  2.948200000000000e+00,  2.903500137218387e+00,  2.191169724770642e-01,  2.965612244897959e-02
3279        ,  0.000000000000000e+00,  2.410089153351558e-01,  7.028108108108109e-01,  0.000000000000000e+00
