# c0 + a0 * (mp_bandgap / min:c6_gb) + a1 * (mp_bandgap / min:vdw_radius_mm3)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.453056197520261; Max AE: 4.41346742855086
# Coefficients
# Task   a0                      a1                      c0
# all , -3.058336735661460e+00,  2.143435302164853e+02,  1.433639361839684e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Eh^-1 * a0^6 * eV;                                0|1|div; (mp_bandgap / min:c6_gb); $\left(\frac{ mp_{bandgap} }{ min:c6_{gb} } \right)$; (mp_bandgap ./ min:c6_gb); mp_bandgap,min:c6_gb
# 1;  1; eV * pm^-1;                                       0|27|div; (mp_bandgap / min:vdw_radius_mm3); $\left(\frac{ mp_{bandgap} }{ min:vdw_{radius, mm3} } \right)$; (mp_bandgap ./ min:vdw_radius_mm3); mp_bandgap,min:vdw_radius_mm3
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1015                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3266        ,  1.678000000000000e+00,  5.925152563116823e-01,  2.704191616766468e-02,  2.481318681318682e-03
4239        ,  4.587000000000003e-01,  5.831662252904235e-01,  2.647904191616767e-02,  2.429670329670330e-03
3034        ,  1.700700000000000e+00,  1.996154086889969e+00,  1.357214285714286e-02,  8.837674418604651e-03
3402        ,  0.000000000000000e+00,  1.433639361839684e-01,  0.000000000000000e+00,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.297688961396201e+00,  8.455714285714283e-03,  5.506046511627906e-03
3895        ,  0.000000000000000e+00,  1.635439184574728e-01,  2.070030895983546e-04,  9.710144927536343e-05
3975        ,  1.985400000000000e+00,  1.878802683949354e+00,  1.044850299401198e-01,  9.587362637362639e-03
4451        ,  1.030000000000000e-01,  1.433639361839684e-01,  0.000000000000000e+00,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.118547437922727e+00,  5.871257485029940e-02,  5.387362637362637e-03
3912        ,  4.126200000000000e+00,  4.065879196263000e+00,  2.361616766467066e-01,  2.166978021978022e-02
4305        ,  7.780300000000000e+00,  6.606618385211632e+00,  6.644607843137256e-01,  3.963450292397661e-02
4944        ,  2.979200000000000e+00,  2.818012710744150e+00,  7.636503856041131e-03,  1.258728813559322e-02
5512        ,  0.000000000000000e+00,  1.433639361839684e-01,  0.000000000000000e+00,  0.000000000000000e+00
4489        ,  1.591999999999998e-01,  1.433639361839684e-01,  0.000000000000000e+00,  0.000000000000000e+00
3914        ,  1.235300000000000e+00,  2.028722473308358e+00,  1.381071428571429e-02,  8.993023255813954e-03
