# c0 + a0 * ((ave:period / max:en_pauling) / (min:covalent_radius_pyykko_double * ave:covalent_radius_cordero)) + a1 * ((min:covalent_radius_pyykko_double + min:vdw_radius) * (mp_bandgap / min:atomic_radius_rahm))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.474921503676964; Max AE: 4.55565074951514
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.444928408821619e+03,  7.730289892896958e-01, -5.991548086035616e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Pauling^-1 * pm^-2;                               17|28|div|22|12|mult|div; ((ave:period / max:en_pauling) / (min:covalent_radius_pyykko_double * ave:covalent_radius_cordero)); $\left(\frac{ \left(\frac{ ave:period }{ max:en_{pauling} } \right) }{ \left(min:covalent_{radius, pyykko, double} ave:covalent_{radius, cordero}\right) } \right)$; ((ave:period ./ max:en_pauling) ./ (min:covalent_radius_pyykko_double .* ave:covalent_radius_cordero)); ave:period,max:en_pauling,min:covalent_radius_pyykko_double,ave:covalent_radius_cordero
# 1;  2; eV;                                               22|20|add|0|25|div|mult; ((min:covalent_radius_pyykko_double + min:vdw_radius) * (mp_bandgap / min:atomic_radius_rahm)); $\left(\left(min:covalent_{radius, pyykko, double} + min:vdw_{radius}\right) \left(\frac{ mp_{bandgap} }{ min:atomic_{radius, rahm} } \right)\right)$; ((min:covalent_radius_pyykko_double + min:vdw_radius) .* (mp_bandgap ./ min:atomic_radius_rahm)); min:covalent_radius_pyykko_double,min:vdw_radius,mp_bandgap,min:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1014                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3266        ,  1.678000000000000e+00,  7.137647323963945e-01,  1.627646553295659e-04,  5.519555555555556e-01
4239        ,  4.587000000000003e-01,  6.864201154023047e-01,  1.593737250101999e-04,  5.404666666666668e-01
3034        ,  1.700700000000000e+00,  2.086532216290813e+00,  1.478499657973746e-04,  2.432838317757009e+00
3402        ,  0.000000000000000e+00,  1.653291788690510e-01,  1.404029456537998e-04,  0.000000000000000e+00
3895        ,  0.000000000000000e+00, -7.280313204713607e-02,  9.292803367140075e-05,  2.634466019417506e-02
5388        ,  1.719900000000000e+00,  1.626393691818477e+00,  1.345081741081226e-04,  1.931571962616823e+00
3975        ,  1.985400000000000e+00,  1.968014303364164e+00,  1.687009404688121e-04,  2.132655555555556e+00
4837        ,  2.507100000000000e+00,  2.424227168687016e+00,  1.422299378577083e-04,  2.909270129870130e+00
5529        ,  0.000000000000000e+00,  2.787309516960714e-01,  1.612299913580725e-04,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  4.231551594364721e-02,  1.178106076671143e-04,  0.000000000000000e+00
4305        ,  7.780300000000000e+00,  6.736858885003462e+00,  1.312576348190920e-04,  8.565429447852761e+00
4944        ,  2.979200000000000e+00,  3.098113016845319e+00,  9.957616401548451e-05,  4.081454621848740e+00
4056        ,  2.421900000000000e+00,  2.209061870153636e+00,  1.138226188308141e-04,  2.831020179372198e+00
3594        ,  6.517999999999999e-01,  9.179825251006312e-01,  1.453212462386774e-04,  9.389991341991344e-01
5230        ,  2.302000000000000e-01,  8.588955851156233e-01,  1.048597528400436e-04,  1.147559223300971e+00
5512        ,  0.000000000000000e+00,  3.712142424690878e-02,  1.168566756212268e-04,  0.000000000000000e+00
