# c0 + a0 * ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)) + a1 * ((min:vdw_radius_mm3 + min:covalent_radius_cordero) * (mp_bandgap / min:atomic_radius_rahm))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.45068366816568; Max AE: 4.42629912513892
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.656887093550196e+03,  6.607172038952862e-01, -3.157841518266901e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm^-2;                                            17|13|mult|12|cb|div; ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)); $\left(\frac{ \left(ave:period ave:covalent_{radius, slater}\right) }{ \left(ave:covalent_{radius, cordero}^3\right) } \right)$; ((ave:period .* ave:covalent_radius_slater) ./ (ave:covalent_radius_cordero).^3); ave:period,ave:covalent_radius_slater,ave:covalent_radius_cordero
# 1;  2; eV;                                               27|5|add|0|25|div|mult; ((min:vdw_radius_mm3 + min:covalent_radius_cordero) * (mp_bandgap / min:atomic_radius_rahm)); $\left(\left(min:vdw_{radius, mm3} + min:covalent_{radius, cordero}\right) \left(\frac{ mp_{bandgap} }{ min:atomic_{radius, rahm} } \right)\right)$; ((min:vdw_radius_mm3 + min:covalent_radius_cordero) .* (mp_bandgap ./ min:atomic_radius_rahm)); min:vdw_radius_mm3,min:covalent_radius_cordero,mp_bandgap,min:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1014                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
4239        ,  4.587000000000003e-01,  6.276339608541627e-01,  3.136528862847222e-04,  6.413192982456141e-01
3034        ,  1.700700000000000e+00,  2.020672594054742e+00,  2.771342106021273e-04,  2.841271028037383e+00
3402        ,  0.000000000000000e+00,  5.037361870849665e-02,  2.209913831549162e-04,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.295669572390260e+00,  2.666887359759627e-04,  1.770168224299065e+00
5388        ,  1.719900000000000e+00,  1.617513200641097e+00,  2.672590914842764e-04,  2.255850467289720e+00
3975        ,  1.985400000000000e+00,  1.895625997723959e+00,  3.255436954517641e-04,  2.530615204678363e+00
4837        ,  2.507100000000000e+00,  2.395263156399432e+00,  2.954800375963172e-04,  3.362210389610389e+00
5529        ,  0.000000000000000e+00,  1.975809732036951e-01,  3.098371198790635e-04,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  5.694537107179899e-02,  2.249577079509052e-04,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.239827093902260e+00,  3.718199366157317e-04,  1.422011695906433e+00
3912        ,  4.126200000000000e+00,  3.850944781067329e+00,  2.339044477935657e-04,  5.719808187134503e+00
4305        ,  7.780300000000000e+00,  6.606775933704637e+00,  3.976368641987368e-04,  9.480184049079755e+00
4944        ,  2.979200000000000e+00,  3.166035881356178e+00,  2.349518829032393e-04,  4.680567226890756e+00
4056        ,  2.421900000000000e+00,  2.316786238152358e+00,  2.382586832765345e-04,  3.386929596412556e+00
3594        ,  6.517999999999999e-01,  8.789405267626645e-01,  2.719849888066287e-04,  1.126164502164502e+00
5230        ,  2.302000000000000e-01,  9.712546314507113e-01,  2.511223406364410e-04,  1.318200000000000e+00
5512        ,  0.000000000000000e+00,  5.365365092721816e-02,  2.229710184791877e-04,  0.000000000000000e+00
4489        ,  1.591999999999998e-01,  6.285184770053069e-02,  2.285225112810319e-04,  0.000000000000000e+00
3914        ,  1.235300000000000e+00,  2.089569234504355e+00,  2.988000380187477e-04,  2.891214953271029e+00
4426        ,  3.982600000000000e+00,  3.936474372656654e+00,  3.270494372651286e-04,  5.615677192982456e+00
5849        ,  0.000000000000000e+00,  3.200286420236807e-01,  3.837393605909627e-04,  0.000000000000000e+00
3327        ,  1.875800000000000e+00,  1.317697225233652e+00,  2.698463748067019e-04,  1.795588785046729e+00
4149        ,  0.000000000000000e+00,  1.479923511739434e+00,  2.826187128721962e-04,  2.009090058479532e+00
5832        ,  3.573500000000000e+00,  3.484725063190414e+00,  3.486987428103639e-04,  4.877661349693251e+00
4713        ,  3.813500000000000e+00,  4.686700208880699e+00,  3.771887424527327e-04,  6.625414285714286e+00
3772        ,  6.627000000000001e-01,  5.932741639931862e-01,  4.336816737964853e-04,  2.883181286549705e-01
3683        ,  2.536900000000000e+00,  2.418717045942647e+00,  3.566529492455418e-04,  3.244304093567252e+00
4119        ,  3.041100000000000e+00,  2.543874635754243e+00,  3.906705539358600e-04,  3.348424675324675e+00
5350        ,  5.800999999999998e-01,  6.084330362762354e-01,  2.370895753794713e-04,  8.042571428571429e-01
5125        ,  9.231000000000000e-01,  1.140469295838175e+00,  2.755340522366641e-04,  1.513090058479532e+00
3088        ,  1.459500000000000e+00,  1.074369960788971e+00,  2.765134274010014e-04,  1.410592274678111e+00
5236        ,  1.808000000000001e-01,  1.223533513778069e-01,  2.644341336896433e-04,  0.000000000000000e+00
3447        ,  1.737800000000000e+00,  1.680865033646972e+00,  2.709213568239796e-04,  2.342550000000000e+00
5393        ,  0.000000000000000e+00,  9.597697525295482e-02,  2.485148980172019e-04,  0.000000000000000e+00
3023        ,  2.116900000000000e+00,  1.971933757804563e+00,  2.825352470064829e-04,  2.753960233918129e+00
3172        ,  0.000000000000000e+00,  1.786337851133518e-02,  2.013701064102817e-04,  0.000000000000000e+00
4765        ,  2.740200000000000e+00,  2.865593251209327e+00,  2.848560815398242e-04,  4.100700000000001e+00
4685        ,  7.060000000000000e-01,  6.247392394486878e-01,  2.688625155975682e-04,  7.492593749999987e-01
5367        ,  0.000000000000000e+00,  9.278639263577096e-02,  2.465892492330428e-04,  0.000000000000000e+00
4091        ,  5.020000000000000e-01,  6.801408205547856e-01,  2.740766012204413e-04,  8.200346320346332e-01
4848        ,  7.781000000000002e-01,  7.180651595448613e-01,  2.640010252467000e-04,  9.026999999999998e-01
5773        ,  3.998000000000000e+00,  3.855717429909046e+00,  2.795563082218038e-04,  5.612550000000001e+00
5108        ,  2.033300000000000e+00,  1.878265277971776e+00,  2.967523908283769e-04,  2.576539877300613e+00
5284        ,  5.591300000000000e+00,  5.429544813933316e+00,  2.428289715372815e-04,  8.086650000000001e+00
4269        ,  0.000000000000000e+00,  2.039032673132334e-01,  3.136528862847222e-04,  0.000000000000000e+00
4641        ,  4.323000000000001e-01,  3.429304272847823e-01,  2.105751722867970e-04,  4.689075630252102e-01
5628        ,  0.000000000000000e+00,  1.639530404478109e-01,  2.895412693731429e-04,  0.000000000000000e+00
4071        ,  2.744300000000000e+00,  2.614387640792731e+00,  3.822028365965296e-04,  3.476381168831169e+00
3318        ,  6.493000000000000e-01,  5.157598977454365e-01,  2.405350134596505e-04,  6.553555555555562e-01
3602        ,  1.873300000000000e+00,  1.318513601495880e+00,  3.571974970410544e-04,  1.577773099415204e+00
3203        ,  2.789999999999981e-02,  3.234396565420547e-02,  2.101097406311282e-04,  0.000000000000000e+00
5333        ,  4.202400000000000e+00,  3.513170744600721e+00,  4.144532790596896e-04,  4.755820779220779e+00
3128        ,  0.000000000000000e+00,  8.961189547763565e-02,  2.446733086897838e-04,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  1.860684405437817e-01,  3.028888294948071e-04,  0.000000000000000e+00
3581        ,  3.809500000000000e+00,  3.210414953350158e+00,  2.498688128377816e-04,  4.710327922077922e+00
5122        ,  0.000000000000000e+00,  1.404454151718130e-01,  2.753534436803080e-04,  0.000000000000000e+00
3339        ,  0.000000000000000e+00,  1.539493008183702e-01,  2.576245299103516e-04,  6.489719626168240e-02
4743        ,  0.000000000000000e+00,  2.304389990103537e-01,  3.296682996465720e-04,  0.000000000000000e+00
5373        ,  3.522100000000000e+00,  3.259943176795431e+00,  3.585573810766406e-04,  4.512729824561403e+00
4704        ,  7.975000000000003e-01,  9.528665520330144e-01,  2.686446801492558e-04,  1.246428571428572e+00
5658        ,  1.245900000000000e+00,  1.447844055688142e+00,  2.680985257989657e-04,  1.996950000000000e+00
5591        ,  4.297800000000001e+00,  4.240849915614925e+00,  3.260908336574253e-04,  6.078755555555555e+00
4560        ,  4.276800000000000e+00,  3.683139273460010e+00,  2.518213850498884e-04,  5.420902923976609e+00
3973        ,  2.406300000000000e+00,  2.209954509756063e+00,  3.873266270385612e-04,  2.851419883040935e+00
3283        ,  0.000000000000000e+00,  6.815880599391048e-02,  2.317254804598241e-04,  0.000000000000000e+00
4284        ,  2.943400000000000e+00,  2.961713360867406e+00,  3.922120182088324e-04,  3.976960893854748e+00
5814        ,  0.000000000000000e+00, -4.059670317739435e-02,  1.660870253142321e-04,  0.000000000000000e+00
3835        ,  1.736000000000000e+00,  1.717819315530770e+00,  2.254838755470967e-04,  2.512424581005587e+00
3446        ,  1.277400000000000e+00,  1.275473118914980e+00,  2.826775855689849e-04,  1.699505357142857e+00
4672        ,  6.372000000000000e-01,  6.103350681907114e-01,  2.656206172598152e-04,  7.355883040935673e-01
4958        ,  3.220400000000000e+00,  3.273143069872515e+00,  3.352940600483916e-04,  4.591045614035089e+00
5893        ,  4.026400000000000e+00,  3.734457286517003e+00,  2.166590595575954e-04,  5.586749999999999e+00
4716        ,  3.336500000000000e+00,  3.219018309611207e+00,  2.653250210586282e-04,  4.684589473684211e+00
5360        ,  2.079200000000000e+00,  1.498263087676124e+00,  4.629093465268667e-04,  1.584730519480519e+00
4850        ,  2.079800000000000e+00,  2.547562303475046e+00,  2.619366267032866e-04,  3.676833333333333e+00
4956        ,  3.796700000000000e+00,  4.018061022072254e+00,  4.168222121488580e-04,  5.514035064935065e+00
4791        ,  3.607100000000000e+00,  3.921843478895733e+00,  3.571517150031618e-04,  5.518045454545455e+00
3642        ,  5.232000000000000e-01,  7.407304090182573e-01,  2.732623791183934e-04,  9.137792207792218e-01
4395        ,  9.707000000000000e-01,  5.493687356770937e-01,  2.791196694150222e-04,  6.094636363636375e-01
4360        ,  1.576000000000000e-01,  2.043300797377449e-01,  1.949413145099246e-04,  2.983401709401708e-01
4195        ,  5.205000000000000e+00,  5.676798332996272e+00,  3.764943175269632e-04,  8.125675974025974e+00
5391        ,  2.591300000000000e+00,  2.350126058271439e+00,  2.219702701003369e-04,  3.478236257309942e+00
3452        ,  0.000000000000000e+00,  7.706349242673095e-02,  2.370998276120736e-04,  0.000000000000000e+00
5582        ,  0.000000000000000e+00,  6.037765042798593e-01,  2.389539071547105e-04,  7.925342465753427e-01
4262        ,  2.272100000000000e+00,  1.810848825876129e+00,  4.629093465268667e-04,  2.057831168831169e+00
4001        ,  2.571800000000000e+00,  2.339998369551013e+00,  3.707227460484511e-04,  3.089879870129870e+00
4065        ,  0.000000000000000e+00,  8.762819642141982e-02,  2.434760641316375e-04,  0.000000000000000e+00
5625        ,  8.441999999999998e-01,  1.669162612833256e+00,  3.198561750330635e-04,  2.202123976608187e+00
3791        ,  2.952400000000000e+00,  2.528939444996786e+00,  3.594732353582832e-04,  3.404053987730062e+00
4450        ,  5.732999999999999e-01,  3.768105524279622e-01,  2.819954148963572e-04,  3.410841121495327e-01
4869        ,  2.777500000000000e+00,  3.983858421902780e+00,  3.771887424527327e-04,  5.561658441558441e+00
3136        ,  1.730999999999998e-01,  4.316662704657695e-01,  2.289624136002739e-04,  5.570999999999999e-01
4745        ,  0.000000000000000e+00,  3.146022766174899e-02,  2.095763681425039e-04,  0.000000000000000e+00
3197        ,  1.631300000000000e+00,  1.642320253628679e+00,  2.508662220354614e-04,  2.334504672897197e+00
5724        ,  0.000000000000000e+00,  1.524983760552698e-01,  2.826279048855257e-04,  0.000000000000000e+00
5875        ,  4.952999999999994e-01,  4.202620404450966e-01,  3.157286885063659e-04,  3.222549707602338e-01
3846        ,  4.541999999999993e-01,  9.449716427647117e-01,  4.527957089854314e-04,  7.726822085889571e-01
3699        ,  1.530600000000000e+00,  1.635375432376502e+00,  3.191853807093859e-04,  2.152669005847953e+00
3361        ,  0.000000000000000e+00,  2.973078575817582e-01,  3.700264259375586e-04,  0.000000000000000e+00
3183        ,  1.126200000000000e+00,  1.053638431540709e+00,  2.052863648410959e-04,  1.557831775700935e+00
4240        ,  1.907300000000000e+00,  1.807014685011245e+00,  2.712574582053065e-04,  2.532635514018691e+00
5318        ,  2.948200000000000e+00,  3.142493038528300e+00,  2.773529169105582e-04,  4.538605479452055e+00
3279        ,  0.000000000000000e+00,  3.010482312189440e-01,  3.722838963782097e-04,  0.000000000000000e+00
3456        ,  1.118800000000000e+00,  9.762054895969042e-01,  2.623649318421652e-04,  1.297500000000000e+00
5161        ,  4.347900000000000e+00,  4.313461310969320e+00,  3.525547507596811e-04,  6.122289570552149e+00
4762        ,  2.902400000000000e+00,  3.598665878224097e+00,  3.413285468083014e-04,  5.068593865030675e+00
4605        ,  8.457000000000000e-01,  6.171230686627130e-01,  2.290606190848880e-04,  8.375438596491229e-01
5732        ,  5.205000000000001e-01,  3.213482683615503e-01,  2.278569340932378e-04,  3.929051724137937e-01
3342        ,  0.000000000000000e+00,  9.987285367156362e-02,  2.508662220354614e-04,  0.000000000000000e+00
4447        ,  2.571900000000000e+00,  2.598486699906303e+00,  2.598430274443642e-04,  3.759157894736842e+00
4256        ,  2.726200000000000e+00,  2.821487796837716e+00,  3.099914157229477e-04,  3.970913966480447e+00
4889        ,  0.000000000000000e+00,  2.163724000084662e-01,  3.211785244188906e-04,  0.000000000000000e+00
4038        ,  0.000000000000000e+00,  3.088415671244396e-01,  2.407944289800910e-04,  3.415327102803740e-01
3302        ,  1.491900000000000e+00,  1.361709978619456e+00,  3.281692819013889e-04,  1.715945454545454e+00
4651        ,  3.520400000000000e+00,  3.491688360622478e+00,  4.368705987796286e-04,  4.667090909090909e+00
4953        ,  2.663900000000000e+00,  2.599303119587407e+00,  2.818126942013918e-04,  3.705299999999999e+00
3969        ,  2.773000000000000e+00,  1.953122973023521e+00,  3.299408320499786e-04,  2.606610526315789e+00
5229        ,  4.162100000000001e+00,  4.661421346300569e+00,  3.480692568572620e-04,  6.660177777777778e+00
3068        ,  4.846000000000000e+00,  4.953935491806940e+00,  3.622322562793214e-04,  7.067383240223464e+00
3250        ,  1.199900000000000e+00,  4.817593194956697e-02,  2.196649881534193e-04,  0.000000000000000e+00
5085        ,  0.000000000000000e+00,  1.391206913412058e-01,  2.745539179698574e-04,  0.000000000000000e+00
4930        ,  7.380000000000009e-02,  7.034587333846994e-01,  2.417155541546976e-04,  9.364785714285713e-01
