# c0 + a0 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.455199145777531; Max AE: 3.51490369566685
# Coefficients
# Task   a0                      c0
# all ,  8.059354933015539e-03,  1.497912668564683e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * pm;                                          20|0|mult|10|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1014                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3266        ,  1.678000000000000e+00,  5.888822024227346e-01,  5.448214394523177e+01
4239        ,  4.587000000000003e-01,  5.797425771031532e-01,  5.334810463370568e+01
3034        ,  1.700700000000000e+00,  2.061003107184898e+00,  2.371420363308554e+02
5237        ,  1.472900000000000e+00,  1.340514163851781e+00,  1.477441937837306e+02
3895        ,  0.000000000000000e+00,  1.694472137608865e-01,  2.438898282528386e+00
5388        ,  1.719900000000000e+00,  1.667213603743721e+00,  1.882808673273662e+02
4837        ,  2.507100000000000e+00,  2.528171382428818e+00,  2.951080000000000e+02
5529        ,  0.000000000000000e+00,  1.497912668564683e-01,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.103131971734068e+00,  1.182899515905663e+02
3912        ,  4.126200000000000e+00,  3.984447468760360e+00,  4.758018766731610e+02
4944        ,  2.979200000000000e+00,  3.136019420981519e+00,  3.705294256109533e+02
4056        ,  2.421900000000000e+00,  2.369117269519082e+00,  2.753726596121281e+02
3594        ,  6.517999999999999e-01,  8.380802334061380e-01,  8.540248844607409e+01
5230        ,  2.302000000000000e-01,  1.009176646936198e+00,  1.066320303823841e+02
5512        ,  0.000000000000000e+00,  1.497912668564683e-01,  0.000000000000000e+00
