# c0 + a0 * ((min:covalent_radius_cordero / ave:melting_point) / (sum:specific_heat * min:dipole_polarizability)) + a1 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.447158666955013; Max AE: 3.54940618797242
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.493031758658556e+01,  8.044228451405025e-03,  8.074726302581227e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; AA_polar^-3 * J^-1 * g * pm;                      5|19|div|26|6|mult|div; ((min:covalent_radius_cordero / ave:melting_point) / (sum:specific_heat * min:dipole_polarizability)); $\left(\frac{ \left(\frac{ min:covalent_{radius, cordero} }{ ave:melting_{point} } \right) }{ \left(sum:specific_{heat} min:dipole_{polarizability}\right) } \right)$; ((min:covalent_radius_cordero ./ ave:melting_point) ./ (sum:specific_heat .* min:dipole_polarizability)); min:covalent_radius_cordero,ave:melting_point,sum:specific_heat,min:dipole_polarizability
# 1;  2; eV * pm;                                          20|0|mult|10|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1014                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3266        ,  1.678000000000000e+00,  1.091620828931818e+00,  2.296828957350849e-02,  5.448214394523177e+01
4239        ,  4.587000000000003e-01,  6.081694937006793e-01,  3.942103393209908e-03,  5.334810463370568e+01
3034        ,  1.700700000000000e+00,  2.107813137259079e+00,  4.791000280748305e-03,  2.371420363308554e+02
5237        ,  1.472900000000000e+00,  1.286945598754541e+00,  7.103916146369105e-04,  1.477441937837306e+02
3895        ,  0.000000000000000e+00,  1.307120353013031e-01,  1.217221449975491e-03,  2.438898282528386e+00
5388        ,  1.719900000000000e+00,  1.615798193036333e+00,  8.213541656414828e-04,  1.882808673273662e+02
4837        ,  2.507100000000000e+00,  2.469234612234621e+00,  5.844762835839271e-04,  2.951080000000000e+02
5529        ,  0.000000000000000e+00,  1.385868556972518e-01,  2.320050375233155e-03,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.105493555265173e+00,  2.935979370699600e-03,  1.182899515905663e+02
3912        ,  4.126200000000000e+00,  3.981177923263251e+00,  2.927025153925717e-03,  4.758018766731610e+02
4944        ,  2.979200000000000e+00,  3.100271694836581e+00,  1.560392646153384e-03,  3.705294256109533e+02
4056        ,  2.421900000000000e+00,  2.318127239144187e+00,  8.912599227928670e-04,  2.753726596121281e+02
3594        ,  6.517999999999999e-01,  8.300019937898860e-01,  2.497264752811455e-03,  8.540248844607409e+01
5230        ,  2.302000000000000e-01,  9.687606909765910e-01,  1.213021663791056e-03,  1.066320303823841e+02
5512        ,  0.000000000000000e+00,  1.214778193240199e-01,  1.633776070310627e-03,  0.000000000000000e+00
3914        ,  1.235300000000000e+00,  2.047030014772112e+00,  1.007839806410766e-03,  2.413105243122514e+02
