# c0 + a0 * ((ave:density / min:dipole_polarizability) / (sum:specific_heat * ave:melting_point)) + a1 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.467221860087619; Max AE: 4.47758114819336
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.416300056121253e+02,  8.073613334073627e-03,  7.054285586560423e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; AA_polar^-3 * J^-1 * cm^-3 * g^2;                 11|6|div|26|19|mult|div; ((ave:density / min:dipole_polarizability) / (sum:specific_heat * ave:melting_point)); $\left(\frac{ \left(\frac{ ave:density }{ min:dipole_{polarizability} } \right) }{ \left(sum:specific_{heat} ave:melting_{point}\right) } \right)$; ((ave:density ./ min:dipole_polarizability) ./ (sum:specific_heat .* ave:melting_point)); ave:density,min:dipole_polarizability,sum:specific_heat,ave:melting_point
# 1;  2; eV * pm;                                          20|0|mult|10|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1015                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3266        ,  1.678000000000000e+00,  1.146837512392354e+00,  1.441086168543920e-03,  5.448214394523177e+01
3402        ,  0.000000000000000e+00,  9.338444407928485e-02,  5.172109667236226e-05,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.274220543388859e+00,  2.456398890725934e-05,  1.477441937837306e+02
3895        ,  0.000000000000000e+00,  1.023814137744024e-01,  2.750681806072064e-05,  2.438898282528386e+00
5388        ,  1.719900000000000e+00,  1.612562404031260e+00,  4.961761402537072e-05,  1.882808673273662e+02
3975        ,  1.985400000000000e+00,  1.831849408171445e+00,  1.397952390224621e-04,  2.105090632640277e+02
4837        ,  2.507100000000000e+00,  2.468260451287301e+00,  3.425879455116693e-05,  2.951080000000000e+02
5529        ,  0.000000000000000e+00,  1.385832793822459e-01,  1.540665775694603e-04,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  1.018678568185970e-01,  7.093041812132868e-05,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.109994332911020e+00,  1.911648790255518e-04,  1.182899515905663e+02
3912        ,  4.126200000000000e+00,  3.958793269675846e+00,  1.059937896648858e-04,  4.758018766731610e+02
4305        ,  7.780300000000000e+00,  6.525750200723683e+00,  1.606185485547721e-04,  7.907578812840137e+02
4056        ,  2.421900000000000e+00,  2.306985117455398e+00,  2.986636989874864e-05,  2.753726596121281e+02
3594        ,  6.517999999999999e-01,  8.153160069009595e-01,  1.251420439094940e-04,  8.540248844607409e+01
5230        ,  2.302000000000000e-01,  9.552476738005571e-01,  5.388908203238031e-05,  1.066320303823841e+02
4489        ,  1.591999999999998e-01,  7.471816499186983e-02,  9.454314863588977e-06,  0.000000000000000e+00
4426        ,  3.982600000000000e+00,  3.867912674918871e+00,  5.856515996618876e-05,  4.671397466127810e+02
5849        ,  0.000000000000000e+00,  2.199577814554337e-01,  3.383260278765062e-04,  0.000000000000000e+00
5700        ,  2.603800000000000e+00,  2.112500357191561e+00,  9.907380244914300e-05,  2.474980476165699e+02
3327        ,  1.875800000000000e+00,  1.378233461885118e+00,  2.212971117761532e-04,  1.498658792832436e+02
3977        ,  3.184500000000000e+00,  3.272380350873938e+00,  1.459977304082815e-04,  3.885943488608685e+02
5832        ,  3.573500000000000e+00,  3.379454432708040e+00,  5.464098772552553e-05,  4.068538263113957e+02
4713        ,  3.813500000000000e+00,  4.821732323229340e+00,  1.271956138382769e-04,  5.815260000000000e+02
3772        ,  6.627000000000001e-01,  7.612250526396735e-01,  1.125482572253061e-03,  2.398372501397711e+01
3860        ,  1.860999999999999e-01,  8.907646871013676e-02,  4.196638047463249e-05,  0.000000000000000e+00
5825        ,  2.044100000000000e+00,  2.133988452382523e+00,  2.949142065502838e-05,  2.539657542916992e+02
3683        ,  2.536900000000000e+00,  2.341038085806673e+00,  2.074380025847472e-04,  2.698772276472176e+02
5125        ,  9.231000000000000e-01,  1.147076903433568e+00,  1.366261671732139e-04,  1.258662993314001e+02
5236        ,  1.808000000000001e-01,  2.305875522314986e-01,  3.623954313160016e-04,  0.000000000000000e+00
