# c0 + a0 * ((min:covalent_radius_cordero / ave:melting_point) / (sum:specific_heat * min:Polarizability)) + a1 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.444577206697371; Max AE: 4.48876982372454
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.236118950082610e+00,  8.012701614169162e-03,  5.918580732233480e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; AA_polar^-1 * J^-1 * g * pm;                      5|19|div|26|8|mult|div; ((min:covalent_radius_cordero / ave:melting_point) / (sum:specific_heat * min:Polarizability)); $\left(\frac{ \left(\frac{ min:covalent_{radius, cordero} }{ ave:melting_{point} } \right) }{ \left(sum:specific_{heat} min:Polarizability\right) } \right)$; ((min:covalent_radius_cordero ./ ave:melting_point) ./ (sum:specific_heat .* min:Polarizability)); min:covalent_radius_cordero,ave:melting_point,sum:specific_heat,min:Polarizability
# 1;  2; eV * pm;                                          20|0|mult|10|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1015                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3266        ,  1.678000000000000e+00,  1.131437178506835e+00,  1.500671288842700e-01,  5.448214394523177e+01
4239        ,  4.587000000000003e-01,  5.957553673547984e-01,  2.575638625987521e-02,  5.334810463370568e+01
3034        ,  1.700700000000000e+00,  2.133803325887834e+00,  4.118608172381216e-02,  2.371420363308554e+02
3402        ,  0.000000000000000e+00,  9.023408645662478e-02,  7.329416265254897e-03,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.268885579503537e+00,  6.106918259620061e-03,  1.477441937837306e+02
3895        ,  0.000000000000000e+00,  1.376942241090384e-01,  1.391987648985733e-02,  2.438898282528386e+00
3975        ,  1.985400000000000e+00,  1.814534826306456e+00,  1.619470765094326e-02,  2.105090632640277e+02
4451        ,  1.030000000000000e-01,  1.491709890817028e-01,  2.124236425363202e-02,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.088268126701467e+00,  1.918270810781285e-02,  1.182899515905663e+02
3912        ,  4.126200000000000e+00,  3.952656676584574e+00,  1.912420424759446e-02,  4.758018766731610e+02
4305        ,  7.780300000000000e+00,  6.566388645084745e+00,  4.038977375214392e-02,  7.907578812840137e+02
4944        ,  2.979200000000000e+00,  3.070876376345986e+00,  1.009151131904806e-02,  3.705294256109533e+02
5512        ,  0.000000000000000e+00,  1.186814222902121e-01,  1.404484049408411e-02,  0.000000000000000e+00
4489        ,  1.591999999999998e-01,  6.301104720758266e-02,  9.030057772984063e-04,  0.000000000000000e+00
3914        ,  1.235300000000000e+00,  2.024828613890407e+00,  7.576175096467143e-03,  2.413105243122514e+02
4426        ,  3.982600000000000e+00,  3.851693429842269e+00,  1.167488953353554e-02,  4.671397466127810e+02
5700        ,  2.603800000000000e+00,  2.118331392876875e+00,  1.794510041132159e-02,  2.474980476165699e+02
3327        ,  1.875800000000000e+00,  1.440436359764851e+00,  4.259086718923957e-02,  1.498658792832436e+02
4149        ,  0.000000000000000e+00,  1.457606844637222e+00,  1.399631311152610e-02,  1.671260274741575e+02
3977        ,  3.184500000000000e+00,  3.276529154134860e+00,  2.446880780720474e-02,  3.885943488608685e+02
4713        ,  3.813500000000000e+00,  4.807896590447054e+00,  2.103729033426834e-02,  5.815260000000000e+02
3772        ,  6.627000000000001e-01,  6.300259121826937e-01,  8.938976388273766e-02,  2.398372501397711e+01
3860        ,  1.860999999999999e-01,  9.308685156107982e-02,  8.002854650265168e-03,  0.000000000000000e+00
5825        ,  2.044100000000000e+00,  2.132298633205452e+00,  9.008485591648876e-03,  2.539657542916992e+02
4119        ,  3.041100000000000e+00,  2.472577678483190e+00,  1.380388342462070e-02,  2.938980000000000e+02
5350        ,  5.800999999999998e-01,  5.426849522444592e-01,  2.042278228653112e-03,  5.926188622532687e+01
3088        ,  1.459500000000000e+00,  1.066712980843352e+00,  3.774433721283397e-02,  1.057867511123232e+02
5236        ,  1.808000000000001e-01,  2.321251716120559e-01,  4.082495471151691e-02,  0.000000000000000e+00
3447        ,  1.737800000000000e+00,  1.635894200334703e+00,  1.377446956600192e-02,  1.894939028768426e+02
5393        ,  0.000000000000000e+00,  1.016027968172099e-01,  1.001317243323582e-02,  0.000000000000000e+00
3172        ,  0.000000000000000e+00,  1.447940467974662e-01,  2.020912077397212e-02,  0.000000000000000e+00
4685        ,  7.060000000000000e-01,  6.009063649046412e-01,  1.900524207553153e-02,  5.756012312497213e+01
5367        ,  0.000000000000000e+00,  9.780948183345924e-02,  9.117703012180813e-03,  0.000000000000000e+00
4848        ,  7.781000000000002e-01,  7.315414796644211e-01,  2.059844012514423e-02,  7.302134260823709e+01
3748        ,  5.403900000000000e+00,  4.914424907385570e+00,  4.190267662260631e-02,  5.837899129166641e+02
5254        ,  4.435099999999999e+00,  6.131029051077499e+00,  1.398423086173034e-02,  7.503841610384122e+02
5773        ,  3.998000000000000e+00,  3.725917956613243e+00,  6.816532264211714e-03,  4.540112290416097e+02
5108        ,  2.033300000000000e+00,  1.845084561314998e+00,  1.507542093008245e-02,  2.149134662228186e+02
5284        ,  5.591300000000000e+00,  5.333096403363593e+00,  7.655575169900829e-03,  6.541464940765487e+02
4269        ,  0.000000000000000e+00,  2.774000391645443e-01,  5.151277251975043e-02,  0.000000000000000e+00
5628        ,  0.000000000000000e+00,  9.548371358596021e-02,  8.568670212369166e-03,  0.000000000000000e+00
4071        ,  2.744300000000000e+00,  2.591483780399229e+00,  2.062981310885237e-02,  3.051290000000000e+02
3318        ,  6.493000000000000e-01,  5.289135736332047e-01,  7.471515407871147e-03,  5.467288804703319e+01
3602        ,  1.873300000000000e+00,  1.200568146335815e+00,  2.118440497161455e-02,  1.312469539371515e+02
3203        ,  2.789999999999981e-02,  1.397060170460253e-01,  1.900801433399792e-02,  0.000000000000000e+00
5333        ,  4.202400000000000e+00,  3.480944469182219e+00,  1.818472365110914e-02,  4.174280000000000e+02
