# c0 + a0 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (min:vdw_radius_alvarez * ave:period)) + a1 * ((max:mendeleev_number^6) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.16106562094069; Max AE: 5.82272895517702
# Coefficients
# Task   a0                      a1                      c0
# all , -6.794429175189471e+01,  3.401599848931524e-12, -4.024648642334152e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         24|14|abd|20|17|mult|div; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (min:vdw_radius_alvarez * ave:period)); $\left(\frac{ \left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) }{ \left(min:vdw_{radius, alvarez} ave:period\right) } \right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) ./ (min:vdw_radius_alvarez .* ave:period)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,min:vdw_radius_alvarez,ave:period
# 1;  2; cm * g^-0.333333;                                 21|sp|8|cbrt|div; ((max:mendeleev_number^6) / cbrt(ave:density)); $\left(\frac{ \left(max:mendeleev_{number}^6\right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((max:mendeleev_number).^6 ./ nthroot(ave:density, 3)); max:mendeleev_number,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1691                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  6.985488272456846e-01,  1.909090909090909e-02,  5.985164925822043e+11
3256        ,  1.546800000000000e+00,  1.143829080783747e+00,  1.515151515151515e-02,  6.507333700171051e+11
3559        ,  4.266400000000000e+00,  3.650019472186333e+00,  7.608695652173914e-03,  1.236839599805922e+12
5115        ,  2.619500000000000e+00,  2.157777816022862e+00,  3.703703703703714e-03,  7.201522625369020e+11
5543        ,  4.231000000000000e-01,  4.467801045321656e-01,  7.345491388044594e-03,  2.898961796448768e+11
4072        ,  9.394999999999998e-01,  1.582614362071044e+00,  2.380952380952367e-03,  5.246451819645253e+11
3064        ,  0.000000000000000e+00,  1.269785090912976e+00,  2.389486260454005e-03,  4.328503040756655e+11
4062        ,  5.457999999999998e-01,  2.264671504971106e+00,  3.688092729188597e-03,  7.512649792118221e+11
5382        ,  5.297999999999998e-01,  2.609024723782899e+00,  5.555555555555592e-03,  8.897988100121469e+11
3811        ,  3.111700000000000e+00,  1.667182059224981e+00,  1.025641025641025e-02,  7.068124362694213e+11
4157        ,  1.256900000000000e+00,  1.668312714029801e+00,  4.048582995951413e-03,  5.831483398421790e+11
3682        ,  3.169300000000000e+00,  1.452739809854422e+00,  1.079365079365078e-02,  6.545018090734457e+11
5228        ,  8.589000000000000e-01,  9.317686326984186e-01,  7.934408886537953e-03,  4.442359414680054e+11
5154        ,  1.082900000000000e+00,  1.095397664486481e+00,  1.629629629629628e-02,  6.593616417419617e+11
