# c0 + a0 * (ave:covalent_radius_cordero / ave:gs_est_fcc_latcnt)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.22782067376398; Max AE: 4.91312975581528
# Coefficients
# Task   a0                      c0
# all , -2.589897563323468e-01,  8.193461310680361e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA^-1 * pm;                                       12|30|div; (ave:covalent_radius_cordero / ave:gs_est_fcc_latcnt); $\left(\frac{ ave:covalent_{radius, cordero} }{ ave:gs_{est, fcc, latcnt} } \right)$; (ave:covalent_radius_cordero ./ ave:gs_est_fcc_latcnt); ave:covalent_radius_cordero,ave:gs_est_fcc_latcnt
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1352                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
5613        ,  3.984599999999999e+00,  1.228122691310182e+00,  2.689426299328981e+01
3256        ,  1.546800000000000e+00,  1.482577213597251e+00,  2.591177424203379e+01
3559        ,  4.266400000000000e+00,  3.233320580784782e+00,  1.915187998219711e+01
5115        ,  2.619500000000000e+00,  2.212885160170718e+00,  2.309194091381402e+01
5543        ,  4.231000000000000e-01,  4.110458375468976e-01,  3.004912465783679e+01
4072        ,  9.394999999999998e-01,  1.006328337967750e+00,  2.775064571855025e+01
3064        ,  0.000000000000000e+00,  1.558873048259738e+00,  2.561718407853488e+01
4062        ,  5.457999999999998e-01,  2.602830665045912e+00,  2.158630026455684e+01
3811        ,  3.111700000000000e+00,  1.810383113007453e+00,  2.464606433886083e+01
3682        ,  3.169300000000000e+00,  1.396005138179290e+00,  2.624604258007133e+01
5154        ,  1.082900000000000e+00,  1.207888164520109e+00,  2.697239166940666e+01
3743        ,  0.000000000000000e+00, -3.245137855822143e-01,  3.288923553150860e+01
3753        ,  0.000000000000000e+00,  3.861816683291509e-01,  3.014512910824385e+01
4753        ,  7.596999999999996e-01,  1.422554099379633e+00,  2.614353288402653e+01
5732        ,  5.205000000000001e-01,  5.116572007830898e-01,  2.966064843135977e+01
5846        ,  0.000000000000000e+00,  1.610365713627896e+00,  2.541836283518779e+01
4747        ,  3.408700000000000e+00,  1.349304227403764e+00,  2.642636210867692e+01
3114        ,  0.000000000000000e+00, -5.643652952400633e-01,  3.381533976456584e+01
3084        ,  8.620000000000028e-02,  1.309531660356323e+00,  2.657993021735687e+01
