# c0 + a0 * (ave:covalent_radius_pyykko_double - ave:covalent_radius_cordero) + a1 * (energy_vdw_per_atom / ave:gs_energy)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.15108069662318; Max AE: 4.93798211611721
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.045708769322043e-02,  2.486356584515116e+00, -6.738484196657855e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               14|12|sub; (ave:covalent_radius_pyykko_double - ave:covalent_radius_cordero); $\left(ave:covalent_{radius, pyykko, double} - ave:covalent_{radius, cordero}\right)$; (ave:covalent_radius_pyykko_double - ave:covalent_radius_cordero); ave:covalent_radius_pyykko_double,ave:covalent_radius_cordero
# 1;  1; atom^-1;                                          64|28|div; (energy_vdw_per_atom / ave:gs_energy); $\left(\frac{ energy_{vdw, per, atom} }{ ave:gs_{energy} } \right)$; (energy_vdw_per_atom ./ ave:gs_energy); energy_vdw_per_atom,ave:gs_energy
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1352                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  1.729543451148192e+00, -1.900000000000000e+01,  1.275793084845783e+00
3256        ,  1.546800000000000e+00,  1.104303168360598e+00, -8.714285714285708e+00,  8.569592240400802e-01
3559        ,  4.266400000000000e+00,  3.393675779251086e+00,  1.897331087067346e+01,  1.327210794197022e+00
5115        ,  2.619500000000000e+00,  1.734179232077878e+00, -9.000000000000000e+00,  1.114941218909380e+00
5543        ,  4.231000000000000e-01,  8.908342652041353e-01, -1.040000000000001e+01,  7.985324427093827e-01
4072        ,  9.394999999999998e-01,  9.550557117278914e-01, -5.000000000000000e+00,  7.364951516867375e-01
3064        ,  0.000000000000000e+00,  1.150160453596166e+00, -7.666666666666671e+00,  8.583563163069702e-01
4062        ,  5.457999999999998e-01,  2.095995172630662e+00, -4.800000000000011e+00,  1.192120885509246e+00
3811        ,  3.111700000000000e+00,  1.478606503733789e+00, -1.100000000000000e+01,  1.044694435304240e+00
3682        ,  3.169300000000000e+00,  1.408802842003701e+00, -1.438461538461539e+01,  1.071692984149241e+00
5154        ,  1.082900000000000e+00,  9.118595251779078e-01, -1.700000000000000e+01,  9.143814888771513e-01
3743        ,  0.000000000000000e+00, -1.636106293172278e-01, -2.100000000000000e+01,  5.469193921640886e-01
3753        ,  0.000000000000000e+00,  8.101222709827637e-01, -2.946666666666668e+01,  1.076316335587346e+00
4753        ,  7.596999999999996e-01,  1.116887028505546e+00, -7.599999999999994e+00,  8.438891379085895e-01
5732        ,  5.205000000000001e-01,  9.363439347593066e-01, -1.742857142857142e+01,  9.312025521592218e-01
5846        ,  0.000000000000000e+00,  2.408236307304519e+00,  8.473310870673458e+00,  1.101724210872898e+00
4747        ,  3.408700000000000e+00,  2.053228770627472e+00, -7.500000000000000e+00,  1.218853871108521e+00
3114        ,  0.000000000000000e+00, -5.850428080265345e-01, -2.033333333333331e+01,  3.665737517610108e-01
3084        ,  8.620000000000028e-02, -1.399608544162099e-01, -9.000000000000000e+00,  3.611715874067539e-01
5005        ,  1.334700000000000e+00,  2.290097884105613e+00, -6.333333333333329e+00,  1.295137851860638e+00
5413        ,  7.898000000000001e-01,  9.408751217958727e-01, -8.799999999999997e+00,  7.926240047126339e-01
3108        ,  0.000000000000000e+00,  1.431537844650083e+00, -1.100000000000000e+01,  1.025763659494830e+00
3544        ,  0.000000000000000e+00,  1.208198372432852e+00, -8.000000000000000e+00,  8.871227511698818e-01
5200        ,  8.647000000000000e-01,  9.363745399407464e-01, -1.911111111111111e+01,  9.585925335840111e-01
3333        ,  0.000000000000000e+00, -9.097132000976367e-01, -2.600000000000000e+01,  3.281989014262885e-01
3097        ,  9.430000000000005e-02,  8.494233903394289e-01, -1.800000000000000e+01,  9.055416276592783e-01
3253        ,  0.000000000000000e+00, -3.635130407713149e-01, -2.600000000000000e+01,  5.478778335344280e-01
3838        ,  1.593100000000000e+00,  8.099130725486212e-01, -7.750000000000000e+00,  7.228665160220256e-01
5515        ,  0.000000000000000e+00,  1.223263899352917e+00, -1.171428571428571e+01,  9.536195323678376e-01
5434        ,  3.770000000000007e-02,  6.780015956844521e-01, -1.592857142857143e+01,  8.028911214490927e-01
3488        ,  3.973200000000000e+00,  1.797138109557037e+00, -8.571428571428569e+00,  1.133289401907248e+00
3663        ,  0.000000000000000e+00,  1.245667594896755e+00, -1.375000000000000e+01,  9.957545855503853e-01
5704        ,  2.854299999999999e+00,  1.598992950602123e+00, -2.250000000000000e+01,  1.280237059796527e+00
5381        ,  2.504600000000000e+00,  1.196383045705507e+00, -1.818181818181819e+01,  1.048045519377294e+00
5535        ,  1.533700000000000e+00,  1.230288816318164e+00, -8.799999999999997e+00,  9.090247238712387e-01
4712        ,  1.100500000000000e+00,  1.156671613240541e+00, -1.816666666666666e+01,  1.031827242846376e+00
3060        ,  3.200900000000000e+00,  3.521487631522672e+00,  3.645996630601020e+01,  1.094079591799517e+00
4962        ,  1.660300000000000e+00,  1.329159894978692e+00, -1.183333333333333e+01,  9.981474638313951e-01
3855        ,  1.167300000000000e+00,  2.094305083661373e+00, -8.250000000000000e+00,  1.247578282260409e+00
4370        ,  8.121000000000000e-01,  9.264378312398559e-01, -8.166666666666671e+00,  7.765120306654619e-01
5128        ,  4.194100000000000e+00,  2.932690259310071e+00,  2.104983153005094e+00,  1.416280035169899e+00
3112        ,  0.000000000000000e+00, -9.101891530521867e-01, -1.466666666666666e+01,  1.435956082638049e-01
5766        ,  2.967000000000000e+00,  1.643806627505789e+00, -7.333333333333329e+00,  1.051474423742683e+00
5366        ,  4.962000000000000e-01,  1.192760456613909e+00, -7.857142857142861e+00,  8.785891804394168e-01
3150        ,  0.000000000000000e+00, -1.170089572140082e-01, -2.350000000000000e+01,  6.063414365548305e-01
4752        ,  7.246999999999995e-01,  2.976123345396530e+00,  2.000000000000028e-01,  1.464745793183926e+00
4701        ,  2.185200000000000e+00,  3.331343032454181e+00,  3.820996630601020e+01,  9.891290371780387e-01
3583        ,  1.527200000000000e+00,  8.086223266981784e-01, -2.266666666666667e+01,  9.650659452285436e-01
5595        ,  1.449800000000000e+00,  1.035450883047597e+00, -1.037500000000000e+01,  8.562897215910589e-01
4793        ,  0.000000000000000e+00,  1.806016937822658e+00, -2.292307692307692e+01,  1.370385210224495e+00
4159        ,  1.161400000000000e+00,  1.186862908704315e+00, -1.341666666666667e+01,  9.666797607483435e-01
4597        ,  2.728600000000000e+00,  1.404497642426395e+00, -2.200000000000000e+01,  1.193876216239482e+00
3722        ,  0.000000000000000e+00,  1.135481305106313e+00, -2.166666666666666e+01,  1.080255332180764e+00
4996        ,  0.000000000000000e+00,  1.026333067133278e-01, -1.500000000000000e+01,  5.563715399443380e-01
3033        ,  0.000000000000000e+00,  7.313210450250539e-01, -2.050000000000000e+01,  8.987205521196925e-01
4293        ,  1.136700000000000e+00,  1.319195111807298e+00, -7.799999999999983e+00,  9.285107493663957e-01
4850        ,  2.079800000000000e+00,  2.923245259844161e-01, -8.000000000000000e+00,  5.187629381999946e-01
4790        ,  1.588000000000000e+00,  7.632621723345318e-01, -1.100000000000000e+01,  7.569865755972378e-01
3593        ,  0.000000000000000e+00,  1.706188263772290e+00, -2.100000000000000e+01,  1.298943017711010e+00
3846        ,  4.541999999999993e-01,  3.273072413449412e+00,  4.000000000000057e-01,  1.580922874264422e+00
5476        ,  0.000000000000000e+00,  6.187266106884679e-01, -1.525000000000000e+01,  7.680095564604063e-01
3652        ,  1.815100000000000e+00,  9.493652988132044e-01, -1.475000000000000e+01,  8.928549411535522e-01
5918        ,  0.000000000000000e+00,  1.330680914295198e+00, -5.555555555555557e+00,  8.966094992731719e-01
5231        ,  0.000000000000000e+00,  1.466472513049686e+00, -1.516666666666667e+01,  1.107612686456119e+00
3474        ,  3.947700000000000e+00,  1.916753721479718e+00, -4.666666666666671e+00,  1.117861332129035e+00
5899        ,  9.491000000000001e-01,  1.251184328543646e+00, -1.552631578947367e+01,  1.026876950618375e+00
3059        ,  0.000000000000000e+00, -7.098149362185227e-01, -9.000000000000000e+00,  1.319791677227348e-01
5321        ,  2.269500000000000e+00,  1.357931928014500e+00, -9.400000000000006e+00,  9.701251168150348e-01
5703        ,  3.516900000000001e+00,  1.438014060931860e+00, -9.000000000000000e+00,  9.958250901165446e-01
5777        ,  6.503000000000001e-01,  1.152023393954046e+00, -1.805882352941175e+01,  1.028202968434712e+00
3819        ,  0.000000000000000e+00,  1.830641859975056e+00, -1.627272727272727e+01,  1.272077164482116e+00
5153        ,  0.000000000000000e+00,  9.179636493176401e-01, -2.066666666666667e+01,  9.764991995775230e-01
4272        ,  2.407300000000000e+00,  1.516033962901844e+00, -1.100000000000000e+01,  1.059747569436791e+00
4392        ,  4.559800000000000e+00,  3.541555647115211e+00,  2.013997753734012e+01,  1.367703751984760e+00
4170        ,  6.400000000000183e-03,  7.464441768014619e-01, -1.585714285714285e+01,  8.292561205595104e-01
4509        ,  2.598600000000000e+00,  2.000462012286413e+00, -2.857142857142861e+00,  1.122084470285169e+00
