# c0 + a0 * (energy_per_atom / ave:gs_energy) + a1 * (ave:gs_est_fcc_latcnt / ave:covalent_radius_cordero)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.1610581933494; Max AE: 4.4921683758712
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.842042637865191e+00,  1.278255437367400e+02, -5.879207911856557e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         63|28|div; (energy_per_atom / ave:gs_energy); $\left(\frac{ energy_{per, atom} }{ ave:gs_{energy} } \right)$; (energy_per_atom ./ ave:gs_energy); energy_per_atom,ave:gs_energy
# 1;  1; AA * pm^-1;                                       30|12|div; (ave:gs_est_fcc_latcnt / ave:covalent_radius_cordero); $\left(\frac{ ave:gs_{est, fcc, latcnt} }{ ave:covalent_{radius, cordero} } \right)$; (ave:gs_est_fcc_latcnt ./ ave:covalent_radius_cordero); ave:gs_est_fcc_latcnt,ave:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  1.458722961485122e+00,  1.403354196994680e+00,  3.718265119402984e-02
3256        ,  1.546800000000000e+00,  1.123047701247413e+00,  1.123290526085653e+00,  3.859249431008901e-02
3559        ,  4.266400000000000e+00,  3.420587825501884e+00,  1.425313285418718e+00,  5.221419520848939e-02
5115        ,  2.619500000000000e+00,  2.168075983763071e+00,  1.363583722356358e+00,  4.330515151291513e-02
4072        ,  9.394999999999998e-01,  9.837534629299091e-01,  1.225130521252735e+00,  3.603519752808989e-02
3064        ,  0.000000000000000e+00,  1.302743522147426e+00,  1.190046055044908e+00,  3.903629676604146e-02
4062        ,  5.457999999999998e-01,  2.918481797976340e+00,  1.561356204988304e+00,  4.632567821925133e-02
5382        ,  5.297999999999998e-01,  2.365476482204721e+00,  1.413736466436540e+00,  4.412671661148648e-02
4157        ,  1.256900000000000e+00,  1.283675990456850e+00,  1.173627252053123e+00,  3.912373315126050e-02
3682        ,  3.169300000000000e+00,  1.371413383484244e+00,  1.292229878646212e+00,  3.810098215566038e-02
5228        ,  8.589000000000000e-01,  6.464627897575865e-01,  1.073733973450350e+00,  3.557823270566728e-02
5154        ,  1.082900000000000e+00,  8.140064622298955e-01,  1.060827276662508e+00,  3.707494731118881e-02
3743        ,  0.000000000000000e+00, -1.440101460155825e-01,  1.003587654714067e+00,  3.040508494160584e-02
3373        ,  0.000000000000000e+00,  1.831022983674255e+00,  1.665853323453394e+00,  3.631244514679976e-02
3489        ,  2.194900000000000e+00,  1.897317937017956e+00,  1.516209048677532e+00,  3.898754495859872e-02
5800        ,  5.573999999999995e-01,  2.213480513191452e+00,  1.565148523118337e+00,  4.075568903193277e-02
5846        ,  0.000000000000000e+00,  1.422895792854699e+00,  1.234085213911318e+00,  3.934163685064936e-02
4747        ,  3.408700000000000e+00,  1.607090478154483e+00,  1.438214177515321e+00,  3.784100118993135e-02
3114        ,  0.000000000000000e+00, -4.349055082337958e-01,  9.034520204381385e-01,  2.957237771266969e-02
3084        ,  8.620000000000028e-02,  5.813322341073748e-01,  8.965265309485125e-01,  3.762237115833333e-02
5005        ,  1.334700000000000e+00,  2.868451222945084e+00,  1.690372452763329e+00,  4.407507950478216e-02
5413        ,  7.898000000000001e-01,  9.274838078960157e-01,  1.176930683135043e+00,  3.628957940644172e-02
3108        ,  0.000000000000000e+00,  1.405733115663928e+00,  1.440479571211176e+00,  3.623310414320988e-02
3544        ,  0.000000000000000e+00,  7.939201847625488e-01,  9.864894932306945e-01,  3.798906107751938e-02
5200        ,  8.647000000000000e-01,  8.866399516396694e-01,  1.147578609635557e+00,  3.639303223952096e-02
3333        ,  0.000000000000000e+00, -4.016179579122259e-01,  9.046291031606084e-01,  2.981582916101695e-02
3097        ,  9.430000000000005e-02,  1.022468579967207e+00,  9.819325800057217e-01,  3.984270016040956e-02
3253        ,  0.000000000000000e+00, -4.658452595736818e-01,  9.644508236905789e-01,  2.845130172425249e-02
3838        ,  1.593100000000000e+00,  8.912428077884086e-01,  1.060093511075239e+00,  3.768975379476861e-02
4958        ,  3.220400000000000e+00,  2.000702490206604e+00,  1.301030669542140e+00,  4.289718842807626e-02
5515        ,  0.000000000000000e+00,  1.466477282563855e+00,  1.209918008372944e+00,  4.003084583168317e-02
5434        ,  3.770000000000007e-02,  7.652356591106994e-01,  1.010584442934442e+00,  3.741743471687697e-02
3488        ,  3.973200000000000e+00,  2.141988062070459e+00,  1.346180745464592e+00,  4.335184878165585e-02
3663        ,  0.000000000000000e+00,  1.321669170026012e+00,  1.187496876782395e+00,  3.922109037019231e-02
5381        ,  2.504600000000000e+00,  1.116128218564106e+00,  1.170191594532271e+00,  3.786248958806263e-02
5535        ,  1.533700000000000e+00,  9.339066416408518e-01,  1.103307134561545e+00,  3.740078570540099e-02
4712        ,  1.100500000000000e+00,  8.218533703586676e-01,  1.149698639543015e+00,  3.585564538587642e-02
3060        ,  3.200900000000000e+00,  3.012056545684170e+00,  1.130331929675696e+00,  5.326904661685824e-02
4962        ,  1.660300000000000e+00,  1.391744883999808e+00,  1.189308345498174e+00,  3.974319971869329e-02
4370        ,  8.121000000000000e-01,  1.236123840443699e+00,  1.191152332032982e+00,  3.849917805660377e-02
3971        ,  0.000000000000000e+00,  1.482793016362441e+00,  1.566611249127709e+00,  3.501832325145773e-02
3352        ,  2.475100000000000e+00,  2.107031771508552e+00,  1.857809232201725e+00,  3.570550714049587e-02
3112        ,  0.000000000000000e+00, -3.140909315102589e-01,  8.878264725035793e-01,  3.074270328208093e-02
5366        ,  4.962000000000000e-01,  1.222160048369223e+00,  1.185696062945475e+00,  3.846856514734300e-02
3150        ,  0.000000000000000e+00, -5.790236091078228e-01,  9.774652235341579e-01,  2.737834380877743e-02
5554        ,  1.662000000000000e+00,  8.088932622791253e-01,  1.103497265676888e+00,  3.642004582103825e-02
4752        ,  7.246999999999995e-01,  4.096429411263813e+00,  1.976465239392988e+00,  4.955898402393617e-02
3583        ,  1.527200000000000e+00,  3.820115362941835e-01,  1.085977783251307e+00,  3.333294694527363e-02
5595        ,  1.449800000000000e+00,  9.632489504495696e-01,  1.142863396468020e+00,  3.706030593159922e-02
4793        ,  0.000000000000000e+00,  1.502066129983773e+00,  1.544450061933954e+00,  3.548845593058568e-02
4159        ,  1.161400000000000e+00,  1.180406789139950e+00,  1.169356543478448e+00,  3.837738487657658e-02
4597        ,  2.728600000000000e+00,  1.294757230570564e+00,  1.295907759288306e+00,  3.744828815229885e-02
3722        ,  0.000000000000000e+00,  9.672967523321974e-01,  1.311589461264420e+00,  3.466052890250001e-02
4850        ,  2.079800000000000e+00,  5.294934081210712e-01,  1.136061104298436e+00,  3.376499094366197e-02
3593        ,  0.000000000000000e+00,  1.379987305633090e+00,  1.478945623417308e+00,  3.547737163872833e-02
3846        ,  4.541999999999993e-01,  4.199511697493135e+00,  2.042844626828728e+00,  4.940884677326107e-02
5476        ,  0.000000000000000e+00,  3.648976534206974e-01,  1.028986905518060e+00,  3.402033493762575e-02
3675        ,  1.858500000000000e+00,  1.440192759046036e+00,  1.302702758286584e+00,  3.848813391951220e-02
5231        ,  0.000000000000000e+00,  1.536470437921563e+00,  1.404770474600307e+00,  3.777047292749004e-02
3474        ,  3.947700000000000e+00,  2.384773438350182e+00,  1.795754972418678e+00,  3.877256437931034e-02
5899        ,  9.491000000000001e-01,  1.428092575977657e+00,  1.186708809733116e+00,  4.006501448664344e-02
3267        ,  2.079300000000000e+00,  1.031469977697102e+00,  1.120669494124279e+00,  3.791383753784860e-02
5321        ,  2.269500000000000e+00,  1.397957591901837e+00,  1.219124055007594e+00,  3.936214051199165e-02
5703        ,  3.516900000000001e+00,  1.945410132406002e+00,  1.171517468957264e+00,  4.433099011188205e-02
5777        ,  6.503000000000001e-01,  1.095965072714037e+00,  1.171813301205391e+00,  3.768138025724104e-02
3819        ,  0.000000000000000e+00,  1.679582125681380e+00,  1.634016960823286e+00,  3.558647975771605e-02
3901        ,  0.000000000000000e+00,  7.256322449508881e-01,  1.019910599061434e+00,  3.697321527737227e-02
5153        ,  0.000000000000000e+00,  8.688537184607770e-01,  1.167701001755071e+00,  3.596391192572945e-02
