# c0 + a0 * (energy_per_atom / ave:gs_energy) + a1 * (sum:gs_est_fcc_latcnt / sum:covalent_radius_cordero)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.12425969392051; Max AE: 3.81393134245104
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.849657834952461e+00,  1.333878821047085e+02, -6.119983146930096e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         63|28|div; (energy_per_atom / ave:gs_energy); $\left(\frac{ energy_{per, atom} }{ ave:gs_{energy} } \right)$; (energy_per_atom ./ ave:gs_energy); energy_per_atom,ave:gs_energy
# 1;  1; AA * pm^-1;                                       214|196|div; (sum:gs_est_fcc_latcnt / sum:covalent_radius_cordero); $\left(\frac{ sum:gs_{est, fcc, latcnt} }{ sum:covalent_{radius, cordero} } \right)$; (sum:gs_est_fcc_latcnt ./ sum:covalent_radius_cordero); sum:gs_est_fcc_latcnt,sum:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  1.435457032564288e+00,  1.403354196994680e+00,  3.718265119402985e-02
3256        ,  1.546800000000000e+00,  1.105491056732893e+00,  1.123290526085653e+00,  3.859249431008901e-02
3559        ,  4.266400000000000e+00,  3.481099653368689e+00,  1.425313285418718e+00,  5.221419520848938e-02
5543        ,  4.231000000000000e-01,  4.075695905487976e-01,  1.129159546770252e+00,  3.327883961302682e-02
3064        ,  0.000000000000000e+00,  1.288163813571138e+00,  1.190046055044908e+00,  3.903629676604146e-02
4062        ,  5.457999999999998e-01,  2.947275695508323e+00,  1.561356204988304e+00,  4.632567821925134e-02
5382        ,  5.297999999999998e-01,  2.380914857813100e+00,  1.413736466436540e+00,  4.412671661148648e-02
3811        ,  3.111700000000000e+00,  1.550000443846274e+00,  1.220683268728951e+00,  4.057442950123456e-02
4157        ,  1.256900000000000e+00,  1.269457600220104e+00,  1.173627252053123e+00,  3.912373315126050e-02
5228        ,  8.589000000000000e-01,  6.117624193544139e-01,  1.073733973450350e+00,  3.557823270566728e-02
5154        ,  1.082900000000000e+00,  7.875330378631294e-01,  1.060827276662508e+00,  3.707494731118881e-02
3753        ,  0.000000000000000e+00,  6.074323076013673e-01,  1.244856494713754e+00,  3.317285510402834e-02
3373        ,  0.000000000000000e+00,  1.804915656852094e+00,  1.665853323453394e+00,  3.631244514679977e-02
3489        ,  2.194900000000000e+00,  1.884950849871708e+00,  1.516209048677532e+00,  3.898754495859872e-02
5800        ,  5.573999999999995e-01,  2.211321125407621e+00,  1.565148523118337e+00,  4.075568903193277e-02
4753        ,  7.596999999999996e-01,  1.153374594127059e+00,  1.173850030957099e+00,  3.825037742358804e-02
5732        ,  5.205000000000001e-01,  3.942558547248767e-01,  1.090529243648730e+00,  3.371470459636731e-02
5846        ,  0.000000000000000e+00,  1.410349856020629e+00,  1.234085213911318e+00,  3.934163685064935e-02
5413        ,  7.898000000000001e-01,  8.975260518224951e-01,  1.176930683135043e+00,  3.628957940644172e-02
3108        ,  0.000000000000000e+00,  1.377468201791722e+00,  1.440479571211176e+00,  3.623310414320988e-02
3544        ,  0.000000000000000e+00,  7.719652735990680e-01,  9.864894932306945e-01,  3.798906107751938e-02
3333        ,  0.000000000000000e+00, -4.696585335591987e-01,  9.046291031606084e-01,  2.981582916101695e-02
3097        ,  9.430000000000005e-02,  1.010789534802533e+00,  9.819325800057217e-01,  3.984270016040956e-02
3253        ,  0.000000000000000e+00, -5.410202443443798e-01,  9.644508236905789e-01,  2.845130172425249e-02
3838        ,  1.593100000000000e+00,  8.681835573445708e-01,  1.060093511075239e+00,  3.768975379476861e-02
4958        ,  3.220400000000000e+00,  2.008443537169673e+00,  1.301030669542140e+00,  4.289718842807626e-02
5515        ,  0.000000000000000e+00,  1.457580921255316e+00,  1.209918008372944e+00,  4.003084583168317e-02
3488        ,  3.973200000000000e+00,  2.152601910489293e+00,  1.346180745464592e+00,  4.335184878165584e-02
5704        ,  2.854299999999999e+00,  1.480013815277053e+00,  1.525489138071620e+00,  3.582307440856673e-02
5381        ,  2.504600000000000e+00,  1.094868201655284e+00,  1.170191594532271e+00,  3.786248958806262e-02
5535        ,  1.533700000000000e+00,  9.095691331661085e-01,  1.103307134561545e+00,  3.740078570540098e-02
4712        ,  1.100500000000000e+00,  7.892745490543474e-01,  1.149698639543015e+00,  3.585564538587642e-02
3060        ,  3.200900000000000e+00,  3.076189472851198e+00,  1.130331929675696e+00,  5.326904661685824e-02
3855        ,  1.167300000000000e+00,  2.019264280081643e+00,  1.404731257553075e+00,  4.154031957810414e-02
4370        ,  8.121000000000000e-01,  1.218564920379050e+00,  1.191152332032982e+00,  3.849917805660377e-02
3971        ,  0.000000000000000e+00,  1.448731597713649e+00,  1.566611249127709e+00,  3.501832325145772e-02
5128        ,  4.194100000000000e+00,  2.405082467042586e+00,  1.561320121841870e+00,  4.226139233033033e-02
3352        ,  2.475100000000000e+00,  2.079010232204133e+00,  1.857809232201725e+00,  3.570550714049587e-02
3112        ,  0.000000000000000e+00, -3.771038750153977e-01,  8.878264725035793e-01,  3.074270328208093e-02
5766        ,  2.967000000000000e+00,  1.736575429767950e+00,  1.310959163279441e+00,  4.072133542664418e-02
5366        ,  4.962000000000000e-01,  1.204389298380374e+00,  1.185696062945475e+00,  3.846856514734299e-02
5554        ,  1.662000000000000e+00,  7.791019946025107e-01,  1.103497265676888e+00,  3.642004582103825e-02
