# c0 + a0 * (max:molar_volume * decomposition_energy) + a1 * (min:atomic_volume * max:num_p_valence) + a2 * (max:vdw_radius_mm3 / ave:period)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.06172737367422; Max AE: 5.12572368609168
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.627113253161279e-01,  2.775892002301079e-02,  3.840440757047419e-02, -2.506797152119043e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; atom^-1 * cm^3 * eV;                              106|62|mult; (max:molar_volume * decomposition_energy); $\left(max:molar_{volume} decomposition_{energy}\right)$; (max:molar_volume .* decomposition_energy); max:molar_volume,decomposition_energy
# 1;  1; cm^3 * mol^-1;                                    129|112|mult; (min:atomic_volume * max:num_p_valence); $\left(min:atomic_{volume} max:num_{p, valence}\right)$; (min:atomic_volume .* max:num_p_valence); min:atomic_volume,max:num_p_valence
# 2;  1; pm;                                               123|53|div; (max:vdw_radius_mm3 / ave:period); $\left(\frac{ max:vdw_{radius, mm3} }{ ave:period } \right)$; (max:vdw_radius_mm3 ./ ave:period); max:vdw_radius_mm3,ave:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
5613        ,  3.984599999999999e+00,  9.783222882378690e-01,  4.268470178400040e+00,  4.360000000000000e+01,  7.731818181818181e+01
3256        ,  1.546800000000000e+00,  1.606229319982484e+00,  0.000000000000000e+00,  4.120000000000000e+01,  7.731818181818183e+01
3559        ,  4.266400000000000e+00,  4.441622493638119e+00,  1.453494255999990e+00,  5.600000000000000e+01,  1.466086956521739e+02
5543        ,  4.231000000000000e-01,  1.059833140894517e+00,  0.000000000000000e+00,  2.670000000000000e+01,  7.357142857142857e+01
3064        ,  0.000000000000000e+00,  8.395202211062456e-01,  2.569144430822220e+00,  3.680000000000000e+01,  7.141935483870968e+01
4062        ,  5.457999999999998e-01,  2.101594710178582e+00,  0.000000000000000e+00,  4.150000000000000e+01,  9.000000000000000e+01
5382        ,  5.297999999999998e-01,  2.194024138683382e+00,  1.749018701415732e+00,  2.840000000000000e+01,  1.092857142857143e+02
3811        ,  3.111700000000000e+00,  1.693279752339250e+00,  4.003820838416532e-01,  3.680000000000000e+01,  8.446153846153847e+01
4157        ,  1.256900000000000e+00,  1.527910365267758e+00,  2.030100552520019e+00,  6.550000000000000e+01,  6.631578947368421e+01
5228        ,  8.589000000000000e-01,  4.514182870548298e-01,  0.000000000000000e+00,  3.550000000000000e+01,  5.136842105263158e+01
5154        ,  1.082900000000000e+00,  9.839165815653489e-01,  3.764782779799978e+00,  3.760000000000000e+01,  7.966666666666667e+01
3753        ,  0.000000000000000e+00,  4.913347614469397e-01,  0.000000000000000e+00,  2.650000000000000e+01,  5.891304347826087e+01
3373        ,  0.000000000000000e+00,  9.667514213936336e-01,  1.469181532802002e+01,  5.440000000000000e+01,  1.133720930232558e+02
3489        ,  2.194900000000000e+00,  2.156343401293018e+00,  1.620117181541695e-01,  5.400000000000000e+01,  8.307692307692308e+01
5800        ,  5.573999999999995e-01,  1.397993853443048e+00,  7.952812980453863e-02,  3.550000000000000e+01,  7.635294117647059e+01
4753        ,  7.596999999999996e-01,  1.096792469844822e+00,  2.334735224604980e+00,  5.150000000000000e+01,  6.650000000000000e+01
5732        ,  5.205000000000001e-01,  6.801072271286570e-01,  0.000000000000000e+00,  4.320000000000000e+01,  5.175757575757576e+01
5846        ,  0.000000000000000e+00,  2.492546370109365e+00,  1.285918563366661e+00,  7.050000000000000e+01,  8.466666666666667e+01
5413        ,  7.898000000000001e-01,  1.057689544740063e+00,  2.916202516389992e+00,  6.550000000000000e+01,  5.782608695652174e+01
3108        ,  0.000000000000000e+00,  9.832702968005732e-01,  4.251941183000000e+00,  2.840000000000000e+01,  8.836363636363636e+01
3544        ,  0.000000000000000e+00,  8.207061924694364e-01,  1.096985406000013e+00,  4.840000000000000e+01,  5.630769230769231e+01
3333        ,  0.000000000000000e+00, -1.084297744378597e+00,  8.702132073133338e+00,  0.000000000000000e+00,  7.390909090909091e+01
