# c0 + a0 * (ave:num_p_valence / ave:density)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.22331738050892; Max AE: 4.10620353580412
# Coefficients
# Task   a0                      c0
# all ,  1.408996589649655e+00,  1.885607807783203e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; cm^3 * g^-1;                                      48|17|div; (ave:num_p_valence / ave:density); $\left(\frac{ ave:num_{p, valence} }{ ave:density } \right)$; (ave:num_p_valence ./ ave:density); ave:num_p_valence,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
5115        ,  2.619500000000000e+00,  1.655043492736746e+00,  1.040799333888426e+00
5543        ,  4.231000000000000e-01,  5.241426932067870e-01,  2.381708478882185e-01
4072        ,  9.394999999999998e-01,  5.287748553043750e-01,  2.414584087890861e-01
3064        ,  0.000000000000000e+00,  1.039310725127108e+00,  6.037984411022067e-01
4062        ,  5.457999999999998e-01,  1.861754688449208e+00,  1.187507421921387e+00
5382        ,  5.297999999999998e-01,  2.954734309309807e+00,  1.963222302205353e+00
3811        ,  3.111700000000000e+00,  1.482617411807623e+00,  9.184242464001049e-01
4157        ,  1.256900000000000e+00,  1.259990153640564e+00,  7.604201321229979e-01
3682        ,  3.169300000000000e+00,  1.153940146951320e+00,  6.851537989975118e-01
5228        ,  8.589000000000000e-01,  8.831741924372326e-01,  4.929844520288206e-01
5154        ,  1.082900000000000e+00,  1.089021934093326e+00,  6.390797251957182e-01
3743        ,  0.000000000000000e+00,  3.860236901259000e-01,  1.401443486791395e-01
3753        ,  0.000000000000000e+00,  1.023299759911490e+00,  5.924350600030381e-01
3373        ,  0.000000000000000e+00,  1.372840326606986e+00,  8.405127127547803e-01
3489        ,  2.194900000000000e+00,  2.424944976825601e+00,  1.587217607533993e+00
5800        ,  5.573999999999995e-01,  2.393579700558836e+00,  1.564956889163791e+00
4753        ,  7.596999999999996e-01,  1.130218288505023e+00,  6.683178047725754e-01
5732        ,  5.205000000000001e-01,  7.593899190563710e-01,  4.051316677920324e-01
5846        ,  0.000000000000000e+00,  1.054378171920818e+00,  6.144921836594237e-01
4747        ,  3.408700000000000e+00,  1.744681512319104e+00,  1.104417670682731e+00
3114        ,  0.000000000000000e+00,  1.885607807783203e-01,  0.000000000000000e+00
3084        ,  8.620000000000028e-02,  7.179602132974467e-01,  3.757279729475859e-01
5005        ,  1.334700000000000e+00,  2.732284063063263e+00,  1.805343817700393e+00
5413        ,  7.898000000000001e-01,  9.135164174762166e-01,  5.145190854423256e-01
5200        ,  8.647000000000000e-01,  1.375334071702435e+00,  8.422825858075385e-01
4958        ,  3.220400000000000e+00,  2.073716213468237e+00,  1.337941799531720e+00
5434        ,  3.770000000000007e-02,  1.144280666737313e+00,  6.782982251196443e-01
3488        ,  3.973200000000000e+00,  1.892476842029541e+00,  1.209311700090699e+00
3663        ,  0.000000000000000e+00,  1.371242731440540e+00,  8.393788596438634e-01
5704        ,  2.854299999999999e+00,  1.285910149664345e+00,  7.788161993769471e-01
5381        ,  2.504600000000000e+00,  8.881835792264624e-01,  4.965397386959625e-01
4712        ,  1.100500000000000e+00,  9.165362856347683e-01,  5.166623611469904e-01
3060        ,  3.200900000000000e+00,  3.037704599158588e+00,  2.022108385009437e+00
4962        ,  1.660300000000000e+00,  1.432389949729835e+00,  8.827765646053060e-01
3855        ,  1.167300000000000e+00,  1.944319770995959e+00,  1.246105919003115e+00
4370        ,  8.121000000000000e-01,  9.704678782531566e-01,  5.549389567147613e-01
3971        ,  0.000000000000000e+00,  1.564966059715987e+00,  9.768691344241707e-01
5128        ,  4.194100000000000e+00,  2.292011687174760e+00,  1.492871538404120e+00
3352        ,  2.475100000000000e+00,  2.276736534242056e+00,  1.482030381622823e+00
3112        ,  0.000000000000000e+00,  1.885607807783203e-01,  0.000000000000000e+00
5766        ,  2.967000000000000e+00,  1.056614948341513e+00,  6.160796796385666e-01
5366        ,  4.962000000000000e-01,  1.029752774599010e+00,  5.970149253731343e-01
3150        ,  0.000000000000000e+00,  1.885607807783203e-01,  0.000000000000000e+00
5554        ,  1.662000000000000e+00,  4.890357752902218e-01,  2.132545931758530e-01
4752        ,  7.246999999999995e-01,  2.474118405571470e+00,  1.622117215600536e+00
4701        ,  2.185200000000000e+00,  1.362333347963971e+00,  8.330556481172942e-01
3583        ,  1.527200000000000e+00,  5.788645452242082e-01,  2.770083102493074e-01
4793        ,  0.000000000000000e+00,  1.649986000173788e+00,  1.037209905354596e+00
4159        ,  1.161400000000000e+00,  1.201520727151869e+00,  7.189229227484641e-01
4597        ,  2.728600000000000e+00,  1.458785337595679e+00,  9.015100292990759e-01
4996        ,  0.000000000000000e+00,  5.984506977673109e-01,  2.909090909090909e-01
3033        ,  0.000000000000000e+00,  1.080119170179352e+00,  6.327612117377205e-01
4293        ,  1.136700000000000e+00,  1.186036354177483e+00,  7.079332772886154e-01
4850        ,  2.079800000000000e+00,  6.451377702953829e-01,  3.240440699935191e-01
4790        ,  1.588000000000000e+00,  8.872367756459180e-01,  4.958677685950413e-01
3593        ,  0.000000000000000e+00,  1.628107756240563e+00,  1.021682370303099e+00
3846        ,  4.541999999999993e-01,  2.689872710330132e+00,  1.775243423530045e+00
5476        ,  0.000000000000000e+00,  6.892258210731254e-01,  3.553344585591188e-01
3675        ,  1.858500000000000e+00,  7.905417214130530e-01,  4.272408784072461e-01
3652        ,  1.815100000000000e+00,  8.536000773404608e-01,  4.719949653870358e-01
5918        ,  0.000000000000000e+00,  1.405782059334131e+00,  8.638922815693049e-01
3059        ,  0.000000000000000e+00,  4.498247506744180e-01,  1.854255516410161e-01
3267        ,  2.079300000000000e+00,  8.185145466425476e-01,  4.470938897168406e-01
5321        ,  2.269500000000000e+00,  9.725811406787643e-01,  5.564387917329093e-01
3819        ,  0.000000000000000e+00,  1.285187474512710e+00,  7.783032988085972e-01
3901        ,  0.000000000000000e+00,  1.296698090766252e+00,  7.864726700747150e-01
5153        ,  0.000000000000000e+00,  1.409396123266920e+00,  8.664572728257338e-01
4272        ,  2.407300000000000e+00,  4.140865380076092e+00,  2.805049088359047e+00
5282        ,  3.805300000000000e+00,  1.519267460755958e+00,  9.444356996694474e-01
4392        ,  4.559800000000000e+00,  3.897422559271754e+00,  2.632271650434325e+00
4170        ,  6.400000000000183e-03,  1.352619925411426e+00,  8.261617900172118e-01
4509        ,  2.598600000000000e+00,  9.341054516494414e-01,  5.291316361926039e-01
3289        ,  0.000000000000000e+00,  1.885607807783203e-01,  0.000000000000000e+00
3862        ,  0.000000000000000e+00,  1.365800276240276e+00,  8.355162135308464e-01
4710        ,  0.000000000000000e+00,  2.054232298631328e+00,  1.324113579520377e+00
3964        ,  2.481400000000001e+00,  1.076317407920317e+00,  6.300630063006301e-01
4739        ,  2.321700000000000e+00,  1.620953111835238e+00,  1.016604540833616e+00
5274        ,  2.598400000000000e+00,  2.799238655967843e+00,  1.852863161179591e+00
4387        ,  2.526700000000000e+00,  1.736103136021019e+00,  1.098329383201341e+00
5848        ,  0.000000000000000e+00,  2.408372986694029e+00,  1.575456053067993e+00
5286        ,  3.213700000000000e+00,  2.383259518550369e+00,  1.557632398753894e+00
3475        ,  0.000000000000000e+00,  5.593493570019138e-01,  2.631578947368421e-01
4813        ,  4.401000000000000e+00,  2.101124021280088e+00,  1.357393803896519e+00
4805        ,  8.720000000000001e-01,  9.468040830011827e-01,  5.381441713861056e-01
5185        ,  1.627300000000000e+00,  1.669463420839852e+00,  1.051033516291020e+00
5780        ,  9.264000000000001e-01,  6.526189412228341e-01,  3.293536434746809e-01
3619        ,  0.000000000000000e+00,  1.639638627997327e+00,  1.029866117404737e+00
5368        ,  1.480100000000000e+00,  2.194916281513542e+00,  1.423960508828555e+00
3304        ,  2.330000000000010e-02,  1.885607807783203e-01,  0.000000000000000e+00
3674        ,  4.303999999999999e-01,  7.233632735285426e-01,  3.795626594690340e-01
5439        ,  3.011300000000000e+00,  1.247823973097319e+00,  7.517854905400325e-01
4702        ,  4.318700000000000e+00,  1.562789386698203e+00,  9.753242953281966e-01
3429        ,  4.021700000000000e+00,  1.890487287713261e+00,  1.207899663801260e+00
3649        ,  1.546300000000000e+00,  5.708516163529758e-01,  2.713213349009677e-01
5213        ,  2.709500000000000e+00,  1.877578774680115e+00,  1.198738170347003e+00
4136        ,  0.000000000000000e+00,  9.754729973631687e-01,  5.584912145035872e-01
4658        ,  2.303800000000000e+00,  8.906194218255089e-01,  4.982685169037595e-01
4994        ,  3.688700000000000e+00,  2.418792358100043e+00,  1.582850940665702e+00
3725        ,  0.000000000000000e+00,  1.713184860645070e+00,  1.082063711911357e+00
5099        ,  1.101100000000000e+00,  1.590508687894973e+00,  9.949973743124846e-01
5348        ,  7.317000000000000e-01,  1.028916599654854e+00,  5.964214711729623e-01
5749        ,  1.189500000000000e+00,  8.325263153531171e-01,  4.570383912248629e-01
3897        ,  3.892500000000000e+00,  2.348018900776141e+00,  1.532621253919974e+00
5181        ,  0.000000000000000e+00,  1.354797246503658e+00,  8.277070890677747e-01
5247        ,  0.000000000000000e+00,  9.280621399366419e-01,  5.248425472358293e-01
5357        ,  3.189999999999982e-02,  1.846463890657895e+00,  1.176655161593975e+00
5044        ,  3.330100000000000e+00,  2.401201492435439e+00,  1.570366264837652e+00
3666        ,  4.611900000000000e+00,  3.461931513848781e+00,  2.323192800547785e+00
4242        ,  5.707000000000000e-01,  1.028916599654854e+00,  5.964214711729623e-01
3940        ,  2.413200000000000e+00,  1.023323853027657e+00,  5.924521594881214e-01
3937        ,  6.770000000000032e-02,  1.303714393480857e+00,  7.914523149980213e-01
4235        ,  2.754999999999999e-01,  1.761394183177935e+00,  1.116279069767442e+00
3419        ,  4.336800000000000e+00,  1.665806104378294e+00,  1.048437827636821e+00
4290        ,  4.068000000000001e-01,  1.332536361008081e+00,  8.119079837618404e-01
3390        ,  0.000000000000000e+00,  7.157812072141126e-01,  3.741814780168382e-01
5062        ,  4.345800000000000e+00,  3.069355280164244e+00,  2.044571662236761e+00
4037        ,  1.423100000000000e+00,  9.264309300830671e-01,  5.236848369435848e-01
5656        ,  2.185500000000000e+00,  2.438635181368635e+00,  1.596933886937081e+00
4367        ,  2.671000000000000e+00,  1.836992005872974e+00,  1.169932728868090e+00
4582        ,  0.000000000000000e+00,  8.806023277575222e-01,  4.911591355599214e-01
4770        ,  2.630999999999999e-01,  1.190901745085310e+00,  7.113863664895175e-01
3101        ,  0.000000000000000e+00,  2.200263507291249e+00,  1.427755568246716e+00
3916        ,  1.628900000000000e+00,  1.944319770995959e+00,  1.246105919003115e+00
3415        ,  1.425400000000000e+00,  7.104113695374519e-01,  3.703703703703704e-01
5305        ,  3.862500000000000e+00,  9.151051565040763e-01,  5.156466531309420e-01
3639        ,  3.916900000000000e+00,  3.402146342757235e+00,  2.280761774432660e+00
3876        ,  1.913600000000000e+00,  1.289038454578184e+00,  7.810364353497091e-01
3524        ,  1.959900000000000e+00,  9.510048227965319e-01,  5.411255411255410e-01
5730        ,  0.000000000000000e+00,  5.951741334418477e-01,  2.885836315364192e-01
3802        ,  3.640600000000001e+00,  1.361517150399991e+00,  8.324763723617846e-01
3997        ,  2.932200000000000e+00,  1.997899384109285e+00,  1.284132705942783e+00
3603        ,  8.717999999999999e-01,  1.499946555899769e+00,  9.307231719045699e-01
4277        ,  2.930600000000000e+00,  4.142144995206447e+00,  2.805957263112453e+00
5313        ,  3.138300000000000e+00,  2.539614289334768e+00,  1.668601276842716e+00
5340        ,  1.904400000000000e+00,  2.297144208731595e+00,  1.496514216885060e+00
3763        ,  0.000000000000000e+00,  2.726328057859490e+00,  1.801116692349257e+00
4782        ,  3.365100000000000e+00,  1.375984166628358e+00,  8.427439743805831e-01
4518        ,  8.073999999999999e-01,  1.437578958793823e+00,  8.864593336780676e-01
5878        ,  0.000000000000000e+00,  2.318575568403752e+00,  1.511724587037543e+00
4039        ,  6.776000000000000e-01,  1.425698343944769e+00,  8.780273651862148e-01
4563        ,  0.000000000000000e+00,  9.196841516939935e-01,  5.188964801522096e-01
3302        ,  1.491900000000000e+00,  1.744895586484146e+00,  1.104569604453625e+00
3826        ,  3.180200000000001e+00,  1.613777696275780e+00,  1.011511969558306e+00
3644        ,  5.740000000000003e-01,  1.820288157326850e+00,  1.158077591198610e+00
5042        ,  3.263400000000000e+00,  1.720423309826832e+00,  1.087201019719577e+00
4895        ,  2.159000000000000e-01,  6.346928443102304e-01,  3.166310456740283e-01
3867        ,  1.943600000000000e+00,  1.769216591468981e+00,  1.121830827911151e+00
4489        ,  1.591999999999998e-01,  6.182311595690971e-01,  3.049477776930700e-01
3534        ,  0.000000000000000e+00,  1.095186169127995e+00,  6.434546364481305e-01
5331        ,  1.814300000000000e+00,  1.050760858584359e+00,  6.119248862202165e-01
3939        ,  0.000000000000000e+00,  8.146771345636472e-01,  4.443703827139920e-01
5212        ,  0.000000000000000e+00,  7.407475566044425e-01,  3.919007184846505e-01
3288        ,  0.000000000000000e+00,  3.651157071174788e-01,  1.253054319904768e-01
5818        ,  0.000000000000000e+00,  1.528052626859116e+00,  9.506707510298933e-01
3395        ,  2.411100000000000e+00,  1.394893477396176e+00,  8.561643835616439e-01
3890        ,  2.757400000000000e+00,  1.050134786526027e+00,  6.114805472750898e-01
3807        ,  2.106500000000000e+00,  2.270455477885990e+00,  1.477572559366754e+00
5459        ,  6.888000000000001e-01,  8.041739980077859e-01,  4.369160449015259e-01
5191        ,  2.255300000000000e+00,  1.566812512162876e+00,  9.781796077499771e-01
5631        ,  1.302400000000000e+00,  3.155272339505435e+00,  2.105549140800108e+00
5163        ,  8.546999999999993e-01,  1.099615404447183e+00,  6.465981751562612e-01
4263        ,  0.000000000000000e+00,  1.374085887761623e+00,  8.413967185527976e-01
4476        ,  3.099999999999881e-03,  1.425245909201072e+00,  8.777062609713283e-01
3990        ,  0.000000000000000e+00,  1.006059725139637e+00,  5.801993776043041e-01
5252        ,  1.617699999999999e+00,  1.253561982327568e+00,  7.558578987150415e-01
5072        ,  9.227000000000000e-01,  1.385872634661440e+00,  8.497620666213460e-01
3402        ,  0.000000000000000e+00,  5.171514033645271e-01,  2.332089552238806e-01
4546        ,  3.642200000000000e+00,  3.117326383542165e+00,  2.078617950020786e+00
3889        ,  1.854900000000000e+00,  1.386800344876109e+00,  8.504204856845886e-01
4846        ,  0.000000000000000e+00,  5.782708041913075e-01,  2.765869174388051e-01
3601        ,  2.851500000000000e+00,  1.720300804313965e+00,  1.087114074503551e+00
3653        ,  2.433800000000000e+00,  1.757162606160625e+00,  1.113275814082939e+00
4019        ,  1.387000000000000e-01,  3.795480903705798e+00,  2.559921116504854e+00
4558        ,  0.000000000000000e+00,  8.855447175349900e-01,  4.946668727778636e-01
4913        ,  1.940700000000000e+00,  1.121053560162605e+00,  6.618133686300463e-01
3947        ,  5.163000000000002e-01,  1.656632579613087e+00,  1.041927148453780e+00
3844        ,  3.046700000000000e+00,  1.482617411807623e+00,  9.184242464001049e-01
4147        ,  2.493800000000000e+00,  1.680491146648400e+00,  1.058860168171909e+00
5207        ,  0.000000000000000e+00,  1.464292474986812e+00,  9.054185819752054e-01
5358        ,  6.183999999999994e-01,  2.769309424082458e+00,  1.831621639301367e+00
3286        ,  0.000000000000000e+00,  5.774909000660590e-01,  2.760334000414050e-01
3463        ,  1.951400000000000e+00,  1.886147033368266e+00,  1.204819277108434e+00
5065        ,  7.812999999999999e-01,  1.617563407197849e+00,  1.014198782961460e+00
3481        ,  8.867999999999998e-01,  8.883852479119340e-01,  4.966828679887891e-01
5709        ,  3.470700000000000e+00,  1.784735453744473e+00,  1.132844951287667e+00
3752        ,  3.178199999999999e+00,  1.458785337595679e+00,  9.015100292990759e-01
4156        ,  3.097000000000000e+00,  1.583409617936797e+00,  9.899589874133786e-01
4453        ,  7.152000000000003e-01,  1.674501224003742e+00,  1.054608970767558e+00
4651        ,  3.520400000000000e+00,  3.294257984816740e+00,  2.204190717601841e+00
4223        ,  9.039000000000001e-01,  1.043793915618779e+00,  6.069802731411229e-01
3588        ,  0.000000000000000e+00,  2.037264420811174e+00,  1.312071053693985e+00
4910        ,  0.000000000000000e+00,  8.952232293519046e-01,  5.015359538586923e-01
5724        ,  0.000000000000000e+00,  1.970442277824564e+00,  1.264645713222987e+00
5696        ,  0.000000000000000e+00,  2.553996930649455e+00,  1.678808995882167e+00
3809        ,  4.851000000000000e+00,  1.954663299767610e+00,  1.253446979192780e+00
4061        ,  1.667600000000000e+00,  1.656647876011095e+00,  1.041938004688721e+00
5161        ,  4.347900000000000e+00,  2.764893912337390e+00,  1.828487840555860e+00
3527        ,  1.341400000000000e+00,  1.109172730892437e+00,  6.533812479581835e-01
4240        ,  1.907300000000000e+00,  1.384970345836670e+00,  8.491216897521626e-01
3948        ,  2.504600000000000e+00,  8.274561386309196e-01,  4.534399604270580e-01
4661        ,  5.475600000000000e+00,  3.088924283556532e+00,  2.058460271716755e+00
4078        ,  2.834700000000000e+00,  1.912775096736292e+00,  1.223717877405718e+00
3814        ,  2.086700000000000e+00,  1.487089663346629e+00,  9.215983147916529e-01
3315        ,  3.259000000000000e+00,  1.716519902009550e+00,  1.084430673896204e+00
3011        ,  0.000000000000000e+00,  1.885607807783203e-01,  0.000000000000000e+00
3426        ,  3.814500000000001e+00,  1.953722971450944e+00,  1.252779604748034e+00
3922        ,  1.836800000000000e+00,  1.865787920795170e+00,  1.190369907448739e+00
4416        ,  8.491000000000000e-01,  1.158777058726095e+00,  6.885866758478223e-01
4232        ,  0.000000000000000e+00,  9.830778607657203e-01,  5.638885756174580e-01
5152        ,  1.699599999999999e+00,  2.302267035878313e+00,  1.500150015001500e+00
4207        ,  1.619500000000000e+00,  1.180811900249908e+00,  7.042253521126761e-01
5194        ,  3.360899999999999e+00,  3.368661419469988e+00,  2.256996689738188e+00
5051        ,  1.072800000000000e+00,  1.195106743142641e+00,  7.143707584236217e-01
5770        ,  1.462100000000000e+00,  5.166158656792877e-01,  2.328288707799767e-01
3316        ,  0.000000000000000e+00,  1.030859076838611e+00,  5.978000956480152e-01
5806        ,  3.925800000000000e+00,  1.665109473101773e+00,  1.047943411055803e+00
5332        ,  0.000000000000000e+00,  1.655692463349874e+00,  1.041259924508656e+00
5466        ,  0.000000000000000e+00,  1.172978156345745e+00,  6.986655488017885e-01
4033        ,  5.497999999999998e-01,  6.464236240353572e-01,  3.249566724436742e-01
3931        ,  2.054300000000000e+00,  1.356689274933233e+00,  8.290499088045100e-01
4950        ,  1.466200000000001e+00,  1.812898087686684e+00,  1.152832674571805e+00
4780        ,  3.433200000000000e+00,  2.163705738870101e+00,  1.401809608767682e+00
5504        ,  9.456000000000002e-01,  1.087370502267615e+00,  6.379076628658000e-01
3744        ,  1.111500000000000e+00,  1.369020390069251e+00,  8.378016085790885e-01
5481        ,  1.322100000000000e+00,  1.635873058625725e+00,  1.027193598961994e+00
3495        ,  1.237600000000000e+00,  4.225162128496620e-01,  1.660440016604400e-01
3079        ,  3.068500000000000e+00,  1.215666591266018e+00,  7.289625951068386e-01
3907        ,  1.832000000000000e+00,  1.109172730892437e+00,  6.533812479581835e-01
3767        ,  0.000000000000000e+00,  6.551159429139678e-01,  3.311258278145696e-01
4951        ,  3.012500000000000e+00,  1.920933636904946e+00,  1.229508196721312e+00
3054        ,  2.297200000000000e+00,  1.291185277988783e+00,  7.825600894354388e-01
3151        ,  1.532600000000000e+00,  7.080903232020864e-01,  3.687230659322932e-01
3441        ,  2.360700000000000e+00,  1.349853609962904e+00,  8.241984669908513e-01
3561        ,  0.000000000000000e+00,  1.534399100700212e+00,  9.551750017056695e-01
3154        ,  0.000000000000000e+00,  7.459170266840384e-01,  3.955696202531646e-01
4176        ,  4.014700000000000e+00,  2.886754173443305e+00,  1.914975105323631e+00
5083        ,  1.143300000000000e+00,  1.008758169790708e+00,  5.821145310339809e-01
4284        ,  2.943400000000000e+00,  7.287637184990762e-01,  3.833954898748737e-01
3167        ,  0.000000000000000e+00,  2.366111962515574e+00,  1.545462350819954e+00
4077        ,  0.000000000000000e+00,  1.133539211643499e+00,  6.706747467005196e-01
5889        ,  1.338200000000000e+00,  1.582706685787659e+00,  9.894600989460098e-01
5266        ,  2.960300000000000e+00,  1.889754383658712e+00,  1.207379503525548e+00
4196        ,  1.166800000000000e+00,  1.030205001344389e+00,  5.973358819664297e-01
5467        ,  0.000000000000000e+00,  8.084838560484389e-01,  4.399748585795097e-01
3833        ,  2.096400000000000e+00,  1.487089663346629e+00,  9.215983147916529e-01
5841        ,  3.369700000000000e+00,  2.194785345554905e+00,  1.423867580315031e+00
3665        ,  1.944300000000001e+00,  3.047930725155083e+00,  2.029366121523219e+00
4565        ,  1.903700000000000e+00,  5.027883877474673e-01,  2.230151650312221e-01
4835        ,  4.617200000000000e+00,  1.639638627997327e+00,  1.029866117404737e+00
3199        ,  2.250400000000000e+00,  8.185145466425476e-01,  4.470938897168406e-01
3827        ,  1.014500000000000e+00,  9.611176576097240e-01,  5.483028720626633e-01
3803        ,  3.303300000000000e+00,  2.461543269906640e+00,  1.613192328374261e+00
4796        ,  4.213600000000000e+00,  2.588534932779136e+00,  1.703321476879916e+00
4022        ,  0.000000000000000e+00,  1.306020191915279e+00,  7.930887976207336e-01
4724        ,  7.427999999999999e-01,  1.183544602294919e+00,  7.061648188687238e-01
4855        ,  1.489400000000000e+00,  1.417898450920111e+00,  8.724915866882712e-01
5086        ,  4.665000000000000e+00,  2.390619723349331e+00,  1.562856119558493e+00
3746        ,  0.000000000000000e+00,  5.115399417295307e-01,  2.292263610315186e-01
5217        ,  1.620500000000000e+00,  1.430405122087729e+00,  8.813678829543451e-01
5755        ,  1.744400000000000e+00,  2.722727308925182e+00,  1.798561151079137e+00
3780        ,  1.506799999999999e+00,  1.425698343944769e+00,  8.780273651862148e-01
5326        ,  3.892500000000000e+00,  1.994479237560798e+00,  1.281705342687534e+00
4528        ,  4.040300000000000e+00,  1.039757512301616e+00,  6.041155370964697e-01
4228        ,  0.000000000000000e+00,  2.953010925691936e+00,  1.961999173895085e+00
5825        ,  2.044100000000000e+00,  1.619014171285584e+00,  1.015228426395939e+00
5905        ,  0.000000000000000e+00,  1.224376121341677e+00,  7.351439656932817e-01
4167        ,  1.737100000000000e+00,  6.632101288159337e-01,  3.368704733030150e-01
5830        ,  0.000000000000000e+00,  1.877578774680115e+00,  1.198738170347003e+00
3633        ,  4.639500000000000e+00,  1.831130831663906e+00,  1.165772907437631e+00
4628        ,  1.541100000000000e+00,  1.581767692099667e+00,  9.887936717205010e-01
3494        ,  1.454200000000000e+00,  1.307700248331660e+00,  7.942811755361397e-01
3362        ,  0.000000000000000e+00,  2.446568135986101e+00,  1.602564102564102e+00
5415        ,  1.726200000000000e+00,  2.861671366340177e+00,  1.897173211914247e+00
