# c0 + a0 * cbrt(total_magnetization) + a1 * (ave:num_p_valence / ave:density)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.14969786415504; Max AE: 3.86990132207979
# Coefficients
# Task   a0                      a1                      c0
# all , -5.330762294375011e-01,  1.437910435100301e+00,  4.201917106842703e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; muB^0.333333;                                     245|cbrt; cbrt(total_magnetization); $\left(\sqrt[3]{ total_{magnetization} }\right)$; nthroot(total_magnetization, 3); total_magnetization
# 1;  1; cm^3 * g^-1;                                      48|17|div; (ave:num_p_valence / ave:density); $\left(\frac{ ave:num_{p, valence} }{ ave:density } \right)$; (ave:num_p_valence ./ ave:density); ave:num_p_valence,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5115        ,  2.619500000000000e+00,  1.916767933727880e+00,  0.000000000000000e+00,  1.040799333888426e+00
5543        ,  4.231000000000000e-01,  7.626600581994262e-01, -0.000000000000000e+00,  2.381708478882185e-01
4072        ,  9.394999999999998e-01,  7.673872763248113e-01,  0.000000000000000e+00,  2.414584087890861e-01
3064        ,  0.000000000000000e+00,  1.273023210585481e+00,  2.884499140614817e-02,  6.037984411022067e-01
4062        ,  5.457999999999998e-01,  1.281620601612508e+00,  1.587203435621919e+00,  1.187507421921387e+00
5382        ,  5.297999999999998e-01,  3.243129545446983e+00,  0.000000000000000e+00,  1.963222302205353e+00
3811        ,  3.111700000000000e+00,  1.740803518432111e+00, -0.000000000000000e+00,  9.184242464001049e-01
4157        ,  1.256900000000000e+00,  1.513607753724278e+00,  0.000000000000000e+00,  7.604201321229979e-01
3682        ,  3.169300000000000e+00,  1.405381507911406e+00,  0.000000000000000e+00,  6.851537989975118e-01
5228        ,  8.589000000000000e-01,  1.129059198598715e+00, -0.000000000000000e+00,  4.929844520288206e-01
5154        ,  1.082900000000000e+00,  2.729330903437727e-01,  2.000085479679893e+00,  6.390797251957182e-01
3743        ,  0.000000000000000e+00, -2.539675909189772e-01,  1.642681242630765e+00,  1.401443486791395e-01
3753        ,  0.000000000000000e+00,  1.398756895183418e+00, -2.376707543969752e-01,  5.924350600030381e-01
3373        ,  0.000000000000000e+00,  1.673886957380601e+00, -8.462813327724879e-02,  8.405127127547803e-01
3489        ,  2.194900000000000e+00,  2.702468471332332e+00, -0.000000000000000e+00,  1.587217607533993e+00
5800        ,  5.573999999999995e-01,  1.997678239327796e+00,  1.262073368900935e+00,  1.564956889163791e+00
4753        ,  7.596999999999996e-01,  1.381172856130082e+00,  0.000000000000000e+00,  6.683178047725754e-01
5732        ,  5.205000000000001e-01,  1.002734763392022e+00,  0.000000000000000e+00,  4.051316677920324e-01
5846        ,  0.000000000000000e+00,  1.303776433855726e+00,  0.000000000000000e+00,  6.144921836594237e-01
4747        ,  3.408700000000000e+00,  2.008245404068136e+00, -0.000000000000000e+00,  1.104417670682731e+00
3114        ,  0.000000000000000e+00, -2.326307551207167e-01,  1.224632481725628e+00,  0.000000000000000e+00
3084        ,  8.620000000000028e-02,  9.604548837446876e-01,  0.000000000000000e+00,  3.757279729475859e-01
5005        ,  1.334700000000000e+00,  1.795619657604412e+00,  2.289531403009523e+00,  1.805343817700393e+00
5413        ,  7.898000000000001e-01,  1.160024072700053e+00, -0.000000000000000e+00,  5.145190854423256e-01
5200        ,  8.647000000000000e-01,  5.651785742964203e-01,  1.999976733062659e+00,  8.422825858075385e-01
4958        ,  3.220400000000000e+00,  2.344032185787806e+00,  0.000000000000000e+00,  1.337941799531720e+00
5434        ,  3.770000000000007e-02, -2.670787528399832e-01,  3.118883318598114e+00,  6.782982251196443e-01
3488        ,  3.973200000000000e+00,  2.159073623533571e+00, -0.000000000000000e+00,  1.209311700090699e+00
3663        ,  0.000000000000000e+00,  1.639547838694284e+00, -2.326966771450562e-02,  8.393788596438634e-01
5704        ,  2.854299999999999e+00,  1.540059650793539e+00,  0.000000000000000e+00,  7.788161993769471e-01
5381        ,  2.504600000000000e+00,  6.012353888965329e-01,  9.997369308006649e-01,  4.965397386959625e-01
4712        ,  1.100500000000000e+00,  1.163105911201088e+00,  0.000000000000000e+00,  5.166623611469904e-01
3060        ,  3.200900000000000e+00,  3.327802458393156e+00,  0.000000000000000e+00,  2.022108385009437e+00
4962        ,  1.660300000000000e+00,  8.434066515791525e-01,  1.587275227233303e+00,  8.827765646053060e-01
3855        ,  1.167300000000000e+00,  2.211980414859100e+00, -0.000000000000000e+00,  1.246105919003115e+00
4370        ,  8.121000000000000e-01,  1.218144227388100e+00,  0.000000000000000e+00,  5.549389567147613e-01
3971        ,  0.000000000000000e+00,  1.376150127077165e+00,  8.417030828714239e-01,  9.768691344241707e-01
5128        ,  4.194100000000000e+00,  2.566807274019794e+00, -0.000000000000000e+00,  1.492871538404120e+00
3352        ,  2.475100000000000e+00,  2.551218661555409e+00, -0.000000000000000e+00,  1.482030381622823e+00
3112        ,  0.000000000000000e+00, -2.933382270815011e-01,  1.338513890440555e+00,  0.000000000000000e+00
5766        ,  2.967000000000000e+00,  1.306059110889815e+00,  0.000000000000000e+00,  6.160796796385666e-01
5366        ,  4.962000000000000e-01,  1.278645701788927e+00, -0.000000000000000e+00,  5.970149253731343e-01
3150        ,  0.000000000000000e+00,  4.507838549468420e-01, -5.738793548317167e-02,  0.000000000000000e+00
5554        ,  1.662000000000000e+00,  7.268327155448987e-01,  0.000000000000000e+00,  2.132545931758530e-01
4752        ,  7.246999999999995e-01,  2.752650981952125e+00,  0.000000000000000e+00,  1.622117215600536e+00
4701        ,  2.185200000000000e+00,  1.618051120131372e+00, -0.000000000000000e+00,  8.330556481172942e-01
3583        ,  1.527200000000000e+00,  8.185048506012510e-01, -0.000000000000000e+00,  2.770083102493074e-01
4793        ,  0.000000000000000e+00,  1.240047858568073e+00,  1.259780048950207e+00,  1.037209905354596e+00
4159        ,  1.161400000000000e+00,  1.453938483337094e+00, -0.000000000000000e+00,  7.189229227484641e-01
4597        ,  2.728600000000000e+00,  1.716482389160989e+00, -0.000000000000000e+00,  9.015100292990759e-01
4996        ,  0.000000000000000e+00,  8.308046385395208e-01,  1.442249570307408e-02,  2.909090909090909e-01
3033        ,  0.000000000000000e+00,  4.839151199088041e-01,  1.587259932697951e+00,  6.327612117377205e-01
4293        ,  1.136700000000000e+00,  1.438136357452325e+00,  0.000000000000000e+00,  7.079332772886154e-01
4850        ,  2.079800000000000e+00,  8.861380603603237e-01, -0.000000000000000e+00,  3.240440699935191e-01
4790        ,  1.588000000000000e+00,  1.133205149576981e+00, -0.000000000000000e+00,  4.958677685950413e-01
3593        ,  0.000000000000000e+00,  1.462602987182982e+00,  8.004042228038392e-01,  1.021682370303099e+00
3846        ,  4.541999999999993e-01,  2.439732928320553e+00,  1.000044264707274e+00,  1.775243423530045e+00
5476        ,  0.000000000000000e+00,  3.020758614210799e-01,  1.180046943454668e+00,  3.553344585591188e-01
3675        ,  1.858500000000000e+00,  1.034525828047468e+00,  0.000000000000000e+00,  4.272408784072461e-01
3652        ,  1.815100000000000e+00,  1.098878196729094e+00, -0.000000000000000e+00,  4.719949653870358e-01
5918        ,  0.000000000000000e+00,  9.441092045141615e-01,  1.347428740912246e+00,  8.638922815693049e-01
3059        ,  0.000000000000000e+00,  7.008647826529247e-01, -2.635220922274238e-02,  1.854255516410161e-01
3267        ,  2.079300000000000e+00,  1.063072680177698e+00, -0.000000000000000e+00,  4.470938897168406e-01
5321        ,  2.269500000000000e+00,  1.182120875404447e+00,  7.162199006221645e-02,  5.564387917329093e-01
3819        ,  0.000000000000000e+00,  1.527220309494217e+00,  2.270188680649384e-02,  7.783032988085972e-01
3901        ,  0.000000000000000e+00,  7.048811636162110e-01,  1.587367358665721e+00,  7.864726700747150e-01
5153        ,  0.000000000000000e+00,  5.175712103294969e-01,  2.154491967746046e+00,  8.664572728257338e-01
4272        ,  2.407300000000000e+00,  4.453601065804330e+00, -0.000000000000000e+00,  2.805049088359047e+00
5282        ,  3.805300000000000e+00,  1.778205658520222e+00,  0.000000000000000e+00,  9.444356996694474e-01
4392        ,  4.559800000000000e+00,  4.205162584862478e+00, -0.000000000000000e+00,  2.632271650434325e+00
4170        ,  6.400000000000183e-03, -8.430558302006991e-02,  3.174862916767250e+00,  8.261617900172118e-01
4509        ,  2.598600000000000e+00,  1.181035611907312e+00,  0.000000000000000e+00,  5.291316361926039e-01
3289        ,  0.000000000000000e+00, -4.622971357116521e-01,  1.655464636506339e+00,  0.000000000000000e+00
3862        ,  0.000000000000000e+00,  1.086893533669846e+00,  1.003037895180821e+00,  8.355162135308464e-01
4710        ,  0.000000000000000e+00,  2.340507387899069e+00, -3.068781360162791e-02,  1.324113579520377e+00
3964        ,  2.481400000000001e+00,  1.773071908080851e-01,  2.155148978634438e+00,  6.300630063006301e-01
4739        ,  2.321700000000000e+00,  1.881977988319276e+00,  0.000000000000000e+00,  1.016604540833616e+00
5274        ,  2.598400000000000e+00,  3.084442984957335e+00,  0.000000000000000e+00,  1.852863161179591e+00
4387        ,  2.526700000000000e+00,  1.999490991966755e+00, -0.000000000000000e+00,  1.098329383201341e+00
5848        ,  0.000000000000000e+00,  2.139867042168864e+00,  1.023661039697110e+00,  1.575456053067993e+00
5286        ,  3.213700000000000e+00,  1.511382652338804e+00,  2.154560408322730e+00,  1.557632398753894e+00
3475        ,  0.000000000000000e+00,  7.985891936054020e-01, -0.000000000000000e+00,  2.631578947368421e-01
4813        ,  4.401000000000000e+00,  2.372002425847566e+00,  0.000000000000000e+00,  1.357393803896519e+00
4805        ,  8.720000000000001e-01,  1.193994830308756e+00,  0.000000000000000e+00,  5.381441713861056e-01
5185        ,  1.627300000000000e+00,  6.167140458326440e-01,  2.466382203824737e+00,  1.051033516291020e+00
5780        ,  9.264000000000001e-01,  8.937727514748181e-01, -0.000000000000000e+00,  3.293536434746809e-01
3619        ,  0.000000000000000e+00,  1.911968611390577e+00, -2.048799614518266e-02,  1.029866117404737e+00
5368        ,  1.480100000000000e+00,  1.401550068355394e+00,  2.000031624499943e+00,  1.423960508828555e+00
3304        ,  2.330000000000010e-02,  4.201917106842703e-01,  0.000000000000000e+00,  0.000000000000000e+00
3674        ,  4.303999999999999e-01,  9.659688195092162e-01, -0.000000000000000e+00,  3.795626594690340e-01
5439        ,  3.011300000000000e+00,  1.501191912488781e+00,  0.000000000000000e+00,  7.517854905400325e-01
4702        ,  4.318700000000000e+00,  1.822620692543532e+00,  0.000000000000000e+00,  9.753242953281966e-01
3429        ,  4.021700000000000e+00,  2.157043241818247e+00,  0.000000000000000e+00,  1.207899663801260e+00
3649        ,  1.546300000000000e+00,  8.103274894037152e-01, -0.000000000000000e+00,  2.713213349009677e-01
5213        ,  2.709500000000000e+00,  1.175254686228830e+00,  1.817029338510395e+00,  1.198738170347003e+00
4136        ,  0.000000000000000e+00,  1.223252055930819e+00, -0.000000000000000e+00,  5.584912145035872e-01
4658        ,  2.303800000000000e+00,  1.136657210622137e+00,  0.000000000000000e+00,  4.982685169037595e-01
4994        ,  3.688700000000000e+00,  2.696189595475809e+00,  0.000000000000000e+00,  1.582850940665702e+00
3725        ,  0.000000000000000e+00,  1.968086575029272e+00,  1.503694596204975e-02,  1.082063711911357e+00
5099        ,  1.101100000000000e+00,  7.843599867429296e-01,  2.000743556860673e+00,  9.949973743124846e-01
5348        ,  7.317000000000000e-01,  1.277792367801746e+00, -0.000000000000000e+00,  5.964214711729623e-01
5749        ,  1.189500000000000e+00,  1.077371982667954e+00, -0.000000000000000e+00,  4.570383912248629e-01
3897        ,  3.892500000000000e+00,  2.623963804752308e+00,  0.000000000000000e+00,  1.532621253919974e+00
5181        ,  0.000000000000000e+00,  1.076767416764870e+00,  1.000969326768691e+00,  8.277070890677747e-01
5247        ,  0.000000000000000e+00,  1.182291248161356e+00, -1.392476650083834e-02,  5.248425472358293e-01
5357        ,  3.189999999999982e-02,  1.579146479890989e+00,  9.998006602663109e-01,  1.176655161593975e+00
5044        ,  3.330100000000000e+00,  1.709613629552357e+00,  1.817046168600580e+00,  1.570366264837652e+00
3666        ,  4.611900000000000e+00,  3.760734881341822e+00,  0.000000000000000e+00,  2.323192800547785e+00
4242        ,  5.707000000000000e-01,  1.277792367801746e+00,  0.000000000000000e+00,  5.964214711729623e-01
3940        ,  2.413200000000000e+00,  1.272084853109948e+00,  0.000000000000000e+00,  5.924521594881214e-01
3937        ,  6.770000000000032e-02,  4.493060085700777e-01,  2.080233901827262e+00,  7.914523149980213e-01
4235        ,  2.754999999999999e-01,  2.025301033586932e+00, -0.000000000000000e+00,  1.116279069767442e+00
3419        ,  4.336800000000000e+00,  1.927751403597146e+00, -0.000000000000000e+00,  1.048437827636821e+00
4290        ,  4.068000000000001e-01,  1.587642672876666e+00,  0.000000000000000e+00,  8.119079837618404e-01
3390        ,  0.000000000000000e+00,  9.530843681388605e-01,  9.654893846056296e-03,  3.741814780168382e-01
5062        ,  4.345800000000000e+00,  3.360102639124877e+00, -0.000000000000000e+00,  2.044571662236761e+00
4037        ,  1.423100000000000e+00,  1.173203602429250e+00, -0.000000000000000e+00,  5.236848369435848e-01
5656        ,  2.185500000000000e+00,  2.716439610876382e+00, -0.000000000000000e+00,  1.596933886937081e+00
4367        ,  2.671000000000000e+00,  2.102450189889068e+00,  0.000000000000000e+00,  1.169932728868090e+00
4582        ,  0.000000000000000e+00,  1.141874940221949e+00, -2.896468153816889e-02,  4.911591355599214e-01
4770        ,  2.630999999999999e-01,  1.443101590447634e+00,  0.000000000000000e+00,  7.113863664895175e-01
3101        ,  0.000000000000000e+00,  2.550965136310264e+00, -1.459243368505916e-01,  1.427755568246716e+00
3916        ,  1.628900000000000e+00,  2.211980414859100e+00, -0.000000000000000e+00,  1.246105919003115e+00
3415        ,  1.425400000000000e+00,  9.527511310917891e-01,  0.000000000000000e+00,  3.703703703703704e-01
5305        ,  3.862500000000000e+00,  1.161645414045797e+00, -0.000000000000000e+00,  5.156466531309420e-01
3639        ,  3.916900000000000e+00,  3.699722866118871e+00, -0.000000000000000e+00,  2.280761774432660e+00
3876        ,  1.913600000000000e+00,  3.943790102883709e-01,  2.155176084649416e+00,  7.810364353497091e-01
3524        ,  1.959900000000000e+00,  1.198281772967983e+00,  0.000000000000000e+00,  5.411255411255410e-01
5730        ,  0.000000000000000e+00,  8.351491258696278e-01,  0.000000000000000e+00,  2.885836315364192e-01
3802        ,  3.640600000000001e+00,  1.617218173477724e+00,  0.000000000000000e+00,  8.324763723617846e-01
3997        ,  2.932200000000000e+00,  2.266659528612983e+00, -0.000000000000000e+00,  1.284132705942783e+00
3603        ,  8.717999999999999e-01,  6.096821596600484e-01,  2.155050344877819e+00,  9.307231719045699e-01
4277        ,  2.930600000000000e+00,  4.454906939759147e+00, -0.000000000000000e+00,  2.805957263112453e+00
5313        ,  3.138300000000000e+00,  2.819490898678097e+00, -0.000000000000000e+00,  1.668601276842716e+00
5340        ,  1.904400000000000e+00,  1.423297683146032e+00,  2.154940274649598e+00,  1.496514216885060e+00
3763        ,  0.000000000000000e+00,  2.477131567172199e+00,  9.996780963891840e-01,  1.801116692349257e+00
4782        ,  3.365100000000000e+00,  7.858078346192328e-01,  1.587341892617603e+00,  8.427439743805831e-01
4518        ,  8.073999999999999e-01,  3.515875896991797e-01,  2.519814564964257e+00,  8.864593336780676e-01
5878        ,  0.000000000000000e+00,  2.059101243554022e+00,  1.003261815657319e+00,  1.511724587037543e+00
4039        ,  6.776000000000000e-01,  1.682716421389151e+00,  0.000000000000000e+00,  8.780273651862148e-01
4563        ,  0.000000000000000e+00,  1.163844053557927e+00,  4.641588833612779e-03,  5.188964801522096e-01
3302        ,  1.491900000000000e+00,  1.336867544554510e+00,  1.259850448362524e+00,  1.104569604453625e+00
3826        ,  3.180200000000001e+00,  1.874655326941017e+00, -0.000000000000000e+00,  1.011511969558306e+00
3644        ,  5.740000000000003e-01,  2.085403563724572e+00, -0.000000000000000e+00,  1.158077591198610e+00
5042        ,  3.263400000000000e+00,  1.983489401990738e+00,  0.000000000000000e+00,  1.087201019719577e+00
4895        ,  2.159000000000000e-01,  8.754787953356755e-01,  0.000000000000000e+00,  3.166310456740283e-01
3867        ,  1.943600000000000e+00,  2.033283964554924e+00,  0.000000000000000e+00,  1.121830827911151e+00
4489        ,  1.591999999999998e-01,  3.257522694342437e-01,  9.997201216754311e-01,  3.049477776930700e-01
3534        ,  0.000000000000000e+00,  4.987954846192496e-01,  1.588190047830144e+00,  6.434546364481305e-01
5331        ,  1.814300000000000e+00,  1.300084890077884e+00,  0.000000000000000e+00,  6.119248862202165e-01
3939        ,  0.000000000000000e+00,  1.101576531372862e+00, -7.957588050660235e-02,  4.443703827139920e-01
5212        ,  0.000000000000000e+00,  9.913981329451279e-01, -1.442249570307408e-02,  3.919007184846505e-01
3288        ,  0.000000000000000e+00,  6.317608973669551e-01, -5.888688468054739e-02,  1.253054319904768e-01
5818        ,  0.000000000000000e+00,  7.209570783106345e-01,  2.000115493330517e+00,  9.506707510298933e-01
3395        ,  2.411100000000000e+00,  1.651279411968774e+00,  0.000000000000000e+00,  8.561643835616439e-01
3890        ,  2.757400000000000e+00,  1.299445970471965e+00, -0.000000000000000e+00,  6.114805472750898e-01
3807        ,  2.106500000000000e+00,  2.011767650560009e+00,  9.999340289812537e-01,  1.477572559366754e+00
5459        ,  6.888000000000001e-01,  1.048437850910926e+00, -0.000000000000000e+00,  4.369160449015259e-01
5191        ,  2.255300000000000e+00,  1.826726376070281e+00,  0.000000000000000e+00,  9.781796077499771e-01
5631        ,  1.302400000000000e+00,  3.447782791857219e+00, -0.000000000000000e+00,  2.105549140800108e+00
5163        ,  8.546999999999993e-01,  1.349941974058270e+00, -0.000000000000000e+00,  6.465981751562612e-01
4263        ,  0.000000000000000e+00,  6.613180200474197e-01,  1.817238809025989e+00,  8.413967185527976e-01
4476        ,  3.099999999999881e-03,  1.010569229246622e+00,  1.260017678428371e+00,  8.777062609713283e-01
3990        ,  0.000000000000000e+00,  2.110636601967081e-01,  1.957323797920015e+00,  5.801993776043041e-01
5252        ,  1.617699999999999e+00,  1.507047670699615e+00, -0.000000000000000e+00,  7.558578987150415e-01
5072        ,  9.227000000000000e-01,  1.642073453631501e+00,  0.000000000000000e+00,  8.497620666213460e-01
3402        ,  0.000000000000000e+00,  7.701384918451317e-01, -2.741294786493196e-02,  2.332089552238806e-01
4546        ,  3.642200000000000e+00,  3.409058151605954e+00, -0.000000000000000e+00,  2.078617950020786e+00
3889        ,  1.854900000000000e+00,  4.945268639466319e-01,  2.154463609338682e+00,  8.504204856845886e-01
4846        ,  0.000000000000000e+00, -2.118780203495182e-01,  1.931763018054447e+00,  2.765869174388051e-01
3601        ,  2.851500000000000e+00,  1.983364382557332e+00, -0.000000000000000e+00,  1.087114074503551e+00
3653        ,  2.433800000000000e+00,  2.000870984329033e+00,  3.772750585990178e-02,  1.113275814082939e+00
4019        ,  1.387000000000000e-01,  3.427592484769782e+00,  1.263490051096712e+00,  2.559921116504854e+00
4558        ,  0.000000000000000e+00,  1.142095284127512e+00, -1.991631701289913e-02,  4.946668727778636e-01
4913        ,  1.940700000000000e+00,  1.371820059526296e+00, -0.000000000000000e+00,  6.618133686300463e-01
3947        ,  5.163000000000002e-01,  1.073691566654435e+00,  1.584572743558922e+00,  1.041927148453780e+00
3844        ,  3.046700000000000e+00,  1.740803518432111e+00,  0.000000000000000e+00,  9.184242464001049e-01
4147        ,  2.493800000000000e+00,  1.942737795810717e+00, -0.000000000000000e+00,  1.058860168171909e+00
5207        ,  0.000000000000000e+00,  1.620843163784170e+00,  1.899528969108489e-01,  9.054185819752054e-01
5358        ,  6.183999999999994e-01,  3.053899578991226e+00, -0.000000000000000e+00,  1.831621639301367e+00
3286        ,  0.000000000000000e+00,  8.283133101162585e-01, -2.102943717461421e-02,  2.760334000414050e-01
3463        ,  1.951400000000000e+00,  2.152613921648488e+00, -0.000000000000000e+00,  1.204819277108434e+00
5065        ,  7.812999999999999e-01,  1.878518723970579e+00, -0.000000000000000e+00,  1.014198782961460e+00
3481        ,  8.867999999999998e-01,  1.134377189500895e+00,  0.000000000000000e+00,  4.966828679887891e-01
5709        ,  3.470700000000000e+00,  1.202913305870537e+00,  1.587405205656750e+00,  1.132844951287667e+00
3752        ,  3.178199999999999e+00,  1.716482389160989e+00, -0.000000000000000e+00,  9.015100292990759e-01
4156        ,  3.097000000000000e+00,  1.843664069007295e+00,  0.000000000000000e+00,  9.899589874133786e-01
4453        ,  7.152000000000003e-01,  8.704986882818722e-01,  1.999950865459575e+00,  1.054608970767558e+00
4651        ,  3.520400000000000e+00,  3.589620544475177e+00, -0.000000000000000e+00,  2.204190717601841e+00
4223        ,  9.039000000000001e-01,  1.292974979333922e+00,  0.000000000000000e+00,  6.069802731411229e-01
3588        ,  0.000000000000000e+00,  2.316931693986797e+00, -1.894536474371819e-02,  1.312071053693985e+00
4910        ,  0.000000000000000e+00,  1.183640379265108e+00, -7.932240196502444e-02,  5.015359538586923e-01
5724        ,  0.000000000000000e+00,  1.566933270534793e+00,  1.260055637082996e+00,  1.264645713222987e+00
5696        ,  0.000000000000000e+00,  2.305852088054881e+00,  9.910713837420411e-01,  1.678808995882167e+00
3809        ,  4.851000000000000e+00,  2.222536201910518e+00, -0.000000000000000e+00,  1.253446979192780e+00
4061        ,  1.667600000000000e+00,  1.918405240353768e+00,  0.000000000000000e+00,  1.041938004688721e+00
5161        ,  4.347900000000000e+00,  3.049393457073557e+00,  0.000000000000000e+00,  1.828487840555860e+00
3527        ,  1.341400000000000e+00,  1.359695425222200e+00, -0.000000000000000e+00,  6.533812479581835e-01
4240        ,  1.907300000000000e+00,  1.641152649048905e+00, -0.000000000000000e+00,  8.491216897521626e-01
3948        ,  2.504600000000000e+00,  1.072197761473804e+00,  0.000000000000000e+00,  4.534399604270580e-01
4661        ,  5.475600000000000e+00,  3.380073215625194e+00,  0.000000000000000e+00,  2.058460271716755e+00
4078        ,  2.834700000000000e+00,  2.179788416224743e+00, -0.000000000000000e+00,  1.223717877405718e+00
3814        ,  2.086700000000000e+00,  1.745367544494040e+00,  0.000000000000000e+00,  9.215983147916529e-01
3315        ,  3.259000000000000e+00,  1.979505892822474e+00,  0.000000000000000e+00,  1.084430673896204e+00
3011        ,  0.000000000000000e+00,  4.446512548604643e-01, -4.588376450775820e-02,  0.000000000000000e+00
3426        ,  3.814500000000001e+00,  2.221576577232299e+00,  0.000000000000000e+00,  1.252779604748034e+00
