# c0 + a0 * (min:atomic_volume * max:en_pauling) + a1 * (decomposition_energy / ave:melting_point) + a2 * (max:vdw_radius_uff / ave:period)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.06685660435834; Max AE: 5.77512599230003
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  5.076014972459272e-02, -1.749010815815206e+03,  2.338759894440097e-02, -2.824302536500621e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Pauling * cm^3 * mol^-1;                          129|87|mult; (min:atomic_volume * max:en_pauling); $\left(min:atomic_{volume} max:en_{pauling}\right)$; (min:atomic_volume .* max:en_pauling); min:atomic_volume,max:en_pauling
# 1;  1; K^-1 * atom^-1 * eV;                              62|40|div; (decomposition_energy / ave:melting_point); $\left(\frac{ decomposition_{energy} }{ ave:melting_{point} } \right)$; (decomposition_energy ./ ave:melting_point); decomposition_energy,ave:melting_point
# 2;  1; pm;                                               124|53|div; (max:vdw_radius_uff / ave:period); $\left(\frac{ max:vdw_{radius, uff} }{ ave:period } \right)$; (max:vdw_radius_uff ./ ave:period); max:vdw_radius_uff,ave:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
5115        ,  2.619500000000000e+00,  1.688033714776422e+00,  4.816000000000000e+01,  7.754194729136176e-04,  1.464000000000000e+02
5543        ,  4.231000000000000e-01,  5.250465173644301e-01,  1.958000000000000e+01,  0.000000000000000e+00,  1.007142857142857e+02
4072        ,  9.394999999999998e-01,  1.740060979399873e+00,  4.816000000000000e+01,  3.361908112582736e-05,  9.314999999999999e+01
3064        ,  0.000000000000000e+00,  6.924955638303905e-01,  2.373600000000000e+01,  3.796883651423497e-04,  1.272483870967742e+02
4062        ,  5.457999999999998e-01,  1.878503743692530e+00,  3.303400000000001e+01,  0.000000000000000e+00,  1.293846153846154e+02
5382        ,  5.297999999999998e-01,  1.745484411496455e+00,  2.442400000000000e+01,  4.726234343061167e-04,  1.777285714285715e+02
3811        ,  3.111700000000000e+00,  2.334465742673597e+00,  3.164800000000000e+01,  3.800440445338148e-05,  1.547307692307692e+02
4157        ,  1.256900000000000e+00,  1.597674258374526e+00,  4.139600000000000e+01,  2.284933830153161e-04,  1.163157894736842e+02
3682        ,  3.169300000000000e+00,  1.611548075893670e+00,  2.872400000000000e+01,  7.592307117765680e-05,  1.330023809523809e+02
5228        ,  8.589000000000000e-01,  3.500209196149706e-01,  1.888600000000000e+01,  0.000000000000000e+00,  9.473684210526316e+01
5154        ,  1.082900000000000e+00,  1.166280421780232e+00,  3.233600000000000e+01,  2.168942867382305e-04,  1.166666666666667e+02
3743        ,  0.000000000000000e+00,  3.087938705166940e-01,  1.485390000000000e+01,  2.006050609998350e-04,  1.167272727272727e+02
3753        ,  0.000000000000000e+00,  1.792313423559123e-01,  1.409800000000000e+01,  0.000000000000000e+00,  9.782608695652175e+01
3373        ,  0.000000000000000e+00,  2.115113027645110e+00,  4.678400000000000e+01,  4.526785487870533e-04,  1.435116279069767e+02
3489        ,  2.194900000000000e+00,  1.725376550493481e+00,  3.412800000000001e+01,  1.314871360011860e-05,  1.214461538461538e+02
5800        ,  5.573999999999995e-01,  1.699632697640356e+00,  2.243600000000000e+01,  1.093308593410321e-05,  1.455558823529412e+02
4753        ,  7.596999999999996e-01,  1.001215716418973e+00,  3.254800000000000e+01,  2.182480986055758e-04,  1.092500000000000e+02
5732        ,  5.205000000000001e-01,  5.445072682540700e-01,  2.268000000000000e+01,  0.000000000000000e+00,  9.481818181818183e+01
5846        ,  0.000000000000000e+00,  2.346519278653456e+00,  4.455600000000000e+01,  9.598331177175547e-05,  1.315666666666667e+02
4747        ,  3.408700000000000e+00,  3.066079185377506e+00,  4.816000000000000e+01,  0.000000000000000e+00,  1.473333333333333e+02
3114        ,  0.000000000000000e+00, -3.674743394156195e-01,  1.632400000000000e+01,  3.427361803900804e-04,  9.525000000000001e+01
3084        ,  8.620000000000028e-02,  3.659950116463613e-01,  2.733599999999999e+01,  4.000861432347602e-04,  1.070000000000000e+02
5005        ,  1.334700000000000e+00,  1.545046102517423e+00,  2.941220000000000e+01,  2.832701678580645e-04,  1.441714285714286e+02
5413        ,  7.898000000000001e-01,  8.639154905040509e-01,  3.877600000000000e+01,  2.869504487313895e-04,  9.500000000000001e+01
5200        ,  8.647000000000000e-01,  1.302681878842505e+00,  2.487120000000000e+01,  1.172684468758949e-04,  1.312500000000000e+02
4958        ,  3.220400000000000e+00,  2.694758603274050e+00,  4.816000000000000e+01,  1.297258420881701e-04,  1.411578947368421e+02
5434        ,  3.770000000000007e-02,  3.855748761210218e-01,  2.304800000000000e+01,  5.579221391741034e-04,  1.289473684210526e+02
3488        ,  3.973200000000000e+00,  3.008618044752450e+00,  4.678400000000000e+01,  9.142528949232052e-05,  1.547000000000000e+02
3663        ,  0.000000000000000e+00,  1.465335197929815e+00,  2.855200000000000e+01,  0.000000000000000e+00,  1.214461538461538e+02
5704        ,  2.854299999999999e+00,  1.954016934190315e+00,  5.266800000000001e+01,  0.000000000000000e+00,  9.000000000000000e+01
5381        ,  2.504600000000000e+00,  1.153016496695796e+00,  3.278320000000000e+01,  1.915727160746543e-04,  1.132352941176471e+02
