# c0 + a0 * (sum:gs_est_bcc_latcnt / sum:covalent_radius_cordero)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.2299776604453; Max AE: 4.81987659888932
# Coefficients
# Task   a0                      c0
# all ,  2.022862529768055e+02, -4.846514580810585e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * pm^-1;                                       213|196|div; (sum:gs_est_bcc_latcnt / sum:covalent_radius_cordero); $\left(\frac{ sum:gs_{est, bcc, latcnt} }{ sum:covalent_{radius, cordero} } \right)$; (sum:gs_est_bcc_latcnt ./ sum:covalent_radius_cordero); sum:gs_est_bcc_latcnt,sum:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
5613        ,  3.984599999999999e+00,  1.123335027209261e+00,  2.951188981044776e-02
3256        ,  1.546800000000000e+00,  1.349691974133548e+00,  3.063088303709199e-02
3559        ,  4.266400000000000e+00,  3.536720148452352e+00,  4.144243420349564e-02
5115        ,  2.619500000000000e+00,  2.106331262376747e+00,  3.437132153505535e-02
5543        ,  4.231000000000000e-01,  4.965597087744097e-01,  2.641343250446999e-02
4072        ,  9.394999999999998e-01,  9.391059421104867e-01,  2.860115523314607e-02
5382        ,  5.297999999999998e-01,  2.238237404438375e+00,  3.502339818445947e-02
3811        ,  3.111700000000000e+00,  1.667900994338620e+00,  3.220394603827161e-02
4157        ,  1.256900000000000e+00,  1.434984869452483e+00,  3.105252758319328e-02
3682        ,  3.169300000000000e+00,  1.270777384223658e+00,  3.024076957783019e-02
5228        ,  8.589000000000000e-01,  8.657380892161879e-01,  2.823846201096892e-02
3743        ,  0.000000000000000e+00,  3.516487410158610e-02,  2.413253190997567e-02
3753        ,  0.000000000000000e+00,  4.795433973587854e-01,  2.632931254493139e-02
3373        ,  0.000000000000000e+00,  9.836193517155237e-01,  2.882120681327070e-02
3489        ,  2.194900000000000e+00,  1.413119214442445e+00,  3.094443494373673e-02
5800        ,  5.573999999999995e-01,  1.697003065479953e+00,  3.234781182605042e-02
4753        ,  7.596999999999996e-01,  1.294763498225033e+00,  3.035934468438538e-02
5732        ,  5.205000000000001e-01,  5.665398825455056e-01,  2.675937876992936e-02
4747        ,  3.408700000000000e+00,  1.229036217451872e+00,  3.003442255148742e-02
3114        ,  0.000000000000000e+00, -9.853018972087596e-02,  2.347161174434389e-02
3084        ,  8.620000000000028e-02,  1.193934136045089e+00,  2.986089577500000e-02
5005        ,  1.334700000000000e+00,  2.229946824123899e+00,  3.498241378639744e-02
3108        ,  0.000000000000000e+00,  9.708807803186408e-01,  2.875823381728395e-02
3544        ,  0.000000000000000e+00,  1.252807928586946e+00,  3.015193775968992e-02
5200        ,  8.647000000000000e-01,  9.965579888849392e-01,  2.888516883233533e-02
3333        ,  0.000000000000000e+00, -5.944291391534070e-02,  2.366483928813560e-02
3097        ,  9.430000000000005e-02,  1.550418405499178e+00,  3.162317207508532e-02
3253        ,  0.000000000000000e+00, -2.785242147196325e-01,  2.258181314285714e-02
3838        ,  1.593100000000000e+00,  1.204752736499955e+00,  2.991437741448692e-02
4958        ,  3.220400000000000e+00,  2.040830869635508e+00,  3.404752102079723e-02
5515        ,  0.000000000000000e+00,  1.580626078533290e+00,  3.177250339438944e-02
5434        ,  3.770000000000007e-02,  1.161030626849899e+00,  2.969823761750789e-02
3663        ,  0.000000000000000e+00,  1.450616029263402e+00,  3.112980006009615e-02
5704        ,  2.854299999999999e+00,  9.050485768245609e-01,  2.843279300000000e-02
5535        ,  1.533700000000000e+00,  1.158357549327668e+00,  2.968502328641571e-02
4962        ,  1.660300000000000e+00,  1.534443141500057e+00,  3.154419852268603e-02
3855        ,  1.167300000000000e+00,  1.822979191135814e+00,  3.297057350066756e-02
3971        ,  0.000000000000000e+00,  7.758419921342257e-01,  2.779406158454810e-02
5128        ,  4.194100000000000e+00,  1.938750814015208e+00,  3.354288932132132e-02
3352        ,  2.475100000000000e+00,  8.861725987417506e-01,  2.833947979752066e-02
5766        ,  2.967000000000000e+00,  1.691487432020214e+00,  3.232054534907251e-02
3150        ,  0.000000000000000e+00, -4.507926567532815e-01,  2.173020588087774e-02
5554        ,  1.662000000000000e+00,  1.000895146458745e+00,  2.890660952595628e-02
4701        ,  2.185200000000000e+00,  3.430084994504324e+00,  4.091528442253521e-02
5595        ,  1.449800000000000e+00,  1.103691920007763e+00,  2.941478431310212e-02
4597        ,  2.728600000000000e+00,  1.165984291148256e+00,  2.972272600574713e-02
3722        ,  0.000000000000000e+00,  7.183964260330143e-01,  2.751008002250000e-02
4996        ,  0.000000000000000e+00,  4.006057888877965e-01,  2.593908529365080e-02
3033        ,  0.000000000000000e+00,  6.798970556794044e-01,  2.731975878323109e-02
4293        ,  1.136700000000000e+00,  1.327403465698505e+00,  3.052070002610114e-02
4790        ,  1.588000000000000e+00,  1.231070114473960e+00,  3.004447710038610e-02
3593        ,  0.000000000000000e+00,  8.495443708757130e-01,  2.815840853179191e-02
3675        ,  1.858500000000000e+00,  1.332936421145986e+00,  3.054805213414634e-02
3652        ,  1.815100000000000e+00,  1.100154542779394e+00,  2.939729732534930e-02
5918        ,  0.000000000000000e+00,  1.786214406103105e+00,  3.278882716599733e-02
5231        ,  0.000000000000000e+00,  1.217712572606666e+00,  2.997844423027888e-02
3474        ,  3.947700000000000e+00,  1.378603070744171e+00,  3.077380474425288e-02
5899        ,  9.491000000000001e-01,  1.586112016853365e+00,  3.179962307375146e-02
3059        ,  0.000000000000000e+00,  5.385731449279898e-01,  2.662112549168646e-02
3267        ,  2.079300000000000e+00,  1.240730435362404e+00,  3.009223279681275e-02
5703        ,  3.516900000000001e+00,  2.271034476454750e+00,  3.518553017085864e-02
5777        ,  6.503000000000001e-01,  1.203408325348498e+00,  2.990773133186058e-02
3901        ,  0.000000000000000e+00,  1.089709105145362e+00,  2.934566041240876e-02
5153        ,  0.000000000000000e+00,  9.276607033024302e-01,  2.854457581343944e-02
5282        ,  3.805300000000000e+00,  1.753512231442904e+00,  3.262716430369719e-02
4392        ,  4.559800000000000e+00,  3.662857030407006e+00,  4.206599057521367e-02
4170        ,  6.400000000000183e-03,  1.110460712073667e+00,  2.944824576669225e-02
4509        ,  2.598600000000000e+00,  1.915277005861557e+00,  3.342684679342723e-02
3862        ,  0.000000000000000e+00,  1.299542739532220e+00,  3.038297081437126e-02
4710        ,  0.000000000000000e+00,  1.256656550358837e+00,  3.017096338162545e-02
5448        ,  2.388400000000000e+00,  1.880828819090500e+00,  3.325655253831041e-02
3964        ,  2.481400000000001e+00,  1.234085043357704e+00,  3.005938137014926e-02
4921        ,  3.986700000000000e+00,  2.385747505069056e+00,  3.575261284170854e-02
5468        ,  2.496000000000000e+00,  1.462677631244148e+00,  3.118942646477393e-02
5848        ,  0.000000000000000e+00,  1.782159665393054e+00,  3.276878259722223e-02
5616        ,  2.823800000000000e+00,  1.599325621496359e+00,  3.186494439167863e-02
5286        ,  3.213700000000000e+00,  1.954549553560360e+00,  3.362099022690763e-02
3192        ,  1.573799999999999e+00,  1.817576884771543e+00,  3.294386725501432e-02
4813        ,  4.401000000000000e+00,  1.594150900344401e+00,  3.183936321116929e-02
4805        ,  8.720000000000001e-01,  1.162011415100606e+00,  2.970308613408415e-02
5185        ,  1.627300000000000e+00,  1.251874763129273e+00,  3.014732466589862e-02
5780        ,  9.264000000000001e-01,  8.277551589321422e-01,  2.805069378784404e-02
3619        ,  0.000000000000000e+00,  1.035239745034851e+00,  2.907639169390244e-02
5368        ,  1.480100000000000e+00,  1.972552280899430e+00,  3.370998652336449e-02
3602        ,  1.873300000000000e+00,  1.574799595284584e+00,  3.174370023469388e-02
5439        ,  3.011300000000000e+00,  1.714985680777349e+00,  3.243670869883721e-02
4702        ,  4.318700000000000e+00,  1.577039901568494e+00,  3.175477516564417e-02
3429        ,  4.021700000000000e+00,  3.519726942702636e+00,  4.135842846657754e-02
3095        ,  0.000000000000000e+00,  4.285854061783607e-01,  2.607740224242424e-02
