# c0 + a0 * (ave:gs_energy / energy_per_atom) + a1 * (sum:gs_est_bcc_latcnt / sum:covalent_radius_cordero)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.15566662745248; Max AE: 4.45388855216281
# Coefficients
# Task   a0                      a1                      c0
# all , -3.265309679396700e+00,  1.589605967824566e+02, -8.579157164406503e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         28|63|div; (ave:gs_energy / energy_per_atom); $\left(\frac{ ave:gs_{energy} }{ energy_{per, atom} } \right)$; (ave:gs_energy ./ energy_per_atom); ave:gs_energy,energy_per_atom
# 1;  1; AA * pm^-1;                                       213|196|div; (sum:gs_est_bcc_latcnt / sum:covalent_radius_cordero); $\left(\frac{ sum:gs_{est, bcc, latcnt} }{ sum:covalent_{radius, cordero} } \right)$; (sum:gs_est_bcc_latcnt ./ sum:covalent_radius_cordero); sum:gs_est_bcc_latcnt,sum:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  1.506522493319413e+00,  7.125784795752392e-01,  2.951188981044776e-02
3256        ,  1.546800000000000e+00,  1.104273087419057e+00,  8.902416398762966e-01,  3.063088303709199e-02
3559        ,  4.266400000000000e+00,  3.438856629816606e+00,  7.016001395835071e-01,  4.144243420349564e-02
5115        ,  2.619500000000000e+00,  2.211117193181410e+00,  7.333616437367978e-01,  3.437132153505535e-02
5543        ,  4.231000000000000e-01,  4.489738734825543e-01,  8.856144402802164e-01,  2.641343250446999e-02
4072        ,  9.394999999999998e-01,  1.023266045743162e+00,  8.162395619508915e-01,  2.860115523314607e-02
5382        ,  5.297999999999998e-01,  2.399722747477560e+00,  7.073454096579944e-01,  3.502339818445947e-02
3811        ,  3.111700000000000e+00,  1.586257563193850e+00,  8.192133255346900e-01,  3.220394603827161e-02
4157        ,  1.256900000000000e+00,  1.295975161380643e+00,  8.520592873509175e-01,  3.105252758319328e-02
3682        ,  3.169300000000000e+00,  1.422295183809691e+00,  7.738561199711907e-01,  3.024076957783019e-02
5228        ,  8.589000000000000e-01,  5.898082049831085e-01,  9.313293839316525e-01,  2.823846201096892e-02
3743        ,  0.000000000000000e+00, -2.754307963170238e-01,  9.964251705396979e-01,  2.413253190997567e-02
3753        ,  0.000000000000000e+00,  7.043664746758425e-01,  8.033054446407838e-01,  2.632931254493139e-02
3373        ,  0.000000000000000e+00,  1.763378149853850e+00,  6.002929465164146e-01,  2.882120681327070e-02
3489        ,  2.194900000000000e+00,  1.907428894544731e+00,  6.595396597007650e-01,  3.094443494373673e-02
5800        ,  5.573999999999995e-01,  2.197849889403237e+00,  6.389170006739306e-01,  3.234781182605042e-02
4753        ,  7.596999999999996e-01,  1.186314420507719e+00,  8.518975794417702e-01,  3.035934468438538e-02
5732        ,  5.205000000000001e-01,  4.015279874510987e-01,  9.169859550525813e-01,  2.675937876992936e-02
4747        ,  3.408700000000000e+00,  1.645982213494089e+00,  6.953067322195460e-01,  3.003442255148742e-02
3114        ,  0.000000000000000e+00, -7.411133984926057e-01,  1.106865641315451e+00,  2.347161174434389e-02
3084        ,  8.620000000000028e-02,  2.466115699806956e-01,  1.115415958680011e+00,  2.986089577500000e-02
5005        ,  1.334700000000000e+00,  2.771199473331641e+00,  5.915855989993534e-01,  3.498241378639744e-02
3108        ,  0.000000000000000e+00,  1.446689059403180e+00,  6.942132467447530e-01,  2.875823381728395e-02
3544        ,  0.000000000000000e+00,  6.250244437572062e-01,  1.013695540461419e+00,  3.015193775968992e-02
5200        ,  8.647000000000000e-01,  8.882971059249023e-01,  8.713999996196998e-01,  2.888516883233533e-02
3333        ,  0.000000000000000e+00, -7.056950414546559e-01,  1.105425413029697e+00,  2.366483928813560e-02
3097        ,  9.430000000000005e-02,  8.435316750899290e-01,  1.018399857955801e+00,  3.162317207508532e-02
3253        ,  0.000000000000000e+00, -6.539645883199930e-01,  1.036859501216856e+00,  2.258181314285714e-02
3838        ,  1.593100000000000e+00,  8.170824699948309e-01,  9.433130092322823e-01,  2.991437741448692e-02
4958        ,  3.220400000000000e+00,  2.044511683586652e+00,  7.686213887270780e-01,  3.404752102079723e-02
5515        ,  0.000000000000000e+00,  1.493874469325650e+00,  8.265022861712465e-01,  3.177250339438944e-02
5434        ,  3.770000000000007e-02,  6.318236805239174e-01,  9.895264141374395e-01,  2.969823761750789e-02
3663        ,  0.000000000000000e+00,  1.340754179935306e+00,  8.421074779662322e-01,  3.112980006009615e-02
5704        ,  2.854299999999999e+00,  1.521277909459674e+00,  6.555274469303045e-01,  2.843279300000000e-02
5535        ,  1.533700000000000e+00,  9.012678477598119e-01,  9.063659326352503e-01,  2.968502328641571e-02
4962        ,  1.660300000000000e+00,  1.410815415137632e+00,  8.408248405766658e-01,  3.154419852268603e-02
3855        ,  1.167300000000000e+00,  2.058597872605820e+00,  7.118799376201802e-01,  3.297057350066756e-02
3971        ,  0.000000000000000e+00,  1.475930950932888e+00,  6.383204515841445e-01,  2.779406158454810e-02
5128        ,  4.194100000000000e+00,  2.382704547911017e+00,  6.404836433032789e-01,  3.354288932132132e-02
3352        ,  2.475100000000000e+00,  1.889331893180770e+00,  5.382683984269371e-01,  2.833947979752066e-02
5766        ,  2.967000000000000e+00,  1.788998364742085e+00,  7.628002671711311e-01,  3.232054534907251e-02
3150        ,  0.000000000000000e+00, -7.442583296252184e-01,  1.023054299962064e+00,  2.173020588087774e-02
5554        ,  1.662000000000000e+00,  7.780406610558657e-01,  9.062097669871408e-01,  2.890660952595628e-02
4701        ,  2.185200000000000e+00,  2.375900141515818e+00,  1.001467699069163e+00,  4.091528442253521e-02
5595        ,  1.449800000000000e+00,  9.607456166838692e-01,  8.749952121053710e-01,  2.941478431310212e-02
4597        ,  2.728600000000000e+00,  1.347118137639849e+00,  7.716598599187225e-01,  2.972272600574713e-02
3722        ,  0.000000000000000e+00,  1.025520895482177e+00,  7.624336955528475e-01,  2.751008002250000e-02
4996        ,  0.000000000000000e+00,  2.328523645954335e-01,  9.287095849953136e-01,  2.593908529365080e-02
3033        ,  0.000000000000000e+00,  6.723221792593918e-01,  8.613355364673330e-01,  2.731975878323109e-02
4293        ,  1.136700000000000e+00,  1.166106446601956e+00,  8.659413057101498e-01,  3.052070002610114e-02
4790        ,  1.588000000000000e+00,  9.595861677822783e-01,  9.060047640620383e-01,  3.004447710038610e-02
3593        ,  0.000000000000000e+00,  1.410298465854214e+00,  6.761573814251275e-01,  2.815840853179191e-02
3675        ,  1.858500000000000e+00,  1.491455466766706e+00,  7.676348220182463e-01,  3.054805213414634e-02
3652        ,  1.815100000000000e+00,  8.400450277144004e-01,  9.111084321482981e-01,  2.939729732534930e-02
5918        ,  0.000000000000000e+00,  2.193744440776251e+00,  6.616436384331020e-01,  3.278882716599733e-02
5231        ,  0.000000000000000e+00,  1.583032111552656e+00,  7.118600640325430e-01,  2.997844423027888e-02
3474        ,  3.947700000000000e+00,  2.215557416500631e+00,  5.568688464513138e-01,  3.077380474425288e-02
5899        ,  9.491000000000001e-01,  1.445403603335902e+00,  8.426667028998414e-01,  3.179962307375146e-02
3059        ,  0.000000000000000e+00,  9.880549843309089e-02,  1.002964221424320e+00,  2.662112549168646e-02
3267        ,  2.079300000000000e+00,  1.011850205474265e+00,  8.923237450854558e-01,  3.009223279681275e-02
5703        ,  3.516900000000001e+00,  1.947949194261985e+00,  8.535937589475922e-01,  3.518553017085864e-02
5777        ,  6.503000000000001e-01,  1.109690800847057e+00,  8.533782633900344e-01,  2.990773133186058e-02
3901        ,  0.000000000000000e+00,  6.053233656149605e-01,  9.804780937861058e-01,  2.934566041240876e-02
5153        ,  0.000000000000000e+00,  8.831893967528279e-01,  8.563836106134923e-01,  2.854457581343944e-02
5282        ,  3.805300000000000e+00,  2.518384482341496e+00,  5.543527224000585e-01,  3.262716430369719e-02
4392        ,  4.559800000000000e+00,  3.573304323953734e+00,  6.907813185129579e-01,  4.206599057521367e-02
4170        ,  6.400000000000183e-03,  7.613240911024195e-01,  9.376969458812536e-01,  2.944824576669225e-02
4509        ,  2.598600000000000e+00,  2.088192605651563e+00,  7.250286879938858e-01,  3.342684679342723e-02
