# FEAT_ID     Score                   Feature Expression
0             0.312763023860994749    (sum:gs_est_fcc_latcnt / sum:covalent_radius_cordero)
1             0.31219963904583381     (ave:covalent_radius_cordero / ave:gs_est_fcc_latcnt)
2             0.29974636146526068     (sum:electron_negativity / sum:density)
3             0.297922738907164475    (sum:en_pauling / sum:density)
4             0.297584023830679001    (sum:atomic_volume / sum:covalent_radius_cordero)
5             0.29595300056349505     (sum:num_p_valence / sum:density)
6             0.293584722361681594    (sum:en_allen / sum:density)
7             0.293442925533601795    (sum:num_valance / sum:density)
8             0.291998063006727038    (ave:en_ghosh / ave:density)
9             0.286534367061759221    (sum:first_ion_en / sum:density)
10            0.286446135306375971    (sum:atomic_volume / sum:period)
11            0.282322943145180028    (sum:atomic_volume / sum:covalent_radius_slater)
12            0.281797542388361244    (min:atomic_volume / ave:period)
13            0.280750344571469412    (max:en_pauling / ave:density)
14            0.280623223420252643    (max:electron_negativity / ave:density)
15            0.280459125970438428    (sum:mendeleev_number / sum:density)
16            0.279963191758531071    (max:en_ghosh / ave:density)
17            0.278720313343551407    (max:first_ion_en / ave:density)
18            0.278530942779972479    (max:en_allen / ave:density)
19            0.278524214950892135    (energy_vdw_per_atom / ave:gs_energy)
20            0.275846999062771603    (ave:covalent_radius_cordero / ave:atomic_volume)
21            0.274627969991875498    (max:num_p_valence / ave:density)
22            0.266226468254362247    (sum:gs_est_fcc_latcnt / sum:covalent_radius_slater)
23            0.264457974918128336    (sum:atomic_volume / sum:covalent_radius_pyykko)
24            0.264095470247231678    (min:atomic_volume / ave:covalent_radius_slater)
25            0.26389263601208568     (ave:covalent_radius_slater / ave:gs_est_fcc_latcnt)
26            0.263286438557910396    (ave:covalent_radius_slater / ave:atomic_volume)
27            0.261122023502038725    (sum:heat_capacity_molar / sum:density)
28            0.260933201803725756    (sum:num_s_valence / sum:density)
29            0.259051986984328186    (max:vdw_radius_uff / ave:density)
30            0.257306709386649679    (min:atomic_volume / ave:covalent_radius_cordero)
31            0.256556323975088041    (max:mendeleev_number / ave:density)
32            0.255746131296235524    (sum:vdw_radius_uff / sum:density)
33            0.255298171395928031    (max:period / ave:density)
34            0.254556343505470462    (min:en_ghosh / ave:density)
35            0.252860735717033269    (ave:covalent_radius_pyykko / ave:gs_est_fcc_latcnt)
36            0.25118359284738756     (max:vdw_radius_mm3 / ave:covalent_radius_cordero)
37            0.250567794495843377    (ave:period / ave:atomic_volume)
38            0.249405949828020973    (min:atomic_volume / ave:atomic_number)
39            0.249328763252612357    (sum:gs_est_fcc_latcnt / sum:covalent_radius_pyykko)
40            0.248010778093895462    (min:atomic_volume / ave:covalent_radius_pyykko)
41            0.24559896378354884     (min:vdw_radius_uff / ave:density)
42            0.245162915379415508    (max:vdw_radius_uff / ave:covalent_radius_cordero)
43            0.244980897484424531    (min:first_ion_en / ave:density)
44            0.243143104705811852    (max:num_s_valence / ave:density)
45            0.242869747433367145    (min:atomic_volume / ave:density)
46            0.242739243743803179    (1.0 / ave:density)
47            0.242276845890641468    (ave:covalent_radius_pyykko / ave:atomic_volume)
48            0.242155579169831242    (sum:lattice_constant / sum:density)
49            0.240694573990203248    (min:atomic_volume / min:covalent_radius_cordero)
50            0.240639583150149189    (max:covalent_radius_pyykko_triple / ave:density)
51            0.240382188488344362    (max:atomic_radius_rahm / ave:density)
