# c0 + a0 * (sum:gs_est_fcc_latcnt / sum:covalent_radius_cordero)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.20915133786875; Max AE: 4.50345308179404
# Coefficients
# Task   a0                      c0
# all ,  1.668628627234413e+02, -5.074202840803201e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * pm^-1;                                       214|196|div; (sum:gs_est_fcc_latcnt / sum:covalent_radius_cordero); $\left(\frac{ sum:gs_{est, fcc, latcnt} }{ sum:covalent_{radius, cordero} } \right)$; (sum:gs_est_fcc_latcnt ./ sum:covalent_radius_cordero); sum:gs_est_fcc_latcnt,sum:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
5613        ,  3.984599999999999e+00,  1.130200781079802e+00,  3.718265119402985e-02
3256        ,  1.546800000000000e+00,  1.365451239416371e+00,  3.859249431008901e-02
3559        ,  4.266400000000000e+00,  3.638407246485929e+00,  5.221419520848938e-02
5543        ,  4.231000000000000e-01,  4.787996051407133e-01,  3.327883961302682e-02
3064        ,  0.000000000000000e+00,  1.439505387700290e+00,  3.903629676604146e-02
4062        ,  5.457999999999998e-01,  2.655832444466049e+00,  4.632567821925134e-02
5382        ,  5.297999999999998e-01,  2.288907415575464e+00,  4.412671661148648e-02
3811        ,  3.111700000000000e+00,  1.696162619143248e+00,  4.057442950123456e-02
4157        ,  1.256900000000000e+00,  1.454095273244129e+00,  3.912373315126050e-02
5228        ,  8.589000000000000e-01,  8.624829191052066e-01,  3.557823270566728e-02
5154        ,  1.082900000000000e+00,  1.112229002862517e+00,  3.707494731118881e-02
3753        ,  0.000000000000000e+00,  4.611147265648877e-01,  3.317285510402834e-02
3373        ,  0.000000000000000e+00,  9.849957088797400e-01,  3.631244514679977e-02
3489        ,  2.194900000000000e+00,  1.431370521547453e+00,  3.898754495859872e-02
5800        ,  5.573999999999995e-01,  1.726408103331459e+00,  4.075568903193277e-02
4753        ,  7.596999999999996e-01,  1.308364636348788e+00,  3.825037742358804e-02
5732        ,  5.205000000000001e-01,  5.515292840218120e-01,  3.371470459636731e-02
5846        ,  0.000000000000000e+00,  1.490455308322180e+00,  3.934163685064935e-02
5413        ,  7.898000000000001e-01,  9.811802659853048e-01,  3.628957940644172e-02
3108        ,  0.000000000000000e+00,  9.717566418893803e-01,  3.623310414320988e-02
3544        ,  0.000000000000000e+00,  1.264760642767342e+00,  3.798906107751938e-02
3333        ,  0.000000000000000e+00, -9.904823252285187e-02,  2.981582916101695e-02
3097        ,  9.430000000000005e-02,  1.574064166594451e+00,  3.984270016040956e-02
3253        ,  0.000000000000000e+00, -3.267371868860490e-01,  2.845130172425249e-02
3838        ,  1.593100000000000e+00,  1.214817372733574e+00,  3.768975379476861e-02
4958        ,  3.220400000000000e+00,  2.083744823092482e+00,  4.289718842807626e-02
5515        ,  0.000000000000000e+00,  1.605458691912189e+00,  4.003084583168317e-02
3488        ,  3.973200000000000e+00,  2.159610751257623e+00,  4.335184878165584e-02
5704        ,  2.854299999999999e+00,  9.033379065650911e-01,  3.582307440856673e-02
5381        ,  2.504600000000000e+00,  1.243640561697417e+00,  3.786248958806262e-02
5535        ,  1.533700000000000e+00,  1.166599330105968e+00,  3.740078570540098e-02
4712        ,  1.100500000000000e+00,  9.087727930806868e-01,  3.585564538587642e-02
3060        ,  3.200900000000000e+00,  3.814422772234209e+00,  5.326904661685824e-02
3855        ,  1.167300000000000e+00,  1.857333802445871e+00,  4.154031957810414e-02
4370        ,  8.121000000000000e-01,  1.349880222221197e+00,  3.849917805660377e-02
3971        ,  0.000000000000000e+00,  7.690548247098805e-01,  3.501832325145772e-02
5128        ,  4.194100000000000e+00,  1.977654066114204e+00,  4.226139233033033e-02
3352        ,  2.475100000000000e+00,  8.837202956522138e-01,  3.570550714049587e-02
3112        ,  0.000000000000000e+00,  5.561263670215723e-02,  3.074270328208093e-02
5766        ,  2.967000000000000e+00,  1.720675762408133e+00,  4.072133542664418e-02
5366        ,  4.962000000000000e-01,  1.344772064545650e+00,  3.846856514734299e-02
5554        ,  1.662000000000000e+00,  1.002950265414146e+00,  3.642004582103825e-02
4752        ,  7.246999999999995e-01,  3.195351107096081e+00,  4.955898402393617e-02
4701        ,  2.185200000000000e+00,  3.527582421201621e+00,  5.155002809859155e-02
3583        ,  1.527200000000000e+00,  4.878281094937446e-01,  3.333294694527363e-02
5595        ,  1.449800000000000e+00,  1.109785900349977e+00,  3.706030593159922e-02
4793        ,  0.000000000000000e+00,  8.475025094090142e-01,  3.548845593058569e-02
4159        ,  1.161400000000000e+00,  1.329557463541668e+00,  3.837738487657658e-02
3722        ,  0.000000000000000e+00,  7.093522353765257e-01,  3.466052890250000e-02
4996        ,  0.000000000000000e+00,  3.790756775836275e-01,  3.268119957539683e-02
3033        ,  0.000000000000000e+00,  6.693402341155267e-01,  3.442073916973415e-02
4293        ,  1.136700000000000e+00,  1.342287021030016e+00,  3.845367241761827e-02
4850        ,  2.079800000000000e+00,  5.599202078873045e-01,  3.376499094366197e-02
4790        ,  1.588000000000000e+00,  1.242168755027161e+00,  3.785366913127413e-02
3846        ,  4.541999999999993e-01,  3.170298775647006e+00,  4.940884677326107e-02
5476        ,  0.000000000000000e+00,  6.025276376993386e-01,  3.402033493762575e-02
3675        ,  1.858500000000000e+00,  1.348037365889787e+00,  3.848813391951220e-02
3652        ,  1.815100000000000e+00,  1.106109540545301e+00,  3.703827370858283e-02
5918        ,  0.000000000000000e+00,  1.819124537636118e+00,  4.131133354618474e-02
5231        ,  0.000000000000000e+00,  1.228286398296025e+00,  3.777047292749004e-02
3474        ,  3.947700000000000e+00,  1.395498246657451e+00,  3.877256437931035e-02
5899        ,  9.491000000000001e-01,  1.611160171494269e+00,  4.006501448664344e-02
3059        ,  0.000000000000000e+00,  5.224637395939999e-01,  3.354051638004751e-02
3267        ,  2.079300000000000e+00,  1.252208627593685e+00,  3.791383753784860e-02
5321        ,  2.269500000000000e+00,  1.493876607950070e+00,  3.936214051199166e-02
5703        ,  3.516900000000001e+00,  2.322993076630006e+00,  4.433099011188205e-02
5777        ,  6.503000000000001e-01,  1.213420140290602e+00,  3.768138025724104e-02
3819        ,  0.000000000000000e+00,  8.638590458190949e-01,  3.558647975771605e-02
3901        ,  0.000000000000000e+00,  1.095253704469210e+00,  3.697321527737227e-02
4272        ,  2.407300000000000e+00,  2.191319516766284e+00,  4.354187767718795e-02
5282        ,  3.805300000000000e+00,  1.785137502519291e+00,  4.110765110563380e-02
4509        ,  2.598600000000000e+00,  1.953257977083715e+00,  4.211518790453834e-02
3289        ,  0.000000000000000e+00, -1.487880221049672e-01,  2.951774132547170e-02
4710        ,  0.000000000000000e+00,  1.268760475929723e+00,  3.801303185865725e-02
5448        ,  2.388400000000000e+00,  1.917456329587794e+00,  4.190063059135560e-02
3964        ,  2.481400000000001e+00,  1.245302139496543e+00,  3.787244733283582e-02
4739        ,  2.321700000000000e+00,  2.126741329248398e+00,  4.315486413526570e-02
5274        ,  2.598400000000000e+00,  4.863915152217803e+00,  5.955859698687091e-02
4387        ,  2.526700000000000e+00,  1.841130458594593e+00,  4.144321382559087e-02
4921        ,  3.986700000000000e+00,  2.442213153946022e+00,  4.504546950753770e-02
5468        ,  2.496000000000000e+00,  1.482876077940468e+00,  3.929621493796004e-02
5848        ,  0.000000000000000e+00,  1.814910487562410e+00,  4.128607897482639e-02
5616        ,  2.823800000000000e+00,  1.624892936452298e+00,  4.014731419512195e-02
5286        ,  3.213700000000000e+00,  1.994073534814284e+00,  4.235979330722892e-02
3192        ,  1.573799999999999e+00,  1.851719240640209e+00,  4.150667181661891e-02
3475        ,  0.000000000000000e+00,  3.139751480987996e-01,  3.229105566666667e-02
4813        ,  4.401000000000000e+00,  1.619514901014911e+00,  4.011508392321117e-02
5185        ,  1.627300000000000e+00,  1.263790814031124e+00,  3.798324894700460e-02
5368        ,  1.480100000000000e+00,  2.012783584505756e+00,  4.247192161059191e-02
3304        ,  2.330000000000010e-02,  4.216221346985803e+00,  5.567700347552448e-02
3674        ,  4.303999999999999e-01,  5.300062061262610e-01,  3.358571796900000e-02
3602        ,  1.873300000000000e+00,  1.599403287823044e+00,  3.999455612653061e-02
5439        ,  3.011300000000000e+00,  1.745097252410486e+00,  4.086769207906977e-02
4702        ,  4.318700000000000e+00,  1.601731614280957e+00,  4.000850965950920e-02
3429        ,  4.021700000000000e+00,  3.620746382059481e+00,  5.210835461497326e-02
3649        ,  1.546300000000000e+00,  1.397214023864281e+00,  3.878284693816632e-02
3095        ,  0.000000000000000e+00,  4.081546081289642e-01,  3.285546801398602e-02
5213        ,  2.709500000000000e+00,  1.537820333904980e+00,  3.962549285557300e-02
4801        ,  3.595800000000000e+00,  3.091774107418967e+00,  4.893825273605948e-02
4994        ,  3.688700000000000e+00,  1.760867288336017e+00,  4.096220104090909e-02
5117        ,  0.000000000000000e+00,  1.620822411363689e+00,  4.012291976114082e-02
3725        ,  0.000000000000000e+00,  1.563902627093887e+00,  3.978180261056106e-02
5099        ,  1.101100000000000e+00,  9.074051856007807e-01,  3.584744938913044e-02
5348        ,  7.317000000000000e-01,  1.186158421623331e+00,  3.751800226993866e-02
5749        ,  1.189500000000000e+00,  9.227524136989528e-01,  3.593942448681055e-02
3897        ,  3.892500000000000e+00,  3.551936013985150e+00,  5.169597784670232e-02
5901        ,  2.864800000000001e+00,  2.420172585745259e+00,  4.491338158910559e-02
5181        ,  0.000000000000000e+00,  1.614097801023717e+00,  4.008261953956835e-02
5357        ,  3.189999999999982e-02,  1.718414150423982e+00,  4.070778170985401e-02
3666        ,  4.611900000000000e+00,  3.271690065506380e+00,  5.001647922187500e-02
4242        ,  5.707000000000000e-01,  1.186158421623331e+00,  3.751800226993866e-02
3940        ,  2.413200000000000e+00,  2.112011506713933e+00,  4.306658911532385e-02
3937        ,  6.770000000000032e-02,  1.121437930628520e+00,  3.713013591107078e-02
4235        ,  2.754999999999999e-01,  1.293300399302886e+00,  3.816009827578947e-02
3419        ,  4.336800000000000e+00,  1.131080841904330e+00,  3.718792535036496e-02
4290        ,  4.068000000000001e-01,  1.280988017453694e+00,  3.808631084551148e-02
5062        ,  4.345800000000000e+00,  4.209916192772649e+00,  5.563921703155340e-02
3944        ,  1.181500000000000e+00,  1.376873674436556e+00,  3.866094833774834e-02
4037        ,  1.423100000000000e+00,  1.104716240932520e+00,  3.702992374029127e-02
5656        ,  2.185500000000000e+00,  1.483249085252476e+00,  3.929845035035751e-02
3733        ,  0.000000000000000e+00,  4.810232653286227e-01,  3.329216588678011e-02
4367        ,  2.671000000000000e+00,  1.032366264193100e+00,  3.659633429109589e-02
4582        ,  0.000000000000000e+00,  9.025652515018225e-01,  3.581844392907801e-02
4770        ,  2.630999999999999e-01,  1.310563870891906e+00,  3.826355731578947e-02
3789        ,  4.554000000000000e+00,  3.520074307798155e+00,  5.150503238605898e-02
3916        ,  1.628900000000000e+00,  1.857333802445871e+00,  4.154031957810414e-02
3068        ,  4.846000000000000e+00,  3.164092887144006e+00,  4.937165522325581e-02
3876        ,  1.913600000000000e+00,  2.098452652201389e+00,  4.298533164262295e-02
3524        ,  1.959900000000000e+00,  1.034029544857946e+00,  3.660630224105012e-02
5730        ,  0.000000000000000e+00,  6.202132142448031e-01,  3.412632362951807e-02
3802        ,  3.640600000000001e+00,  1.947982375132800e+00,  4.208357151090342e-02
3997        ,  2.932200000000000e+00,  1.795235019348036e+00,  4.116816497111554e-02
4277        ,  2.930600000000000e+00,  2.130294821311382e+00,  4.317616001863354e-02
5313        ,  3.138300000000000e+00,  2.213782970974208e+00,  4.367649992830655e-02
5340        ,  1.904400000000000e+00,  2.103930359643684e+00,  4.301815924340176e-02
3763        ,  0.000000000000000e+00,  1.962426148352567e+00,  4.217013225296443e-02
4199        ,  2.165100000000000e+00,  2.068865307570817e+00,  4.280801630625832e-02
4518        ,  8.073999999999999e-01,  1.137313165475033e+00,  3.722527532428356e-02
5878        ,  0.000000000000000e+00,  2.527303720103282e+00,  4.555541261152417e-02
4039        ,  6.776000000000000e-01,  1.523589542662587e+00,  3.954020850284091e-02
4563        ,  0.000000000000000e+00,  1.196379651135703e+00,  3.757925753875969e-02
3644        ,  5.740000000000003e-01,  1.220294000469275e+00,  3.772257492492492e-02
5042        ,  3.263400000000000e+00,  1.646075366559847e+00,  4.027425933894737e-02
3867        ,  1.943600000000000e+00,  2.197671577150299e+00,  4.357994522727273e-02
3219        ,  0.000000000000000e+00,  1.702427952637600e+00,  4.061197730181818e-02
4178        ,  2.596900000000000e+00,  2.613666023851392e+00,  4.607297716926070e-02
5700        ,  2.603800000000000e+00,  1.489388192124403e+00,  3.933524168170426e-02
3534        ,  0.000000000000000e+00,  1.283723048525504e+00,  3.810270173697271e-02
4300        ,  4.141800000000000e+00,  1.441048409468583e+00,  3.904554401101322e-02
5331        ,  1.814300000000000e+00,  1.599403287823044e+00,  3.999455612653061e-02
5212        ,  0.000000000000000e+00,  4.185544284304041e-01,  3.291779356762749e-02
3436        ,  6.292000000000000e-01,  1.179260410263127e+00,  3.747666286554622e-02
5818        ,  0.000000000000000e+00,  1.145351558023234e+00,  3.727344897069597e-02
3890        ,  2.757400000000000e+00,  1.287487503593565e+00,  3.812526191007905e-02
3807        ,  2.106500000000000e+00,  1.851227392592313e+00,  4.150372419819820e-02
5459        ,  6.888000000000001e-01,  7.696018871465978e-01,  3.502160176668746e-02
5191        ,  2.255300000000000e+00,  2.368593930320593e+00,  4.460427353125000e-02
5163        ,  8.546999999999993e-01,  1.313181969009228e+00,  3.827924743445693e-02
4263        ,  0.000000000000000e+00,  9.045131553071514e-01,  3.583011760992908e-02
4476        ,  3.099999999999881e-03,  1.427370346090159e+00,  3.896357212610619e-02
3990        ,  0.000000000000000e+00,  1.090339829103715e+00,  3.694376669135802e-02
5252        ,  1.617699999999999e+00,  2.044523915519990e+00,  4.266213967647060e-02
5072        ,  9.227000000000000e-01,  2.260695119885082e+00,  4.395764186813187e-02
4546        ,  3.642200000000000e+00,  2.148012255560578e+00,  4.328233963200000e-02
4848        ,  7.781000000000002e-01,  9.818159505799845e-01,  3.629338902941177e-02
3889        ,  1.854900000000000e+00,  1.076158810375911e+00,  3.685878062258065e-02
4846        ,  0.000000000000000e+00,  9.703805309859681e-02,  3.099096353436426e-02
3601        ,  2.851500000000000e+00,  3.025677385689888e+00,  4.854213870175439e-02
3653        ,  2.433800000000000e+00,  1.233142070900980e+00,  3.779957270754717e-02
4450        ,  5.732999999999999e-01,  1.144200176872111e+00,  3.726654880649927e-02
4558        ,  0.000000000000000e+00,  1.029957959594003e+00,  3.658190145349626e-02
4913        ,  1.940700000000000e+00,  1.209964286232259e+00,  3.766066951308900e-02
3947        ,  5.163000000000002e-01,  1.840838721696442e+00,  4.144146546233383e-02
3844        ,  3.046700000000000e+00,  1.696162619143248e+00,  4.057442950123456e-02
4851        ,  0.000000000000000e+00,  8.959799089568691e-01,  3.577897833177571e-02
4147        ,  2.493800000000000e+00,  2.057765635968442e+00,  4.274149658208955e-02
5207        ,  0.000000000000000e+00,  1.647433682011452e+00,  4.028239964907651e-02
5358        ,  6.183999999999994e-01,  3.411700475774605e+00,  5.085555394457275e-02
3269        ,  0.000000000000000e+00,  2.084957548196238e-01,  3.165892343809525e-02
3463        ,  1.951400000000000e+00,  1.681677917448545e+00,  4.048762347706422e-02
5065        ,  7.812999999999999e-01,  1.663016323376237e+00,  4.037578556557377e-02
5783        ,  3.628200000000000e+00,  3.561495460617216e+00,  5.175326708695652e-02
5709        ,  3.470700000000000e+00,  2.416320985514409e+00,  4.489029915981013e-02
5347        ,  2.714200000000000e+00,  2.039778595367733e+00,  4.263370123262032e-02
4156        ,  3.097000000000000e+00,  2.265676808892640e+00,  4.398749685758998e-02
5794        ,  1.657100000000000e+00,  1.420028636941549e+00,  3.891957366516178e-02
4453        ,  7.152000000000003e-01,  1.673846987480252e+00,  4.044069314253394e-02
4651        ,  3.520400000000000e+00,  3.881252183008623e+00,  5.366955161649484e-02
4223        ,  9.039000000000001e-01,  1.265692800724753e+00,  3.799464744911937e-02
3659        ,  1.149999999999984e-02,  3.686069744570413e-01,  3.261846121075582e-02
4910        ,  0.000000000000000e+00,  6.975186585238382e-01,  3.458961092434988e-02
5339        ,  2.493200000000000e+00,  1.634065661372847e+00,  4.020228583333333e-02
5696        ,  0.000000000000000e+00,  2.456215063537437e+00,  4.512938218506752e-02
4102        ,  1.217700000000000e+00,  9.927465596804007e-01,  3.635889557126304e-02
3276        ,  1.351600000000000e+00,  8.335808736581859e-01,  3.540502432978724e-02
3809        ,  4.851000000000000e+00,  1.195053016806678e+00,  3.757130709186352e-02
4061        ,  1.667600000000000e+00,  1.236357807930354e+00,  3.781884444349182e-02
4414        ,  0.000000000000000e+00,  4.100452075379272e-01,  3.286679827272727e-02
3527        ,  1.341400000000000e+00,  9.864596728301116e-01,  3.632121860259740e-02
4240        ,  1.907300000000000e+00,  1.812610552029694e+00,  4.127229558710801e-02
4661        ,  5.475600000000000e+00,  1.565346918205963e+00,  3.979045816811595e-02
4451        ,  1.030000000000000e-01,  1.415339521650656e+00,  3.889147205396825e-02
4407        ,  3.911400000000000e+00,  4.506175443764176e+00,  5.741468250155763e-02
4078        ,  2.834700000000000e+00,  2.096538353936143e+00,  4.297385935793358e-02
3814        ,  2.086700000000000e+00,  1.322658571758392e+00,  3.833604019585687e-02
3315        ,  3.259000000000000e+00,  1.935821944278363e+00,  4.201069471461717e-02
3011        ,  0.000000000000000e+00, -9.904823252285187e-02,  2.981582916101695e-02
3426        ,  3.814500000000001e+00,  1.483547112844535e+00,  3.930023641339870e-02
4416        ,  8.491000000000000e-01,  7.657272377884539e-01,  3.499838120523416e-02
4339        ,  0.000000000000000e+00,  1.031837100118901e+00,  3.659316303977272e-02
4478        ,  0.000000000000000e+00,  4.293581964279787e+00,  5.614062141921397e-02
4232        ,  0.000000000000000e+00,  7.362452174238430e-01,  3.482169707142858e-02
5152        ,  1.699599999999999e+00,  2.672959000113178e+00,  4.642831672950820e-02
5051        ,  1.072800000000000e+00,  1.264840325925217e+00,  3.798953861432160e-02
5770        ,  1.462100000000000e+00,  9.259307709173908e-01,  3.595847220759493e-02
3316        ,  0.000000000000000e+00,  1.147335644229332e+00,  3.728533949069374e-02
5332        ,  0.000000000000000e+00,  1.488967997673170e+00,  3.933272347936508e-02
