# FEAT_ID     Score                   Feature Expression
0             0.303527648336097577    (ave:covalent_radius_cordero / ave:gs_est_fcc_latcnt)
1             0.299892969871964898    (ave:gs_est_fcc_latcnt / ave:covalent_radius_cordero)
2             0.294509035672196051    (sum:num_p_valence / sum:density)
3             0.28711646782379574     (sum:num_valance / sum:density)
4             0.281523157331860674    (energy_vdw_per_atom / ave:gs_energy)
5             0.28102098504177675     (sum:electron_negativity / sum:density)
6             0.279322695617672312    (sum:en_pauling / sum:density)
7             0.27889446362619158     (ave:atomic_volume / ave:covalent_radius_cordero)
8             0.275519162778836535    (sum:en_allen / sum:density)
9             0.271755101843796476    (sum:en_ghosh / sum:density)
10            0.266477104251646391    (ave:covalent_radius_cordero / ave:atomic_volume)
11            0.265857184548337011    (ave:atomic_volume / ave:covalent_radius_slater)
12            0.264102695086702921    (sum:mendeleev_number / sum:density)
13            0.264022688279093254    (sum:first_ion_en / sum:density)
14            0.262834953797490445    (ave:atomic_volume / ave:period)
15            0.262258656198926576    (min:atomic_volume / ave:period)
16            0.261399302863661809    (max:num_p_valence / ave:density)
17            0.259913794462389158    (sum:covalent_radius_slater / sum:gs_est_bcc_latcnt)
18            0.258996288705767186    (max:en_pauling / ave:density)
19            0.258858550963750211    (max:electron_negativity / ave:density)
20            0.258400490667376026    (max:en_ghosh / ave:density)
21            0.257730256987531547    (max:en_allen / ave:density)
22            0.256571138330825399    (sum:covalent_radius_slater / sum:atomic_volume)
23            0.255896160606863043    (ave:gs_est_bcc_latcnt / ave:covalent_radius_slater)
24            0.2539792238745186      (max:first_ion_en / ave:density)
25            0.249623231521972633    (sum:atomic_volume / sum:covalent_radius_pyykko)
26            0.249019133271356941    (sum:covalent_radius_pyykko / sum:gs_est_fcc_latcnt)
27            0.246992927434533466    (min:atomic_volume / ave:covalent_radius_slater)
28            0.244979173580775506    (sum:num_s_valence / sum:density)
29            0.243914737913099117    (max:vdw_radius_uff / ave:covalent_radius_cordero)
30            0.243621364430133575    (min:en_ghosh / ave:density)
31            0.241773913167291687    (max:vdw_radius_uff / ave:density)
32            0.241752617118531243    (max:vdw_radius_mm3 / ave:covalent_radius_cordero)
33            0.241483831624049655    (sum:gs_est_fcc_latcnt / sum:covalent_radius_pyykko)
34            0.240297155538076429    (min:atomic_volume / ave:covalent_radius_cordero)
35            0.239183140449695852    (ave:heat_capacity_molar / ave:density)
36            0.238480454721351015    (sum:period / sum:atomic_volume)
37            0.238345666082235508    (max:vdw_radius_uff / ave:period)
38            0.236293256304617783    (sum:vdw_radius_uff / sum:density)
39            0.235475219397017765    (sum:covalent_radius_pyykko / sum:atomic_volume)
40            0.235024177359335451    (max:mendeleev_number / ave:density)
41            0.234670091849004891    (ave:vdw_radius_alvarez / max:vdw_radius_mm3)
42            0.233768579144233657    (max:vdw_radius_mm3 / ave:vdw_radius_alvarez)
43            0.233241867212074627    (ave:gs_energy / energy_per_atom)
44            0.233064980609874878    (min:heat_capacity_molar * ave:boiling_point)
45            0.232343922776423878    (min:molar_volume / ave:period)
46            0.232327245706543783    (max:period / ave:density)
47            0.231820613366804262    (sum:vdw_radius_uff / sum:covalent_radius_cordero)
48            0.231757376674355642    (min:atomic_volume / ave:covalent_radius_pyykko)
49            0.230519459109299496    (max:vdw_radius_uff / ave:covalent_radius_slater)
50            0.23051732667707997     (sum:lattice_constant / sum:density)
51            0.230022571605789816    (ave:covalent_radius_cordero / max:gs_est_fcc_latcnt)
52            0.229571127816710269    (min:first_ion_en / ave:density)
53            0.229015753167033542    (max:mendeleev_number / ave:vdw_radius_alvarez)
54            0.228929778834684017    (ave:density / ave:num_valance)
55            0.228655105677169623    (ave:covalent_radius_cordero / max:vdw_radius_mm3)
56            0.228278766196238159    (ave:vdw_radius_mm3 / ave:covalent_radius_cordero)
57            0.22823235876937023     (min:atomic_volume / ave:atomic_number)
58            0.227974388303506525    (energy_vdw_per_atom / ave:density)
59            0.227046941089894122    cbrt(ave:boiling_point)
60            0.227005358716576566    (ave:gs_est_bcc_latcnt / ave:period)
61            0.226913566032007658    (min:atomic_volume / min:covalent_radius_cordero)
62            0.226430644459503727    (min:vdw_radius_uff / ave:density)
63            0.225613157356003957    (sum:molar_volume / sum:covalent_radius_cordero)
64            0.225148006790503064    (max:vdw_radius_mm3 / ave:covalent_radius_slater)
65            0.224374440072583836    (ave:vdw_radius_uff / ave:period)
66            0.224197384594808258    (min:molar_volume / ave:atomic_number)
67            0.224109500392618233    (max:num_s_valence / ave:vdw_radius_alvarez)
68            0.223581047886246914    (max:covalent_radius_pyykko_double / ave:covalent_radius_cordero)
69            0.223173051202511435    (min:atomic_volume / min:covalent_radius_pyykko)
70            0.223165621739167708    (ave:covalent_radius_cordero / ave:vdw_radius_mm3)
71            0.2231643127578605      (sum:molar_volume / sum:covalent_radius_slater)
72            0.222658445977236191    (min:atomic_volume / min:c6_gb)
73            0.222227983557422709    (max:num_s_valence / ave:density)
74            0.222013603700486256    (min:atomic_volume / min:covalent_radius_slater)
75            0.221921598769210277    (1.0 / ave:density)
76            0.221798619477943049    (ave:en_ghosh / ave:period)
77            0.221792497206241918    (min:heat_capacity_molar * ave:melting_point)
78            0.221752463053818794    (max:gs_est_fcc_latcnt / ave:covalent_radius_cordero)
79            0.221462486409269715    (energy_per_atom / ave:gs_energy)
80            0.221405375440513724    (min:molar_volume / min:covalent_radius_cordero)
81            0.221033663314749163    sqrt(ave:boiling_point)
82            0.22096859270068836     (min:covalent_radius_slater * ave:gs_energy)
83            0.22096512164165602     (max:mendeleev_number / ave:vdw_radius)
84            0.220920381446425118    (min:molar_volume / min:c6_gb)
85            0.220763952459164331    (ave:covalent_radius_cordero / max:vdw_radius_uff)
86            0.220749551126377008    (1.0 / ave:vdw_radius_alvarez)
87            0.220619461466400602    (min:molar_volume / min:covalent_radius_slater)
88            0.220342551469173503    (ave:num_p_valence / min:covalent_radius_slater)
89            0.220158321762553455    (ave:first_ion_en / min:vdw_radius)
