# FEAT_ID     Feature Postfix Expression (RPN)
0             12|30|div
1             30|12|div
2             232|201|div
3             236|201|div
4             64|28|div
5             204|201|div
6             207|201|div
7             7|12|div
8             205|201|div
9             206|201|div
10            12|7|div
11            7|16|div
12            225|201|div
13            209|201|div
14            7|53|div
15            129|53|div
16            112|17|div
17            200|213|div
18            87|17|div
19            84|17|div
20            86|17|div
21            85|17|div
22            200|191|div
23            29|16|div
24            89|17|div
25            191|197|div
26            197|214|div
27            129|16|div
28            234|201|div
29            124|12|div
30            144|17|div
31            124|17|div
32            123|12|div
33            214|197|div
34            129|12|div
35            34|17|div
36            237|191|div
37            124|53|div
38            244|201|div
39            197|191|div
40            105|17|div
41            58|123|div
42            123|58|div
43            28|63|div
44            156|9|mult
45            164|53|div
46            117|17|div
47            244|196|div
48            129|13|div
49            124|16|div
50            223|201|div
51            12|94|div
52            147|17|div
53            105|58|div
54            17|52|div
55            12|123|div
56            59|12|div
57            129|4|div
58            64|17|div
59            9|cbrt
60            29|53|div
61            129|134|div
62            182|17|div
63            226|196|div
64            123|16|div
65            60|53|div
66            164|4|div
67            114|58|div
68            78|12|div
69            129|135|div
70            12|59|div
71            226|200|div
72            129|133|div
73            114|17|div
74            129|138|div
75            17|inv
76            22|53|div
77            156|40|mult
78            94|12|div
79            63|28|div
80            164|134|div
81            9|sqrt
82            138|28|mult
83            105|57|div
84            164|133|div
85            12|124|div
86            58|inv
87            164|138|div
88            48|138|div
89            25|179|div
90            12|78|div
91            1|17|div
92            70|17|div
93            118|40|div
94            63|17|div
95            124|25|mult
96            209|237|div
97            98|17|div
98            225|237|div
99            83|17|div
100           78|16|div
101           16|9|mult
102           22|179|div
103           48|175|div
104           16|94|div
105           79|17|div
106           129|175|div
107           164|16|div
108           138|129|div
109           164|17|div
110           48|134|div
111           94|16|div
112           105|12|div
113           103|17|div
114           12|9|mult
115           129|125|div
116           53|129|div
117           179|58|add
118           9|5|mult
119           134|28|mult
120           58|cbrt
121           28|16|mult
122           129|17|div
123           78|58|abd
124           129|8|div
125           34|53|div
126           69|12|div
127           6|12|div
128           58|sqrt
129           112|53|div
130           16|78|div
131           196|218|div
132           134|129|div
133           78|58|sub
134           127|9|mult
135           58|57|add
136           48|135|div
137           87|53|div
138           123|53|div
139           91|21|add
140           209|242|div
141           12|69|div
142           84|53|div
143           5|12|div
144           27|25|add
145           123|17|div
146           55|9|div
147           64|9|div
148           196|244|div
149           55|41|mult
150           25|180|div
151           164|8|div
152           58|9|mult
153           193|209|div
154           35|16|mult
155           87|12|div
156           79|58|sub
157           164|135|div
158           79|58|abd
159           91|25|add
160           189|201|div
161           161|17|div
162           89|53|div
163           16|123|div
164           264|211|add
165           244|200|div
166           58
167           239|196|div
168           84|12|div
169           13|9|mult
170           58|114|div
171           151|17|div
172           114|12|div
173           135|28|mult
174           19|17|div
175           196|226|div
176           138|7|div
177           135|129|div
178           77|12|div
179           70|12|div
180           134|7|div
181           86|53|div
182           111|133|div
183           129|55|mult
184           196|190|div
185           89|9|div
186           9|22|div
187           138|164|div
188           209|241|div
189           87|9|div
190           84|9|div
191           59|58|div
192           16|129|div
193           25|12|div
194           58|12|add
195           122|17|div
196           123|25|mult
197           69|16|div
198           105|53|div
199           239|200|div
200           138|35|mult
201           57|105|div
202           239|201|div
203           179|58|mult
204           105|61|sub
205           129|154|div
206           179|25|div
207           206|196|div
208           58|57|mult
209           41|179|div
210           86|9|div
211           16|124|div
212           112|12|div
213           164|12|div
214           226|237|div
215           63|28|abd
216           89|12|div
217           9|6|mult
218           128|9|mult
219           79|12|div
220           241|209|div
221           58|59|div
222           91|85|add
223           124|133|div
224           12|129|div
225           12|77|div
226           85|9|div
227           14|9|mult
228           55|134|div
229           86|12|div
230           12|inv
231           57|9|mult
232           124|13|div
233           196|189|div
234           63|9|div
235           200|226|div
236           164|175|div
237           232|17|div
238           9|89|div
239           114|57|div
240           124|179|div
241           63|28|sub
242           179|9|mult
243           15|9|mult
244           22|58|div
245           142|17|div
246           204|237|div
247           181|9|mult
248           59|9|mult
249           118|9|div
250           64|35|div
251           180|9|mult
252           134|9|mult
253           30|9|mult
254           134|35|mult
255           134|151|div
256           129|140|div
257           41|12|div
258           79|53|div
259           127|17|div
260           55|135|div
261           206|241|div
262           242|209|div
263           40|16|mult
264           151|12|div
265           22|180|div
266           239|224|div
267           94|53|div
268           28|25|add
