# c0 + a0 * ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.19951886245705; Max AE: 4.45330804498819
# Coefficients
# Task   a0                      c0
# all ,  2.925358408325899e+02, -4.539664540351105e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm * g^-0.333333 * pm^-1;                         17|14|div|8|cbrt|div; ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ nthroot(ave:density, 3)); ave:period,ave:covalent_radius_cordero,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1352                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
5613        ,  3.984599999999999e+00,  8.762878766975962e-01,  1.851380809146083e-02
3256        ,  1.546800000000000e+00,  1.313850010176551e+00,  2.000956373026941e-02
3559        ,  4.266400000000000e+00,  4.161240637074838e+00,  2.974303987047258e-02
5115        ,  2.619500000000000e+00,  2.051291086609984e+00,  2.253042091595508e-02
5543        ,  4.231000000000000e-01,  3.689447870201234e-02,  1.564443866443071e-02
4072        ,  9.394999999999998e-01,  1.146174568530886e+00,  1.943638459034439e-02
3064        ,  0.000000000000000e+00,  1.077303286110427e+00,  1.920095606225551e-02
4062        ,  5.457999999999998e-01,  2.243665473864037e+00,  2.318803055006532e-02
3811        ,  3.111700000000000e+00,  1.712686463573637e+00,  2.137294010241565e-02
3682        ,  3.169300000000000e+00,  1.415912817748822e+00,  2.035845365528437e-02
5154        ,  1.082900000000000e+00,  1.178425564209180e+00,  1.954663089584496e-02
3743        ,  0.000000000000000e+00,  1.156842890115484e-01,  1.591377253506103e-02
3753        ,  0.000000000000000e+00,  9.179276038806693e-01,  1.865614869172561e-02
4753        ,  7.596999999999996e-01,  1.111187789675831e+00,  1.931678632588736e-02
5732        ,  5.205000000000001e-01,  7.216380127631210e-01,  1.798515538519987e-02
5846        ,  0.000000000000000e+00,  1.589859412856532e+00,  2.095307000934423e-02
4747        ,  3.408700000000000e+00,  1.387028608947448e+00,  2.025971632204285e-02
3114        ,  0.000000000000000e+00,  2.298919309337889e-01,  1.630417817423738e-02
3084        ,  8.620000000000028e-02,  1.045110349662449e+00,  1.909090822553112e-02
5005        ,  1.334700000000000e+00,  2.282523863020929e+00,  2.332086346737999e-02
5413        ,  7.898000000000001e-01,  1.071803489693374e+00,  1.918215564312943e-02
3108        ,  0.000000000000000e+00,  8.248880514685054e-01,  1.833810372278313e-02
