# c0 + a0 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:melting_point * min:Polarizability)) + a1 * ((sum:specific_heat / sum:heat_capacity_mass) / sqrt(min:density)) + a2 * ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.14133028007104; Max AE: 5.12918824844844
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.383601861383078e+01,  8.879900750846704e-01,  3.289707559346338e+02, -5.911478498344372e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA_polar^-1 * K^-1 * pm;                          24|14|abd|12|9|mult|div; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:melting_point * min:Polarizability)); $\left(\frac{ \left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) }{ \left(ave:melting_{point} min:Polarizability\right) } \right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) ./ (ave:melting_point .* min:Polarizability)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,ave:melting_point,min:Polarizability
# 1;  2; cm^1.5 * g^-0.5;                                  19|10|div|7|sqrt|div; ((sum:specific_heat / sum:heat_capacity_mass) / sqrt(min:density)); $\left(\frac{ \left(\frac{ sum:specific_{heat} }{ sum:heat_{capacity, mass} } \right) }{ \left(\sqrt{ min:density }\right) } \right)$; ((sum:specific_heat ./ sum:heat_capacity_mass) ./ sqrt(min:density)); sum:specific_heat,sum:heat_capacity_mass,min:density
# 2;  2; cm * g^-0.333333 * pm^-1;                         17|14|div|8|cbrt|div; ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ nthroot(ave:density, 3)); ave:period,ave:covalent_radius_cordero,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1352                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
5613        ,  3.984599999999999e+00,  7.543469276204018e-01,  1.153165237229885e-02,  1.087297273129356e+00,  1.851380809146083e-02
3256        ,  1.546800000000000e+00,  1.061534944512506e+00,  1.960877513080228e-02,  1.186877023155551e+00,  2.000956373026941e-02
3559        ,  4.266400000000000e+00,  3.950389708689378e+00,  1.672687635750173e-02,  7.243873719791003e-01,  2.974303987047258e-02
5115        ,  2.619500000000000e+00,  2.113058457240064e+00,  1.014220589732764e-02,  1.076430074709282e+00,  2.253042091595508e-02
5543        ,  4.231000000000000e-01,  1.422293492275909e-01,  1.438152071787000e-03,  1.076370559817967e+00,  1.564443866443071e-02
4072        ,  9.394999999999998e-01,  1.248449887970007e+00,  5.160938712820568e-03,  1.059191875826621e+00,  1.943638459034439e-02
3064        ,  0.000000000000000e+00,  9.950017689279487e-01,  1.231112535293359e-03,  7.112502731566228e-01,  1.920095606225551e-02
4062        ,  5.457999999999998e-01,  2.809171664419153e+00,  4.492951662823411e-03,  1.401468163986883e+00,  2.318803055006532e-02
3811        ,  3.111700000000000e+00,  1.709912157326731e+00,  1.076237297689114e-02,  1.074870398656028e+00,  2.137294010241565e-02
3682        ,  3.169300000000000e+00,  1.307093925952883e+00,  1.292431500227685e-02,  1.079453392037969e+00,  2.035845365528437e-02
5154        ,  1.082900000000000e+00,  1.165738508603005e+00,  9.145026485659428e-03,  1.077014685628723e+00,  1.954663089584496e-02
3743        ,  0.000000000000000e+00, -5.280344931181844e-02,  1.501384276302752e-03,  7.593667470404010e-01,  1.591377253506103e-02
3753        ,  0.000000000000000e+00,  1.292283541650851e+00,  5.671309663914508e-03,  1.417053272000081e+00,  1.865614869172561e-02
4753        ,  7.596999999999996e-01,  1.211711855531716e+00,  4.020614788552205e-03,  1.018675969727892e+00,  1.931678632588736e-02
5732        ,  5.205000000000001e-01,  5.622307668490935e-01,  6.689942846190971e-04,  6.528847808733146e-01,  1.798515538519987e-02
5846        ,  0.000000000000000e+00,  9.516023178836351e-01,  1.492441772433870e-02,  5.350469845946639e-01,  2.095307000934423e-02
4747        ,  3.408700000000000e+00,  1.253559330289632e+00,  1.441004051274815e-02,  1.112357065557907e+00,  2.025971632204285e-02
3114        ,  0.000000000000000e+00,  1.028125521769653e-01,  6.993670727991154e-04,  7.594195564385542e-01,  1.630417817423738e-02
3084        ,  8.620000000000028e-02,  7.513756326947855e-01,  1.414446363062356e-04,  4.361417484507611e-01,  1.909090822553112e-02
5005        ,  1.334700000000000e+00,  3.260197620558737e+00,  2.647032485556181e-03,  1.789838783155180e+00,  2.332086346737999e-02
5413        ,  7.898000000000001e-01,  1.431732186465804e+00,  2.612500816406503e-03,  1.262670721381376e+00,  1.918215564312943e-02
3108        ,  0.000000000000000e+00,  5.378279152914653e-01,  1.461884189116857e-02,  1.026193874745154e+00,  1.833810372278313e-02
3544        ,  0.000000000000000e+00,  1.152568336540886e+00,  5.811858516115954e-05,  6.486644885294465e-01,  1.972821471653887e-02
5200        ,  8.647000000000000e-01,  7.313402504456252e-01,  2.201930361977374e-02,  1.068107633827752e+00,  1.957437012805643e-02
3333        ,  0.000000000000000e+00,  2.731627875109278e-01,  8.036626276138464e-04,  7.552980410494606e-01,  1.684385850516356e-02
3097        ,  9.430000000000005e-02,  3.913898154260603e-01,  5.079316059933890e-03,  8.449747743929329e-01,  1.740094774351154e-02
3253        ,  0.000000000000000e+00, -4.147662410694000e-02,  8.591349172256551e-04,  7.590244339250917e-01,  1.588306960711865e-02
3838        ,  1.593100000000000e+00,  9.434705870560234e-01,  9.697500062064001e-04,  7.138119986280813e-01,  1.901051531658247e-02
5515        ,  0.000000000000000e+00,  1.117238504533460e+00,  1.352910205570578e-02,  1.205769055292092e+00,  1.950257547875874e-02
5434        ,  3.770000000000007e-02,  6.570211984855060e-01,  2.098791201056760e-02,  1.076510455472679e+00,  1.921969161099714e-02
3488        ,  3.973200000000000e+00,  2.431924330336159e+00,  4.623688889964942e-03,  1.073551874297247e+00,  2.293987081350459e-02
3663        ,  0.000000000000000e+00,  1.147706595653566e+00,  1.254325122075102e-02,  1.234805420711463e+00,  1.941541520729522e-02
5704        ,  2.854299999999999e+00,  1.854164503580610e+00,  2.846338517569974e-03,  1.624978414895789e+00,  1.951233337472681e-02
5381        ,  2.504600000000000e+00,  7.523109260000245e-01,  1.104094129747824e-02,  1.088414831029386e+00,  1.845413077774399e-02
5535        ,  1.533700000000000e+00,  1.560827064926273e+00,  1.850891701781554e-03,  1.378524321683668e+00,  1.918351810785376e-02
4712        ,  1.100500000000000e+00,  1.003989790889618e+00,  2.097177153515770e-03,  1.092066310896382e+00,  1.828942013989244e-02
3060        ,  3.200900000000000e+00,  4.716996033978537e+00,  1.627598546819563e-02,  7.359711088569080e-01,  3.199571344712678e-02
4962        ,  1.660300000000000e+00,  1.692135586478211e+00,  1.120328735475475e-02,  1.083685942466074e+00,  2.134045727842889e-02
3855        ,  1.167300000000000e+00,  2.155592962200794e+00,  6.226527030848207e-03,  1.057350150799273e+00,  2.230847506311368e-02
4370        ,  8.121000000000000e-01,  9.722814922271268e-01,  5.766504608196669e-03,  1.168595076268755e+00,  1.836386550879949e-02
5128        ,  4.194100000000000e+00,  2.213124737095149e+00,  2.089807892408151e-02,  8.631020616960767e-01,  2.451672318234688e-02
3112        ,  0.000000000000000e+00,  2.982706164419125e-01,  4.902257633824416e-04,  7.597447494843035e-01,  1.687593959508193e-02
5766        ,  2.967000000000000e+00,  1.580799904493613e+00,  9.514836997667862e-03,  1.059696034960979e+00,  2.089311259117639e-02
5366        ,  4.962000000000000e-01,  1.014105195648423e+00,  1.681880678975230e-03,  7.134235335140762e-01,  1.929952346317995e-02
3150        ,  0.000000000000000e+00, -5.493744542634678e-01,  1.359967880190866e-03,  3.427302820626951e-01,  1.551438467284529e-02
4752        ,  7.246999999999995e-01,  1.518544443317834e+00,  7.336386627007267e-02,  1.417345484784403e+00,  2.630560682610905e-02
4701        ,  2.185200000000000e+00,  3.034278681008436e+00,  5.302440659236548e-03,  4.569462963937518e-01,  2.650511246624505e-02
3583        ,  1.527200000000000e+00,  4.104452139401202e-01,  1.878393916280553e-03,  1.126006616348787e+00,  1.637105513741345e-02
5595        ,  1.449800000000000e+00,  1.610924763932712e+00,  1.401066614500286e-03,  1.311307617322321e+00,  1.947097580318698e-02
4793        ,  0.000000000000000e+00,  1.163481271129463e+00,  1.889545901066528e-02,  1.056101622570604e+00,  2.059909274883557e-02
4159        ,  1.161400000000000e+00,  1.275286521096202e+00,  1.183899347718817e-02,  1.075149943911376e+00,  2.016175244768715e-02
4597        ,  2.728600000000000e+00,  1.347569241431888e+00,  9.243073183187312e-03,  1.110879098073574e+00,  2.001803140110042e-02
3722        ,  0.000000000000000e+00,  1.331184987529227e+00,  4.788736890832757e-03,  1.082591600531074e+00,  1.958643606937276e-02
