# c0 + a0 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:first_ion_en * ave:density)) + a1 * ((ave:first_ion_en * max:mendeleev_number) * (ave:period / ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.12963313752646; Max AE: 4.58314270521682
# Coefficients
# Task   a0                      a1                      c0
# all , -3.968086429034446e+00,  1.661284544529036e-03,  2.479875480890615e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * eV^-1 * g^-1 * pm;                         24|14|abd|29|8|mult|div; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:first_ion_en * ave:density)); $\left(\frac{ \left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) }{ \left(ave:first_{ion, en} ave:density\right) } \right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) ./ (ave:first_ion_en .* ave:density)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,ave:first_ion_en,ave:density
# 1;  2; cm^3 * eV * g^-1;                                 29|21|mult|17|8|div|mult; ((ave:first_ion_en * max:mendeleev_number) * (ave:period / ave:density)); $\left(\left(ave:first_{ion, en} max:mendeleev_{number}\right) \left(\frac{ ave:period }{ ave:density } \right)\right)$; ((ave:first_ion_en .* max:mendeleev_number) .* (ave:period ./ ave:density)); ave:first_ion_en,max:mendeleev_number,ave:period,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  8.326692972452238e-01,  1.357426265371080e-01,  6.761756901061196e+02
3256        ,  1.546800000000000e+00,  1.049738561647092e+00,  1.451107398147501e-01,  8.292155461631766e+02
3559        ,  4.266400000000000e+00,  4.275467996305461e+00,  1.529696691211185e-01,  2.789695077566405e+03
5543        ,  4.231000000000000e-01,  5.259647278079790e-01,  1.572818252276353e-01,  5.430045436281359e+02
3064        ,  0.000000000000000e+00,  1.301026842245228e+00,  4.187240426307103e-02,  7.338854847464659e+02
4062        ,  5.457999999999998e-01,  2.156573648131099e+00,  2.697069614768285e-02,  1.213282914143213e+03
5382        ,  5.297999999999998e-01,  2.672416822756405e+00,  9.435049668519624e-02,  1.684732581997251e+03
3811        ,  3.111700000000000e+00,  1.515403585753531e+00,  1.101475082216901e-01,  1.026007781655569e+03
4157        ,  1.256900000000000e+00,  1.514052826011163e+00,  6.486346576181162e-02,  9.170308127940689e+02
5228        ,  8.589000000000000e-01,  7.998028429631240e-01,  1.257188669241643e-01,  6.324495271141449e+02
5154        ,  1.082900000000000e+00,  1.018948242401397e+00,  1.535867610079625e-01,  8.309270322735262e+02
3753        ,  0.000000000000000e+00,  3.855969279543910e-01,  3.426893084145611e-01,  9.013688707883944e+02
3373        ,  0.000000000000000e+00,  1.670880892838756e+00,  1.952494399602648e-01,  1.322867900607370e+03
3489        ,  2.194900000000000e+00,  1.923539966135856e+00,  2.170464319398760e-01,  1.527018009920110e+03
5800        ,  5.573999999999995e-01,  2.138154198838210e+00,  1.128944130831797e-01,  1.407429839107527e+03
4753        ,  7.596999999999996e-01,  1.235613310345906e+00,  8.453211339599680e-02,  7.964057082203090e+02
5732        ,  5.205000000000001e-01,  7.829973849175774e-01,  1.010157478459541e-01,  5.633285749011284e+02
5846        ,  0.000000000000000e+00,  1.328982374545975e+00,  2.554216575567709e-01,  1.260789457403401e+03
5413        ,  7.898000000000001e-01,  1.139602633893805e+00,  6.418260195962018e-02,  6.900065382512782e+02
3108        ,  0.000000000000000e+00,  9.582211074280730e-01,  2.022599442125242e-01,  9.106317783356419e+02
3544        ,  0.000000000000000e+00,  1.387627998900889e+00,  7.740123140528888e-03,  7.044873391852353e+02
3333        ,  0.000000000000000e+00, -7.074270634154253e-01,  5.441249261889701e-01,  7.245719150096485e+02
3097        ,  9.430000000000005e-02,  8.657150639863914e-01,  7.182984940216784e-02,  5.434075513930611e+02
3253        ,  0.000000000000000e+00, -1.044117097734457e+00,  5.722460614630815e-01,  5.890725872093022e+02
3838        ,  1.593100000000000e+00,  1.072555059585513e+00,  2.631857459528511e-02,  5.592069662231761e+02
4958        ,  3.220400000000000e+00,  2.122551045230233e+00,  6.086680918034972e-02,  1.273766293436652e+03
5515        ,  0.000000000000000e+00,  1.192097923623673e+00,  9.041485928485597e-02,  7.842632112220531e+02
3488        ,  3.973200000000000e+00,  2.034113810592562e+00,  4.746677142876875e-02,  1.188525181036841e+03
5704        ,  2.854299999999999e+00,  8.326761714661985e-01,  2.487496870604562e-01,  9.461045586708206e+02
