# c0 + a0 * ((ave:covalent_radius_cordero / ave:period) * cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.19582612982379; Max AE: 4.68018221287626
# Coefficients
# Task   a0                      c0
# all , -1.327876111196606e-01,  8.038065121412277e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-1 * g^0.333333 * pm;                          14|17|div|8|cbrt|mult; ((ave:covalent_radius_cordero / ave:period) * cbrt(ave:density)); $\left(\left(\frac{ ave:covalent_{radius, cordero} }{ ave:period } \right) \left(\sqrt[3]{ ave:density }\right)\right)$; ((ave:covalent_radius_cordero ./ ave:period) .* nthroot(ave:density, 3)); ave:covalent_radius_cordero,ave:period,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
5115        ,  2.619500000000000e+00,  2.144362042584040e+00,  4.438443488163343e+01
5543        ,  4.231000000000000e-01, -4.497824752910350e-01,  6.392047816158506e+01
4072        ,  9.394999999999998e-01,  1.206156105492373e+00,  5.144989776014105e+01
3064        ,  0.000000000000000e+00,  1.122388074440162e+00,  5.208073997761813e+01
4062        ,  5.457999999999998e-01,  2.311506721682789e+00,  4.312569788283218e+01
5382        ,  5.297999999999998e-01,  2.455852105977600e+00,  4.203865833842216e+01
3811        ,  3.111700000000000e+00,  1.825180488630641e+00,  4.678813467909248e+01
4157        ,  1.256900000000000e+00,  1.324502461318157e+00,  5.055865229809913e+01
3682        ,  3.169300000000000e+00,  1.515584909110231e+00,  4.911964419952071e+01
5228        ,  8.589000000000000e-01,  8.699000790968675e-01,  5.398218238790268e+01
5154        ,  1.082900000000000e+00,  1.244689228286503e+00,  5.115971163156158e+01
3743        ,  0.000000000000000e+00, -3.061292440095315e-01,  6.283865109902836e+01
3753        ,  0.000000000000000e+00,  9.204325749610034e-01,  5.360163110425469e+01
3373        ,  0.000000000000000e+00,  1.176688703559585e+00,  5.167181154926881e+01
3489        ,  2.194900000000000e+00,  1.630396489222784e+00,  4.825501850782804e+01
5800        ,  5.573999999999995e-01,  1.781388946168490e+00,  4.711792103561250e+01
4753        ,  7.596999999999996e-01,  1.163856913098381e+00,  5.176844549239804e+01
5732        ,  5.205000000000001e-01,  6.548867014508590e-01,  5.560141008416909e+01
5846        ,  0.000000000000000e+00,  1.700683006980235e+00,  4.772570318115866e+01
4747        ,  3.408700000000000e+00,  1.483797084836376e+00,  4.935903267865532e+01
3114        ,  0.000000000000000e+00, -1.063264388738704e-01,  6.133397153253168e+01
3084        ,  8.620000000000028e-02,  1.082523271282917e+00,  5.238095475534556e+01
5005        ,  1.334700000000000e+00,  2.344124530173152e+00,  4.288005893944484e+01
5413        ,  7.898000000000001e-01,  1.115610023555653e+00,  5.213178427932186e+01
5200        ,  8.647000000000000e-01,  1.254316257415230e+00,  5.108721217888258e+01
4958        ,  3.220400000000000e+00,  2.228806740442871e+00,  4.374849680618500e+01
5434        ,  3.770000000000007e-02,  1.129129546000546e+00,  5.202997114833097e+01
3488        ,  3.973200000000000e+00,  2.249557758001618e+00,  4.359222456524494e+01
