# c0 + a0 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (min:vdw_radius_alvarez * ave:period)) + a1 * ((max:mendeleev_number^6) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.15852753301048; Max AE: 5.83102704027282
# Coefficients
# Task   a0                      a1                      c0
# all , -6.721926862941321e+01,  3.327303511791807e-12,  1.010896016175036e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         24|14|abd|20|17|mult|div; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (min:vdw_radius_alvarez * ave:period)); $\left(\frac{ \left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) }{ \left(min:vdw_{radius, alvarez} ave:period\right) } \right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) ./ (min:vdw_radius_alvarez .* ave:period)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,min:vdw_radius_alvarez,ave:period
# 1;  2; cm * g^-0.333333;                                 21|sp|8|cbrt|div; ((max:mendeleev_number^6) / cbrt(ave:density)); $\left(\frac{ \left(max:mendeleev_{number}^6\right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((max:mendeleev_number).^6 ./ nthroot(ave:density, 3)); max:mendeleev_number,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5115        ,  2.619500000000000e+00,  2.157313858142587e+00,  3.703703703703714e-03,  7.201522625369020e+11
5543        ,  4.231000000000000e-01,  4.809229779211667e-01,  7.345491388044594e-03,  2.898961796448768e+11
4072        ,  9.394999999999998e-01,  1.595716838867889e+00,  2.380952380952367e-03,  5.246451819645253e+11
3064        ,  0.000000000000000e+00,  1.289713778165114e+00,  2.389486260454005e-03,  4.328503040756655e+11
4062        ,  5.457999999999998e-01,  2.261884667885931e+00,  3.688092729188597e-03,  7.512649792118221e+11
5382        ,  5.297999999999998e-01,  2.597299284228817e+00,  5.555555555555592e-03,  8.897988100121469e+11
3811        ,  3.111700000000000e+00,  1.672460065340009e+00,  1.025641025641025e-02,  7.068124362694213e+11
4157        ,  1.256900000000000e+00,  1.678277691240862e+00,  4.048582995951413e-03,  5.831483398421790e+11
3682        ,  3.169300000000000e+00,  1.462293815775426e+00,  1.079365079365078e-02,  6.545018090734457e+11
5228        ,  8.589000000000000e-01,  9.548716059125864e-01,  7.934408886537953e-03,  4.442359414680054e+11
5154        ,  1.082900000000000e+00,  1.108580147865339e+00,  1.629629629629628e-02,  6.593616417419617e+11
3743        ,  0.000000000000000e+00, -1.487989275120432e-01,  1.270345375148869e-02,  2.088805484999409e+11
3753        ,  0.000000000000000e+00,  6.021512901410211e-01,  1.637599279456319e-02,  5.087677101626161e+11
3373        ,  0.000000000000000e+00,  2.029439157110394e+00,  1.023255813953493e-02,  8.136183734673137e+11
3489        ,  2.194900000000000e+00,  1.708674451049313e+00,  9.721048182586645e-03,  7.068808816799911e+11
5800        ,  5.573999999999995e-01,  1.967714061434630e+00,  5.494505494505499e-03,  6.993476050042505e+11
4753        ,  7.596999999999996e-01,  1.425237083305211e+00,  6.043956043956032e-03,  5.474097633689133e+11
5732        ,  5.205000000000001e-01,  7.210457487267481e-01,  5.634231764885023e-03,  3.274921338637888e+11
5846        ,  0.000000000000000e+00,  1.427450977203556e+00,  2.129629629629627e-02,  8.562078777898934e+11
4747        ,  3.408700000000000e+00,  2.018483146147751e+00,  8.888888888888889e-03,  7.831803701676501e+11
