# c0 + a0 * ((sum:specific_heat * min:period) / (sum:heat_capacity_mass * min:density)) + a1 * ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.17237164722309; Max AE: 4.56447660592265
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.595302259906435e-01,  2.739318887825243e+02, -4.794573895750106e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * g^-1;                                      19|13|mult|10|7|mult|div; ((sum:specific_heat * min:period) / (sum:heat_capacity_mass * min:density)); $\left(\frac{ \left(sum:specific_{heat} min:period\right) }{ \left(sum:heat_{capacity, mass} min:density\right) } \right)$; ((sum:specific_heat .* min:period) ./ (sum:heat_capacity_mass .* min:density)); sum:specific_heat,min:period,sum:heat_capacity_mass,min:density
# 1;  2; cm * g^-0.333333 * pm^-1;                         17|14|div|8|cbrt|div; ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ nthroot(ave:density, 3)); ave:period,ave:covalent_radius_cordero,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  8.034580394908427e-01,  2.028702106585776e+00,  1.851380809146083e-02
3256        ,  1.546800000000000e+00,  1.261413401304249e+00,  2.214500097295344e+00,  2.000956373026941e-02
3559        ,  4.266400000000000e+00,  4.059542032697541e+00,  2.722414454417493e+00,  2.974303987047258e-02
5115        ,  2.619500000000000e+00,  1.898474077985620e+00,  2.008425859351164e+00,  2.253042091595508e-02
5543        ,  4.231000000000000e-01,  6.986751079373801e-01,  4.653555734356624e+00,  1.564443866443071e-02
4072        ,  9.394999999999998e-01,  1.042571490484540e+00,  1.976262465538588e+00,  1.943638459034439e-02
5382        ,  5.297999999999998e-01,  2.790160400419536e+00,  4.117224511999989e+00,  2.378762880465260e-02
3811        ,  3.111700000000000e+00,  1.580647919726916e+00,  2.005515782987485e+00,  2.137294010241565e-02
4157        ,  1.256900000000000e+00,  1.188611837986220e+00,  2.177336564010495e+00,  1.977900823194208e-02
3682        ,  3.169300000000000e+00,  1.304966985860934e+00,  2.014066828371470e+00,  2.035845365528437e-02
5228        ,  8.589000000000000e-01,  6.512631055120355e-01,  1.430854106730238e+00,  1.852463082752465e-02
3743        ,  0.000000000000000e+00,  1.318844604927096e-02,  1.728016734477849e+00,  1.591377253506103e-02
3753        ,  0.000000000000000e+00,  8.062976940125272e-01,  1.889404362666775e+00,  1.865614869172561e-02
3373        ,  0.000000000000000e+00,  9.979312910526382e-01,  1.892363646130862e+00,  1.935291157823071e-02
3489        ,  2.194900000000000e+00,  1.971518159833296e+00,  4.197344060396214e+00,  2.072323316667628e-02
5800        ,  5.573999999999995e-01,  1.692444222712862e+00,  2.594173824897872e+00,  2.122334725346187e-02
4753        ,  7.596999999999996e-01,  1.131923373003265e+00,  2.446780535372014e+00,  1.931678632588736e-02
5732        ,  5.205000000000001e-01,  4.651517471867304e-01,  1.283157123416728e+00,  1.798515538519987e-02
4747        ,  3.408700000000000e+00,  1.341147648490209e+00,  2.257691502823655e+00,  2.025971632204285e-02
3114        ,  0.000000000000000e+00,  1.201641887551450e-01,  1.728136907667026e+00,  1.630417817423738e-02
3084        ,  8.620000000000028e-02,  6.312790940752768e-01,  7.561525455570166e-01,  1.909090822553112e-02
5005        ,  1.334700000000000e+00,  2.865092862334907e+00,  4.898614701133414e+00,  2.332086346737999e-02
3108        ,  0.000000000000000e+00,  7.257384865924785e-01,  1.914694101521246e+00,  1.833810372278313e-02
3544        ,  0.000000000000000e+00,  9.404786303374897e-01,  1.274862707093082e+00,  1.972821471653887e-02
5200        ,  8.647000000000000e-01,  1.084687468923509e+00,  1.992897674221349e+00,  1.957437012805643e-02
3333        ,  0.000000000000000e+00,  2.655657253224414e-01,  1.718757977668419e+00,  1.684385850516356e-02
3097        ,  9.430000000000005e-02,  4.600288817131289e-01,  1.880044197606114e+00,  1.740094774351154e-02
3253        ,  0.000000000000000e+00,  4.575769130620714e-03,  1.727237765957051e+00,  1.588306960711865e-02
3838        ,  1.593100000000000e+00,  7.992974952552987e-01,  1.488400906408438e+00,  1.901051531658247e-02
4958        ,  3.220400000000000e+00,  2.010730350172174e+00,  2.095281161135435e+00,  2.285792822620190e-02
5515        ,  0.000000000000000e+00,  1.142386039359596e+00,  2.290995570246269e+00,  1.950257547875874e-02
