# c0 + a0 * ((ave:first_ion_en * ave:covalent_radius_slater)^6) + a1 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) * (max:mendeleev_number / ave:density)) + a2 * ((max:mendeleev_number / ave:vdw_radius_alvarez) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.14852077420132; Max AE: 5.95127448691525
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.554906081923035e-19, -3.516721452003713e-03,  9.119235361325019e+00, -1.776066611982684e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^6 * pm^6;                                      29|15|mult|sp; ((ave:first_ion_en * ave:covalent_radius_slater)^6); $\left(\left(ave:first_{ion, en} ave:covalent_{radius, slater}\right)^6\right)$; ((ave:first_ion_en .* ave:covalent_radius_slater)).^6; ave:first_ion_en,ave:covalent_radius_slater
# 1;  2; cm^3 * g^-1 * pm;                                 24|14|abd|21|8|div|mult; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) * (max:mendeleev_number / ave:density)); $\left(\left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) \left(\frac{ max:mendeleev_{number} }{ ave:density } \right)\right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) .* (max:mendeleev_number ./ ave:density)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,max:mendeleev_number,ave:density
# 2;  2; cm * g^-0.333333 * pm^-1;                         21|28|div|8|cbrt|div; ((max:mendeleev_number / ave:vdw_radius_alvarez) / cbrt(ave:density)); $\left(\frac{ \left(\frac{ max:mendeleev_{number} }{ ave:vdw_{radius, alvarez} } \right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((max:mendeleev_number ./ ave:vdw_radius_alvarez) ./ nthroot(ave:density, 3)); max:mendeleev_number,ave:vdw_radius_alvarez,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
5613        ,  3.984599999999999e+00,  8.032541774961669e-01,  1.010050826427888e+18,  1.629324251658003e+02,  3.173786101202983e-01
3256        ,  1.546800000000000e+00,  1.144755172151347e+00,  1.709290521281813e+18,  1.661949582044362e+02,  3.364948224739032e-01
3559        ,  4.266400000000000e+00,  3.955234200841155e+00,  2.323377453706251e+17,  2.003297151113252e+02,  6.992301717095243e-01
5115        ,  2.619500000000000e+00,  1.782346630562070e+00,  1.114221739531484e+18,  5.256036636136568e+01,  3.792620854185771e-01
5543        ,  4.231000000000000e-01,  6.554510764922200e-01,  2.778631445752905e+18,  1.024531597332488e+02,  2.282979430431342e-01
4072        ,  9.394999999999998e-01,  1.310156523451642e+00,  4.059337049448025e+18,  2.032274940641463e+01,  2.325381469599899e-01
5382        ,  5.297999999999998e-01,  2.614922506990133e+00,  7.079224363788398e+17,  1.156665139715995e+02,  5.062802212225160e-01
3811        ,  3.111700000000000e+00,  1.553886469123213e+00,  1.210420586602561e+18,  1.325154984091580e+02,  3.823480749309398e-01
4157        ,  1.256900000000000e+00,  1.528830895122539e+00,  3.479016848657814e+18,  6.587139394515462e+01,  2.903415270889523e-01
3682        ,  3.169300000000000e+00,  1.056753010648128e+00,  1.065181140668824e+18,  1.238325339872344e+02,  3.285539033899778e-01
5228        ,  8.589000000000000e-01,  1.083296783155621e+00,  3.917977623768737e+18,  1.103526734926052e+02,  2.463404478891304e-01
3743        ,  0.000000000000000e+00, -1.921137647225333e-01,  1.415461140009880e+18,  1.883540046247636e+02,  2.066735108465632e-01
3753        ,  0.000000000000000e+00,  7.837278282393291e-01,  4.833058408068090e+18,  2.946984657451013e+02,  2.589434016023735e-01
3373        ,  0.000000000000000e+00,  1.504723926712143e+00,  2.395915357381061e+18,  2.001020622579783e+02,  3.698073081977208e-01
3489        ,  2.194900000000000e+00,  1.983479953700406e+00,  4.749335688759937e+18,  2.409396328236601e+02,  3.721203963912385e-01
5800        ,  5.573999999999995e-01,  2.020957571139910e+00,  3.121126132979095e+18,  1.254201164029840e+02,  3.772984517563895e-01
