# c0 + a0 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:melting_point * min:dipole_polarizability)) + a1 * ((sum:specific_heat / sum:heat_capacity_mass) / sqrt(min:density)) + a2 * ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.15236968656762; Max AE: 4.99631579567928
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.979759495913652e+02,  8.716185937763936e-01,  3.305640263968215e+02, -5.972118153657043e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA_polar^-3 * K^-1 * pm;                          25|14|abd|13|10|mult|div; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (ave:melting_point * min:dipole_polarizability)); $\left(\frac{ \left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) }{ \left(ave:melting_{point} min:dipole_{polarizability}\right) } \right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) ./ (ave:melting_point .* min:dipole_polarizability)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,ave:melting_point,min:dipole_polarizability
# 1;  2; cm^1.5 * g^-0.5;                                  19|11|div|7|sqrt|div; ((sum:specific_heat / sum:heat_capacity_mass) / sqrt(min:density)); $\left(\frac{ \left(\frac{ sum:specific_{heat} }{ sum:heat_{capacity, mass} } \right) }{ \left(\sqrt{ min:density }\right) } \right)$; ((sum:specific_heat ./ sum:heat_capacity_mass) ./ sqrt(min:density)); sum:specific_heat,sum:heat_capacity_mass,min:density
# 2;  2; cm * g^-0.333333 * pm^-1;                         17|14|div|8|cbrt|div; ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ nthroot(ave:density, 3)); ave:period,ave:covalent_radius_cordero,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
5613        ,  3.984599999999999e+00,  7.461698775925115e-01,  1.764959008126656e-03,  1.087297273129356e+00,  1.851380809146083e-02
3256        ,  1.546800000000000e+00,  1.082664363581178e+00,  3.001190392157144e-03,  1.186877023155551e+00,  2.000956373026941e-02
3559        ,  4.266400000000000e+00,  4.001335740976901e+00,  2.474616870158641e-03,  7.243873719791003e-01,  2.974303987047258e-02
5115        ,  2.619500000000000e+00,  2.106547010648637e+00,  1.552299452224574e-03,  1.076430074709282e+00,  2.253042091595508e-02
4072        ,  9.394999999999998e-01,  1.219681644989330e+00,  7.898993984126137e-04,  1.059191875826621e+00,  1.943638459034439e-02
3064        ,  0.000000000000000e+00,  9.666140117644666e-01,  1.432100422122239e-04,  7.112502731566228e-01,  1.920095606225551e-02
4062        ,  5.457999999999998e-01,  2.780651034864667e+00,  6.763713719439567e-04,  1.401468163986883e+00,  2.318803055006532e-02
5382        ,  5.297999999999998e-01,  2.857799100424341e+00,  1.740743457405780e-03,  1.504337156549524e+00,  2.378762880465260e-02
4157        ,  1.256900000000000e+00,  1.310706882519177e+00,  2.299452963424931e-04,  9.064974989390124e-01,  1.977900823194208e-02
3682        ,  3.169300000000000e+00,  1.306907539930512e+00,  1.978110807600389e-03,  1.079453392037969e+00,  2.035845365528437e-02
5228        ,  8.589000000000000e-01,  7.899115942770992e-01,  2.719139533732829e-04,  7.942529245500791e-01,  1.852463082752465e-02
5154        ,  1.082900000000000e+00,  1.150938358218308e+00,  1.399677717843294e-03,  1.077014685628723e+00,  1.954663089584496e-02
3743        ,  0.000000000000000e+00, -9.374334110157531e-02,  2.223708895158020e-04,  7.593667470404010e-01,  1.591377253506103e-02
3373        ,  0.000000000000000e+00,  1.023667762093633e+00,  1.442642122981663e-03,  1.014225708904106e+00,  1.935291157823071e-02
3489        ,  2.194900000000000e+00,  1.991792322736102e+00,  4.451375739670108e-04,  1.378678269763569e+00,  2.072323316667628e-02
5800        ,  5.573999999999995e-01,  1.926259453543431e+00,  2.964050013775861e-04,  1.080040689598982e+00,  2.122334725346187e-02
5846        ,  0.000000000000000e+00,  9.834476436646865e-01,  2.207956529874132e-03,  5.350469845946639e-01,  2.095307000934423e-02
4747        ,  3.408700000000000e+00,  1.257929164277214e+00,  2.205506200615270e-03,  1.112357065557907e+00,  2.025971632204285e-02
3114        ,  0.000000000000000e+00,  5.867758760606262e-02,  1.045745658297450e-04,  7.594195564385542e-01,  1.630417817423738e-02
3084        ,  8.620000000000028e-02,  7.146511078516248e-01,  2.094944651352817e-05,  4.361417484507611e-01,  1.909090822553112e-02
5005        ,  1.334700000000000e+00,  3.218086551336354e+00,  3.984857012039980e-04,  1.789838783155180e+00,  2.332086346737999e-02
5413        ,  7.898000000000001e-01,  1.397017453760785e+00,  3.655104353229282e-04,  1.262670721381376e+00,  1.918215564312943e-02
3108        ,  0.000000000000000e+00,  5.412848575686134e-01,  2.237463968839159e-03,  1.026193874745154e+00,  1.833810372278313e-02
3544        ,  0.000000000000000e+00,  1.112997602434443e+00,  8.639249145577768e-06,  6.486644885294465e-01,  1.972821471653887e-02
5200        ,  8.647000000000000e-01,  7.622422254073290e-01,  3.370130057835599e-03,  1.068107633827752e+00,  1.957437012805643e-02
3333        ,  0.000000000000000e+00,  2.303966570799885e-01,  1.201696128185466e-04,  7.552980410494606e-01,  1.684385850516356e-02
3097        ,  9.430000000000005e-02,  3.709600962095959e-01,  7.351641665693789e-04,  8.449747743929329e-01,  1.740094774351154e-02
3253        ,  0.000000000000000e+00, -8.559973336583260e-02,  1.284642421017343e-04,  7.590244339250917e-01,  1.588306960711865e-02
3838        ,  1.593100000000000e+00,  9.119130985212155e-01,  1.128068599277401e-04,  7.138119986280813e-01,  1.901051531658247e-02
4958        ,  3.220400000000000e+00,  2.312517328725164e+00,  1.263710284502007e-03,  1.122980789316563e+00,  2.285792822620190e-02
5515        ,  0.000000000000000e+00,  1.122489122422569e+00,  2.036678336494086e-03,  1.205769055292092e+00,  1.950257547875874e-02
5434        ,  3.770000000000007e-02,  6.835744154575450e-01,  3.212272029098323e-03,  1.076510455472679e+00,  1.921969161099714e-02
3488        ,  3.973200000000000e+00,  2.406603751719954e+00,  7.076714675099014e-04,  1.073551874297247e+00,  2.293987081350459e-02
3663        ,  0.000000000000000e+00,  1.142127245504553e+00,  1.919787686840137e-03,  1.234805420711463e+00,  1.941541520729522e-02
5381        ,  2.504600000000000e+00,  7.422857755234006e-01,  1.689853992476632e-03,  1.088414831029386e+00,  1.845413077774399e-02
5535        ,  1.533700000000000e+00,  1.517454935832198e+00,  2.695040865409965e-04,  1.378524321683668e+00,  1.918351810785376e-02
4712        ,  1.100500000000000e+00,  9.659195018168181e-01,  3.013093699982643e-04,  1.092066310896382e+00,  1.828942013989244e-02
3060        ,  3.200900000000000e+00,  4.769291363152184e+00,  2.407910918764597e-03,  7.359711088569080e-01,  3.199571344712678e-02
4962        ,  1.660300000000000e+00,  1.687360466376222e+00,  1.714701614220098e-03,  1.083685942466074e+00,  2.134045727842889e-02
4370        ,  8.121000000000000e-01,  1.017054774882096e+00,  5.042511049285495e-04,  1.168595076268755e+00,  1.836386550879949e-02
3971        ,  0.000000000000000e+00,  1.192159297968569e+00,  3.053770796179123e-03,  1.055135155111795e+00,  2.071966293291988e-02
3352        ,  2.475100000000000e+00,  2.085371853334266e+00,  1.308465510157618e-03,  1.032571960594997e+00,  2.243597365825430e-02
3112        ,  0.000000000000000e+00,  2.541559652713420e-01,  7.330220188819130e-05,  7.597447494843035e-01,  1.687593959508193e-02
5366        ,  4.962000000000000e-01,  9.907100507265716e-01,  1.956459674700428e-04,  7.134235335140762e-01,  1.929952346317995e-02
3150        ,  0.000000000000000e+00, -5.848022494268268e-01,  2.015984611924426e-04,  3.427302820626951e-01,  1.551438467284529e-02
5554        ,  1.662000000000000e+00,  2.353752963794940e-01,  2.272613360330327e-04,  7.146385237631649e-01,  1.703026661753029e-02
4752        ,  7.246999999999995e-01,  1.772460707608016e+00,  1.104423608444067e-02,  1.417345484784403e+00,  2.630560682610905e-02
