# c0 + a0 * ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.19391101406622; Max AE: 4.42417050185819
# Coefficients
# Task   a0                      c0
# all ,  2.983021941776290e+02, -4.665591487326665e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm * g^-0.333333 * pm^-1;                         17|14|div|8|cbrt|div; ((ave:period / ave:covalent_radius_cordero) / cbrt(ave:density)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ nthroot(ave:density, 3)); ave:period,ave:covalent_radius_cordero,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1691                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
5613        ,  3.984599999999999e+00,  8.571180889396419e-01,  1.851380809146083e-02
3256        ,  1.546800000000000e+00,  1.303305277949802e+00,  2.000956373026941e-02
3559        ,  4.266400000000000e+00,  4.206822567548006e+00,  2.974303987047258e-02
5115        ,  2.619500000000000e+00,  2.055282507648279e+00,  2.253042091595508e-02
5543        ,  4.231000000000000e-01,  1.178892950350213e-03,  1.564443866443071e-02
4072        ,  9.394999999999998e-01,  1.132324682853323e+00,  1.943638459034439e-02
3064        ,  0.000000000000000e+00,  1.062095836352401e+00,  1.920095606225551e-02
4062        ,  5.457999999999998e-01,  2.251448904415714e+00,  2.318803055006532e-02
5382        ,  5.297999999999998e-01,  2.430310379384174e+00,  2.378762880465260e-02
3811        ,  3.111700000000000e+00,  1.710003441250961e+00,  2.137294010241565e-02
4157        ,  1.256900000000000e+00,  1.234530066919043e+00,  1.977900823194208e-02
3682        ,  3.169300000000000e+00,  1.407379908108233e+00,  2.035845365528437e-02
5228        ,  8.589000000000000e-01,  8.603465348544832e-01,  1.852463082752465e-02
5154        ,  1.082900000000000e+00,  1.165211397684118e+00,  1.954663089584496e-02
3743        ,  0.000000000000000e+00,  8.152177752572770e-02,  1.591377253506103e-02
