# c0 + a0 * (ave:density / min:dipole_polarizability) + a1 * (mp_bandgap / max:mendeleev_number)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.462959445653724; Max AE: 4.40954401093206
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.029780530982947e-01,  9.458512915948177e+01,  3.353488003276248e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; AA_polar^-3 * cm^-3 * g;                          10|6|div; (ave:density / min:dipole_polarizability); $\left(\frac{ ave:density }{ min:dipole_{polarizability} } \right)$; (ave:density ./ min:dipole_polarizability); ave:density,min:dipole_polarizability
# 1;  1; eV;                                               0|21|div; (mp_bandgap / max:mendeleev_number); $\left(\frac{ mp_{bandgap} }{ max:mendeleev_{number} } \right)$; (mp_bandgap ./ max:mendeleev_number); mp_bandgap,max:mendeleev_number
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.770312592321581e+00,  5.625779625779627e-01,  4.827745098039216e-02
3404        ,  2.820000000000000e-02,  1.174600316693842e-01,  2.770007621951219e-01,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.844419014176923e+00,  1.620255738254768e-01,  2.919902912621360e-02
3707        ,  1.609999999999999e+00,  1.751306259113800e+00,  4.133684210526316e-01,  1.683700000000000e-02
4870        ,  2.521100000000000e+00,  2.532690641911694e+00,  2.191169724770642e-01,  2.572040816326530e-02
5075        ,  0.000000000000000e+00,  3.806221704109531e-01,  1.145585585585586e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.850649215929245e+00,  1.573739804786736e-01,  2.927979797979798e-02
5647        ,  3.195000000000000e+00,  3.049472363698696e+00,  2.305126895829352e-01,  3.114757281553398e-02
3574        ,  2.645500000000000e+00,  2.446763578601629e+00,  6.373409669211195e-01,  2.347227722772277e-02
3908        ,  1.994499999999999e+00,  1.691122067102975e+00,  4.324427480916030e-01,  1.613960396039604e-02
4983        ,  0.000000000000000e+00,  3.582230635759104e+00,  7.596216216216216e-01,  3.508529411764706e-02
3447        ,  1.737800000000000e+00,  1.577515744809234e+00,  1.713798636181308e-01,  1.577474747474748e-02
3615        ,  3.120000000000012e-02,  1.841127962424130e-01,  4.507894736842105e-01,  1.480000000000015e-04
4735        ,  0.000000000000000e+00,  1.130570656090302e-01,  2.624684684684684e-01,  0.000000000000000e+00
4141        ,  3.190800000000000e+00,  3.414601770592276e+00,  4.168893129770992e-01,  3.441089108910891e-02
4136        ,  0.000000000000000e+00,  2.782406448477870e-01,  8.076682859125607e-01,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.566339450550385e+00,  2.878481424897140e-01,  4.700097087378641e-02
4443        ,  2.707600000000000e+00,  2.775033205465019e+00,  4.349872773536895e-01,  2.759108910891089e-02
4617        ,  2.861800000000000e+00,  2.767558866466898e+00,  4.421543681085666e-01,  2.748910891089109e-02
3836        ,  2.259999999999995e-02,  1.648780571858668e-01,  1.698468468468469e-01,  8.445652173913055e-04
5832        ,  3.573500000000000e+00,  3.463978271904385e+00,  6.496756756756757e-01,  3.418725490196078e-02
4712        ,  1.100500000000000e+00,  1.080628090475826e+00,  2.458714430894309e-01,  1.028279569892473e-02
4913        ,  1.940700000000000e+00,  1.683871960714180e+00,  2.020323572670143e-01,  1.680101010101010e-02
4558        ,  0.000000000000000e+00,  9.905049126062945e-02,  2.162388019788742e-01,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.184930406180366e+00,  1.759473684210526e-01,  2.218200000000000e-02
4636        ,  3.054200000000000e+00,  2.550773399750252e+00,  6.119046520423028e-01,  2.465339805825243e-02
5195        ,  2.369000000000003e-01,  2.201856986263326e-01,  1.392626627283667e-01,  1.527272727272730e-03
3086        ,  1.589400000000000e+00,  1.523882714158015e+00,  6.952290076335877e-01,  1.352970297029703e-02
5102        ,  3.760100000000000e+00,  3.785283979398136e+00,  6.606756756756756e-01,  3.754901960784314e-02
3170        ,  1.528999999999998e-01,  2.524615788332414e-01,  7.225826972010178e-01,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.470583041558978e+00,  5.900922391857506e-01,  1.330297029702970e-02
5493        ,  0.000000000000000e+00,  8.426261308723939e-01,  1.234989398888316e-01,  8.158510638297868e-03
5095        ,  9.836999999999998e-01,  6.330556442915883e-01,  2.418772563176896e-01,  5.563636363636365e-03
5258        ,  3.733000000000000e-01,  8.351526717523536e-01,  1.984657039711192e-01,  7.839361702127654e-03
