# c0 + a0 * (ave:density / min:dipole_polarizability) + a1 * mp_bandgap + a2 * (mp_bandgap / min:c6_gb)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.456702394189552; Max AE: 4.39644960902054
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.876072405789526e-01,  1.021845724009630e+00, -9.481340722693149e-01,  2.463128798648219e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; AA_polar^-3 * cm^-3 * g;                          10|6|div; (ave:density / min:dipole_polarizability); $\left(\frac{ ave:density }{ min:dipole_{polarizability} } \right)$; (ave:density ./ min:dipole_polarizability); ave:density,min:dipole_polarizability
# 1;  0; eV;                                               0; mp_bandgap; $mp_{bandgap}$; mp_bandgap; mp_bandgap
# 2;  1; Eh^-1 * a0^6 * eV;                                0|3|div; (mp_bandgap / min:c6_gb); $\left(\frac{ mp_{bandgap} }{ min:c6_{gb} } \right)$; (mp_bandgap ./ min:c6_gb); mp_bandgap,min:c6_gb
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  4.760572720186467e+00,  5.625779625779627e-01,  4.924300000000000e+00,  4.827745098039216e-01
3404        ,  2.820000000000000e-02,  1.042987128396878e-01,  2.770007621951219e-01,  0.000000000000000e+00,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.706411566873945e+00,  1.620255738254768e-01,  3.007500000000000e+00,  4.619815668202766e-01
3707        ,  1.609999999999999e+00,  1.801884990357559e+00,  4.133684210526316e-01,  1.683700000000000e+00,  6.551361867704281e-02
4870        ,  2.521100000000000e+00,  2.650535211686817e+00,  2.191169724770642e-01,  2.520600000000000e+00,  1.347914438502674e-02
5075        ,  0.000000000000000e+00,  3.541099971037760e-01,  1.145585585585586e+00,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.003612994784793e+00,  1.573739804786736e-01,  2.898700000000000e+00,  2.985272914521112e-02
5647        ,  3.195000000000000e+00,  2.901962901233787e+00,  2.305126895829352e-01,  3.208200000000000e+00,  4.928110599078341e-01
3574        ,  2.645500000000000e+00,  2.495829526584717e+00,  6.373409669211195e-01,  2.370700000000000e+00,  1.419580838323354e-01
3908        ,  1.994499999999999e+00,  1.722167563318939e+00,  4.324427480916030e-01,  1.630100000000000e+00,  9.761077844311378e-02
4983        ,  0.000000000000000e+00,  3.567327631093137e+00,  7.596216216216216e-01,  3.578700000000000e+00,  3.508529411764706e-01
3447        ,  1.737800000000000e+00,  1.654488607138402e+00,  1.713798636181308e-01,  1.561700000000000e+00,  1.608341915550979e-02
3615        ,  3.120000000000012e-02,  1.688589141401562e-01,  4.507894736842105e-01,  1.480000000000015e-02,  5.758754863813287e-04
4735        ,  0.000000000000000e+00,  1.001191199416822e-01,  2.624684684684684e-01,  0.000000000000000e+00,  0.000000000000000e+00
4141        ,  3.190800000000000e+00,  3.498636728140978e+00,  4.168893129770992e-01,  3.475500000000000e+00,  2.081137724550899e-01
4136        ,  0.000000000000000e+00,  2.569225350009263e-01,  8.076682859125607e-01,  0.000000000000000e+00,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.349204886640622e+00,  2.878481424897140e-01,  4.841100000000000e+00,  7.436405529953917e-01
4443        ,  2.707600000000000e+00,  2.839100771431550e+00,  4.349872773536895e-01,  2.786700000000000e+00,  1.668682634730539e-01
4617        ,  2.861800000000000e+00,  2.831221844971298e+00,  4.421543681085666e-01,  2.776400000000000e+00,  1.662514970059880e-01
3836        ,  2.259999999999995e-02,  1.527214717581163e-01,  1.698468468468469e-01,  7.770000000000010e-02,  1.649681528662422e-04
5832        ,  3.573500000000000e+00,  3.450619928433760e+00,  6.496756756756757e-01,  3.487100000000000e+00,  3.418725490196078e-01
4712        ,  1.100500000000000e+00,  1.068645342199759e+00,  2.458714430894309e-01,  9.563000000000001e-01,  4.104291845493563e-03
4913        ,  1.940700000000000e+00,  1.766131937438720e+00,  2.020323572670143e-01,  1.663300000000000e+00,  1.712976313079300e-02
4558        ,  0.000000000000000e+00,  8.682313312972474e-02,  2.162388019788742e-01,  0.000000000000000e+00,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.260058540877367e+00,  1.759473684210526e-01,  2.218200000000000e+00,  8.631128404669261e-02
4636        ,  3.054200000000000e+00,  2.425561798164561e+00,  6.119046520423028e-01,  2.539300000000000e+00,  3.900614439324117e-01
5195        ,  2.369000000000003e-01,  2.177109174521713e-01,  1.392626627283667e-01,  1.512000000000002e-01,  1.557157569515965e-03
3086        ,  1.589400000000000e+00,  1.543354018412000e+00,  6.952290076335877e-01,  1.366500000000000e+00,  8.182634730538924e-02
5102        ,  3.760100000000000e+00,  3.772300470237036e+00,  6.606756756756756e-01,  3.830000000000000e+00,  3.754901960784314e-01
3170        ,  1.528999999999998e-01,  2.324513036185638e-01,  7.225826972010178e-01,  0.000000000000000e+00,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.491015791418920e+00,  5.900922391857506e-01,  1.343600000000000e+00,  8.045508982035927e-02
5493        ,  0.000000000000000e+00,  8.386102200451534e-01,  1.234989398888316e-01,  7.668999999999997e-01,  5.477857142857141e-03
5095        ,  9.836999999999998e-01,  6.516512700532499e-01,  2.418772563176896e-01,  5.508000000000002e-01,  5.672502574665296e-03
5258        ,  3.733000000000000e-01,  8.297190040646192e-01,  1.984657039711192e-01,  7.368999999999994e-01,  5.263571428571425e-03
3559        ,  4.266400000000000e+00,  5.073950923970208e+00,  1.996328425356534e-01,  5.697200000000000e+00,  8.751459293394779e-01
4705        ,  2.014900000000000e+00,  1.927055365875053e+00,  1.637090558766859e-01,  1.821800000000000e+00,  6.600724637681160e-03
5717        ,  8.259000000000003e-01,  4.136363208441811e+00,  6.772522522522523e-01,  4.216800000000000e+00,  4.134117647058824e-01
5108        ,  2.033300000000000e+00,  1.903575606389889e+00,  5.838738738738739e-01,  1.842000000000000e+00,  1.805882352941176e-01
5105        ,  1.147400000000000e+00,  1.448453438594060e+00,  2.305640243902439e-01,  1.333800000000000e+00,  5.724463519313305e-03
4721        ,  2.367300000000000e+00,  3.420015044724447e+00,  2.451070336391437e-01,  3.285200000000000e+00,  3.383316168898043e-02
3907        ,  1.832000000000000e+00,  1.181271453159174e+00,  5.370175438596492e-01,  1.017500000000000e+00,  3.959143968871596e-02
3583        ,  1.527200000000000e+00,  1.667904215173184e+00,  3.668699186991870e-01,  1.510900000000000e+00,  6.484549356223178e-03
3746        ,  0.000000000000000e+00,  1.150591501144592e-01,  3.144144144144144e-01,  0.000000000000000e+00,  0.000000000000000e+00
3201        ,  0.000000000000000e+00,  4.872901951691284e-01,  1.192527648845338e-01,  4.219999999999997e-01,  3.014285714285712e-03
3126        ,  0.000000000000000e+00,  7.646277664000801e-02,  1.802162162162162e-01,  0.000000000000000e+00,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  1.981973178568625e-01,  6.034828244274809e-01,  0.000000000000000e+00,  0.000000000000000e+00
