# c0 + a0 * (mp_bandgap / min:vdw_radius_mm3) + a1 * (mp_bandgap / min:c6_gb)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.45194450988042; Max AE: 3.58143057517817
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.158113016301567e+02, -3.027875540831470e+00,  1.272555490265245e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * pm^-1;                                       0|29|div; (mp_bandgap / min:vdw_radius_mm3); $\left(\frac{ mp_{bandgap} }{ min:vdw_{radius, mm3} } \right)$; (mp_bandgap ./ min:vdw_radius_mm3); mp_bandgap,min:vdw_radius_mm3
# 1;  1; Eh^-1 * a0^6 * eV;                                0|3|div; (mp_bandgap / min:c6_gb); $\left(\frac{ mp_{bandgap} }{ min:c6_{gb} } \right)$; (mp_bandgap ./ min:c6_gb); mp_bandgap,min:c6_gb
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.880208878805092e+00,  2.879707602339181e-02,  4.827745098039216e-01
3033        ,  0.000000000000000e+00,  1.283296009301923e+00,  6.323626373626373e-03,  6.891616766467067e-02
3404        ,  2.820000000000000e-02,  1.272555490265245e-01,  0.000000000000000e+00,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.734929712244413e+00,  1.856481481481482e-02,  4.619815668202766e-01
3707        ,  1.609999999999999e+00,  1.811590478679708e+00,  8.723834196891192e-03,  6.551361867704281e-02
5075        ,  0.000000000000000e+00,  1.272555490265245e-01,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.058953220115047e+00,  1.400338164251208e-02,  2.985272914521112e-02
4329        ,  2.076200000000000e+00,  1.631019004106548e+00,  7.121395348837209e-03,  1.093642857142857e-02
3574        ,  2.645500000000000e+00,  2.508544209357472e+00,  1.302582417582418e-02,  1.419580838323354e-01
3908        ,  1.994499999999999e+00,  1.764636341706104e+00,  8.956593406593407e-03,  9.761077844311378e-02
4303        ,  0.000000000000000e+00,  1.272555490265245e-01,  0.000000000000000e+00,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.581430575178174e+00,  2.092807017543860e-02,  3.508529411764706e-01
4042        ,  1.349900000000000e+00,  1.527304406198867e+00,  6.630232558139535e-03,  1.018214285714286e-02
4750        ,  9.359000000000002e-01,  2.680034709989541e-01,  6.605932203389827e-04,  5.996153846153843e-04
4141        ,  3.190800000000000e+00,  3.618278765367777e+00,  1.909615384615385e-02,  2.081137724550899e-01
4420        ,  0.000000000000000e+00,  1.272555490265245e-01,  0.000000000000000e+00,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.272555490265245e-01,  0.000000000000000e+00,  0.000000000000000e+00
4617        ,  2.861800000000000e+00,  2.916056256219692e+00,  1.525494505494506e-02,  1.662514970059880e-01
3836        ,  2.259999999999995e-02,  1.954795629449824e-01,  3.184426229508201e-04,  1.649681528662422e-04
5832        ,  3.573500000000000e+00,  3.493017902309396e+00,  2.039239766081871e-02,  3.418725490196078e-01
4712        ,  1.100500000000000e+00,  1.016052490112932e+00,  4.175982532751092e-03,  4.104291845493563e-03
4913        ,  1.940700000000000e+00,  1.809489907987969e+00,  8.035265700483091e-03,  1.712976313079300e-02
4046        ,  0.000000000000000e+00,  6.745893285069876e-01,  2.993956043956045e-03,  3.262874251497007e-02
4636        ,  3.054200000000000e+00,  2.328973588148447e+00,  1.567469135802469e-02,  3.900614439324117e-01
5195        ,  2.369000000000003e-01,  2.801767508992900e-01,  7.304347826086968e-04,  1.557157569515965e-03
4525        ,  1.162800000000000e+00,  1.646960561817642e+00,  7.258937198067632e-03,  1.547476828012358e-02
5751        ,  5.041900000000000e+00,  4.708525034045429e+00,  3.261543209876543e-02,  8.116282642089093e-01
5102        ,  3.760100000000000e+00,  3.823986303255941e+00,  2.239766081871345e-02,  3.754901960784314e-01
5500        ,  1.070000000000002e-01,  2.399566869558840e-01,  6.164835164835169e-04,  6.718562874251502e-03
3022        ,  0.000000000000000e+00,  1.272555490265245e-01,  0.000000000000000e+00,  0.000000000000000e+00
