# c0 + a0 * (ave:density / min:dipole_polarizability) + a1 * (|mp_bandgap|) + a2 * (mp_bandgap / min:c6_gb)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.446219842965677; Max AE: 3.58198729112646
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.063449193520738e-01,  1.032038389226065e+00, -9.789495907608264e-01, -6.073736286888344e-04, 
# Feature Rung, Units, and Expressions
# 0;  1; AA_polar^-3 * cm^-3 * g;                          10|6|div; (ave:density / min:dipole_polarizability); $\left(\frac{ ave:density }{ min:dipole_{polarizability} } \right)$; (ave:density ./ min:dipole_polarizability); ave:density,min:dipole_polarizability
# 1;  1; eV;                                               0|abs; (|mp_bandgap|); $\left(\left|mp_{bandgap}\right|\right)$; abs(mp_bandgap); mp_bandgap
# 2;  1; Eh^-1 * a0^6 * eV;                                0|3|div; (mp_bandgap / min:c6_gb); $\left(\frac{ mp_{bandgap} }{ min:c6_{gb} } \right)$; (mp_bandgap ./ min:c6_gb); mp_bandgap,min:c6_gb
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  4.781190258210116e+00,  5.625779625779627e-01,  4.924300000000000e+00,  4.827745098039216e-01
3033        ,  0.000000000000000e+00,  1.304486357422751e+00,  6.031965648854962e-01,  1.150900000000000e+00,  6.891616766467067e-02
3404        ,  2.820000000000000e-02,  8.425040252643876e-02,  2.770007621951219e-01,  0.000000000000000e+00,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.700627127537486e+00,  1.620255738254768e-01,  3.007500000000000e+00,  4.619815668202766e-01
3707        ,  1.609999999999999e+00,  1.799534447728148e+00,  4.133684210526316e-01,  1.683700000000000e+00,  6.551361867704281e-02
5075        ,  0.000000000000000e+00,  3.503369501984256e-01,  1.145585585585586e+00,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.009948707598962e+00,  1.573739804786736e-01,  2.898700000000000e+00,  2.985272914521112e-02
4329        ,  2.076200000000000e+00,  1.659038828645901e+00,  2.944342507645260e-01,  1.531100000000000e+00,  1.093642857142857e-02
3574        ,  2.645500000000000e+00,  2.502322394747912e+00,  6.373409669211195e-01,  2.370700000000000e+00,  1.419580838323354e-01
3908        ,  1.994499999999999e+00,  1.718639011826499e+00,  4.324427480916030e-01,  1.630100000000000e+00,  9.761077844311378e-02
4303        ,  0.000000000000000e+00,  2.354652951391879e-01,  7.706106870229008e-01,  0.000000000000000e+00,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.581987291126459e+00,  7.596216216216216e-01,  3.578700000000000e+00,  3.508529411764706e-01
4042        ,  1.349900000000000e+00,  1.505807358121619e+00,  1.475846656352071e-01,  1.425500000000000e+00,  1.018214285714286e-02
4750        ,  9.359000000000002e-01,  2.185433146059114e-01,  1.920805369127517e-01,  1.558999999999999e-01,  5.996153846153843e-04
4141        ,  3.190800000000000e+00,  3.510221078712610e+00,  4.168893129770992e-01,  3.475500000000000e+00,  2.081137724550899e-01
4420        ,  0.000000000000000e+00,  2.620640495610794e-01,  8.574368517203553e-01,  0.000000000000000e+00,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  2.468177022824222e-01,  8.076682859125607e-01,  0.000000000000000e+00,  0.000000000000000e+00
4617        ,  2.861800000000000e+00,  2.837443919500558e+00,  4.421543681085666e-01,  2.776400000000000e+00,  1.662514970059880e-01
3836        ,  2.259999999999995e-02,  1.314522323079409e-01,  1.698468468468469e-01,  7.770000000000010e-02,  1.649681528662422e-04
5832        ,  3.573500000000000e+00,  3.462562543956286e+00,  6.496756756756757e-01,  3.487100000000000e+00,  3.418725490196078e-01
4712        ,  1.100500000000000e+00,  1.057634510569898e+00,  2.458714430894309e-01,  9.563000000000001e-01,  4.104291845493563e-03
4913        ,  1.940700000000000e+00,  1.761104490757778e+00,  2.020323572670143e-01,  1.663300000000000e+00,  1.712976313079300e-02
4046        ,  0.000000000000000e+00,  7.085559365108379e-01,  5.834844147582697e-01,  5.449000000000002e-01,  3.262874251497007e-02
4636        ,  3.054200000000000e+00,  2.425651098504905e+00,  6.119046520423028e-01,  2.539300000000000e+00,  3.900614439324117e-01
5195        ,  2.369000000000003e-01,  1.965748612391412e-01,  1.392626627283667e-01,  1.512000000000002e-01,  1.557157569515965e-03
4525        ,  1.162800000000000e+00,  1.591029872116993e+00,  1.829486197717245e-01,  1.502600000000000e+00,  1.547476828012358e-02
5751        ,  5.041900000000000e+00,  4.712592813134069e+00,  1.787596374114931e-01,  5.283700000000000e+00,  8.116282642089093e-01
5102        ,  3.760100000000000e+00,  3.786908319904200e+00,  6.606756756756756e-01,  3.830000000000000e+00,  3.754901960784314e-01
5500        ,  1.070000000000002e-01,  2.809233701246810e-01,  5.624809160305344e-01,  1.122000000000001e-01,  6.718562874251502e-03
3022        ,  0.000000000000000e+00,  5.748776648267290e-02,  1.896396396396396e-01,  0.000000000000000e+00,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.488049688304830e+00,  5.900922391857506e-01,  1.343600000000000e+00,  8.045508982035927e-02
5095        ,  9.836999999999998e-01,  6.363841456627132e-01,  2.418772563176896e-01,  5.508000000000002e-01,  5.672502574665296e-03
5258        ,  3.733000000000000e-01,  8.155479043732426e-01,  1.984657039711192e-01,  7.368999999999994e-01,  5.263571428571425e-03
3426        ,  3.814500000000001e+00,  3.850343971538048e+00,  4.687169700528480e-01,  3.808600000000000e+00,  2.280598802395210e-01
