# FEAT_ID     Score                   Feature Expression
0             0.22260399993784466     (min:dipole_polarizability / min:covalent_radius_pyykko_double)
1             0.222605702469661437    (sum:first_ion_en / min:dipole_polarizability)
2             0.2226407692369545      (max:first_ion_en / min:c6_gb)
3             0.223015242331296437    sqrt(ave:period)
4             0.223027922387202676    (1.0 / min:c6_gb)
5             0.22311045016189951     (max:first_ion_en * max:en_allen)
6             0.223260078966918935    (min:covalent_radius_cordero / min:atomic_radius_rahm)
7             0.223421817784778876    (max:first_ion_en / min:covalent_radius_slater)
8             0.223633929439321505    (min:covalent_radius_pyykko / min:c6_gb)
9             0.223763011214117458    (sum:specific_heat / ave:density)
10            0.223988143413980711    (min:covalent_radius_pyykko_triple / max:first_ion_en)
11            0.224053265341511681    (sum:specific_heat / min:dipole_polarizability)
12            0.224247106408112684    (min:vdw_radius_alvarez / max:en_allen)
13            0.22449111895240248     (min:vdw_radius * ave:period)
14            0.224630273582863221    (min:vdw_radius_mm3 / min:Polarizability)
15            0.224690723555270006    (ave:first_ion_en / min:dipole_polarizability)
16            0.22473819249413779     sqrt(min:dipole_polarizability)
17            0.224839397227927978    (1.0 / ave:covalent_radius_pyykko)
18            0.225035912392988174    (max:en_allen / min:covalent_radius_slater)
19            0.225215377905737951    (min:covalent_radius_pyykko_double / max:first_ion_en)
20            0.225541419449508118    max:mendeleev_number
21            0.225584198687104276    (min:covalent_radius_pyykko_triple * ave:covalent_radius_cordero)
22            0.225603472467959504    (max:en_allen / min:c6_gb)
23            0.225672191344342243    (min:period / max:first_ion_en)
24            0.225753660628445929    cbrt(min:dipole_polarizability)
25            0.22579949678624972     (min:covalent_radius_cordero / min:c6_gb)
26            0.226298735495724102    (min:atomic_radius_rahm^3)
27            0.226313046852295419    (min:covalent_radius_slater / min:vdw_radius_mm3)
28            0.226419459948779545    cbrt(ave:period)
29            0.226426535796165951    (ave:vdw_radius_alvarez / ave:density)
30            0.226688212099815656    (min:Polarizability / min:covalent_radius_pyykko_double)
