# c0 + a0 * (mp_bandgap / min:vdw_radius) + a1 * (mp_bandgap / min:covalent_radius_slater)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.460679346949395; Max AE: 4.36189752423275
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.280663729006859e+02, -3.036824338958358e+01,  1.367507343579561e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * pm^-1;                                       0|19|div; (mp_bandgap / min:vdw_radius); $\left(\frac{ mp_{bandgap} }{ min:vdw_{radius} } \right)$; (mp_bandgap ./ min:vdw_radius); mp_bandgap,min:vdw_radius
# 1;  1; eV * pm^-1;                                       0|1|div; (mp_bandgap / min:covalent_radius_slater); $\left(\frac{ mp_{bandgap} }{ min:covalent_{radius, slater} } \right)$; (mp_bandgap ./ min:covalent_radius_slater); mp_bandgap,min:covalent_radius_slater
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.785817113679508e+00,  3.349863945578231e-02,  9.848599999999999e-02
3033        ,  0.000000000000000e+00,  1.281089768797546e+00,  7.571710526315789e-03,  1.918166666666667e-02
3404        ,  2.820000000000000e-02,  1.367507343579561e-01,  0.000000000000000e+00,  0.000000000000000e+00
4870        ,  2.521100000000000e+00,  2.578505164586338e+00,  1.362486486486486e-02,  2.191826086956522e-02
5075        ,  0.000000000000000e+00,  1.367507343579561e-01,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.034157863951059e+00,  1.656400000000000e-02,  2.898700000000000e-02
5647        ,  3.195000000000000e+00,  2.891314228841116e+00,  2.916545454545454e-02,  1.283280000000000e-01
4329        ,  2.076200000000000e+00,  1.611740468421377e+00,  8.506111111111110e-03,  1.531100000000000e-02
4303        ,  0.000000000000000e+00,  1.367507343579561e-01,  0.000000000000000e+00,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.515426658180233e+00,  2.434489795918367e-02,  7.157400000000000e-02
4042        ,  1.349900000000000e+00,  1.510010394672374e+00,  7.919444444444444e-03,  1.425500000000000e-02
3447        ,  1.737800000000000e+00,  1.697754189108551e+00,  8.924000000000000e-03,  1.561700000000000e-02
3615        ,  3.120000000000012e-02,  1.516127790621503e-01,  9.548387096774288e-05,  2.276923076923099e-04
4735        ,  0.000000000000000e+00,  1.367507343579561e-01,  0.000000000000000e+00,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.877741080279571e-01,  8.427027027027023e-04,  1.355652173913043e-03
4141        ,  3.190800000000000e+00,  3.592437861123788e+00,  2.286513157894737e-02,  5.792500000000000e-02
4420        ,  0.000000000000000e+00,  1.367507343579561e-01,  0.000000000000000e+00,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.293323682784621e+00,  4.401000000000000e-02,  1.936440000000000e-01
4443        ,  2.707600000000000e+00,  2.907564521196783e+00,  1.833355263157895e-02,  4.644500000000000e-02
3836        ,  2.259999999999995e-02,  2.059194523562679e-01,  3.771844660194180e-04,  5.550000000000007e-04
5832        ,  3.573500000000000e+00,  3.428946451786257e+00,  2.372176870748299e-02,  6.974200000000000e-02
4712        ,  1.100500000000000e+00,  1.032113050486529e+00,  5.033157894736843e-03,  8.315652173913045e-03
4046        ,  0.000000000000000e+00,  6.785444087572373e-01,  3.584868421052633e-03,  9.081666666666670e-03
4558        ,  0.000000000000000e+00,  1.367507343579561e-01,  0.000000000000000e+00,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.364249894009528e+00,  1.431096774193548e-02,  3.412615384615385e-02
4636        ,  3.054200000000000e+00,  2.316996068670372e+00,  2.308454545454545e-02,  1.015720000000000e-01
