# c0 + a0 * (ave:density / min:dipole_polarizability) + a1 * (|mp_bandgap|) + a2 * (mp_bandgap / min:c6_gb)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.455700978268002; Max AE: 4.37295084989365
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.624327420773750e-01,  1.032753997945939e+00, -1.075148544262367e+00,  2.754219501251346e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; AA_polar^-3 * cm^-3 * g;                          10|6|div; (ave:density / min:dipole_polarizability); $\left(\frac{ ave:density }{ min:dipole_{polarizability} } \right)$; (ave:density ./ min:dipole_polarizability); ave:density,min:dipole_polarizability
# 1;  1; eV;                                               0|abs; (|mp_bandgap|); $\left(\left|mp_{bandgap}\right|\right)$; abs(mp_bandgap); mp_bandgap
# 2;  1; Eh^-1 * a0^6 * eV;                                0|3|div; (mp_bandgap / min:c6_gb); $\left(\frac{ mp_{bandgap} }{ min:c6_{gb} } \right)$; (mp_bandgap ./ min:c6_gb); mp_bandgap,min:c6_gb
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  4.741717273026673e+00,  5.625779625779627e-01,  4.924300000000000e+00,  4.827745098039216e-01
3033        ,  0.000000000000000e+00,  1.300342182442237e+00,  6.031965648854962e-01,  1.150900000000000e+00,  6.891616766467067e-02
3404        ,  2.820000000000000e-02,  1.002362645929022e-01,  2.770007621951219e-01,  0.000000000000000e+00,  0.000000000000000e+00
4870        ,  2.521100000000000e+00,  2.673713307694431e+00,  2.191169724770642e-01,  2.520600000000000e+00,  1.347914438502674e-02
5075        ,  0.000000000000000e+00,  3.281813615220541e-01,  1.145585585585586e+00,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.030390175804323e+00,  1.573739804786736e-01,  2.898700000000000e+00,  2.985272914521112e-02
5647        ,  3.195000000000000e+00,  2.871472554777253e+00,  2.305126895829352e-01,  3.208200000000000e+00,  4.928110599078341e-01
4329        ,  2.076200000000000e+00,  1.674302743799172e+00,  2.944342507645260e-01,  1.531100000000000e+00,  1.093642857142857e-02
4303        ,  0.000000000000000e+00,  2.297756706820631e-01,  7.706106870229008e-01,  0.000000000000000e+00,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.545589483609017e+00,  7.596216216216216e-01,  3.578700000000000e+00,  3.508529411764706e-01
4042        ,  1.349900000000000e+00,  1.527516751505340e+00,  1.475846656352071e-01,  1.425500000000000e+00,  1.018214285714286e-02
3447        ,  1.737800000000000e+00,  1.668077736459031e+00,  1.713798636181308e-01,  1.561700000000000e+00,  1.608341915550979e-02
3615        ,  3.120000000000012e-02,  1.605097201698183e-01,  4.507894736842105e-01,  1.480000000000015e-02,  5.758754863813287e-04
4735        ,  0.000000000000000e+00,  9.642251490154266e-02,  2.624684684684684e-01,  0.000000000000000e+00,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.383120896861066e-01,  1.920805369127517e-01,  1.558999999999999e-01,  5.996153846153843e-04
4141        ,  3.190800000000000e+00,  3.502530900924918e+00,  4.168893129770992e-01,  3.475500000000000e+00,  2.081137724550899e-01
4420        ,  0.000000000000000e+00,  2.525616991676779e-01,  8.574368517203553e-01,  0.000000000000000e+00,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.303224293796596e+00,  2.878481424897140e-01,  4.841100000000000e+00,  7.436405529953917e-01
4443        ,  2.707600000000000e+00,  2.840264494496519e+00,  4.349872773536895e-01,  2.786700000000000e+00,  1.668682634730539e-01
3836        ,  2.259999999999995e-02,  1.521831891347232e-01,  1.698468468468469e-01,  7.770000000000010e-02,  1.649681528662422e-04
5832        ,  3.573500000000000e+00,  3.431791056876639e+00,  6.496756756756757e-01,  3.487100000000000e+00,  3.418725490196078e-01
4712        ,  1.100500000000000e+00,  1.075276836853785e+00,  2.458714430894309e-01,  9.563000000000001e-01,  4.104291845493563e-03
4046        ,  0.000000000000000e+00,  7.083345184015992e-01,  5.834844147582697e-01,  5.449000000000002e-01,  3.262874251497007e-02
4558        ,  0.000000000000000e+00,  8.429033675935590e-02,  2.162388019788742e-01,  0.000000000000000e+00,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.271774012216012e+00,  1.759473684210526e-01,  2.218200000000000e+00,  8.631128404669261e-02
4636        ,  3.054200000000000e+00,  2.391224244105190e+00,  6.119046520423028e-01,  2.539300000000000e+00,  3.900614439324117e-01
5195        ,  2.369000000000003e-01,  2.185675062566894e-01,  1.392626627283667e-01,  1.512000000000002e-01,  1.557157569515965e-03
4525        ,  1.162800000000000e+00,  1.610732385682873e+00,  1.829486197717245e-01,  1.502600000000000e+00,  1.547476828012358e-02
