# c0 + a0 * (|mp_bandgap|) + a1 * (mp_bandgap / min:covalent_radius_slater)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.46215849039014; Max AE: 4.42216275288617
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.046724260058592e+00, -4.386433137065072e+00,  1.267584287056042e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               0|abs; (|mp_bandgap|); $\left(\left|mp_{bandgap}\right|\right)$; abs(mp_bandgap); mp_bandgap
# 1;  1; eV * pm^-1;                                       0|1|div; (mp_bandgap / min:covalent_radius_slater); $\left(\frac{ mp_{bandgap} }{ min:covalent_{radius, slater} } \right)$; (mp_bandgap ./ min:covalent_radius_slater); mp_bandgap,min:covalent_radius_slater
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3033        ,  0.000000000000000e+00,  1.247294281316235e+00,  1.150900000000000e+00,  1.918166666666667e-02
5293        ,  2.833800000000000e+00,  2.747093734442893e+00,  3.007500000000000e+00,  1.203000000000000e-01
3707        ,  1.609999999999999e+00,  1.775505950398926e+00,  1.683700000000000e+00,  2.590307692307692e-02
4870        ,  2.521100000000000e+00,  2.668988612824195e+00,  2.520600000000000e+00,  2.191826086956522e-02
5075        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.033748503993341e+00,  2.898700000000000e+00,  2.898700000000000e-02
5647        ,  3.195000000000000e+00,  2.921957008212294e+00,  3.208200000000000e+00,  1.283280000000000e-01
4329        ,  2.076200000000000e+00,  1.662237265519712e+00,  1.531100000000000e+00,  1.531100000000000e-02
3574        ,  2.645500000000000e+00,  2.434912348059174e+00,  2.370700000000000e+00,  3.951166666666667e-02
3908        ,  1.994499999999999e+00,  1.713851567414953e+00,  1.630100000000000e+00,  2.716833333333334e-02
4303        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.558715972824993e+00,  3.578700000000000e+00,  7.157400000000000e-02
4042        ,  1.349900000000000e+00,  1.556335257050265e+00,  1.425500000000000e+00,  1.425500000000000e-02
3447        ,  1.737800000000000e+00,  1.692924779337563e+00,  1.561700000000000e+00,  1.561700000000000e-02
3615        ,  3.120000000000012e-02,  1.412511906709552e-01,  1.480000000000015e-02,  2.276923076923099e-04
4735        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.839962632307523e-01,  1.558999999999999e-01,  1.355652173913043e-03
4141        ,  3.190800000000000e+00,  3.510564455074748e+00,  3.475500000000000e+00,  5.792500000000000e-02
4420        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.344648785681427e+00,  4.841100000000000e+00,  1.936440000000000e-01
4443        ,  2.707600000000000e+00,  2.839937037159897e+00,  2.786700000000000e+00,  4.644500000000000e-02
4617        ,  2.861800000000000e+00,  2.829908781636489e+00,  2.776400000000000e+00,  4.627333333333334e-02
4712        ,  1.100500000000000e+00,  1.091264786347677e+00,  9.563000000000001e-01,  8.315652173913045e-03
4913        ,  1.940700000000000e+00,  1.794815348092258e+00,  1.663300000000000e+00,  1.663300000000000e-02
4046        ,  0.000000000000000e+00,  6.572823544050854e-01,  5.449000000000002e-01,  9.081666666666670e-03
4558        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.298910090296224e+00,  2.218200000000000e+00,  3.412615384615385e-02
4636        ,  3.054200000000000e+00,  2.339166555674415e+00,  2.539300000000000e+00,  1.015720000000000e-01
5195        ,  2.369000000000003e-01,  2.783908499232212e-01,  1.512000000000002e-01,  1.512000000000002e-03
4525        ,  1.162800000000000e+00,  1.633655757552105e+00,  1.502600000000000e+00,  1.502600000000000e-02
3086        ,  1.589400000000000e+00,  1.457206115379014e+00,  1.366500000000000e+00,  2.277500000000000e-02
5751        ,  5.041900000000000e+00,  4.730271530924760e+00,  5.283700000000000e+00,  2.113480000000000e-01
5102        ,  3.760100000000000e+00,  3.799711566430829e+00,  3.830000000000000e+00,  7.660000000000000e-02
5500        ,  1.070000000000002e-01,  2.359982607178667e-01,  1.122000000000001e-01,  1.870000000000001e-03
3022        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3170        ,  1.528999999999998e-01,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.434910285137652e+00,  1.343600000000000e+00,  2.239333333333333e-02
5493        ,  0.000000000000000e+00,  8.958517080163864e-01,  7.668999999999997e-01,  7.668999999999997e-03
5258        ,  3.733000000000000e-01,  8.657659101557479e-01,  7.368999999999994e-01,  7.368999999999994e-03
3559        ,  4.266400000000000e+00,  5.090540408371932e+00,  5.697200000000000e+00,  2.278880000000000e-01
3426        ,  3.814500000000001e+00,  3.834876291467658e+00,  3.808600000000000e+00,  6.347666666666667e-02
4705        ,  2.014900000000000e+00,  1.974486582798088e+00,  1.821800000000000e+00,  1.349481481481482e-02
5105        ,  1.147400000000000e+00,  1.472004250961169e+00,  1.333800000000000e+00,  1.159826086956522e-02
4062        ,  5.457999999999998e-01,  3.059947058442060e-01,  1.869000000000000e-01,  3.738000000000000e-03
3907        ,  1.832000000000000e+00,  1.123135813823473e+00,  1.017500000000000e+00,  1.565384615384615e-02
3583        ,  1.527200000000000e+00,  1.650624010386466e+00,  1.510900000000000e+00,  1.313826086956522e-02
5228        ,  8.589000000000000e-01,  1.018978462274140e+00,  8.797000000000006e-01,  6.516296296296300e-03
3315        ,  3.259000000000000e+00,  3.785805992595840e+00,  3.758200000000000e+00,  6.263666666666666e-02
3746        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3201        ,  0.000000000000000e+00,  5.499653186119153e-01,  4.219999999999997e-01,  4.219999999999997e-03
5331        ,  1.814300000000000e+00,  1.217404238154234e+00,  1.120200000000000e+00,  1.867000000000000e-02
3126        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5120        ,  8.623000000000001e-01,  2.028782569455155e+00,  1.896600000000000e+00,  1.896600000000000e-02
4244        ,  6.532000000000000e-01,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3178        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5371        ,  4.331500000000000e+00,  3.672574330715038e+00,  3.641900000000000e+00,  6.069833333333333e-02
4218        ,  2.750400000000000e+00,  2.853470314031291e+00,  2.800600000000000e+00,  4.667666666666667e-02
5277        ,  4.523999999999999e-01,  8.797538482981511e-01,  7.734000000000003e-01,  1.289000000000001e-02
3755        ,  1.748400000000000e+00,  1.523837099882452e+00,  1.375900000000000e+00,  9.827857142857143e-03
3400        ,  6.249000000000002e-01,  3.192288450871845e-01,  2.007000000000000e-01,  4.014000000000000e-03
5825        ,  2.044100000000000e+00,  2.167478097592697e+00,  2.034900000000000e+00,  2.034900000000000e-02
3969        ,  2.773000000000000e+00,  1.876640336688128e+00,  1.797300000000000e+00,  2.995500000000000e-02
3278        ,  1.245800000000000e+00,  9.317072146871350e-01,  7.980999999999998e-01,  6.939999999999998e-03
4278        ,  7.349000000000001e-01,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3966        ,  1.750200000000000e+00,  9.578147697669466e-01,  8.215000000000003e-01,  6.572000000000002e-03
4647        ,  3.913400000000000e+00,  3.438008413561652e+00,  3.800500000000000e+00,  1.520200000000000e-01
4890        ,  2.595300000000000e+00,  2.657440366875024e+00,  2.904600000000000e+00,  1.161840000000000e-01
3933        ,  3.733600000000000e+00,  3.623059750359240e+00,  3.443300000000000e+00,  2.459500000000000e-02
3444        ,  2.131800000000000e+00,  2.224075539220971e+00,  2.073200000000000e+00,  1.658560000000000e-02
4994        ,  3.688700000000000e+00,  4.259373321390532e+00,  4.244600000000000e+00,  7.074333333333334e-02
4339        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4325        ,  2.300000000000000e-01,  4.652162752886168e+00,  4.718900000000000e+00,  9.437799999999999e-02
5893        ,  4.026400000000000e+00,  3.861910233103843e+00,  3.724500000000000e+00,  3.724500000000000e-02
5161        ,  4.347900000000000e+00,  4.324186258603656e+00,  4.376900000000001e+00,  8.753800000000002e-02
3743        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4950        ,  1.466200000000001e+00,  1.005155723192798e+00,  9.022000000000001e-01,  1.503666666666667e-02
4189        ,  1.018400000000000e+00,  1.081389937511515e+00,  9.804999999999999e-01,  1.634166666666666e-02
4450        ,  5.732999999999999e-01,  3.555107784393237e-01,  2.281000000000000e-01,  2.281000000000000e-03
4947        ,  8.538999999999999e-01,  9.240463318410207e-01,  7.861000000000002e-01,  5.822962962962965e-03
4749        ,  2.372800000000001e+00,  2.316720774739370e+00,  2.283600000000000e+00,  4.567200000000000e-02
5135        ,  1.470899999999999e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3721        ,  1.803700000000000e+00,  1.691019345473056e+00,  1.559800000000000e+00,  1.559800000000000e-02
4840        ,  3.246200000000000e+00,  3.332100451439741e+00,  3.292200000000000e+00,  5.487000000000000e-02
4848        ,  7.781000000000002e-01,  7.302795337900074e-01,  6.017999999999999e-01,  6.017999999999999e-03
5490        ,  2.288300000000000e+00,  2.141102881468204e+00,  2.008600000000000e+00,  2.008600000000000e-02
5388        ,  1.719900000000000e+00,  1.639672917124233e+00,  1.508600000000000e+00,  1.508600000000000e-02
3448        ,  1.538000000000000e+00,  9.976684358413669e-01,  8.635000000000002e-01,  7.508695652173915e-03
4846        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4953        ,  2.663900000000000e+00,  2.604023024550557e+00,  2.470200000000000e+00,  2.470200000000000e-02
3082        ,  3.936999999999999e-01,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4747        ,  3.408700000000000e+00,  2.822217207011740e+00,  2.768500000000000e+00,  4.614166666666666e-02
5625        ,  8.441999999999998e-01,  1.041861085642551e+00,  9.399000000000000e-01,  1.566500000000000e-02
5067        ,  2.608600000000000e+00,  3.499345605755802e+00,  3.870900000000000e+00,  1.548360000000000e-01
4444        ,  9.563000000000001e-01,  3.192966109432616e-01,  1.909000000000001e-01,  1.660000000000001e-03
3134        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5724        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5875        ,  4.952999999999994e-01,  3.430961352396925e-01,  2.222000000000000e-01,  3.703333333333332e-03
4937        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4070        ,  7.039999999999997e-01,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3180        ,  1.234700000000000e+00,  1.471994737047609e+00,  1.341400000000000e+00,  1.341400000000000e-02
5476        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
3830        ,  6.069000000000000e-01,  6.485686831701596e-01,  5.139000000000000e-01,  3.670714285714286e-03
3277        ,  1.579500000000000e+00,  1.669758714984871e+00,  1.538600000000000e+00,  1.538600000000000e-02
4700        ,  7.430000000000003e-02,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5159        ,  2.832700000000000e+00,  2.657676030735363e+00,  2.523700000000000e+00,  2.523700000000000e-02
4672        ,  6.372000000000000e-01,  6.205769919553323e-01,  5.072000000000001e-01,  8.453333333333335e-03
5042        ,  3.263400000000000e+00,  3.155194235070507e+00,  3.110500000000000e+00,  5.184166666666666e-02
5909        ,  1.706400000000000e+00,  1.470490447154577e+00,  1.339900000000000e+00,  1.339900000000000e-02
3339        ,  0.000000000000000e+00,  1.702825496106610e-01,  4.340000000000011e-02,  4.340000000000011e-04
5517        ,  1.991000000000000e+00,  1.750849014977038e+00,  1.668100000000000e+00,  2.780166666666667e-02
5696        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4993        ,  7.869999999999999e-01,  7.061509401986372e-01,  6.650000000000000e-01,  2.660000000000000e-02
4049        ,  4.949900000000000e+00,  5.752267645182396e+00,  6.456700000000001e+00,  2.582680000000000e-01
3296        ,  6.007300000000000e+00,  6.005652846320959e+00,  6.038200000000000e+00,  1.006366666666667e-01
3504        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
5474        ,  0.000000000000000e+00,  1.267584287056042e-01,  0.000000000000000e+00,  0.000000000000000e+00
4069        ,  2.483500000000000e+00,  2.451463837758001e+00,  2.387700000000000e+00,  3.979500000000000e-02
3708        ,  3.914400000000000e+00,  3.197078733076643e+00,  3.201600000000000e+00,  6.403200000000001e-02
