# c0 + a0 * (ave:density / min:dipole_polarizability) + a1 * (|mp_bandgap|) + a2 * (mp_bandgap / min:c6_gb)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.456550105989307; Max AE: 4.3860183532898
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.735929286453521e-01,  1.025468879902904e+00, -9.831200528343634e-01,  2.393411427655183e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; AA_polar^-3 * cm^-3 * g;                          10|6|div; (ave:density / min:dipole_polarizability); $\left(\frac{ ave:density }{ min:dipole_{polarizability} } \right)$; (ave:density ./ min:dipole_polarizability); ave:density,min:dipole_polarizability
# 1;  1; eV;                                               0|abs; (|mp_bandgap|); $\left(\left|mp_{bandgap}\right|\right)$; abs(mp_bandgap); mp_bandgap
# 2;  1; Eh^-1 * a0^6 * eV;                                0|3|div; (mp_bandgap / min:c6_gb); $\left(\frac{ mp_{bandgap} }{ min:c6_{gb} } \right)$; (mp_bandgap ./ min:c6_gb); mp_bandgap,min:c6_gb
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3033        ,  0.000000000000000e+00,  1.301423696497011e+00,  6.031965648854962e-01,  1.150900000000000e+00,  6.891616766467067e-02
5293        ,  2.833800000000000e+00,  2.698177479462040e+00,  1.620255738254768e-01,  3.007500000000000e+00,  4.619815668202766e-01
3707        ,  1.609999999999999e+00,  1.799202992039221e+00,  4.133684210526316e-01,  1.683700000000000e+00,  6.551361867704281e-02
4870        ,  2.521100000000000e+00,  2.655428210035745e+00,  2.191169724770642e-01,  2.520600000000000e+00,  1.347914438502674e-02
5075        ,  0.000000000000000e+00,  3.373582296508129e-01,  1.145585585585586e+00,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.010168348008347e+00,  1.573739804786736e-01,  2.898700000000000e+00,  2.985272914521112e-02
5647        ,  3.195000000000000e+00,  2.892417581360013e+00,  2.305126895829352e-01,  3.208200000000000e+00,  4.928110599078341e-01
4329        ,  2.076200000000000e+00,  1.663832823021093e+00,  2.944342507645260e-01,  1.531100000000000e+00,  1.093642857142857e-02
3574        ,  2.645500000000000e+00,  2.489823330670466e+00,  6.373409669211195e-01,  2.370700000000000e+00,  1.419580838323354e-01
3908        ,  1.994499999999999e+00,  1.717901099667905e+00,  4.324427480916030e-01,  1.630100000000000e+00,  9.761077844311378e-02
