# c0 + a0 * (mp_bandgap / max:mendeleev_number)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.460081801129433; Max AE: 4.30755111689232
# Coefficients
# Task   a0                      c0
# all ,  9.512329414373824e+01,  1.367931489032354e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               0|21|div; (mp_bandgap / max:mendeleev_number); $\left(\frac{ mp_{bandgap} }{ max:mendeleev_{number} } \right)$; (mp_bandgap ./ max:mendeleev_number); mp_bandgap,max:mendeleev_number
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3577        ,  5.216900000000000e+00,  4.729103319020982e+00,  4.827745098039216e-02
3033        ,  0.000000000000000e+00,  1.220727794745100e+00,  1.139504950495050e-02
3404        ,  2.820000000000000e-02,  1.367931489032354e-01,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.914300985187631e+00,  2.919902912621360e-02
3707        ,  1.609999999999999e+00,  1.738384052401356e+00,  1.683700000000000e-02
4870        ,  2.521100000000000e+00,  2.583403100114527e+00,  2.572040816326530e-02
5647        ,  3.195000000000000e+00,  3.099652879698779e+00,  3.114757281553398e-02
4329        ,  2.076200000000000e+00,  1.622949023020354e+00,  1.562346938775510e-02
3574        ,  2.645500000000000e+00,  2.369553479859277e+00,  2.347227722772277e-02
3908        ,  1.994499999999999e+00,  1.672045443791430e+00,  1.613960396039604e-02
4303        ,  0.000000000000000e+00,  1.367931489032354e-01,  0.000000000000000e+00
4042        ,  1.349900000000000e+00,  1.579327785093649e+00,  1.516489361702128e-02
3447        ,  1.737800000000000e+00,  1.637339092986831e+00,  1.577474747474748e-02
3615        ,  3.120000000000012e-02,  1.508713964365088e-01,  1.480000000000015e-04
4735        ,  0.000000000000000e+00,  1.367931489032354e-01,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  3.034192338134465e-01,  1.751685393258426e-03
4420        ,  0.000000000000000e+00,  1.367931489032354e-01,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.367931489032354e-01,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.607680326371693e+00,  4.700097087378641e-02
4443        ,  2.707600000000000e+00,  2.761348433956259e+00,  2.759108910891089e-02
4617        ,  2.861800000000000e+00,  2.751647741583184e+00,  2.748910891089109e-02
3836        ,  2.259999999999995e-02,  2.171309745007188e-01,  8.445652173913055e-04
5832        ,  3.573500000000000e+00,  3.388797452909408e+00,  3.418725490196078e-02
4913        ,  1.940700000000000e+00,  1.734960574653537e+00,  1.680101010101010e-02
4046        ,  0.000000000000000e+00,  6.499880298826709e-01,  5.395049504950497e-03
4558        ,  0.000000000000000e+00,  1.367931489032354e-01,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.246818059599637e+00,  2.218200000000000e-02
4525        ,  1.162800000000000e+00,  1.580553368907084e+00,  1.517777777777777e-02
3086        ,  1.589400000000000e+00,  1.423783064224209e+00,  1.352970297029703e-02
5751        ,  5.041900000000000e+00,  5.016433433051485e+00,  5.129805825242718e-02
5102        ,  3.760100000000000e+00,  3.708579585869093e+00,  3.754901960784314e-02
5500        ,  1.070000000000002e-01,  2.424647687342001e-01,  1.110891089108912e-03
3022        ,  0.000000000000000e+00,  1.367931489032354e-01,  0.000000000000000e+00
3170        ,  1.528999999999998e-01,  1.367931489032354e-01,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.402215505453005e+00,  1.330297029702970e-02
5493        ,  0.000000000000000e+00,  9.128575561248612e-01,  8.158510638297868e-03
5095        ,  9.836999999999998e-01,  6.660245672302156e-01,  5.563636363636365e-03
5258        ,  3.733000000000000e-01,  8.824990579938807e-01,  7.839361702127654e-03
3559        ,  4.266400000000000e+00,  5.398311900317852e+00,  5.531262135922330e-02
3426        ,  3.814500000000001e+00,  3.723788971436318e+00,  3.770891089108910e-02
