# c0 + a0 * (max:mendeleev_number * mp_bandgap) + a1 * (mp_bandgap / min:covalent_radius_slater)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.449517593582754; Max AE: 4.49896468833843
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.071719487518364e-02, -5.956786355173209e+00,  1.326704395235490e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               21|0|mult; (max:mendeleev_number * mp_bandgap); $\left(max:mendeleev_{number} mp_{bandgap}\right)$; (max:mendeleev_number .* mp_bandgap); max:mendeleev_number,mp_bandgap
# 1;  1; eV * pm^-1;                                       0|1|div; (mp_bandgap / min:covalent_radius_slater); $\left(\frac{ mp_{bandgap} }{ min:covalent_{radius, slater} } \right)$; (mp_bandgap ./ min:covalent_radius_slater); mp_bandgap,min:covalent_radius_slater
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.929028016382373e+00,  5.022786000000000e+02,  9.848599999999999e-02
3033        ,  0.000000000000000e+00,  1.264185727020802e+00,  1.162409000000000e+02,  1.918166666666667e-02
3404        ,  2.820000000000000e-02,  1.326704395235490e-01,  0.000000000000000e+00,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.735961290469035e+00,  3.097725000000000e+02,  1.203000000000000e-01
3707        ,  1.609999999999999e+00,  1.782825445485831e+00,  1.683700000000000e+02,  2.590307692307692e-02
4870        ,  2.521100000000000e+00,  2.649456659680608e+00,  2.470188000000000e+02,  2.191826086956522e-02
5647        ,  3.195000000000000e+00,  2.909687133788988e+00,  3.304446000000000e+02,  1.283280000000000e-01
4329        ,  2.076200000000000e+00,  1.649557596832071e+00,  1.500478000000000e+02,  1.531100000000000e-02
3574        ,  2.645500000000000e+00,  2.463440525603780e+00,  2.394407000000000e+02,  3.951166666666667e-02
3908        ,  1.994499999999999e+00,  1.735314518200473e+00,  1.646401000000000e+02,  2.716833333333334e-02
4303        ,  0.000000000000000e+00,  1.326704395235490e-01,  0.000000000000000e+00,  0.000000000000000e+00
4042        ,  1.349900000000000e+00,  1.483828411720537e+00,  1.339970000000000e+02,  1.425500000000000e-02
3447        ,  1.737800000000000e+00,  1.696610587435663e+00,  1.546083000000000e+02,  1.561700000000000e-02
3615        ,  3.120000000000012e-02,  1.471755735071815e-01,  1.480000000000015e+00,  2.276923076923099e-04
4735        ,  0.000000000000000e+00,  1.326704395235490e-01,  0.000000000000000e+00,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.732972597642833e-01,  1.387509999999999e+01,  1.355652173913043e-03
4420        ,  0.000000000000000e+00,  1.326704395235490e-01,  0.000000000000000e+00,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.326704395235490e-01,  0.000000000000000e+00,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.323124749918294e+00,  4.986333000000000e+02,  1.936440000000000e-01
4443        ,  2.707600000000000e+00,  2.872433800083627e+00,  2.814567000000000e+02,  4.644500000000000e-02
4617        ,  2.861800000000000e+00,  2.862307283912612e+00,  2.804164000000000e+02,  4.627333333333334e-02
3836        ,  2.259999999999995e-02,  2.059752189421906e-01,  7.148400000000009e+00,  5.550000000000007e-04
5832        ,  3.573500000000000e+00,  3.529169130964851e+00,  3.556842000000000e+02,  6.974200000000000e-02
4913        ,  1.940700000000000e+00,  1.798356325431354e+00,  1.646667000000000e+02,  1.663300000000000e-02
4046        ,  0.000000000000000e+00,  6.683926396775617e-01,  5.503490000000001e+01,  9.081666666666670e-03
4558        ,  0.000000000000000e+00,  1.326704395235490e-01,  0.000000000000000e+00,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.306676399151472e+00,  2.218200000000000e+02,  3.412615384615385e-02
