# c0 + a0 * mp_bandgap + a1 * (mp_bandgap / min:covalent_radius_slater) + a2 * (1.0 / ave:covalent_radius_cordero)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.444124159566173; Max AE: 4.42120249384391
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.062285176928081e+00, -6.249742857757589e+00,  4.295459517835771e+01, -2.501130453347665e-01, 
# Feature Rung, Units, and Expressions
# 0;  0; eV;                                               0; mp_bandgap; $mp_{bandgap}$; mp_bandgap; mp_bandgap
# 1;  1; eV * pm^-1;                                       0|1|div; (mp_bandgap / min:covalent_radius_slater); $\left(\frac{ mp_{bandgap} }{ min:covalent_{radius, slater} } \right)$; (mp_bandgap ./ min:covalent_radius_slater); mp_bandgap,min:covalent_radius_slater
# 2;  1; pm^-1;                                            14|inv; (1.0 / ave:covalent_radius_cordero); $\left(\frac{1.0}{ ave:covalent_{radius, cordero} }\right)$; (ave:covalent_radius_cordero).^(-1); ave:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  4.891690801034332e+00,  4.924300000000000e+00,  9.848599999999999e-02,  1.225259189443921e-02
3033        ,  0.000000000000000e+00,  1.203957312266683e+00,  1.150900000000000e+00,  1.918166666666667e-02,  8.179959100204500e-03
3404        ,  2.820000000000000e-02,  7.044363510073885e-02,  0.000000000000000e+00,  0.000000000000000e+00,  7.462686567164179e-03
5293        ,  2.833800000000000e+00,  2.682841929343990e+00,  3.007500000000000e+00,  1.203000000000000e-01,  1.140684410646388e-02
3707        ,  1.609999999999999e+00,  1.781037818217242e+00,  1.683700000000000e+00,  2.590307692307692e-02,  9.416195856873824e-03
4870        ,  2.521100000000000e+00,  2.628724636190828e+00,  2.520600000000000e+00,  2.191826086956522e-02,  7.874015748031496e-03
5647        ,  3.195000000000000e+00,  2.998751144858627e+00,  3.208200000000000e+00,  1.283280000000000e-01,  1.496598639455782e-02
4329        ,  2.076200000000000e+00,  1.647099281003762e+00,  1.531100000000000e+00,  1.531100000000000e-02,  8.530805687203793e-03
3574        ,  2.645500000000000e+00,  2.436998297818837e+00,  2.370700000000000e+00,  3.951166666666667e-02,  9.677419354838710e-03
3908        ,  1.994499999999999e+00,  1.817071102937435e+00,  1.630100000000000e+00,  2.716833333333334e-02,  1.176470588235294e-02
4303        ,  0.000000000000000e+00,  1.768057140831619e-01,  0.000000000000000e+00,  0.000000000000000e+00,  9.938837920489297e-03
4042        ,  1.349900000000000e+00,  1.544019563249926e+00,  1.425500000000000e+00,  1.425500000000000e-02,  8.588957055214723e-03
3447        ,  1.737800000000000e+00,  1.694778652499554e+00,  1.561700000000000e+00,  1.561700000000000e-02,  8.928571428571428e-03
3615        ,  3.120000000000012e-02,  1.124662583561466e-01,  1.480000000000015e-02,  2.276923076923099e-04,  8.108108108108109e-03
4735        ,  0.000000000000000e+00,  3.881920922817781e-02,  0.000000000000000e+00,  0.000000000000000e+00,  6.726457399103139e-03
4750        ,  9.359000000000002e-01,  2.090964323071403e-01,  1.558999999999999e-01,  1.355652173913043e-03,  7.032348804500704e-03
4420        ,  0.000000000000000e+00,  9.573715738953072e-02,  0.000000000000000e+00,  0.000000000000000e+00,  8.051529790660225e-03
4136        ,  0.000000000000000e+00,  1.284931621667839e-01,  0.000000000000000e+00,  0.000000000000000e+00,  8.814102564102564e-03
3925        ,  4.481500000000000e+00,  4.365464994741893e+00,  4.841100000000000e+00,  1.936440000000000e-01,  1.590457256461232e-02
4443        ,  2.707600000000000e+00,  2.861202084206389e+00,  2.786700000000000e+00,  4.644500000000000e-02,  1.027397260273973e-02
4617        ,  2.861800000000000e+00,  2.868609069494302e+00,  2.776400000000000e+00,  4.627333333333334e-02,  1.067615658362989e-02
3836        ,  2.259999999999995e-02,  1.269088548405320e-01,  7.770000000000010e-02,  5.550000000000007e-04,  6.936416184971099e-03
5832        ,  3.573500000000000e+00,  3.547961784335522e+00,  3.487100000000000e+00,  6.974200000000000e-02,  1.233045622688039e-02
4913        ,  1.940700000000000e+00,  1.750173669206244e+00,  1.663300000000000e+00,  1.663300000000000e-02,  7.853403141361256e-03
4046        ,  0.000000000000000e+00,  7.474801899324671e-01,  5.449000000000002e-01,  9.081666666666670e-03,  1.107011070110701e-02
4558        ,  0.000000000000000e+00,  9.982255693291345e-02,  0.000000000000000e+00,  0.000000000000000e+00,  8.146639511201629e-03
4191        ,  1.821500000000000e+00,  2.251221752271019e+00,  2.218200000000000e+00,  3.412615384615385e-02,  8.340283569641369e-03
4525        ,  1.162800000000000e+00,  1.627466315219097e+00,  1.502600000000000e+00,  1.502600000000000e-02,  8.737092930897538e-03
3086        ,  1.589400000000000e+00,  1.413426457853947e+00,  1.366500000000000e+00,  2.277500000000000e-02,  8.247422680412371e-03
5751        ,  5.041900000000000e+00,  4.649660535475544e+00,  5.283700000000000e+00,  2.113480000000000e-01,  1.415094339622642e-02
5102        ,  3.760100000000000e+00,  3.736212834888085e+00,  3.830000000000000e+00,  7.660000000000000e-02,  9.230769230769232e-03
5500        ,  1.070000000000002e-01,  3.444018831475883e-01,  1.122000000000001e-01,  1.870000000000001e-03,  1.133786848072562e-02
3022        ,  0.000000000000000e+00,  4.275919451767251e-02,  0.000000000000000e+00,  0.000000000000000e+00,  6.818181818181819e-03
3170        ,  1.528999999999998e-01,  1.629119083032885e-01,  0.000000000000000e+00,  0.000000000000000e+00,  9.615384615384616e-03
4533        ,  1.544200000000000e+00,  1.381086748754900e+00,  1.343600000000000e+00,  2.239333333333333e-02,  8.005336891260841e-03
5493        ,  0.000000000000000e+00,  8.906069727166585e-01,  7.668999999999997e-01,  7.668999999999997e-03,  8.706467661691543e-03
5095        ,  9.836999999999998e-01,  6.483805337308434e-01,  5.508000000000002e-01,  5.508000000000002e-03,  8.097165991902834e-03
5258        ,  3.733000000000000e-01,  8.438413171387137e-01,  7.368999999999994e-01,  7.368999999999994e-03,  8.316008316008316e-03
3559        ,  4.266400000000000e+00,  5.021211198798468e+00,  5.697200000000000e+00,  2.278880000000000e-01,  1.498127340823970e-02
3426        ,  3.814500000000001e+00,  3.855210541031755e+00,  3.808600000000000e+00,  6.347666666666667e-02,  1.062091503267974e-02
4705        ,  2.014900000000000e+00,  1.922978431324844e+00,  1.821800000000000e+00,  1.349481481481482e-02,  7.500000000000001e-03
5717        ,  8.259000000000003e-01,  4.147378113719553e+00,  4.216800000000000e+00,  8.433600000000001e-02,  1.036269430051814e-02
5108        ,  2.033300000000000e+00,  1.968848789426102e+00,  1.842000000000000e+00,  3.684000000000000e-02,  1.146496815286624e-02
4721        ,  2.367300000000000e+00,  3.384562995804663e+00,  3.285200000000000e+00,  3.285200000000000e-02,  8.152173913043478e-03
4062        ,  5.457999999999998e-01,  4.993258092591056e-01,  1.869000000000000e-01,  3.738000000000000e-03,  1.336898395721925e-02
3907        ,  1.832000000000000e+00,  1.067640740253050e+00,  1.017500000000000e+00,  1.565384615384615e-02,  7.792207792207793e-03
3583        ,  1.527200000000000e+00,  1.593339556888456e+00,  1.510900000000000e+00,  1.313826086956522e-02,  7.462686567164179e-03
5228        ,  8.589000000000000e-01,  9.577644337885668e-01,  8.797000000000006e-01,  6.516296296296300e-03,  7.312614259597806e-03
3315        ,  3.259000000000000e+00,  3.849017215585084e+00,  3.758200000000000e+00,  6.263666666666666e-02,  1.160092807424594e-02
3201        ,  0.000000000000000e+00,  5.553205557044831e-01,  4.219999999999997e-01,  4.219999999999997e-03,  8.928571428571428e-03
5331        ,  1.814300000000000e+00,  1.261488306403263e+00,  1.120200000000000e+00,  1.867000000000000e-02,  1.020408163265306e-02
3126        ,  0.000000000000000e+00,  5.758462786263838e-02,  0.000000000000000e+00,  0.000000000000000e+00,  7.163323782234957e-03
5676        ,  4.641999999999999e-01,  2.174199634092630e-01,  0.000000000000000e+00,  0.000000000000000e+00,  1.088435374149660e-02
3598        ,  9.411999999999998e-01,  9.719605426858716e-01,  9.265999999999996e-01,  1.544333333333333e-02,  7.782101167315175e-03
5120        ,  8.623000000000001e-01,  1.975870157713540e+00,  1.896600000000000e+00,  1.896600000000000e-02,  7.677543186180422e-03
4710        ,  0.000000000000000e+00,  2.052360201601917e-01,  0.000000000000000e+00,  0.000000000000000e+00,  1.060070671378092e-02
3178        ,  0.000000000000000e+00,  3.435447240270183e-02,  0.000000000000000e+00,  0.000000000000000e+00,  6.622516556291391e-03
5371        ,  4.331500000000000e+00,  3.651308851415158e+00,  3.641900000000000e+00,  6.069833333333333e-02,  9.592326139088728e-03
4218        ,  2.750400000000000e+00,  2.815590777328202e+00,  2.800600000000000e+00,  4.667666666666667e-02,  8.902077151335312e-03
5277        ,  4.523999999999999e-01,  9.608618731869920e-01,  7.734000000000003e-01,  1.289000000000001e-02,  1.094091903719912e-02
3755        ,  1.748400000000000e+00,  1.452560698758311e+00,  1.375900000000000e+00,  9.827857142857143e-03,  7.042253521126761e-03
3400        ,  6.249000000000002e-01,  4.800149411289312e-01,  2.007000000000000e-01,  4.014000000000000e-03,  1.261829652996845e-02
5825        ,  2.044100000000000e+00,  2.154972776124986e+00,  2.034900000000000e+00,  2.034900000000000e-02,  8.628127696289905e-03
3969        ,  2.773000000000000e+00,  1.881942191647359e+00,  1.797300000000000e+00,  2.995500000000000e-02,  9.545454545454546e-03
3495        ,  1.237600000000000e+00,  4.049865785309709e-01,  3.169999999999999e-01,  2.756521739130434e-03,  7.812500000000000e-03
3278        ,  1.245800000000000e+00,  8.865690265061049e-01,  7.980999999999998e-01,  6.939999999999998e-03,  7.734806629834255e-03
4278        ,  7.349000000000001e-01,  1.368652896053931e-01,  0.000000000000000e+00,  0.000000000000000e+00,  9.009009009009009e-03
3966        ,  1.750200000000000e+00,  9.144622754222348e-01,  8.215000000000003e-01,  6.572000000000002e-03,  7.751937984496124e-03
4647        ,  3.913400000000000e+00,  3.417483362754336e+00,  3.800500000000000e+00,  1.520200000000000e-01,  1.351351351351351e-02
4958        ,  3.220400000000000e+00,  3.229588711663852e+00,  3.165600000000000e+00,  5.276000000000001e-02,  1.039861351819757e-02
4890        ,  2.595300000000000e+00,  2.599256726240621e+00,  2.904600000000000e+00,  1.161840000000000e-01,  1.140684410646388e-02
3933        ,  3.733600000000000e+00,  3.526092684993823e+00,  3.443300000000000e+00,  2.459500000000000e-02,  6.335797254487857e-03
4837        ,  2.507100000000000e+00,  2.442514757772514e+00,  2.682800000000000e+00,  1.073120000000000e-01,  1.195219123505976e-02
4994        ,  3.688700000000000e+00,  4.304855374174267e+00,  4.244600000000000e+00,  7.074333333333334e-02,  1.136363636363636e-02
4339        ,  0.000000000000000e+00,  1.159772544807823e-01,  0.000000000000000e+00,  0.000000000000000e+00,  8.522727272727274e-03
4325        ,  2.300000000000000e-01,  4.651202493843910e+00,  4.718900000000000e+00,  9.437799999999999e-02,  1.113585746102450e-02
5893        ,  4.026400000000000e+00,  3.811466862660122e+00,  3.724500000000000e+00,  3.724500000000000e-02,  7.865757734661773e-03
4950        ,  1.466200000000001e+00,  1.101503018066451e+00,  9.022000000000001e-01,  1.503666666666667e-02,  1.134215500945180e-02
4450        ,  5.732999999999999e-01,  2.951807496530363e-01,  2.281000000000000e-01,  2.281000000000000e-03,  7.385524372230428e-03
4947        ,  8.538999999999999e-01,  8.628592269988363e-01,  7.861000000000002e-01,  5.822962962962965e-03,  7.317073170731708e-03
4749        ,  2.372800000000001e+00,  2.424354472146482e+00,  2.283600000000000e+00,  4.567200000000000e-02,  1.243339253996448e-02
5135        ,  1.470899999999999e+00,  2.380073544192985e-01,  0.000000000000000e+00,  0.000000000000000e+00,  1.136363636363636e-02
3721        ,  1.803700000000000e+00,  1.641479043137901e+00,  1.559800000000000e+00,  1.559800000000000e-02,  7.731958762886599e-03
4840        ,  3.246200000000000e+00,  3.413763250332237e+00,  3.292200000000000e+00,  5.487000000000000e-02,  1.186239620403321e-02
