# FEAT_ID     Score                   Feature Expression
0             0.150840836322362198    (|min:vdw_radius - max:vdw_radius_alvarez|)
1             0.150848215713334122    (sum:vdw_radius_mm3 * max:gs_bandgap)
2             0.150853941980550577    (ave:atomic_number / max:covalent_radius_pyykko_double)
3             0.150854441971937842    (min:vdw_radius - max:vdw_radius_alvarez)
4             0.150859908250317698    (var:electron_negativity / min:atomic_number)
5             0.150868099787846544    (min:heat_capacity_mass / min:covalent_radius_slater)
6             0.150882482752726588    (ave:melting_point / sum:en_allen)
7             0.150917723609892862    (sum:electron_negativity / ave:hhi_r)
8             0.150919751547798853    (max:en_allen * ave:vdw_radius_mm3)
9             0.150922501682087346    (sum:gs_bandgap / min:covalent_radius_pyykko_triple)
10            0.150926010822733186    (sum:en_allen - max:gs_energy)
11            0.150926692636193849    (ave:num_s_valence / min:atomic_number)
12            0.15092837831049305     (var:en_allen * ave:en_ghosh)
13            0.15093044836489633     (var:covalent_radius_pyykko - min:vdw_radius)
14            0.150932773861658931    (sum:mendeleev_number * min:specific_heat)
15            0.150934890701731717    (min:boiling_point * max:num_valance)
16            0.150939473297056204    (sum:en_allen / max:vdw_radius_alvarez)
17            0.150941734485526724    (max:heat_capacity_molar / min:covalent_radius_pyykko)
18            0.150950010957646236    (ave:covalent_radius_pyykko_double / max:atomic_radius_rahm)
19            0.150951490135206534    (max:heat_of_formation * ave:density)
20            0.150958627515727833    (ave:density / min:heat_capacity_molar)
21            0.150964451763186097    (max:num_p_unfilled / min:atomic_weight)
22            0.150984464518178735    (sum:bulk_modulus / min:Polarizability)
23            0.150988649177234036    (ave:vdw_radius_mm3 * ave:gs_est_fcc_latcnt)
24            0.15099425601328384     (max:vdw_radius_mm3 / max:first_ion_en)
25            0.150995852603864444    (ave:electron_negativity / min:hhi_r)
26            0.150999784962439126    (ave:period * ave:num_unfilled)
27            0.151009603285804206    (min:density * min:covalent_radius_pyykko)
28            0.151016979932129869    (sum:molar_volume / min:evaporation_heat)
29            0.151021432161998009    (sum:molar_volume * max:heat_capacity_mass)
30            0.151025883273264827    (sum:specific_heat / max:hhi_r)
31            0.151029278966207048    (var:covalent_radius_slater * sum:gs_energy)
32            0.151034745853080132    (ave:atomic_weight / max:en_ghosh)
33            0.151035002011310093    (structural_complexity_per_atom * ave:heat_capacity_mass)
34            0.151042275738788923    (sum:atomic_number / min:fusion_enthalpy)
35            0.151044637144224392    (sum:gs_volume_per / min:covalent_radius_pyykko)
36            0.151046558130837477    (var:first_ion_en / ave:atomic_number)
37            0.151055577074134889    (min:covalent_radius_pyykko_double * ave:dipole_polarizability)
38            0.151060456760666345    (min:density / ave:lattice_constant)
39            0.1510640808250929      (max:dipole_polarizability / min:boiling_point)
40            0.15108488543389556     (ave:specific_heat * ave:num_p_unfilled)
41            0.151084955971631435    (sum:heat_capacity_mass / min:electron_negativity)
42            0.151092372972387118    (var:covalent_radius_pyykko - min:covalent_radius_pyykko)
43            0.151104887987275088    (max:heat_of_formation / sum:en_pauling)
44            0.151106436232124303    (min:atomic_radius / min:dipole_polarizability)
45            0.15112272155735007     (max:vdw_radius_alvarez * average_cn)
46            0.15112599830586812     (max:covalent_radius_cordero * ave:covalent_radius_cordero)
47            0.15113158968068352     (sum:covalent_radius_slater / ave:evaporation_heat)
48            0.151139255241055925    (var:covalent_radius_pyykko - ave:vdw_radius_mm3)
49            0.151150441117621465    cbrt(ave:covalent_radius_pyykko_triple)
50            0.15115615713429581     (ave:boiling_point / sum:vdw_radius_uff)
51            0.151163230361523071    (min:gs_energy * ave:covalent_radius_pyykko_triple)
52            0.15116411743961794     (ave:electron_negativity / perimeter_area_ratio)
53            0.151164917348135086    (sum:sound_velocity / min:melting_point)
54            0.151175383638352478    (var:atomic_radius_rahm + sum:covalent_radius_pyykko_triple)
55            0.151179153929224069    (var:vdw_radius_mm3 * max:en_allen)
56            0.151185858773667553    (max:atomic_volume / ave:covalent_radius_pyykko)
57            0.151192297304562351    (var:vdw_radius * sum:vdw_radius_mm3)
58            0.151192448048139971    (min:c6_gb / Total_Atoms)
59            0.151197186486299373    (sum:specific_heat / perimeter_area_ratio)
60            0.151207050864870185    (min:Polarizability / ave:specific_heat)
61            0.151208837205041524    (var:electron_negativity * min:num_s_valence)
62            0.151214766550948287    (max:specific_heat / min:covalent_radius_pyykko)
63            0.151215590545487971    (energy_vdw_per_atom / min:vdw_radius_alvarez)
64            0.151229527366143174    (sum:en_allen / sum:dipole_polarizability)
65            0.151237237814357744    (min:covalent_radius_pyykko_triple * max:melting_point)
66            0.151246528783184814    (var:vdw_radius_mm3 * max:electron_negativity)
67            0.151256409138106868    (var:vdw_radius_mm3 - ave:vdw_radius_mm3)
68            0.151272528208087342    (max:covalent_radius_pyykko_triple + ave:vdw_radius_alvarez)
69            0.151286517319257019    (sum:atomic_volume / min:density)
70            0.151289950208681828    (ave:covalent_radius_pyykko / min:covalent_radius_slater)
71            0.151292712336956209    (min:heat_of_formation / ave:melting_point)
72            0.151304749544012462    (max:covalent_radius_cordero * ave:covalent_radius_slater)
73            0.151308539597205527    (sum:bulk_modulus / sum:melting_point)
74            0.151310421279931051    (|var:electron_affinity - sum:en_allen|)
75            0.151310851190983503    (var:vdw_radius_mm3 * min:specific_heat)
76            0.151321953080152644    (energy_per_atom * ave:num_d_valence)
77            0.151325298781488982    (average_cn / max:covalent_radius_pyykko_triple)
78            0.151328594961228802    (ave:evaporation_heat / max:covalent_radius_pyykko_triple)
79            0.151346314356623685    (max:mendeleev_number / min:gs_est_fcc_latcnt)
80            0.151347772980427592    (var:vdw_radius_mm3 - min:vdw_radius)
81            0.151348569214991985    (max:en_pauling * ave:molar_volume)
82            0.151356434303069332    (var:vdw_radius_mm3 * min:en_allen)
83            0.151358228505090037    (max:gs_volume_per / ave:gs_volume_per)
84            0.151375976243254301    (ave:first_ion_en / min:sound_velocity)
85            0.151376265203285759    (var:vdw_radius_mm3 * max:en_pauling)
86            0.151381710996642299    (ave:en_pauling / min:hhi_r)
87            0.151382257497021833    (average_cn - ave:num_p_unfilled)
88            0.151384962623424796    (min:density * ave:covalent_radius_pyykko_triple)
89            0.1513945557735068      (ave:num_valance / min:boiling_point)
90            0.151397780313188846    (min:vdw_radius_alvarez / ave:gs_est_bcc_latcnt)
91            0.15139799585007746     (ave:num_unfilled * ave:covalent_radius_cordero)
92            0.15141069255323078     (min:vdw_radius_alvarez - max:covalent_radius_cordero)
93            0.151412363967396435    (max:first_ion_en * ave:heat_capacity_mass)
94            0.151421027392972446    (sum:first_ion_en + sum:electron_affinity)
95            0.151422335594396412    (min:atomic_volume / ave:evaporation_heat)
96            0.151430499984857858    (min:en_ghosh / ave:boiling_point)
97            0.151432299383523289    (sum:en_ghosh / max:vdw_radius_alvarez)
98            0.151440534000920723    (max:electron_negativity / ave:num_s_valence)
99            0.151440849783491177    (sum:en_allen - max:electron_affinity)
100           0.151441262371785096    (max:icsd_volume / min:period)
101           0.151441850765238695    (ave:bulk_modulus / min:c6_gb)
102           0.151443034162559331    (sum:en_allen + energy_per_atom)
103           0.151444072891765757    (min:vdw_radius_mm3 - max:vdw_radius)
104           0.151450262960623       (sum:en_ghosh + min:en_ghosh)
105           0.151456654164546678    (min:atomic_number / max:gs_volume_per)
106           0.151460942187815167    (var:en_pauling / ave:covalent_radius_pyykko_triple)
107           0.151466191240441084    (min:vdw_radius_alvarez / max:heat_capacity_molar)
108           0.151468647197984363    (min:Polarizability / min:en_allen)
109           0.151470195389630607    (sum:lattice_constant * max:first_ion_en)
110           0.151472037924839431    (ave:mendeleev_number / min:atomic_number)
111           0.151473025703397879    (var:vdw_radius_mm3 - ave:atomic_radius_rahm)
112           0.151473112265384596    (min:covalent_radius_slater * ave:en_ghosh)
113           0.151480515928438753    (sum:en_allen + min:first_ion_en)
114           0.151482971284326584    (var:vdw_radius_mm3 - ave:vdw_radius)
115           0.151487488842431212    (sum:num_s_valence / ave:Polarizability)
116           0.151489791088114417    (max:lattice_constant / min:atomic_number)
117           0.151490366290511519    (var:covalent_radius_pyykko - ave:vdw_radius)
118           0.151499426471686016    (sum:en_pauling * min:icsd_volume)
119           0.151504574014139304    (min:c6_gb / ave:c6_gb)
120           0.151505558722482614    (ave:atomic_weight / max:first_ion_en)
121           0.151510173713630125    (sum:mendeleev_number / ave:hhi_r)
122           0.15151212716797588     (sum:en_pauling / ave:hhi_r)
