# c0 + a0 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.462541190591405; Max AE: 4.34505213259168
# Coefficients
# Task   a0                      c0
# all ,  8.055973987069935e-03,  1.396517234460616e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * pm;                                          19|0|mult|11|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3577        ,  5.216900000000000e+00,  4.768112219484494e+00,  5.745376665152148e+02
3404        ,  2.820000000000000e-02,  1.396517234460616e-01,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.804769317718474e+00,  3.308250000000000e+02
3707        ,  1.609999999999999e+00,  1.808324318042380e+00,  2.071348042179114e+02
4870        ,  2.521100000000000e+00,  2.506154681993820e+00,  2.937575223487640e+02
5075        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.973123924436145e+00,  3.517231070430324e+02
5647        ,  3.195000000000000e+00,  2.982621055431016e+00,  3.529020000000000e+02
3574        ,  2.645500000000000e+00,  2.443717700418601e+00,  2.860071272164768e+02
3908        ,  1.994499999999999e+00,  1.723933981455483e+00,  1.966593065658155e+02
4983        ,  0.000000000000000e+00,  3.503352468155510e+00,  4.175411626338768e+02
3447        ,  1.737800000000000e+00,  1.666209675730262e+00,  1.894939028768426e+02
3615        ,  3.120000000000012e-02,  1.543196300802754e-01,  1.820749006607543e+00
4735        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4141        ,  3.190800000000000e+00,  3.517464733513999e+00,  4.192929390647763e+02
4136        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.429627047014530e+00,  5.325210000000000e+02
4443        ,  2.707600000000000e+00,  2.848025055385731e+00,  3.361943988755034e+02
4617        ,  2.861800000000000e+00,  2.838014560779574e+00,  3.349517813320227e+02
3836        ,  2.259999999999995e-02,  2.150595273291759e-01,  9.360482544276568e+00
5832        ,  3.573500000000000e+00,  3.417255564750535e+00,  4.068538263113957e+02
4712        ,  1.100500000000000e+00,  1.061754114466758e+00,  1.144619375013744e+02
4913        ,  1.940700000000000e+00,  1.765523428661091e+00,  2.018218663347969e+02
4558        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.338053783987461e+00,  2.728909085443791e+02
4636        ,  3.054200000000000e+00,  2.389870545436397e+00,  2.793230000000000e+02
5195        ,  2.369000000000003e-01,  2.874493557604444e-01,  1.834633931931782e+01
3086        ,  1.589400000000000e+00,  1.467743070952273e+00,  1.648579488511054e+02
5102        ,  3.760100000000000e+00,  3.739554999003440e+00,  4.468613331343080e+02
3170        ,  1.528999999999998e-01,  1.396517234460616e-01,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.445486728575476e+00,  1.620952360602599e+02
5493        ,  0.000000000000000e+00,  9.107129766562649e-01,  9.571297703391028e+01
5095        ,  9.836999999999998e-01,  6.780573840198838e-01,  6.683309323465771e+01
5258        ,  3.733000000000000e-01,  8.805501945512889e-01,  9.196882615241684e+01
3559        ,  4.266400000000000e+00,  5.188266173350894e+00,  6.266920000000000e+02
4705        ,  2.014900000000000e+00,  1.970267831143922e+00,  2.272370927011495e+02
5717        ,  8.259000000000003e-01,  4.103117032158947e+00,  4.919908275615535e+02
5108        ,  2.033300000000000e+00,  1.870989016808122e+00,  2.149134662228186e+02
5105        ,  1.147400000000000e+00,  1.425754587759986e+00,  1.596458561532293e+02
4721        ,  2.367300000000000e+00,  3.350926734551944e+00,  3.986203302369234e+02
3907        ,  1.832000000000000e+00,  1.148070304548250e+00,  1.251764942042673e+02
3583        ,  1.527200000000000e+00,  1.596521432316888e+00,  1.808433978571856e+02
3746        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3201        ,  0.000000000000000e+00,  5.639415250560574e-01,  5.266772239967418e+01
3126        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  1.396517234460616e-01,  0.000000000000000e+00
3598        ,  9.411999999999998e-01,  1.040207480928136e+00,  1.117873219212837e+02
4244        ,  6.532000000000000e-01,  1.396517234460616e-01,  0.000000000000000e+00
4710        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3178        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5371        ,  4.331500000000000e+00,  3.679187675500851e+00,  4.393678477283869e+02
4218        ,  2.750400000000000e+00,  2.861534363640642e+00,  3.378713293468026e+02
5277        ,  4.523999999999999e-01,  8.913135223200491e-01,  9.330489399300765e+01
3755        ,  1.748400000000000e+00,  1.423105152606624e+00,  1.593169778378805e+02
3400        ,  6.249000000000002e-01,  3.282941744654783e-01,  2.341646724805629e+01
5825        ,  2.044100000000000e+00,  2.185593233626585e+00,  2.539657542916992e+02
3495        ,  1.237600000000000e+00,  4.453156970459370e-01,  3.794252241758409e+01
4278        ,  7.349000000000001e-01,  1.396517234460616e-01,  0.000000000000000e+00
3966        ,  1.750200000000000e+00,  9.984796927027998e-01,  1.066075896763298e+02
4647        ,  3.913400000000000e+00,  3.507491928610583e+00,  4.180550000000000e+02
4958        ,  3.220400000000000e+00,  3.216275191917091e+00,  3.819058345284005e+02
4890        ,  2.595300000000000e+00,  2.713583748158829e+00,  3.195060000000000e+02
3933        ,  3.733600000000000e+00,  3.599614641239476e+00,  4.294903289591987e+02
3444        ,  2.131800000000000e+00,  2.222884413356701e+00,  2.585947637435630e+02
4837        ,  2.507100000000000e+00,  2.517034094822296e+00,  2.951080000000000e+02
4994        ,  3.688700000000000e+00,  4.264947393863086e+00,  5.120790703940007e+02
4339        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4325        ,  2.300000000000000e-01,  4.575052132591678e+00,  5.505728315737560e+02
5161        ,  4.347900000000000e+00,  4.253598628612404e+00,  5.106703313304316e+02
3743        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4950        ,  1.466200000000001e+00,  1.016493299531026e+00,  1.088436454105139e+02
4189        ,  1.018400000000000e+00,  1.092592496391426e+00,  1.182899515905663e+02
4749        ,  2.372800000000001e+00,  2.286058804402413e+00,  2.664366946071816e+02
4840        ,  3.246200000000000e+00,  3.339316805231606e+00,  3.971791724900176e+02
5490        ,  2.288300000000000e+00,  2.451400767816888e+00,  2.869608377684993e+02
5388        ,  1.719900000000000e+00,  1.656437492898289e+00,  1.882808673273662e+02
3448        ,  1.538000000000000e+00,  9.722726736148075e-01,  1.033544735255012e+02
4846        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5732        ,  5.205000000000001e-01,  4.481421359947434e-01,  3.829337247660153e+01
3082        ,  3.936999999999999e-01,  1.396517234460616e-01,  0.000000000000000e+00
4256        ,  2.726200000000000e+00,  2.808021441145847e+00,  3.312286909047365e+02
4685        ,  7.060000000000000e-01,  6.033545780333798e-01,  5.756012312497213e+01
4747        ,  3.408700000000000e+00,  2.830336608605919e+00,  3.339987057404209e+02
5625        ,  8.441999999999998e-01,  1.053133653574922e+00,  1.133918669046132e+02
5067        ,  2.608600000000000e+00,  3.569877391166453e+00,  4.257990000000000e+02
3965        ,  4.246200000000000e+00,  3.561005525587382e+00,  4.246977221665176e+02
4444        ,  9.563000000000001e-01,  3.237250753710340e-01,  2.284929820036848e+01
3422        ,  9.169000000000000e-01,  8.960337560318437e-01,  9.389082360491685e+01
3134        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5724        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4937        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4070        ,  7.039999999999997e-01,  1.396517234460616e-01,  0.000000000000000e+00
4121        ,  1.252800000000000e+00,  1.067226097437959e+00,  1.151411828638822e+02
3358        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3180        ,  1.234700000000000e+00,  1.488330253966556e+00,  1.674134664145095e+02
3830        ,  6.069000000000000e-01,  6.190228385311791e-01,  5.950504754043664e+01
3277        ,  1.579500000000000e+00,  1.686600275003265e+00,  1.920250182088596e+02
4178        ,  2.596900000000000e+00,  2.074753066958170e+00,  2.402070000000000e+02
4700        ,  7.430000000000003e-02,  1.396517234460616e-01,  0.000000000000000e+00
5159        ,  2.832700000000000e+00,  2.606562336354839e+00,  3.062212734137719e+02
5042        ,  3.263400000000000e+00,  3.162723905237550e+00,  3.752584338831784e+02
5909        ,  1.706400000000000e+00,  1.486822114861307e+00,  1.672262588704348e+02
3034        ,  1.700700000000000e+00,  2.050061799368226e+00,  2.371420363308554e+02
3339        ,  0.000000000000000e+00,  1.832872148912604e-01,  5.416538275227172e+00
4575        ,  2.957400000000000e+00,  2.207144943461677e+00,  2.566410000000000e+02
5517        ,  1.991000000000000e+00,  1.760865903303442e+00,  2.012437208038997e+02
4993        ,  7.869999999999999e-01,  7.289462206002275e-01,  7.315000000000001e+01
4049        ,  4.949900000000000e+00,  5.861302520100652e+00,  7.102370000000001e+02
3296        ,  6.007300000000000e+00,  6.008134105086752e+00,  7.284634224315730e+02
3504        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4069        ,  2.483500000000000e+00,  2.460239875982161e+00,  2.880580493756197e+02
3708        ,  3.914400000000000e+00,  3.148907683504678e+00,  3.735434057866320e+02
3778        ,  4.467100000000000e+00,  4.013753501880020e+00,  4.808980000000000e+02
3245        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3972        ,  9.501000000000001e-01,  5.928443656919339e-01,  5.625547487780611e+01
5077        ,  1.153900000000000e+00,  1.224510157391128e+00,  1.346650865167011e+02
3503        ,  7.069999999999999e-01,  4.007020973503194e-01,  3.240457011445803e+01
4802        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4651        ,  3.520400000000000e+00,  3.439700907509391e+00,  4.096400000000000e+02
3793        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3873        ,  3.645000000000000e+00,  3.422154996165552e+00,  4.074620000000000e+02
4895        ,  2.159000000000000e-01,  7.920984023957423e-01,  8.098917399644982e+01
4859        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5591        ,  4.297800000000001e+00,  4.213242703275943e+00,  5.056608904606829e+02
5202        ,  3.249999999999975e-02,  1.906770965069795e-01,  6.333855241193064e+00
4237        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3838        ,  1.593100000000000e+00,  1.034581468500700e+00,  1.110889566539100e+02
5749        ,  1.189500000000000e+00,  1.031138344747573e+00,  1.106615565954375e+02
3399        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5658        ,  1.245900000000000e+00,  1.440994236013108e+00,  1.615375762950250e+02
5068        ,  2.732000000000000e+00,  2.508444474114391e+00,  2.940417576410138e+02
5719        ,  2.343600000000000e+00,  1.956021953489499e+00,  2.254687307777759e+02
3665        ,  1.944300000000001e+00,  2.000437448975071e+00,  2.309820921114719e+02
5189        ,  6.053000000000002e-01,  5.158821589021291e-01,  4.670204199516134e+01
3079        ,  3.068500000000000e+00,  2.375782402071960e+00,  2.775742178680009e+02
4684        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4673        ,  1.365500000000000e+00,  1.241874083767884e+00,  1.368204964528088e+02
3173        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3772        ,  6.627000000000001e-01,  3.328639882716998e-01,  2.398372501397711e+01
3941        ,  1.333200000000000e+00,  1.098526566563249e+00,  1.190265565226761e+02
3998        ,  5.336600000000000e+00,  4.880544533509682e+00,  5.884940564198553e+02
4086        ,  1.453300000000000e+00,  7.314455083456908e-01,  7.346024029490100e+01
4023        ,  0.000000000000000e+00,  2.329080165729967e+00,  2.717770000000000e+02
3689        ,  1.522999999999999e-01,  7.251380476411540e-01,  7.267728584213583e+01
4565        ,  1.903700000000000e+00,  2.071835762441256e+00,  2.398448706632375e+02
3463        ,  1.951400000000000e+00,  1.968220117256725e+00,  2.269829069390699e+02
5755        ,  1.744400000000000e+00,  1.618969571992862e+00,  1.836299187312605e+02
4114        ,  2.924900000000000e+00,  3.553619141217790e+00,  4.237808393189007e+02
3199        ,  2.250400000000000e+00,  1.706206083371499e+00,  1.944587162818302e+02
4416        ,  8.491000000000000e-01,  1.053522410647006e+00,  1.134401238965931e+02
4562        ,  2.138600000000000e+00,  2.161989030936728e+00,  2.510357296009862e+02
3600        ,  1.261000000000001e-01,  2.822686186488947e-01,  1.770324673735754e+01
3272        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5130        ,  3.741200000000000e+00,  3.087305033253298e+00,  3.658965774390908e+02
3567        ,  3.290600000000000e+00,  3.327116994482662e+00,  3.956647918864400e+02
4052        ,  2.301500000000000e+00,  2.098623878557238e+00,  2.431701192500598e+02
3337        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3662        ,  2.304500000000000e+00,  2.428944931679416e+00,  2.841733615212431e+02
3222        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4931        ,  7.595999999999998e-01,  9.735515599064754e-01,  1.035132235777879e+02
4792        ,  3.406700000000000e+00,  2.745879134695718e+00,  3.235148742328022e+02
4038        ,  0.000000000000000e+00,  3.692910378719459e-01,  2.850546871110332e+01
3618        ,  3.023200000000000e+00,  7.516525441739509e-01,  7.596856962425248e+01
4741        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3319        ,  9.309000000000001e-01,  3.495758332777756e-01,  2.605819112234573e+01
4531        ,  8.411000000000000e-01,  9.087903266806835e-01,  9.547431564067993e+01
4586        ,  1.556100000000000e+00,  1.875491905085483e+00,  2.154724164235750e+02
3637        ,  3.929200000000000e+00,  3.450866487455468e+00,  4.110260000000000e+02
3000        ,  0.000000000000000e+00,  1.397522660530784e-01,  1.248050293833776e-02
3231        ,  1.677200000000000e+00,  1.667396637063097e+00,  1.896412421476421e+02
4392        ,  4.559800000000000e+00,  5.066153719654888e+00,  6.115340000000000e+02
3459        ,  2.935700000000000e+00,  2.767455152196368e+00,  3.261931372876830e+02
3487        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3897        ,  3.892500000000000e+00,  3.409571564797748e+00,  4.059000000000000e+02
3474        ,  3.947700000000000e+00,  3.653266732401405e+00,  4.361502426143374e+02
3858        ,  3.167000000000000e-01,  3.186743551406420e-01,  2.222234480671321e+01
4762        ,  2.902400000000000e+00,  3.545554989584368e+00,  4.227798242155296e+02
5355        ,  1.801200000000000e+00,  1.230892824785230e+00,  1.354573764873920e+02
3779        ,  3.920900000000000e+00,  3.613973676658797e+00,  4.312727373237699e+02
4547        ,  3.463000000000000e+00,  2.356289559802969e+00,  2.751545424444857e+02
3521        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5437        ,  3.014500000000000e+00,  3.041727901205524e+00,  3.602390204359369e+02
4845        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3211        ,  1.219999999999999e-02,  1.396517234460616e-01,  0.000000000000000e+00
3763        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5299        ,  3.388300000000000e+00,  2.669099612959171e+00,  3.139841183167851e+02
5510        ,  3.329200000000000e+00,  3.513369356792458e+00,  4.187845738778834e+02
3975        ,  1.985400000000000e+00,  1.835507261143528e+00,  2.105090632640277e+02
4984        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4289        ,  4.016000000000002e-01,  3.104132673588617e-01,  2.119688372714176e+01
3251        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5409        ,  5.116999999999998e-01,  1.396517234460616e-01,  0.000000000000000e+00
3822        ,  1.651400000000000e+00,  1.147088645752260e+00,  1.250546394418805e+02
3675        ,  1.858500000000000e+00,  1.867962293653701e+00,  2.145377545882876e+02
4096        ,  3.949999999999998e-02,  1.399904961873653e+00,  1.564371037506245e+02
5417        ,  2.387700000000000e+00,  2.462572418414664e+00,  2.883475913274987e+02
4039        ,  6.776000000000000e-01,  8.448570522060372e-01,  8.753818345141754e+01
3789        ,  4.554000000000000e+00,  4.044769001730239e+00,  4.847480000000000e+02
3842        ,  2.475500000000000e+00,  2.547807406469032e+00,  2.989279368190772e+02
5072        ,  9.227000000000000e-01,  9.656387923143294e-01,  1.025310000000000e+02
4751        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5535        ,  1.533700000000000e+00,  1.428406860184671e+00,  1.599750866632759e+02
3148        ,  4.490000000000016e-02,  1.396517234460616e-01,  0.000000000000000e+00
4233        ,  3.497600000000000e+00,  3.406085832361995e+00,  4.054673108625540e+02
3690        ,  2.423100000000000e+00,  2.310471213961885e+00,  2.694670432153890e+02
3950        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3875        ,  2.401300000000000e+00,  2.483565300307188e+00,  2.909534688944097e+02
3249        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3912        ,  4.126200000000000e+00,  3.972699264924104e+00,  4.758018766731610e+02
4814        ,  2.224100000000000e+00,  2.127568032417400e+00,  2.467629999999999e+02
5735        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3678        ,  5.503999999999998e-01,  3.494841442896781e-01,  2.604680963225593e+01
3628        ,  1.788400000000000e+00,  1.543818122241598e+00,  1.743012578056064e+02
3928        ,  1.122600000000000e+00,  1.221693562582097e+00,  1.343154584253553e+02
4408        ,  7.400000000000002e-01,  1.396517234460616e-01,  0.000000000000000e+00
4743        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3683        ,  2.536900000000000e+00,  2.313775649074598e+00,  2.698772276472176e+02
3502        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3819        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
5413        ,  7.898000000000001e-01,  1.956167602283721e+00,  2.254868103786355e+02
5279        ,  2.576100000000000e+00,  2.648592677406752e+00,  3.114385619898489e+02
4229        ,  6.249999999999996e-01,  3.858321393431149e-01,  3.055874017122942e+01
3575        ,  2.196800000000000e+00,  1.538982804411624e+00,  1.737010426314098e+02
3196        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3465        ,  1.376900000000000e+00,  1.373858238044040e+00,  1.532038852879757e+02
5768        ,  1.701800000000000e+00,  1.972845077179487e+00,  2.275570100742322e+02
3481        ,  8.867999999999998e-01,  1.396517234460616e-01,  0.000000000000000e+00
4452        ,  1.246100000000000e+00,  8.862596803829597e-01,  9.267755309726978e+01
4214        ,  7.783000000000002e-01,  9.742391471895788e-01,  1.035985748071001e+02
4940        ,  4.171100000000000e+00,  4.628657940339081e+00,  5.572270000000001e+02
5359        ,  1.056300000000000e+00,  1.226319908876215e+00,  1.348897336528502e+02
3390        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3138        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
4686        ,  5.896000000000001e-01,  2.020502272905350e+00,  2.334727684669919e+02
4305        ,  7.780300000000000e+00,  6.509976645140612e+00,  7.907578812840137e+02
3982        ,  9.999999999976694e-05,  1.396517234460616e-01,  0.000000000000000e+00
5631        ,  1.302400000000000e+00,  3.831191690685609e+00,  4.582363315925017e+02
4511        ,  3.130800000000000e+00,  2.814300379382463e+00,  3.320081048212529e+02
4050        ,  5.382100000000000e+00,  4.775582793915262e+00,  5.754649999999999e+02
4808        ,  8.830000000000001e-01,  6.643909487869200e-01,  6.513665835851499e+01
5136        ,  1.867100000000000e+00,  1.539405898330982e+00,  1.737535619071716e+02
3472        ,  7.224000000000004e-01,  8.135761747710325e-01,  8.365524173819809e+01
3462        ,  9.331000000000000e-01,  7.706571250821601e-01,  7.832763644084253e+01
5715        ,  3.863600000000000e+00,  4.238217105081749e+00,  5.087610000000000e+02
4487        ,  2.786700000000000e+00,  2.597373859213601e+00,  3.050806941174652e+02
3434        ,  0.000000000000000e+00,  1.396517234460616e-01,  0.000000000000000e+00
3531        ,  4.588000000000001e-01,  4.703859283191129e-01,  4.105452741082443e+01
3569        ,  2.146999999999997e-01,  1.396517234460616e-01,  0.000000000000000e+00
3088        ,  1.459500000000000e+00,  9.918670385835788e-01,  1.057867511123232e+02
3655        ,  2.189700000000000e+00,  1.833563475783108e+00,  2.102677783041284e+02
3809        ,  4.851000000000000e+00,  4.449756328066181e+00,  5.350196775136016e+02
5892        ,  1.967200000000000e+00,  2.259290964569743e+00,  2.631139629454815e+02
5141        ,  1.826300000000000e+00,  1.414386162808774e+00,  1.582346767018733e+02
4791        ,  3.607100000000000e+00,  4.041401604603644e+00,  4.843300000000000e+02
4765        ,  2.740200000000000e+00,  2.811934575437192e+00,  3.317144340684590e+02
3860        ,  1.860999999999999e-01,  1.396517234460616e-01,  0.000000000000000e+00
