# c0 + a0 * ((ave:period / ave:covalent_radius_cordero) / (min:atomic_radius_rahm + ave:covalent_radius_cordero)) + a1 * ((min:covalent_radius_slater * mp_bandgap) / min:covalent_radius_cordero)
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.453760810365819; Max AE: 4.38866365374816
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.944773936002637e+03,  1.036853053134048e+00, -4.588744295397870e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm^-2;                                            15|13|div|25|13|add|div; ((ave:period / ave:covalent_radius_cordero) / (min:atomic_radius_rahm + ave:covalent_radius_cordero)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(min:atomic_{radius, rahm} + ave:covalent_{radius, cordero}\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ (min:atomic_radius_rahm + ave:covalent_radius_cordero)); ave:period,ave:covalent_radius_cordero,min:atomic_radius_rahm,ave:covalent_radius_cordero
# 1;  2; eV;                                               1|0|mult|4|div; ((min:covalent_radius_slater * mp_bandgap) / min:covalent_radius_cordero); $\left(\frac{ \left(min:covalent_{radius, slater} mp_{bandgap}\right) }{ min:covalent_{radius, cordero} } \right)$; ((min:covalent_radius_slater .* mp_bandgap) ./ min:covalent_radius_cordero); min:covalent_radius_slater,mp_bandgap,min:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.844467195464192e+00,  1.387085874842174e-04,  4.319561403508771e+00
3404        ,  2.820000000000000e-02,  1.607342938824840e-01,  1.042274660218461e-04,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.617107699483504e+00,  9.440146846728728e-05,  2.425403225806452e+00
3707        ,  1.609999999999999e+00,  1.767421608812454e+00,  1.056515664165366e-04,  1.541415492957746e+00
4870        ,  2.521100000000000e+00,  2.654512624624298e+00,  1.024077192663056e-04,  2.415575000000000e+00
5075        ,  0.000000000000000e+00,  3.696355547275061e-01,  1.393677864266100e-04,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.071289575189979e+00,  9.816520311272933e-05,  2.841862745098039e+00
5647        ,  3.195000000000000e+00,  2.956291943219641e+00,  1.232275536810031e-04,  2.587258064516129e+00
3574        ,  2.645500000000000e+00,  2.474761220018305e+00,  1.175871124524752e-04,  2.155181818181819e+00
3908        ,  1.994499999999999e+00,  1.760640864880826e+00,  1.148897058823529e-04,  1.481909090909091e+00
4983        ,  0.000000000000000e+00,  3.581628696569701e+00,  1.321502072115249e-04,  3.139210526315789e+00
3447        ,  1.737800000000000e+00,  1.712824468503581e+00,  9.827044025157233e-05,  1.531078431372549e+00
3615        ,  3.120000000000012e-02,  1.397492457507605e-01,  9.833427694508181e-05,  1.354929577464802e-02
4735        ,  0.000000000000000e+00,  8.702684865571382e-02,  9.182876995362648e-05,  0.000000000000000e+00
