# c0 + a0 * ((ave:density / ave:melting_point) * (mp_bandgap^3)) + a1 * ((ave:period^2) / (ave:covalent_radius_cordero^3)) + a2 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.441769457478469; Max AE: 3.63838143513874
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.764742202891383e-01,  4.035784133589265e+04,  8.587067238540840e-03, -2.513787372379910e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-1 * cm^-3 * eV^3 * g;                          10|12|div|0|cb|mult; ((ave:density / ave:melting_point) * (mp_bandgap^3)); $\left(\left(\frac{ ave:density }{ ave:melting_{point} } \right) \left(mp_{bandgap}^3\right)\right)$; ((ave:density ./ ave:melting_point) .* (mp_bandgap).^3); ave:density,ave:melting_point,mp_bandgap
# 1;  2; pm^-3;                                            15|sq|13|cb|div; ((ave:period^2) / (ave:covalent_radius_cordero^3)); $\left(\frac{ \left(ave:period^2\right) }{ \left(ave:covalent_{radius, cordero}^3\right) } \right)$; ((ave:period).^2 ./ (ave:covalent_radius_cordero).^3); ave:period,ave:covalent_radius_cordero
# 2;  2; eV * pm;                                          19|0|mult|11|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  4.518670787894441e+00,  1.083307445373186e+00,  1.410594551864380e-05,  5.745376665152148e+02
3404        ,  2.820000000000000e-02,  1.679489532514128e-01,  0.000000000000000e+00,  1.039024082084565e-05,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.737362659440345e+00,  1.355170816943943e-01,  5.936855930152232e-06,  3.308250000000000e+02
3707        ,  1.609999999999999e+00,  1.857713007795779e+00,  2.160724125060970e-02,  8.549218293876455e-06,  2.071348042179114e+02
4870        ,  2.521100000000000e+00,  2.515889131530509e+00,  2.279749162783329e-01,  9.885846543346630e-06,  2.937575223487640e+02
5075        ,  0.000000000000000e+00,  3.130835223642519e-01,  0.000000000000000e+00,  1.398643338984121e-05,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.909870185012110e+00,  3.054583471480568e-01,  8.613286499833713e-06,  3.517231070430324e+02
5647        ,  3.195000000000000e+00,  3.195574525464172e+00,  4.531914344232040e-02,  1.108129864005392e-05,  3.529020000000000e+02
3574        ,  2.645500000000000e+00,  2.473402505197245e+00,  2.033941871799437e-01,  1.007015541606525e-05,  2.860071272164768e+02
3908        ,  1.994499999999999e+00,  1.833132534232160e+00,  2.208575805009489e-02,  1.017708121310808e-05,  1.966593065658155e+02
4983        ,  0.000000000000000e+00,  3.351673118691307e+00,  7.154501582169800e-01,  1.242835069632845e-05,  4.175411626338768e+02
3447        ,  1.737800000000000e+00,  1.711730848775547e+00,  2.362211163159790e-02,  8.719308035714285e-06,  1.894939028768426e+02
3615        ,  3.120000000000012e-02,  5.347685313011207e-02,  1.398207217655172e-08,  7.166406728130617e-06,  1.820749006607543e+00
4735        ,  0.000000000000000e+00,  9.799042823489852e-02,  0.000000000000000e+00,  8.656785246890164e-06,  0.000000000000000e+00
4141        ,  3.190800000000000e+00,  3.558013403509248e+00,  3.820076545596325e-01,  1.157925684691408e-05,  4.192929390647763e+02
4136        ,  0.000000000000000e+00,  1.140450719339516e-01,  0.000000000000000e+00,  9.054592542018576e-06,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  3.991744606462480e+00,  1.388338800084718e+00,  1.510252030025853e-05,  5.325210000000000e+02
4443        ,  2.707600000000000e+00,  2.897766483951547e+00,  7.244633532006081e-02,  7.711745245066411e-06,  3.361943988755034e+02
4617        ,  2.861800000000000e+00,  2.891416495821403e+00,  8.010806776464817e-02,  7.947224062427742e-06,  3.349517813320227e+02
3836        ,  2.259999999999995e-02,  1.657217234282146e-01,  3.082301613435230e-06,  8.343445576496362e-06,  9.360482544276568e+00
5832        ,  3.573500000000000e+00,  3.526374875529501e+00,  2.242926206463955e-01,  1.079841268057901e-05,  4.068538263113957e+02
4712        ,  1.100500000000000e+00,  1.081084271834246e+00,  6.528272136169540e-03,  8.771204097643462e-06,  1.144619375013744e+02
