# c0 + a0 * ((ave:period / ave:covalent_radius_cordero) / cbrt(min:covalent_radius_pyykko_triple)) + a1 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.444233757049257; Max AE: 3.61247260548173
# Coefficients
# Task   a0                      a1                      c0
# all ,  8.458986288191369e+01,  8.035016901436244e-03, -4.948011724247964e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm^-1.33333;                                      15|13|div|22|cbrt|div; ((ave:period / ave:covalent_radius_cordero) / cbrt(min:covalent_radius_pyykko_triple)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(\sqrt[3]{ min:covalent_{radius, pyykko, triple} }\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ nthroot(min:covalent_radius_pyykko_triple, 3)); ave:period,ave:covalent_radius_cordero,min:covalent_radius_pyykko_triple
# 1;  2; eV * pm;                                          19|0|mult|11|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.885712732906146e+00,  9.032926858341367e-03,  5.745376665152148e+02
3033        ,  0.000000000000000e+00,  1.219519505123080e+00,  7.077434682861991e-03,  1.388474301739753e+02
3404        ,  2.820000000000000e-02,  1.700466761354881e-01,  7.859663391208036e-03,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.677137274395884e+00,  6.073469833143341e-03,  3.308250000000000e+02
3707        ,  1.609999999999999e+00,  1.843870906328479e+00,  7.971882244661391e-03,  2.071348042179114e+02
5075        ,  0.000000000000000e+00,  2.877314347914084e-01,  9.250902892567752e-03,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.921461308266825e+00,  6.976738711576399e-03,  3.517231070430324e+02
4329        ,  2.076200000000000e+00,  1.708343342986890e+00,  7.893869368728466e-03,  1.910889804884862e+02
3574        ,  2.645500000000000e+00,  2.529708008508015e+00,  8.587755731810207e-03,  2.860071272164768e+02
3908        ,  1.994499999999999e+00,  1.747699370077822e+00,  7.830012579003424e-03,  1.966593065658155e+02
4303        ,  0.000000000000000e+00,  2.283036272097497e-01,  8.548362356893647e-03,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.612472605481727e+00,  8.893778207776716e-03,  4.175411626338768e+02
4042        ,  1.349900000000000e+00,  1.493970058356769e+00,  6.611487650967297e-03,  1.779095693856293e+02
